Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,400,0
"0101004210 P1 General
Administration Planning
and Support Services","0101014210 SP1
Administration,
Planning and Sup-
port Services","567,412,323","433,265,245","134,147,078",76.4,400,0
,Sub total,"567,412,323","433,265,245","134,147,078",76.4,400,0
,"0103014210 SP1
Livestock Policy
Development and
Capacity Building","12,548,584","10,345,700","2,202,884",82.4,400,0
,"0103024210 SP2
Livestock Produc-
tion and Manage-
ment","70,867,032","42,994,984","27,872,048",60.7,401,0
,"0103034210 SP3
Livestock Diseases
Management and
Control","24,639,666","15,358,638","9,281,028",62.3,401,0
,"0103044210 SP4
Livestock Market-
ing and Rangeland
Management","80,963,983","42,363,253","38,600,730",52.3,401,0
,Sub total,"189,019,265","111,062,575","77,956,690",58.8,401,0
"0104004210 P4 Fisheries
Development and Man-
agement","0104014210 SP1
Management and
Development of
Fisheries","11,049,552","9,212,105","1,837,447",83.4,401,0
,Sub total,"11,049,552","9,212,105","1,837,447",83.4,401,0
"0105004210 P3 Crop
Development and Man-
agement","0105014210 SP1
Lands and Crops
Development","50,478,776","48,113,781","2,364,995",95.3,401,0
,"0105024210 SP2
Food Security
Initiatives","15,917,190","14,900,608","1,016,582",93.6,401,0
,Subtotal,"66,395,966","63,014,389","3,381,577",94.9,401,0
"Water, Environment, Natural Resources & Energy",,,,,,401,0
"1001004210 P1 General
Administration Planning
and Support Services","1001014210 SP1
General Admin-
istration Planning
and Support
Services","20,101,883","16,146,143","3,955,740",80.3,401,0
,Sub total,"20,101,883","16,146,143","3,955,740",80.3,401,0
"1002004210 P2 Environ-
mental Management and
Protection","1002014210 SP1
County Environ-
ment Management","29,065,922","9,680,439","19,385,483",33.3,401,0
,"1002024210 SP2
Forests Conserva-
tion and Manage-
ment","13,183,286","4,650,637","8,532,649",35.3,401,0
,Sub total,"42,249,208","14,331,076","27,918,132",33.9,401,0
"1003004210 P3 Natural
Resources Services","1003024210 SP2
Soil Conservation
Management","5,015,494","2,806,336","2,209,158",56.0,401,0
,"1003034210 SP3
Mining Services","2,198,572","1,381,770","816,802",62.8,401,0
,"1003044210 SP4
Water Catchment
and Protection
Services","8,976,184","4,583,029","4,393,155",51.1,401,0
,Sub total,"16,190,250","8,771,135","7,419,115",54.2,401,0
"1004004210 P4 Water and
sanitation infrastructure","1004014210 SP1
Storm Water Man-
agement","5,419,985","3,248,832","2,171,153",59.9,402,0
,"1004024210 SP2
Water and Sanita-
tion Services","554,914,350","278,471,875","276,442,475",50.2,402,0
,Subtotal,"560,334,335","281,720,707","278,613,628",50.3,402,0
Education and Vocational Training,,,,,,402,0
"0501004210 P1 General
Administration Planning
and Support Services","0501014210 SP1
General Admin-
istration Planning
and Support
Services","218,313,119","166,713,342","51,599,777",76.4,402,0
,Sub total,"218,313,119","166,713,342","51,599,777",76.4,402,0
