Programs,Sub-Programs,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
,"Tiaty Sub County (Administra-
tion)",-,-,-,0.0,43,0
,Baringo South sub-county,-,-,-,0.0,43,0
,Eldama Ravine Sub County,-,-,-,0.0,43,0
,Mogotio Sub County,-,-,-,0.0,43,0
,Baringo North Sub County,-,-,-,0.0,43,0
Procurement,,-,-,-,0.0,43,0
,Baringo South Sub County,-,-,-,0.0,43,0
Internal Audit,,-,-,-,0.0,43,0
,Mogotio Sub County,-,-,-,0.0,43,0
Revenue Management Services,,-,-,-,0.0,43,0
,Eldama Ravine Sub County,-,-,-,0.0,43,0
Monitoring and Evaluation,,"128,250,000","125,413,071","2,836,929",97.8,43,0
,"Economic Planning, Budget,
Monitoring and Evaluation
Services","128,250,000","125,413,071","2,836,929",97.8,43,0
Plant disease control,,-,-,-,0.0,43,0
,KDS Programme,-,-,-,0.0,43,0
Transport,,"1,307,929,055","484,220,047","823,709,008",37.0,43,0
,"Rural Infrastructure Develop-
ment","1,256,969,062","449,597,513","807,371,549",35.8,43,0
,"Urban Infrastructure Develop-
ment","10,000,000",-,"10,000,000",0.0,43,0
,General administration,"40,959,993","34,622,534","6,337,459",84.5,43,0
County Roads,,-,"74,715,592","(74,715,592)",0.0,43,0
,"General Administration, Plan-
ning and support services",-,-,-,0.0,43,0
,"Development and Rehabilita-
tion of rural roads and struc-
tures",-,"74,715,592","(74,715,592)",0.0,43,0
"Industrial Development Ser-
vices",,"103,265,959","30,486,818","72,779,141",29.5,43,0
,Tourism Dev & Marketing,-,-,-,0.0,43,0
,"Co-operative services Develop-
ment","55,885,959","17,441,114","38,444,845",31.2,43,0
,"Industrial Development ser-
vices","20,000,000",-,"20,000,000",0.0,43,0
,Trade Development,"27,380,000","13,045,704","14,334,296",47.6,43,0
"Trade Development and Man-
agement Services",,"23,420,000","17,755,765","5,664,235",75.8,43,0
,Trade Development,-,-,-,0.0,43,0
,General administration,"23,420,000","17,755,765","5,664,235",75.8,43,0
Education,,"288,822,304","165,491,281","123,331,023",57.3,43,0
,"Early Childhood Development
Education","203,984,804","82,664,932","121,319,872",40.5,43,0
,"General Administration, Plan-
ning and support services","1,800,000",-,"1,800,000",0.0,43,0
,"General administration ser-
vices","83,037,500","82,826,350","211,150",99.7,43,0
,Special Programmes,-,-,-,0.0,43,0
ICT,,-,-,-,0.0,43,0
,Vocational Training,-,-,-,0.0,43,0
Youth Polytechnics,,-,-,-,0.0,43,0
,Vocational Training,-,-,-,0.0,43,0
County Health Services,,"906,942,302","639,973,668","266,968,634",70.6,44,0
,General administration,"596,087,641","568,417,287","27,670,354",95.4,44,0
,Health/preventive services,-,-,-,0.0,44,0
,"Preventive and Promotive
Health Services","180,532,392","59,585,023","120,947,369",33.0,44,0
,"Curative and Rehabilitative
Services","130,322,269","11,971,358","118,350,911",9.2,44,0
"Promotion of primary health
care",,-,-,-,0.0,44,0
,General administration,-,-,-,0.0,44,0
Lands,,"153,456,715","80,707,716","72,748,999",52.6,44,0
,General administration,"22,723,832","21,938,265","785,567",96.5,44,0
,Land Use Planning,"20,200,000",-,"20,200,000",0.0,44,0
,,"1,600,000",-,"1,600,000",0.0,44,0
,Land Administration,"65,312,545","21,319,190","43,993,355",32.6,44,0
,Urban Development-Kabarnet,-,-,-,0.0,44,0
,"Livestock Development and
Management","800,000",-,"800,000",0.0,44,0
,"Other Urban Infrastructure de-
velopment and management","42,820,338","37,450,261","5,370,077",87.5,44,0
Land Survey and Mapping,,"9,806,568","8,397,165","1,409,403",85.6,44,0
,General administration,"9,806,568","8,397,165","1,409,403",85.6,44,0
,"Civic Education Development
Services",-,-,-,0.0,44,0
,"Urban Development-Eldama
ravine",-,-,-,0.0,44,0
Housing,,"13,419,157","10,936,305","2,482,852",81.5,44,0
,General administration,"13,419,157","10,936,305","2,482,852",81.5,44,0
,"Other Urban Infrastructure de-
velopment and management",-,-,-,0.0,44,0
,"Inter and Intra -governmental
Relations services",-,-,-,0.0,44,0
Agricultural Services,,"755,889,807","415,149,984","340,739,823",54.9,44,0
,"Livestock Development and
Management","97,735,267","75,763,824","21,971,443",77.5,44,0
,Improved livestock Production,"155,351,348","79,762,674","75,588,674",51.3,44,0
,"Agricultural mechanisation
services","442,348,884","208,817,218","233,531,666",47.2,44,0
,General administration,"47,725,333","38,187,412","9,537,921",80.0,44,0
,"Fisheries Development and
Management",-,-,-,0.0,44,0
,Agricultural Development,-,-,-,0.0,44,0
,Agricultural training services,"7,028,975","6,809,900","219,075",96.9,44,0
,"Crop Production and Manage-
ment","5,700,000","5,808,955","(108,955)",101.9,44,0
Culture Services,,"166,271,350","68,431,418","97,839,932",41.2,44,0
,,"3,500,000",-,"3,500,000",0.0,44,0
,Sports Development,"7,175,571",-,"7,175,571",0.0,44,0
,,"26,670,453","25,989,578","680,875",97.4,44,0
,,"128,925,326","42,441,840","86,483,486",32.9,44,0
"Sports Development and Man-
agement Services",,-,"9,040,600","(9,040,600)",0.0,44,0
,General administration,-,-,-,0.0,44,0
,Sports Development,-,-,-,0.0,44,0
,,-,"9,040,600","(9,040,600)",0.0,44,0
Water Management Services,,"954,333,259","411,322,734","543,010,525",43.1,44,0
,,"882,746,380","345,181,832","537,564,549",39.1,44,0
,,"66,411,879","66,140,902","270,977",99.6,44,0
