Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,SP 3.4: Trade Licensing,"2,800,000","2,125,275","674,725",75.9,346,0
,SP 3.5: Consumer Protection,"4,455,000","3,272,900","1,182,100",73.5,346,0
Sub Total,,"73,595,000","8,631,898","64,963,102",11.7,346,0
"Programme 4: Market
Rehabilitation and
Development","SP 4.1: Rehabilitation and Ren-
ovation of Existing Markets","265,354,558","137,320,753","128,033,805",51.7,346,0
,"SP 4.2: Development of Retail
and Wholesale Markets in
Nakuru","7,500,000","5,989,050","1,510,950",79.9,346,0
,"SP 4.3: Market Users Delivery
Services","43,720,030","42,408,423","1,311,607",97.0,346,0
Sub Total,,"316,574,588","185,718,226","130,856,362",58.7,346,0
"Programme 5: Pro-
motion of Tourism
and Markets","SP 5.1: Promotion of Local
Tourism","4,750,000","4,549,384","200,616",95.8,346,0
,"SP 5.2: Establishment and
Management of County Tour-
ism Information Centre","4,000,000",,"4,000,000",0.0,346,0
Sub Total,,"8,750,000","4,549,384","4,200,616",52.0,346,0
"Department of Youth, Culture, Sports and Social Service",,,,,,346,0
"Programme 1:
Administration,
Planning and Support
Services",SP 1.2 Administration,"154,460,078","85,571,856","68,888,222",55.4,347,0
,SP 1.3 Personnel services,"114,639,196","3,765,942","110,873,254",3.3,347,0
,SP 1.4 Financial services,"2,090,000","1,454,855","635,146",69.6,347,0
Sub Total,,"271,189,274","90,792,652","180,396,622",33.5,347,0
"Programme 2: Devel-
opment of Socio-Cul-
tural Diversity,
Economic Empower-
ment and Responsible
Gaming","SP 2.2 Cultural development
activities","17,241,000","4,240,390","13,000,610",24.6,347,0
,"SP 2.3 Gender development
activities","6,500,000","5,544,100","955,900",85.3,347,0
,"SP 2.4 Promotion of responsi-
ble gaming.","1,800,000","829,142","970,858",46.1,347,0
,"SP 2.5 Social Development
activities","13,242,866","8,799,574","4,443,292",66.4,347,0
,"SP 2.6 Social Cultural Devel-
opment","14,640,737","9,224,300","5,416,437",63.0,347,0
Sub Total,,"53,424,603","28,637,506","24,787,097",53.6,347,0
"Programme 3:
Management and De-
velopment of Sports,
Recreation and Sports
Facilities","SP 3.2 Development of Sports
Infrastructure","93,000,000","39,416,717","53,583,283",42.4,347,0
,SP 3.3 Sporting Tournament,"11,030,866","9,212,642","1,818,224",83.5,347,0
,SP 3.4 Sports Funding.,"70,634,886","68,895,735","1,739,151",97.5,347,0
Sub Total,,"174,665,752","117,525,094","57,140,658",67.3,347,0
"Programme 4: Youth
Empowerment and
Participation","SP 4.2 Youth empowerment
and participation","194,064,666","162,519,386","31,545,281",83.7,347,0
,SP 4.3 Youth development,-,-,-,-,347,0
Sub Total,,"194,064,666","162,519,386","31,545,281",83.7,347,0
"Department of Infrastructure, Roads, Public Works and Transport",,,,,,347,0
"Programme 1:
Administration,
Planning and Support
Services",SP 1.1. Administrative services.,"63,214,076","60,421,928","2,792,149",95.6,347,0
,SP 1.2: Personnel services.,"146,498,933","132,859,972","13,638,961",90.7,347,0
,SP 1.3: Financial Services.,-,,-,,347,0
Sub Total,,"209,713,009","193,281,900","16,431,109",92.2,347,0
"Programme 2. Infra-
structure, Develop-
ment & Maintenance.","S.P 2.1-Construction reha-
bilitation & maintenance of
Roads, Drainage & Bridges.","2,463,566,719","1,639,926,393","823,640,326",66.6,347,0
,"S.P 2.2-Rehabilitation &
Maintenance of Transport
Terminus.","3,160,000","1,690,565","1,469,435",53.5,347,0
,"S.P 2.3-Construction & Main-
tenance of non-residential
County Buildings.","13,260,000","6,603,731","6,656,269",49.8,347,0
