Programme,"Sub- Pro-
gramme","Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Training And Skills Development,503013710,"99,541,009","81,454,394","18,086,615",81.8,217,1
Training And Skills Development,504013710,"4,915,400","1,043,500","3,871,900",21.2,217,1
Training And Skills Development,506013710,"61,460,909","50,205,249","11,255,660",81.7,217,1
"Subtotal Basic Education, ICT, and Youth
Development",,"747,129,694","636,669,808","110,459,886",85.2,217,1
General Administration And Planning,101013710,"125,528,531","112,758,715","12,769,816",89.8,218,0
Housing,107013710,"28,316,290","20,725,759","7,590,531",73.2,218,0
Housing,109013710,"35,115,030","29,203,499","5,911,531",83.2,218,0
"Roads, Transport And Mechanical Services",110013710,"798,205,198","728,399,225","69,805,973",91.3,218,0
"Roads, Transport And Mechanical Services",203013710,"37,903,760","34,405,072","3,498,688",90.8,218,0
"Subtotal Lands, Infrastructure, Housing
and Urban Development",,"1,025,068,809","925,492,270","99,576,539",90.3,218,0
Department of Health and Sanitation,,,,,,218,0
General Administration And Planning,401013710,"136,314,136","112,313,679","24,000,457",82.4,218,0
General Administration And Planning,401023710,"74,322,752","71,435,881","2,886,871",96.1,218,0
General Administration And Planning,401033710,"4,844,081","3,769,760","1,074,321",77.8,218,0
Health,404013710,"3,677,301","1,689,750","1,987,551",46.0,218,0
Health,404023710,0,"(84,600)","84,600",0.0,218,0
Health,404043710,"1,296,995","1,296,995",0,100.0,218,0
Medical Services,402013710,"2,670,479,175","2,512,793,943","157,685,232",94.1,218,0
Medical Services,402023710,"18,800,000","17,144,189","1,655,811",91.2,218,0
Medical Services,403023710,"133,042,972","132,110,341","932,631",99.3,218,0
Medical Services,404033710,"60,621,486","32,816,287","27,805,199",54.1,218,0
Public Health,403013710,"16,675,686","13,657,431","3,018,255",81.9,218,0
Public Health,403023710,"1,700,000","814,795","885,205",47.9,218,0
Public Health,403033710,"2,150,000","1,721,800","428,200",80.1,218,0
Rural Health Services,402033710,"382,746,480","367,889,495","14,856,985",96.1,218,0
Rural Health Services,404023710,"13,901,500","11,408,069","2,493,431",82.1,218,0
Rural Health Services,404033710,"2,562,793","1,804,264","758,529",70.4,218,0
Subtotal Health and Sanitation,,"3,523,135,357","3,282,582,079","240,553,278",93.2,218,0
"Department of Trade, Cooperatives and Investment",,,,,,218,0
Cooperatives,304013710,"11,626,609","8,960,735","2,665,874",77.1,218,0
Cooperatives,304023710,"44,670,200","31,986,436","12,683,764",71.6,218,0
General Administration And Planning,301013710,"96,092,752","80,505,803","15,586,949",83.8,218,0
Trade And Markets,110013710,0,"219,200","(219,200)",0.0,218,0
Trade And Markets,301013710,"345,864,540","301,641,020","44,223,520",87.2,218,0
Trade And Markets,303023710,"4,441,675","3,500,547","941,128",78.8,218,0
"Subtotal Trade, Cooperatives and Invest-
ments",,"502,695,776","426,813,741","75,882,035",84.9,218,0
Department of Environment and Natural Resources,,,,,,218,0
Energy,1005013710,"5,401,195","4,725,865","675,330",87.5,218,0
Energy,1006013710,"95,762,948","82,212,766","13,550,182",85.9,218,0
Environment,1002013710,"13,446,282","12,089,019","1,357,263",89.9,218,0
Environment,1003013710,"1,294,036","543,100","750,936",42.0,218,0
Environment,1004013710,"2,163,023","1,564,300","598,723",72.3,218,0
General Administration And Planning,1001013710,"63,322,786","48,934,869","14,387,917",77.3,218,0
Mineral Resources,1003013710,"7,863,316","7,738,730","124,586",98.4,218,0
Mineral Resources,1003023710,"9,711,848","9,319,225","392,623",96.0,218,0
Mineral Resources,1003043710,"10,178,577","6,250,400","3,928,177",61.4,218,0
Mineral Resources,1007013710,"1,750,548","1,021,600","728,948",58.4,218,0
Mineral Resources,1008013710,"2,117,236","1,192,700","924,536",56.3,218,0
Tourism,305013710,"4,209,922","3,933,500","276,422",93.4,218,0
Tourism,305033710,"8,614,044","8,386,322","227,722",97.4,218,0
Tourism,1003023710,"23,587,894","23,309,851","278,043",98.8,218,0
"Subtotal Environment and Natural
Resources",,"249,423,655","211,222,247","38,201,408",84.7,218,0
"Department of Tourism, Sports and Culture",,,,,,218,0
Culture,307013710,"20,099,601","11,308,709","8,790,892",56.3,218,0
Culture,307023710,"12,928,447","8,845,472","4,082,975",68.4,219,0
Culture,308013710,"9,485,704","6,259,760","3,225,944",66.0,219,0
Culture,308023710,"2,411,550","739,140","1,672,410",30.6,219,0
"Gender, Culture & Social Services",307013710,"14,037,270",0,"14,037,270",0,219,0
General Administration And Planning,301013710,"36,916,890","26,756,197","10,160,693",72.5,219,0
Sports,306013710,"9,350,077","6,942,000","2,408,077",74.2,219,0
Sports,306023710,"10,614,301","5,842,409","4,771,892",55.0,219,0
Tourism,306013710,"13,137,270","9,220,530","3,916,740",70.2,219,0
Tourism,306023710,"54,908,708","17,724,307","37,184,401",32.3,219,0
"Subtotal Tourism, Sports and Culture",,"183,889,818","93,638,524","90,251,294",50.9,219,0
Department of the County Treasury,,,,,,219,0
Accounts,704013710,"56,777,755","55,978,703","799,052",98.6,219,0
Accounts,712053710,"17,423,824","12,377,429","5,046,395",71.0,219,0
Budgetary Supplies,712013710,"155,361,803","143,087,979","12,273,824",92.1,219,0
Economic Affairs,710013710,"88,555,135","86,188,473","2,366,662",97.3,219,0
Economic Affairs,710023710,"12,741,471","10,330,868","2,410,603",81.1,219,0
Economic Affairs,712023710,"12,126,930","9,414,205","2,712,725",77.6,219,0
General Administration And Planning,701013710,"411,812,807","267,057,627","144,755,180",64.8,219,0
Internal Audit,712033710,"8,774,100","7,842,750","931,350",89.4,219,0
Subtotal County Treasury,,"763,573,825","592,278,034","171,295,791",77.6,219,0
Department of County Public Service Board,,,,,,219,0
Board,713013710,"11,259,284","8,998,287","2,260,997",79.9,219,0
Board,713023710,"6,605,268","5,776,304","828,964",87.4,219,0
Board,714013710,"5,033,615","4,078,980","954,635",81.0,219,0
General Administration And Planning,701013710,"32,416,599","27,976,620","4,439,979",86.3,219,0
Subtotal County Public Service Board,,"55,314,766","46,830,191","8,484,575",84.7,219,0
County Assembly,,,,,,219,0
General Administration And Planning,701013710,"395,712,894","293,076,828","102,636,066",74.1,219,0
Legislative Department,715013710,"665,644,537","625,816,164","39,828,373",94.0,219,0
Subtotal County Assembly,,"1,061,357,431","918,892,992","142,464,439",86.6,219,0
Department of Kitui Municipality,,,,,,219,0
"Environment, Culture, Recreation and
Community Development",207013710,"7,917,627","7,350,525","567,102",92.8,219,0
Environment,207013710,"27,477,336","24,669,777","2,807,559",89.8,219,0
Finance,207023710,"29,815,000","17,977,846","11,837,154",60.3,219,0
Finance headquarter,207023710,"4,250,000","1,832,165","2,417,835",43.1,219,0
General Administration And Planning,201013710,"49,757,428","37,183,665","12,573,763",74.7,219,0
"Planning, Development Control, Transport
and Infrastructure",207013710,"18,835,000","13,244,409","5,590,591",70.3,219,0
"Planning, Development Control, Transport
and Infrastructure",209013710,"151,391,108","123,326,290","28,064,818",81.5,219,0
Trade,207033710,"13,385,097","9,082,636","4,302,461",67.9,219,0
Subtotal Kitui Municipality,,"302,828,596","234,667,313","68,161,283",77.5,219,0
Department of Mwingi Town Administration,,,,,,219,0
"Environment, Culture, Recreation and
Community Development",1001013710,"3,498,080","2,263,800","1,234,280",64.7,219,0
General Administration And Planning,109013710,"13,775,916","5,512,820","8,263,096",40.0,219,0
General Administration And Planning,201013710,"67,060,500","41,812,499","25,248,001",62.4,219,0
General Administration And Planning,706013710,"2,316,250","580,117","1,736,133",25.0,219,0
"Planning, Development Control, Transport
and Infrastructure",207013710,"15,001,455","5,292,455","9,709,000",35.3,219,0
"Planning, Development Control, Transport
and Infrastructure",207023710,"1,090,400","634,870","455,530",58.2,219,0
