Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,TOTAL,"2,391,627,459.00","2,232,012,284.70","159,615,174.30",93.33,506,0
"EDUCATION
AND TECHNI-
CAL TRAINING",,,,,,506,0
,"SP 1(General Administra-
tion, Planning and Support
Services","384,973,967.00","352,441,033.45","32,532,933.55",91.55,506,0
,SP 2 -(ECD Services),"39,659,648.00","35,810,236.20","3,849,411.80",90.29,506,0
,"SP 3-(Youth Vocational
training)","24,184,886.00","24,107,147.10","77,738.90",99.68,506,0
,SP 4-(Bursary Fund),"538,000,000.00","522,957,050.00","15,042,950.00",97.20,506,0
,SP 5 - (Ward specific),"163,106,046.00","148,695,395.55","14,410,650.45",91.16,506,0
,TOTAL,"1,149,924,547.00","1,084,010,862.30","65,913,684.70",94.27,506,0
"AGRICULTURE
AND IRRIGA-
TION",,,,,,506,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","76,523,315.00","72,234,383.10","4,288,931.90",94.40,506,0
,"SP 2-(Crop Development
and Management)","455,324,020.00","275,225,795.65","180,098,224.35",60.45,506,0
,"SP 3-(Cash Crop Produc-
tion(Special Programs)","11,142,000.00","10,990,000.00","152,000.00",98.64,506,0
,SP 4 -(Ward specific),"18,400,000.00","8,393,145.50","10,006,854.50",45.61,506,0
,TOTAL,"561,389,335.00","366,843,324.25","194,546,010.75",65.35,506,0
"PASTORAL
ECONOMY",,,,,,506,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","66,672,569.00","64,588,724.15","2,083,844.85",96.87,506,0
,"SP 2 - (Livestock Production
and Range Management)","129,203,397.00","82,348,654.80","46,854,742.20",63.74,506,0
,"SP 3-(Livestock Disease
management)","7,718,400.00","6,091,595.40","1,626,804.60",78.92,506,0
,"SP 4-(Fisheries Develop-
ment)","434,400.00","428,569.55","5,830.45",98.66,506,0
,"SP 5-(Nasukuta Livestock
Improvement Center)","743,500.00","587,000.00","156,500.00",78.95,506,0
,SP 6 -(Ward specific),"69,797,562.00","37,444,756.60","32,352,805.40",53.65,506,0
,"SP 7 -(Dairy Develop-
ment(Special Programmes)","3,142,000.00","1,854,140.00","1,287,860.00",59.01,506,0
,TOTAL,"277,711,828.00","193,343,440.50","84,368,387.50",69.62,506,0
"TRADE,
INDUSTRI-
ALISATION,
INVESTMENT
& COOPERA-
TIVES DEVEL-
OPMENT",,,,,,506,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","84,389,786.00","57,345,273.00","27,044,513.00",67.95,506,0
,"SP 2-(Cooperative Develop-
ment)","116,861,155.00","28,091,618.00","88,769,537.00",24.04,506,0
,"SP 3 - (Trade, License and
Market Development)","6,860,000.00","1,928,000.00","4,932,000.00",28.10,506,0
,SP 4-(Ward specific),"21,873,887.00","997,362.00","20,876,525.00",4.56,506,0
,TOTAL,"229,984,828.00","88,362,253.00","141,622,575.00",38.42,506,0
"LANDS, HOUS-
ING, PHYSICAL
PLANNING
AND URBAN
DEVELOP-
MENT",,,,,,507,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","64,440,457.00","59,390,592.45","5,049,864.55",92.16,507,0
,"SP 2 -(Land Policy and
Physical Planning)","3,753,800.00","3,677,021.35","76,778.65",97.95,507,0
,"SP 3-(Housing Develop-
ment)","912,000.00","911,839.60",160.40,99.98,507,0
,SP 4-(Urban Development),"31,241,250.00","28,957,177.40","2,284,072.60",92.69,507,0
,"SP 5-(Kapenguria Munici-
pality)","55,259,448.00","24,664,602.50","30,594,845.50",44.63,507,0
,SP 6-(Ward specific),"3,801,728.00","1,149,783.00","2,651,945.00",30.24,507,0
,TOTAL,"159,408,683.00","118,751,016.30","40,657,666.70",74.49,507,0
"WATER, EN-
VIRONMENT
AND NATURAL
RESOURCES",,,,,,507,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","71,803,452.00","67,815,468.55","3,987,983.45",94.45,507,0
,"SP 2 -(Water Supply Ser-
vices)","164,329,745.00","77,107,147.45","87,222,597.55",46.92,507,0
,"SP 3 -(Environment & Natu-
ral Resource Development)","12,831,042.00","12,821,087.50","9,954.50",99.92,507,0
,SP 4 -(Ward Specific),"177,199,599.00","109,612,548.75","67,587,050.25",61.86,507,0
,TOTAL,"426,163,838.00","267,356,252.25","158,807,585.75",62.74,507,0
"YOUTH,
SPORTS,
TOURISM,
GENDER AND
SOCIAL SER-
VICES.",,,,,,507,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","54,062,504.00","52,945,379.30","1,117,124.70",97.93,507,0
,"SP 2-(Tourism Develop-
ment)","3,978,413.00","3,083,214.40","895,198.60",77.50,507,0
,"SP 3-(Gender, Youths and
Sports Development)","70,648,131.00","48,019,201.50","22,628,929.50",67.97,507,0
,"SP 4(Culture and Social
Development)","1,939,718.00","1,780,454.45","159,263.55",91.79,507,0
,SP 5-(Ward Specific),"19,652,289.00","17,379,546.35","2,272,742.65",88.44,507,0
,TOTAL,"150,281,055.00","123,207,796.00","27,073,259.00",81.98,507,0
"COUNTY PUB-
LIC SERVICE,
ICT AND DE-
CENTRALISED
UNITS",,,,,,507,0
,"SP 1 - (General Administra-
tion, Planning and Support
Services)","169,322,774.00","167,822,379.75","1,500,394.25",99.11,507,0
,SP 2-(Human Resource),"2,344,000.00","2,309,950.00","34,050.00",98.55,507,0
,SP 3-(Legal Services),"26,286,089.00","26,260,964.00","25,125.00",99.90,507,0
,"SP 4 - (Records Manage-
ment)","2,144,000.00","2,133,720.00","10,280.00",99.52,507,0
,"SP 5- (Communication
Services)","840,000.00","792,000.00","48,000.00",94.29,507,0
,"SP 6 - (ICT Infrastructure
Connectivity)","2,116,422.00","2,059,744.00","56,678.00",97.32,507,0
,"SP 7 - (Field Administra-
tion)","21,201,680.00","20,046,051.15","1,155,628.85",94.55,507,0
,TOTAL,"224,254,965.00","221,424,808.90","1,674,527.25",98.74,507,0
