Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Environment, Natural Resource and Disaster Management",,,,,,303,0
"Solid Waste Manage-
ment",Solid Waste Management,"25,340,864","25,049,409","291,455",99,303,0
"Forestry Conservation
and Development","Forestry Conservation and Devel-
opment","28,796,400","28,795,637",763,100,303,0
"Disaster Management
Services",Disaster Management Services,"22,881,326","22,881,326",0,100,303,0
"General Administration
Support Services","General Administration Support
Services","75,681,181","75,680,183",998,100,303,0
,Grand Total,"152,699,771","152,406,555","293,216",100,303,0
Finance and Economic Planning,,,,,,303,0
"General Administration
(Planning)","General Administration (Plan-
ning)","430,651,045","430,651,045",0,100,303,0
"Financial management
services",Resource mobilisation,"137,454,024","137,454,020",4,100,303,0
,Accounting Services,"244,717,909","244,717,895",14,100,303,0
,Procurement Services,"10,907,570","10,907,182",388,100,303,0
,Audit Services,"26,440,000","26,439,593",407,100,303,0
"Economic policy and
county planning","Budget Coordination and Manage-
ment","4,450,000","4,156,964","293,036",93,303,0
,Policy and Plans Developments,"46,235,000","46,105,609","129,391",100,303,0
,Community Development,"5,936,705","1,723,957","4,212,748",29,303,0
,Sub Total,"906,792,253","902,156,265","4,635,988",99,303,0
Health-Medical services,,,,,,303,0
General administration,General administration,"1,539,552,795","1,567,808,351","-28,255,556",102,303,0
,"Infrastructure and Health facility
management","184,790,610","184,790,609",1,100,303,0
"Preventive, promotive
Health services and Dis-
ease Control",Purchase of Non-pharmaceuticals,"226,057,461","226,056,481",980,100,303,0
"Curative, Rehabilitative
and Referral services",Hospital Services,"32,070,725","32,070,697",28,100,304,0
,Sub Total,"1,982,471,591","2,010,726,138","(28,254,547)",101,304,0
Health - Public health,,,,,,304,0
"Planning and adminis-
trative support services","Administrative and support ser-
vices","571,229,447","365,583,294","205,646,152",64,304,0
"Preventive and promo-
tive health services",Community health services,"70,960,000","20,084,900","50,875,100",28,304,0
"Curative, rehabilitative
and referral services","Pharmaceutical and non-pharma-
ceutical commodities","115,840,164","115,000,000","840,164",99,304,0
External funding,Donor funds,"59,698,750","48,000,000","11,698,750",80,304,0
,Total,"817,728,361","548,668,194","269,060,167",67,304,0
"Lands, Housing and Physical Planning",,,,,,304,0
"Land development ser-
vices",Survey Services,"68,626,600","31,938,900","36,687,700",47,304,0
General administration,General administration,"437,892,652","389,335,131","48,557,522",89,304,0
,Grand Total,"506,519,252","421,274,031","85,245,222",83,304,0
Public Service Management,,,,,,304,0
"General administration
(PSM)",General administration (PSM),"987,988,430","924,960,318","63,028,112",94,304,0
ICT Infrastructure,ICT Infrastructure,"36,460,000","16,107,540","20,352,460",44,304,0
,Technical Support,"10,900,000","7,396,150","3,503,850",68,304,0
"Sub County Adminis-
tration Services","Devolved Units Development Ser-
vices","14,332,716","5,462,507","8,870,209",38,304,0
Personnel management,Human Resource Management,"13,400,000","12,975,495","424,505",97,304,0
,"Budget Formulation coordination
and Management","16,606,706","16,590,780","15,926",100,304,0
,sub Total,"1,071,211,852","983,492,790","87,719,062",92,304,0
"Roads, Transport and Public Works",,,,,,304,0
"Road management ser-
vices",Road management services,"1,215,441,341","933,023,221","282,418,120",77,304,0
General administration,General administration,"120,365,434","99,239,655","21,125,779",82,304,0
,Sub Total,"1,335,806,775","1,032,262,876","303,543,899",77,304,0
Trade Tourism and Cooperative Development,,,,,,304,0
General administration,General administration,"158,317,594","98,762,534","59,555,060",62,304,0
"Trade Development and
Promotion SME","Trade Development and Promo-
tion SME","110,030,020","85,839,383","24,190,637",78,304,0
,Sub Total,"268,347,614","184,601,918","83,745,696",69,304,0
,Water and Energy,,,,,304,0
