Name of the Programme,"Approved Estimates
FY 2021/22 (Kshs.)","Expenditure
(Kshs.)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
Climate Change & Adaptation,"8,730,408","1,933,287","6,797,121",22.1,465,0
"Mineral Resource Mapping Capacity Building &
Mgt","9,390,999","3,157,306","6,233,692",33.6,465,0
Mineral Resource Mapping,"1,955,715","377,300","1,578,414",19.3,465,0
Management of Mining & Quarrying activities,"1,930,437","722,436","1,208,001",37.4,465,0
"Capacity building in the exploitation of Mineral
Resources","3,005,242","574,779","2,430,462",19.1,465,0
Artisanal mining equipment,"1,431,109","1,340,171","90,938",93.6,465,0
Extractives Engagement Bills & Policies,"1,068,497","142,620","925,877",13.3,465,0
Petroleum,"3,647,566","66,028","3,581,538",1.8,465,0
Oil and Gas,"1,862,053","66,028","1,796,025",3.5,465,0
"Establishment of Extractive Sector Regulations &
Strategies","1,785,513",-,"1,785,513",-,465,0
Energy Development Programme,"14,101,006","5,518,962","8,582,045",39.1,465,0
Renewable Energy Development,"14,101,006","5,518,962","8,582,045",39.1,465,0
Turkana Water Programme,"384,684,436","101,166,814","283,517,622",26.3,465,0
"General Administration, Planning and support
services","12,127,861",-,"12,127,861",-,465,0
"Construction and Desilting of Water Pans/Rock
Catchment","62,004,188",-,"62,004,188",-,465,0
Rehabilitation of Water Infrastructure,"183,049,585","77,443,263","105,606,322",42.3,465,0
Drilling and Equipping of Boreholes,"118,274,439","17,664,926","100,609,512",14.9,465,0
Equipment of Quality Analysis Laboratory,"4,855,224","4,329,522","525,701",89.2,465,0
Project Co-ordination and Management,"4,373,140","1,729,102","2,644,038",39.5,465,0
Joint planning with stakeholders,"32,900,196","1,174,027","31,726,169",3.6,465,0
Technical planning and design,"32,900,196","1,174,027","31,726,169",3.6,465,0
"IRRIGATION AND SCHEMES DEVELOP-
MENT PROGRAMME","5,136,998","2,514,632","2,622,367",49.0,465,0
