Programme,Sub- Programme,"Approved Budge
(Kshs)","t Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
"PROGRAMME
3: VOCATIONAL
TRAINING CEN-
TRES",,,,,,63,0,,
"Sp1: Tuition support
grant",Sp1: Tuition support grant,,,"28,476,325",69.2,63,0,"92,566,263","64,089,938"
"PROGRAMME 4:
EDUCATIONAL
SUPPORT SCHEME",,,,,,63,0,,
"Sp1: Education
support and bursary
scheme","Sp1: Education support and
bursary scheme",,,-,100.0,64,0,"410,000,000","410,000,000"
TOTAL Education,,,,"129,214,864",92.5,64,0,"1,712,058,874","1,582,844,010"
"TRADE, ENERGY &INDUSTRILISATION",,,,,,64,0,,
"Trade and Enterprise
Development","Trade and Enterprise Devel-
opment",,,"1,900,000",0.0,64,0,"1,900,000",-
"Energy Development
and Management","Energy Development and
Management",,,"959,916",76.0,64,0,"4,000,000","3,040,085"
"Salaries and emolu-
ments",Salaries and emoluments,,,"737,157",97.1,64,0,"25,063,211","24,326,054"
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services",,,"(154,543)",100.3,64,0,"46,523,605","46,678,148"
CEF,CEF,,,"19,671,372",36.2,64,0,"30,846,000","11,174,628"
Supplier’s Credit,Supplier’s Credit,,,"2,068,009",36.1,64,0,"3,235,741","1,167,732"
"Total Expenditure
Trade",,,,"25,181,911",77.4,64,0,"111,568,557","86,386,646"
LANDS AND URBAN PLANNING,,,,,,64,0,,
"Programme 1: General Administration, Planning
and Support services",,,,,,64,0,,
"SP 1: Institutional ac-
countability, efficiency
and effectiveness in
service delivery","SP 1: Institutional account-
ability, efficiency and effec-
tiveness in service delivery",,,"2,869,394",95.5,64,0,"63,657,092","60,787,698"
"SP 2: Human resource
development and
management","SP 2: Human resource devel-
opment and management",,,"5,745,622",0.0,64,0,"5,745,622",-
"Programme 2: Land
Resource Survey/
Mapping and Man-
agement",,,,,,64,0,,
SP 1: Land acquisition,SP 1: Land acquisition,,,"9,700,000",0.0,64,0,"9,700,000",-
"Programme 3: Coun-
ty Physical Planning
and Infrastructure",,,,,,64,0,,
Total Land,,,,"18,315,016",76.8,64,0,"79,102,714","60,787,698"
HOUSING DEPARTMENT,,,,,,64,0,,
"Programme 1
General Administra-
tion, Planning and
Support services",,,,,,64,0,,
"SP 1: salaries and
emoluments","SP 1: salaries and emolu-
ments",,,"171,219",97.9,64,0,"8,054,246","7,883,027"
"SP 2: Administrative
Services",SP 2: Administrative Services,,,"1,844,791",82.8,64,0,"10,698,820","8,854,029"
"SP 3: Research and
Development","SP 3: Research and Develop-
ment",,,"160,650",97.4,64,0,"6,260,298","6,099,648"
"SP 4: Human resource
development and
management","SP 4: Human resource devel-
opment and management",,,"939,045",0.0,64,0,"939,045",-
"Programme 2 Hous-
ing development and
Human Settlement",,,,,,64,0,,
"SP 1: Estate Manage-
ment",SP 1: Estate Management,,,"(934,558)",-,65,0,-,"934,558"
sp3: Housing Grant,sp3: Housing Grant,,,"50,000,000",0.0,65,0,"50,000,000",
Total Housing,,,,"52,181,147",31.3,65,0,"75,952,409","23,771,262"
BUNGOMA MUNICIPALITY,,,,,,65,0,,
"Programme I: Urban Economy, General Adminis-
tration, Planning and Support services",,,,,,65,0,,
"SP 1.1: Human
Resource Capacity
Development and
Management","SP 1.1: Human Resource
Capacity Development and
Management",,,"3,898,202",0.0,65,0,"3,898,202",-
"SP 1.2: General
Administration and
Support Services","SP 1.2: General Administra-
tion and Support Services",,,"2,077,620",87.9,65,0,"17,131,933","15,054,313"
"SP 1.3: Planning and
Financial Manage-
ment","SP 1.3: Planning and Finan-
cial Management",,,"2,178,239",0.0,65,0,"2,178,239",-
"Programme III:
Urban Infrastructure
Development and
Management",,,,,,65,0,,
"SP 3.1: Urban Trans-
port and Infrastruc-
ture","SP 3.1: Urban Transport and
Infrastructure",,,"198,876,358",0.0,65,0,"198,876,358",-
Total Expenditure,,,,"207,030,419",6.8,65,0,"222,084,732","15,054,313"
KIMILILI MUNICIPALITY,,,,,,65,0,,
"Programme 1:
General Administra-
tion, Planning and
Support services",,,,,,65,0,,
"SP1:General Adm
planning and support
services","SP1:General Adm planning
and support services",,,"10,104,191",54.2,65,0,"22,083,705","11,979,514"
"SP2:Administration
and HR Services","SP2:Administration and HR
Services",,,"1,745,987",0.0,65,0,"1,745,987",-
"Programme 2:Ur-
ban Infrastructure
Development and
management",,,,,,65,0,,
"Infrastructure. Hous-
ing and public works","Infrastructure. Housing and
public works",,,"364,952,055",0.0,65,0,"364,952,055",-
Total Expenditure,,,,"376,802,233",3.1,65,0,"388,781,747","11,979,514"
"Grand Total Lands,
Housing & munici-
pality",,,,"654,328,814",14.6,65,0,"765,921,602","111,592,788"
FINANCE AND ECONOMIC PLANNING,,,,,,65,0,,
"Economic develop-
ment planning and
coordination services","Economic development
planning and coordination
services",,,"196,179",99.7,65,0,"76,478,230","76,282,052"
"Monitoring and evalu-
ation services","Monitoring and evaluation
services",,,"7,653,662",79.5,65,0,"37,337,494","29,683,832"
"Public finance man-
agement",Public finance management,,,"40,211,100",58.2,65,0,"96,243,550","56,032,450"
"General administra-
tion, planning, policy
coordination and
support services","General administration,
planning, policy coordination
and support services",,,"9,587,158",97.7,66,0,"417,381,974","407,794,816"
Total Expenditure,,,,"127,185,725",90.4,66,0,"1,329,256,679","1,202,070,954"
PUBLIC ADMINISTRATION,,,,,,66,0,,
"Public service
Management and
Administration",,,,,,66,0,,
"General administra-
tion, planning and
support services","General administration,
planning and support ser-
vices",,,"3,752,659",98.8,66,0,"307,495,281","303,742,622"
"Public Participation,
Civic Education and
outreach services","Public Participation, Civic
Education and outreach
services",,,"7,400,000",0.0,66,0,"7,400,000",-
"General administra-
tion, planning and
support services","General administration,
planning and support ser-
vices",,,"4,498,806",98.3,66,0,"262,541,621","258,042,815"
"Kenya Devolution
Support Programme","Kenya Devolution Support
Programme",,,"231,195,645",32.8,66,0,"344,173,420","112,977,775"
"ICT and information
management services","ICT and information man-
agement services",,,"8,914,028",0.0,66,0,"8,914,028",-
Total Expenditure,,,,"255,761,138",72.5,66,0,"930,524,350","674,763,212"
GENDER AND YOUTHS,,,,,,66,0,,
"Programme 1:
General Administra-
tion, Planning and
Support services",,,,,,66,0,,
"Sp 1.2 Administrative
services","Sp 1.2 Administrative ser-
vices",,,"841,102",98.9,66,0,"75,899,981","75,058,879"
"SP 1. 2. Compensation
to employees","SP 1. 2. Compensation to
employees",,,"4,954,011",89.7,66,0,"48,275,943","43,321,932"
Sp1.4 DHRC Meeting,Sp1.4 DHRC Meeting,,,"1,000,000",0.0,66,0,"1,000,000",-
Sp1.5staff bonding,Sp1.5staff bonding,,,"1,200,000",0.0,66,0,"1,200,000",-
"Programme4.0 Sports
Facility Development
and Management","Programme4.0 Sports Facility
Development and Manage-
ment",,,-,,66,0,,
"Sp 4.1Development of
sports facility","Sp 4.1Development of sports
facility",,,"117,400,867",57.1,66,0,"273,573,021","156,172,154"
"Programme5.0
Sports talent devel-
opment and manage-
ment",,,,-,,66,0,,-
"5.1Sports and talent
development estab-
lished","5.1Sports and talent develop-
ment established",,,"4,171,000",0.0,66,0,"4,171,000",-
Total Expenditure,,,,"129,566,979",67.9,66,0,"404,119,945","274,552,966"
PUBLIC SERVICE,,,,,,66,0,,
"Programme 1:
General Administra-
tion, Planning and
Support services",,,,-,,66,0,,
"SP 1. 1 Administrative
service","SP 1. 1 Administrative
service",,,"710,737",98.5,66,0,"48,511,431","47,800,694"
