Programme,"Sub- Programme
(","Approved Budget
Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,Sub- Programme,"Approved Budget
(Kshs.)"
"Roads & Public
Works",,,"304,601,667.90","35,494,822.10",89.56,429,0,"Infrastructure Development
programme","340,096,490.00"
,,,"304,601,667.90","35,494,822.10",89.56,429,0,Roads,"340,096,490.00"
,,,"12,502,656.00","32,108,344.00",28.03,429,0,"Administration, Planning and
Support Services","44,611,000.00"
,,,"12,502,656.00","32,108,344.00",28.03,429,0,"Administration, planning, Opera-
tion and Maintenance","44,611,000.00"
,,,"239,024,487.55","3,670,512.45",98.49,429,0,Public Works,"242,695,000.00"
,,,"239,024,487.55","3,670,512.45",98.49,429,0,County Headquarters,"242,695,000.00"
,,,"14,378,678.40","11,621,517.60",55.3,429,0,County Roads Development,"26,000,196.00"
,,,"3,526,580.00","101,750.00",97.2,429,0,Routine Maintenance,"3,628,330.00"
,,,"1,772,970.00","2,104,763.00",45.72,429,0,Opening of New Roads,"3,877,733.00"
,,,"8,110,728.40","8,534,271.60",48.73,429,0,"Grading and gravelling of County
Roads","16,645,000.00"
,,,"968,400.00","880,733.00",52.37,429,0,Tarmacking of County Roads,"1,849,133.00"
,,,"203,170,572.75","1,093,569.25",99.46,429,0,County Housing Development,"204,264,142.00"
,,,"3,062,093.00","7,739,687.00",28.35,429,0,Housing Development,"10,801,780.00"
,,,"200,108,479.75","-6,646,117.75",103.44,429,0,Urbanisation,"193,462,362.00"
,,,"32,287,022.60","11,212,977.40",74.22,429,0,Urban Development,"43,500,000.00"
,,,"32,287,022.60","11,212,977.40",74.22,429,0,Hola Municipality,"43,500,000.00"
"Trade and Tour-
ism Development",,,"31,324,811.35","34,765,530.65",47.4,429,0,"Promotion of Trade, Tourism and
Cooperative Development","66,090,342.00"
,,,"21,443,329.35","22,551,841.65",48.74,429,0,Promotion of Trade,"43,995,171.00"
,,,"5,371,753.00","5,905,349.00",47.63,429,0,Promotion of Tourism,"11,277,102.00"
,,,"4,509,729.00","6,308,340.00",41.69,429,0,"Promotion of Cooperative Devel-
opment","10,818,069.00"
,,,"897,020,125.80","106,634,699.20",89.38,429,0,"Administration and Support
Services","1,003,654,825.00"
Medical Services,,,"897,020,125.80","106,634,699.20",89.38,430,0,"Administration, planning & sup-
port Services","1,003,654,825.00"
,,,"421,032,107.00","-17,960,872.00",104.46,430,0,Curative and Rehabilitative,"403,071,235.00"
,,,"141,178,326.30","15,421,568.70",90.15,430,0,Medical Supplies,"156,599,895.00"
,,,"35,659,810.70","11,308,529.30",75.92,430,0,Medical Services,"46,968,340.00"
,,,"168,831,707.60","-101,328,707.60",250.11,430,0,Ambulance Services,"67,503,000.00"
,,,"75,362,262.40","56,637,737.60",57.09,430,0,SP4 Curative Services,"132,000,000.00"
,,,"20,390,809.90","4,783,090.10",81,430,0,Preventive and Promotive,"25,173,900.00"
,,,"11,393,456.00","2,960,044.00",79.38,430,0,Preventive and Promotive,"14,353,500.00"
,,,"5,734,979.00","85,421.00",98.53,430,0,"Licensing and Control of Under-
taking","5,820,400.00"
,,,"3,262,374.90","1,737,625.10",65.25,430,0,Mobile Clinics,"5,000,000.00"
"Education and
ICT Development",,,"158,438,235.00","6,367,661.00",96.14,430,0,"General Administration, Planning
and Support Services","164,805,896.00"
,,,"158,438,235.00","6,367,661.00",96.14,430,0,"General Operation, Planning and
Support Services","164,805,896.00"
,,,"31,072,241.00","16,635,781.00",65.13,430,0,"Quality and Standard Assurance
in Eye Centre","47,708,022.00"
,,,"4,531,907.00","8,809,120.00",33.97,430,0,"ECDE Learning/Teaching Mate-
rials","13,341,027.00"
,,,"26,540,334.00","7,826,661.00",77.23,430,0,"ECDE Furniture and Equipment
Support","34,366,995.00"
,,,"51,395,159.00","2,725,629.00",94.96,430,0,"Vocational Training Centres and
Adult Education","54,120,788.00"
,,,"4,944,295.00","1,413,997.00",77.76,430,0,Quality and Standards Assurance,"6,358,292.00"
,,,"16,776,817.00","1,310,785.00",92.75,430,0,"Provision of Modern Tools and
Equipment","18,087,602.00"
,,,"29,674,047.00",847,100,430,0,"Subsidised Youth Polytechnic
Tuition Fund (SYPT)","29,674,894.00"
,,,"368,790,005.60","82,654,550.40",81.69,430,0,"Administration, planning support
services","451,444,556.00"
,,,"368,790,005.60","82,654,550.40",81.69,430,0,"Coordination and Supervisory
Services","451,444,556.00"
,,,-,"33,000,000.00",0,430,0,ICT Infrastructure,"33,000,000.00"
,,,-,"33,000,000.00",0,430,0,Develop ICT infrastructure,"33,000,000.00"
,,,"2,056,216,969.85","133,523,858.15",93.9,430,0,"Administration, planning support
services","2,189,740,828.00"
,,,"2,056,216,969.85","133,523,858.15",93.9,430,0,"Administration, planning support
services","2,189,740,828.00"
"Finance and Eco-
nomic Planning",,,"186,101,983.85","24,605,853.15",88.32,430,0,Financial Management,"210,707,837.00"
,,,"5,577,720.00","31,629.00",99.44,430,0,Financial management,"5,609,349.00"
,,,"18,672,909.70","3,127,090.30",85.66,430,0,Supply Chain Management,"21,800,000.00"
,,,"22,860,187.00","22,839,813.00",50.02,430,0,Own Source Revenue Collection,"45,700,000.00"
,,,"69,657,279.00","12,948,416.00",84.33,430,0,Budget and Economic Planning,"82,605,695.00"
,,,"43,818,561.05","-21,158,561.05",193.37,430,0,Accounting & Finance,"22,660,000.00"
,,,"9,407,225.00","2,938,525.00",76.2,430,0,Internal Audit,"12,345,750.00"
,,,"16,108,102.10","3,878,940.90",80.59,430,0,Monitoring and Evaluation,"19,987,043.00"
"Public Service
Administration",,,"33,333,796.45","30,210,123.55",52.46,430,0,"Board Administration, Planning
and Governance","63,543,920.00"
,,,"33,333,796.45","30,210,123.55",52.46,430,0,Board Operations & Governance,"63,543,920.00"
,,,"11,877,648.00","5,556,052.00",68.13,430,0,,"17,433,700.00"
,,,"3,798,140.00","670,360.00",85,430,0,"Ethics Governance and Compli-
ance","4,468,500.00"
,,,"2,337,608.00","4,327,592.00",35.07,430,0,"Informational Communication
Technology (ICT)","6,665,200.00"
,,,"2,876,800.00","323,200.00",89.9,431,0,"Human Resource Management &
Development","3,200,000.00"
,,,"2,865,100.00","234,900.00",92.42,431,0,"Skills and Competence Develop-
ment","3,100,000.00"
,,,"4,763,252.00","165,376,632.00",2.8,431,0,,"170,139,884.00"
,,,"3,953,352.00","1,246,648.00",76.03,431,0,Performance Management System,"5,200,000.00"
,,,"809,900.00","164,129,984.00",0.49,431,0,Human Resource Development,"164,939,884.00"
,,,"80,492,196.00","41,601,304.00",65.93,431,0,"Human Resource Management &
Development","122,093,500.00"
,,,"73,267,196.00","23,632,804.00",75.61,431,0,County Administration,"96,900,000.00"
,,,"7,225,000.00","17,968,500.00",28.68,431,0,County Enforcement,"25,193,500.00"
,,,"5,138,700.00","4,861,300.00",51.39,431,0,County Administration,"10,000,000.00"
,,,"5,138,700.00","4,861,300.00",51.39,431,0,Citizen Participation,"10,000,000.00"
,,,"93,898,413.90","37,979,586.10",71.2,431,0,Citizen Participation,"131,878,000.00"
,,,"27,844,440.00","10,655,560.00",72.32,431,0,"County Leadership & Coordina-
tion of CDAs","38,500,000.00"
,,,"47,096,994.20","17,781,005.80",72.59,431,0,"County Government Advisory
Service","64,878,000.00"
,,,"18,956,979.70","9,543,020.30",66.52,431,0,"Coordination of Peace and Co-
hesion","28,500,000.00"
"Environment and
Natural Resources",,,"24,776,002.00","27,553,118.00",47.35,431,0,"Administration, planning support
services","52,329,120.00"
,,,"24,776,002.00","27,553,118.00",47.35,431,0,"Administration, planning support
services","52,329,120.00"
,,,"135,777,675.00","11,887,700.00",91.95,431,0,"The natural disaster mitigation
programme","147,665,375.00"
,,,"3,612,300.00","887,700.00",80.27,431,0,"Drought management (Prepared-
ness, Response and Recovery)","4,500,000.00"
,,,"132,165,375.00","11,000,000.00",92.32,431,0,"Emergency Relief (food, medicine,
blankets, cash grant)","143,165,375.00"
,,,"24,010,327.90","13,339,672.10",64.28,431,0,"Drought management (Prepared-
ness, Response and Recovery)","37,350,000.00"
,,,"19,187,727.90","7,112,272.10",72.96,431,0,"Culture Promotion and Develop-
ment","26,300,000.00"
,,,"4,822,600.00","6,227,400.00",43.64,431,0,"Empowerment/Capacity Building
of Cultural Practitioners","11,050,000.00"
,,,"2,610,210.40","2,089,789.60",55.54,431,0,"Community Awareness Cre-
ation on Child Rights and Child
Protection","4,700,000.00"
,,,"1,139,556.00","1,360,444.00",45.58,431,0,Baseline Survey for OVC,"2,500,000.00"
,,,"1,070,654.40","329,345.60",76.48,431,0,"Community Awareness Cre-
ation on Child Rights and Child
Protection","1,400,000.00"
,,,"400,000.00","400,000.00",50,431,0,Enhanced Child Participation,"800,000.00"
,,,"12,378,300.00","641,700.00",95.07,431,0,ECD improvement,"13,020,000.00"
,,,"1,523,700.00","76,300.00",95.23,431,0,Women Empowerment,"1,600,000.00"
"Youth, Gender and
Social Services",,,"10,854,600.00","565,400.00",95.05,431,0,Gender and Leadership,"11,420,000.00"
,,,"30,976,853.60","6,023,706.40",83.72,431,0,General Administration,"37,000,560.00"
,,,"745,600.00","1,487,960.00",33.38,431,0,County Sports Leagues,"2,233,560.00"
,,,"30,231,253.60","4,535,746.40",86.95,431,0,Sports Equipment Support,"34,767,000.00"
,,,"15,263,856.30","10,864,735.70",58.42,431,0,"General Administration, Support
and Support Services","26,128,592.00"
,,,"15,263,856.30","10,864,735.70",58.42,431,0,"General Administration, Support
and Support Services","26,128,592.00"
,,,"77,267,382.20","-9,946,957.20",114.78,431,0,"Environmental Management
Programme","67,320,425.00"
