Department,Programme/ Sub Programme,"FY 2021/22
Budget","FY 2021/22
Expenditure",Absorption,Variance (Kshs.),page_number,table_index
,Total Budget,"804,619,170","696,248,224",87,"108,370,945",267,0
Health,Programme 1: General administration & planning,,,,,267,0
,SP1.1: General administration & planning,"3,034,827,249","2,324,807,916",77,"710,019,333",267,0
,Programme 2: Curative health care services,,,,,267,0
,SP2.1: Curative health care services,"850,095,305","434,965,582",51,"415,129,723",267,0
,Programme 3: Preventive and promotive health care services,,,,,267,0
,"SP3.1: Preventive and promotive health care
services","324,128,357","261,487,886",81,"62,640,470",267,0
,Total Budget,"4,209,050,911","3,021,261,384",72,"1,187,789,527",267,0
"Youth, Gender &
Social Services",Programme 1: General administration & planning,,,,,267,0
,SP1.1: General administration & planning,"80,141,925","67,947,369",85,"12,194,556",267,0
,Programme 2: Gender & Social Development,,,,,267,0
,SP2.1: Gender & Social Development,"74,959,321","69,370,443",93,"5,588,878",267,0
,Total Budget,"155,101,246","137,317,812",89,"17,783,434",267,0
County Attorney,Programme 1: Legal & advisory services,,,,,267,0
,SP1.1: Legal & advisory services,"33,440,152","27,704,600",83,"5,735,553",267,0
,Total Budget,"33,440,152","27,704,600",83,"5,735,553",267,0
County Secretary,Programme 1: Leadership and coordination of departments.,,,,,267,0
,"SP1.1: Leadership and coordination of de-
partments.","467,152,607","441,580,785",95,"25,571,822",267,0
,Total Budget,"467,152,607","441,580,785",95,"25,571,822",267,0
Governorship,Programme 1: General administration & planning,,,,,267,0
,SP1.1: General administration & planning,"225,337,337","191,229,833",85,"34,107,504",267,0
,Total Budget,"225,337,337","191,229,833",85,"34,107,504",267,0
"Devolution &
Public Service",Programme 1: General administration & planning,,,,,267,0
,SP1.1: General administration & planning,"295,015,452","237,911,396",81,"57,104,056",267,0
,Programme 2: Public Participation & Civic Education,,,,,267,0
,"SP2.1: Public Participation & Civic Educa-
tion","58,052,534","50,580,474",87,"7,472,060",267,0
,Programme 3: Information and communication,,,,,267,0
