Program/Sub Program,"Approved Budget FY
2021/22","Actual Payments FY
2021/22",Variance,Absorption,page_number,table_index
Weights and Measurements,"49,535,077","42,655,024","6,880,053",86.1,477,0
Cooperatives Development and Marketing,"4,579,996","4,547,007","32,989",99.3,477,0
,"119,900,000","119,900,000",-,100.0,477,0
Weights and Measurements,"119,900,000","119,900,000",-,100.0,477,0
,,,,,477,0
Livestock Development and Fisheries,"262,418,442","181,253,679","81,164,763",69.1,477,0
Administration,"91,649,514","18,440,607","73,208,907",20.1,477,0
Crop Development and Management,"91,649,514","18,440,607","73,208,907",20.1,477,0
,"8,500,000","8,495,334","4,666",99.9,477,0
Fisheries Development,"8,500,000","8,495,334","4,666",99.9,477,0
,"162,268,928","154,317,738","7,951,190",95.1,477,0
Livestock Resource Management and Development,"18,697,098","11,600,000","7,097,098",62.0,477,0
Agribusiness Development,"143,571,830","142,717,738","854,092",99.4,477,0
,,,,,477,0
Physical Planning and Urban Development,"144,505,213","103,411,803","41,093,410",230.4,477,0
Administration,"48,061,083","41,578,619","6,482,464",86.5,477,0
Housing Development,"48,061,083","41,578,619","6,482,464",86.5,477,0
,"12,890,000","10,654,588","2,235,412",82.7,477,0
Housing Development,"12,890,000","10,654,588","2,235,412",82.7,477,0
,"83,554,130","51,178,596","32,375,534",61.3,477,0
Housing Development,"83,554,130","51,178,596","32,375,534",61.3,477,0
,,,,,477,0
Eldoret Municipality,"1,084,924,907","718,394,248","366,530,659",78.2,477,0
Administration,"1,084,874,907","718,388,248","366,486,659",66.2,477,0
Roads Infrastructure Development,"644,696,959","326,502,043","318,194,916",50.6,477,0
Housing Development,"340,177,948","297,880,100","42,297,848",87.6,477,0
"Management and Development of Sports and Sports
Facilities","100,000,000","94,006,106","5,993,894",94.0,477,0
,"50,000","6,000","44,000",12.0,477,0
Disaster Management,"50,000","6,000","44,000",12.0,477,0
Grand Total,"13,213,659,493","10,192,839,797","3,020,819,697",77.1,477,0
