Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
Emergency Services,Emergency Services,"21,595,884",-,"21,595,884",0.0,194,0
"public health and community out-
reach","public health and community out-
reach","168,619,502","9,833,240","158,786,262",5.8,194,0
,Sub total,"4,039,231,678","1,648,513,886","2,390,717,792",40.8,194,0
"Agriculture, Food Security and Co-operative Development",,,,,,194,0
"General Administration and Sup-
port Services",Support Services,"304,138,221","55,475,890","248,662,330",18.2,194,0
"Crop Development and Manage-
ment","Crop Development and Manage-
ment","178,473,607","56,035,606","122,438,002",31.4,194,0
"Livestock Resources Management
and Development",Livestock Resources Management,"60,375,583","22,029,055","38,346,528",36.5,194,0
Fisheries Development,Fisheries Development,"23,464,467","8,629,960","14,834,507",36.8,194,0
Veterinary Services,Veterinary Services,"69,396,657","10,000","69,386,657",-,194,0
Agriculture Training Centre,Agriculture Training Centre,"13,413,456","110,069","13,303,387",0.8,194,0
"Cooperative Development and
Marketing","Cooperative Development and
Marketing","83,008,830","1,340,484","81,668,346",1.6,194,0
,Sub total,"732,270,821","143,631,063","588,639,758",19.6,194,0
"Tourism, Youth, Sports and Culture",,,,,,194,0
"General Administration and Sup-
port Services",Support Services,"62,679,185","33,516,948","29,162,237",53.5,194,0
Heritage & Culture,Heritage & Culture Preservation,"5,149,882","2,678,704","2,471,178",52.0,194,0
Liquor Management,Liquor Management,"1,330,790","284,483","1,046,307",21.4,194,0
"Tourism Development and Mar-
keting",Tourism Development,"18,370,405","80,000","18,290,405",0.4,194,0
County Image Directorate,County Beautification,"74,790,873","27,421,089","47,369,784",36.7,194,0
"Management and Development of
Sports and Sports Facilities",Management of Sports,"185,562,850","18,814,499","166,748,351",10.1,194,0
,Sub total,"347,883,985","82,795,723","265,088,262",23.8,194,0
County Administration and Decentralized Units,,,,,,194,0
"General Administration and Sup-
port Services",Support Services,"257,434,675","96,483,393","160,951,282",37.5,194,0
Civic Engagement,Civic Engagement,"39,513,850","6,875,228","32,638,622",17.4,194,0
"Administration and Coordination
Services","Administration and Coordination
Services","21,944,074","9,884,052","12,060,023",45.0,195,0
Solid Waste Management,Solid Waste Management,"10,725,513","4,255,069","6,470,444",39.7,195,0
Sanitation Management,Sanitation,"1,530,000","300,000","1,230,000",19.6,195,0
"Inspectorate services and Manage-
ment",Inspectorate Services,"48,553,554","4,656,847","43,896,707",9.6,195,0
,Sub total,"379,701,667","122,454,589","257,247,078",32.3,195,0
"Trade, Industrialization and Innovation",,,,,,195,0
"General Administration and Sup-
port Services",Support Services,"74,720,289","26,647,447","48,072,842",35.7,195,0
Trade Development,Trade Development,"71,750,000","17,771,922","53,978,078",24.8,195,0
"Business and Enterprise Develop-
ment","Business and Enterprise Develop-
ment","10,279,107","3,236,800","7,042,307",31.5,195,0
Industrialization and innovation,Industrialization and innovation,"80,495,664","37,788,499","42,707,165",46.9,195,0
"Machakos Investment Promotion
Board","Investment Facilitation and Sup-
port","10,259,324","694,069","9,565,255",6.8,195,0
County Law Office,Legal Office,"185,507,650","141,271,520",,76.2,195,0
,Sub total,"433,012,034","227,410,257","205,601,777",52.5,195,0
County Assembly,,,,,,195,0
Legislation and Oversight,Legislation and Oversight,"1,298,145,156","660,759,414","637,385,742",50.9,195,0
,Sub total,"1,298,145,156","660,759,414","637,385,742",50.9,195,0
"Education, Skills Training and Social Welfare",,,,,,195,0
"General Administration and Sup-
port Services",Support Services,"448,645,916","87,513,779","361,132,137",19.5,195,0
Basic Education,Provision of Education Services,"47,011,315","65,076,291","(18,064,975)",138.4,195,0
Youth Development Services,Youth Empowerment,"82,251,483","1,518,970","80,732,513",1.8,195,0
Gender and Social Services,Social Protection,"16,406,107","1,984,250","14,421,857",12.1,195,0
,Sub total,"594,314,821","156,093,290","438,221,532",26.3,195,0
"Energy,Lands, Housing and Urban Development",,,,,,195,0
"General Administration and Sup-
port Services",Support Services,"52,602,449","41,168,414","11,434,036",78.3,195,0
Housing and Urban Development,Land Policy and Planning,"1,138,279,113","22,784,671","1,115,494,443",2.0,195,0
Energy and Natural Resources,Energy and Natural Resources,"105,823,999","2,699,469","103,124,530",2.6,195,0
,Sub total,"1,296,705,561","66,652,554","1,230,053,008",5.1,195,0
"Water,irrigation, Environment and Natural Resources",,,,,,195,0
Water Supply and Sewerage,Water Supply and Sewerage,"430,417,474","130,499,872","299,917,602",30.3,195,0
"Irrigation Schemes Development
and Promotion.",Irrigation Development,"399,764,626","55,361,027","344,403,599",13.8,195,0
,"Development and promotion of
irrigation schemes","5,562,474",-,"5,562,474",-,195,0
"General Administration and Sup-
port Services",Support Services,"80,552,684","13,829,911","66,722,774",17.2,195,0
"Environment and Natural Re-
sources","Environment and Natural Re-
sources","6,745,978","237,069",,,195,0
,Sub total,"923,043,236","199,927,878","723,115,358",21.7,195,0
Grand Total,,"13,491,370,161","6,501,085,462","6,990,284,699",48.2,195,0
