Programme,Sub- Programme,"Approved Budget
(Kshs)",Expenditure (Kshs),Variance (Kshs),Absorption (%),page_number,table_index
,Youth Empowerment,"2,000,000",-,"2,000,000",-,91,0
,Disability Mainstreaming,"4,000,000",-,"4,000,000",-,91,0
,Sub total,"23,990,316","3,876,527","20,113,789",16.2,91,0
"Management and Development
of Sports and Sports Facilities","Sports Infrastructure Develop-
ment Services","160,329,509","111,488,258","48,841,251",69.5,91,0
,"Sports Management and Talent
Development","12,200,000",-,"12,200,000",-,91,0
,Sub total,"172,529,509",-,"61,041,251",-,91,0
"Department of Roads, Transport and Public Works",,,,,,91,0
"General Administration, Plan-
ning and Support Services","Human Resource and Support
Services","65,399,938","56,561,409","8,838,529",86.5,91,0
,"Roads and Transport Services
Operations","11,374,762",-,"11,374,762",0.0,91,0
,Sub total,"76,774,699","56,561,409","20,213,290",73.7,91,0
"Public works and maintenance
services",Quality control,"974,100",-,"974,100",-,91,0
,"Plant and Machinery mainte-
nance","5,600,000",-,"5,600,000",-,91,0
,Enforcement Services,"1,570,000",-,"1,570,000",-,91,0
,Sub total,"8,144,100",-,"8,144,100",-,91,0
"Road Development and Mainte-
nance Services","Road Development and Rehabil-
itation services","48,499,922","32,836,836","15,663,086",67.7,91,0
,Road maintenance,"346,004,452","293,734,471","52,269,981",84.9,91,0
,Sub total,"394,504,374","326,571,307","67,933,067",82.8,91,0
Transport Services,Bus Park Improvement Services,"25,920,000",-,"25,920,000",-,91,0
,Sub total,"25,920,000",-,"25,920,000",-,91,0
Department of Energy and Mining,,,,,,91,0
Energy Services,Electrical Power Services,"14,800,000","9,887,675","4,912,325",66.8,91,0
,Solar Power Services,"43,658,987","37,082,463","6,576,524",84.9,91,0
,"Low Cost energy Technologies
promotion Services","17,772,949","1,745,122","16,027,827",9.8,91,0
,Sub total,"76,231,936","48,715,260","27,516,676",63.9,91,0
"Mineral Resource Development
and Marketing Services","Construction mineral develop-
ment and marketing services","3,000,000",-,"3,000,000",-,91,0
,Sub total,"3,000,000",-,"3,000,000",-,91,0
"General Administration, Plan-
ning and Support Services",Administrative Support Services,"35,088,406","23,592,130","11,496,276",67.2,91,0
,"Development of Policies, Plans,
Regulations and Legislations","649,149",-,"649,149",-,91,0
,Sub total,"35,737,555",-,"12,145,425",-,91,0
Department of Education and ICT,,,,,,91,0
"General Administration and
Quality Assurance Service",General administration Services,"14,948,426",-,"14,948,426",-,91,0
,Quality Assurance Services,"522,729,773","290,217,504","232,512,269",55.5,91,0
,Sub total,"537,678,199","290,217,504","247,460,695",54.0,91,0
"ECDE and Vocational Training
Services",ECDE Services,"55,275,957","10,253,788","45,022,169",18.6,91,0
,Vocational Training Services,"56,458,942","24,000,000","32,458,942",42.5,91,0
,Sub total,"111,734,899","34,253,788","77,481,111",30.7,91,0
ICT Services,Information Services,"1,030,700",-,"1,030,700",-,91,0
,ICT Infrastructure Development,"11,521,409",-,"11,521,409",-,91,0
,Sub total,"12,552,109",-,"12,552,109",-,91,0
Department of Health Services,,,,,,91,0
"Policy planning and administra-
tive support service","Policy, Planning and Monitoring
Services","13,473,807",-,"13,473,807",-,91,0
,Administrative Support Services,"1,864,490,967","1,367,121,420","497,369,547",73.3,91,0
,Sub total,"1,877,964,774","1,367,121,420","510,843,354",72.8,91,0
"Preventive and promotive health
services",Community health services,"77,400,000","31,100,000","46,300,000",40.2,92,0
,Disease control services,"47,500,000","17,579,017","29,920,983",37.0,92,0
,Sub total,"124,900,000","48,679,017","76,220,983",39.0,92,0
"Curative and rehabilitative
health services",Routine medical health services,"268,017,729","217,356,330","50,661,399",81.1,92,0
,"Medical emergency response
services","12,000,000",-,"12,000,000",-,92,0
,"Facility infrastructure improve-
ment services","323,247,690","81,173,378","242,074,312",25.1,92,0
,Sub total,"603,265,419","298,529,708","304,735,711",49.5,92,0
"Research and development ser-
vice","Research and surveillance ser-
vices","2,703,000",-,"2,703,000",-,92,0
,Capacity Development Services,"3,500,000",-,"3,500,000",-,92,0
,Sub total,"6,203,000",-,"6,203,000",-,92,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,92,0
General Administration Services,"General administrative support
services","33,768,440","49,242,113","15,473,673",145.8,92,0
,Policy development,"1,390,000",-,"1,390,000",-,92,0
,Monitoring and Evaluation,"694,409",-,"694,409",-,92,0
,General office operations,"24,310,550",-,"24,310,550",-,92,0
,Sub total,"60,163,399","49,242,113","10,921,286",81.8,92,0
Lands and Physical planning,County Spatial Planning,"35,477,062","17,187,748","18,289,314",48.4,92,0
,"Survey, Demarcation and up-
grading of markets","6,232,308","6,678,011","-445,703",107.2,92,0
,Sub total,"41,709,370","23,865,759","17,843,611",57.2,92,0
"Housing and Urban Develop-
ment",Housing improvement services,"8,000,760",-,"8,000,760",-,92,0
,"Smart settlement services
(Equiping of Ndhiwa ABTC)","3,100,000",-,"3,100,000",-,92,0
,"Kenya Urban Support Pro-
gramme (KUSP)","119,892,100",-,"119,892,100",-,92,0
,Sub total,"130,992,860",-,"130,992,860",-,92,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,92,0
"Planning and Administrative
services","Administrative and Support Ser-
vices","171,826,059","173,763,135","-1,937,076",101.1,92,0
,"Policy Development and Imple-
mentation Services","46,123,140","11,100,000","35,023,140",24.1,92,0
,Sub total,"217,949,199","184,863,135","33,086,064",84.8,92,0
"Trade, Cooperative and Entre-
preneurship Development Ser-
vice","Cooperative Development Ser-
vices","10,000,000","6,154,285","3,845,715",61.5,92,0
,"Enterprise Development and
Promotion Services","5,889,893",-,"5,889,893",-,92,0
,"Trade Infrastructure Develop-
ment Services","90,245,511","90,245,511",-,100.0,92,0
,Sub total,"106,135,404","96,399,796","9,735,608",90.8,92,0
"Industrial Development and In-
vestment Services","Value Chain Development Ser-
vices","49,800,000",-,"49,800,000",-,92,0
,"Financial and Investment Ser-
vices","2,000,000",-,"2,000,000",-,92,0
,Sub total,"51,800,000",-,"51,800,000",-,92,0
"Department of Water, Environment and Natural Resources",,,,,,92,0
General Administrative services,Administrative Support Services,"156,158,105","115,457,673","40,700,432",73.9,92,0
,Policy and Planning Services,"1,200,000",-,"1,200,000",-,92,0
,Sub total,"157,358,105","115,457,673","41,900,432",73.4,92,0
"Water Supply and Management
Services",Urban Water Supply Services,"51,845,920","42,928,611","8,917,309",82.8,92,0
,Rural Water Supply Services,"228,500,000","87,452,126","141,047,874",38.3,92,0
,Sub total,"280,345,920","130,380,737","149,965,183",46.5,92,0
"Environmental Protection and
Management Services","Pollution and Waste Manage-
ment services","34,100,000","4,679,393","29,420,607",13.7,92,0
,Forestry Development Services,"11,200,000",-,"11,200,000",-,92,0
,Land Reclamation Services,"5,000,000",-,"5,000,000",-,92,0
,Sub total,"50,300,000","4,679,393","45,620,607",9.3,92,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,92,0
"General administration and sup-
port services","Staff Remuneration and Welfare
Support Services","109,871,580","109,779,549","92,031",99.9,93,0
,"General Logistics, Coordination
and Asset Management Services","8,735,098","8,693,000","42,098",99.5,93,0
,"Devolution and Service Delivery
Support Services","41,216,648","40,759,526","457,122",98.9,93,0
,Sub total,"159,823,326","159,232,075","591,251",99.6,93,0
"Planning, budgeting and devel-
opment coordination services","Economic planning and devel-
opment services","108,600,200","108,594,906","5,294",100.0,93,0
,Resource Allocation Services,"12,129,714","11,440,500","689,214",94.3,93,0
,"Community Development Par-
ticipation Services","30,146,160","29,425,178","720,982",97.6,93,0
,Sub total,"150,876,074","149,460,584","1,415,490",99.1,93,0
"Strategy and service delivery
management services","Monitoring and evaluation ser-
vices","7,989,200","7,421,830","567,370",92.9,93,0
,"Strategy and service delivery im-
provement services","3,970,000","3,800,000","170,000",95.7,93,0
,Sub total,"11,959,200","11,221,830","737,370",93.8,93,0
Resource mobilization services,"External Resources Mobilization
Services","8,448,248","6,300,230","2,148,018",74.6,93,0
,"Internal Revenue Generation
Services","53,721,280","41,614,830","12,106,450",77.5,93,0
,Sub total,"62,169,528","47,915,060","14,254,468",77.1,93,0
Financial management services,"Accounting and Financial Re-
porting Services","12,554,530","6,900,480","5,654,050",55.0,93,0
,Audit and Advisory Services,"8,318,740","3,371,827","4,946,913",40.5,93,0
,"Emergency Management Ser-
vices","70,000,000","30,288,109","39,711,891",43.3,93,0
,Sub total,"90,873,270","40,560,416","50,312,854",44.6,93,0
Office of the Governor,,,,,,93,0
"Public service administration
support services","Human resource management
and development services","260,167,019","215,805,400","44,361,619",82.9,93,0
,"Supply Chain Management Ser-
vices","5,559,541","5,540,231","19,310",99.7,93,0
,Legal Services,"16,000,000","4,800,000","11,200,000",30.0,93,0
,"Logistics, security and asset
management services","33,824,360","33,200,400","623,960",98.2,93,0
,"Performance contracting and
appraisal services","7,500,000","6,300,150","1,199,850",84.0,93,0
,Sub total,"323,050,920","265,646,181","57,404,739",82.2,93,0
"Governance and coordination
services","Executive management and liai-
son services","94,565,410","83,700,000","10,865,410",88.5,93,0
,"Field coordination and adminis-
tration services","154,266,000","153,140,005","1,125,995",99.3,93,0
,Sub total,"248,831,410","236,840,005","11,991,405",95.2,93,0
"Strategy and service delivery im-
provement services",Strategy and advisory services,"19,739,640","27,275,425","19,739,640",138.2,93,0
,Efficiency monitoring services,"32,003,000","44,534,297","32,003,000",139.2,93,0
,"Information and communica-
tion services","5,950,000",-,"5,950,000",-,93,0
,Disaster management services,"8,360,600",-,"8,360,600",-,93,0
,Sub total,"66,053,240","71,809,722","66,053,240",108.7,93,0
County Public Service Board,,,,,,93,0
"Policy, Planning and Adminis-
tration Services",Policy and Planning Services,"2,124,900",-,"2,124,900",-,93,0
,Administrative Support Services,"51,444,305","24,483,626","26,960,679",47.6,93,0
,"Facility Improvement & Capaci-
ty Strengthening Services","6,000,000","4,020,644","1,979,356",67.0,93,0
,Sub total,"59,569,205","28,504,270","31,064,935",47.9,93,0
"Personnel Sourcing and Manage-
ment Services","Recruitment, Selection and De-
ployment Services","4,817,000",-,"4,817,000",-,93,0
,"Human Resource Advisory Ser-
vices","8,230,000","5,100,000","3,130,000",62.0,93,0
,Capacity Development Services,"3,295,500","500,000","2,795,500",15.2,93,0
,Sub total,"16,342,500","5,600,000","10,742,500",34.3,93,0
