Program,Sub-Program,Approved Budget (Kshs.),Actual Payments (Kshs.),Variance (Kshs.),Absorption (%),page_number,table_index,Actual Payments (Kshs.,")
Variance (Kshs.)"
,Irrigation Development,"30,018,576","270,000","29,748,576",0.9,68,0,,
Sub-Total,,"615,346,208","138,560,812","476,785,396",22.5,68,0,,
Education and Technical Training,,,,,,68,0,,
General administration and support Services,,"251,998,551","155,753,984","96,244,567",61.8,68,0,,
,"General administration and support
services","251,998,551","155,753,984","96,244,567",61.8,68,0,,
Technical and Vocational Education and Training (TVET),,"138,416,611","68,314,297","70,102,315",49.4,68,0,,
,"Technical Vocational Education &
Training","138,416,611","68,314,297","70,102,315",49.4,68,0,,
"Pre-Primary Educa-
tion",,"172,402,283",-,"172,402,283",0,68,0,,
,Pre-Primary Education,"172,402,283",-,"172,402,283",0,68,0,,
Sub-Total,,"562,817,445",,,39.8,69,0,"224,068,28","0 338,749,165"
Department of Health Services,,,,,,69,0,,
Preventive and Promotive health,,"55,410,481",,,0,69,0,-,"55,410,481"
,"Community and Environmental
Health","47,210,481",,,0,69,0,-,"47,210,481"
,"Communicable & Non-Communi-
cable","8,200,000",,,0,69,0,-,"8,200,000"
,Disease Prevention & Control,,,,,69,0,,
Curative and Rehabilitative Health,,"849,602,746",,,42.3,69,0,"358,971,120","490,631,626"
,Commodity management,"95,257,103",,,79.1,69,0,"75,381,708","19,875,395"
,County Hospitals,"390,431,202",,,55.1,69,0,"215,216,620","175,214,582"
,Primary Care Units,"352,914,441",,,19.4,69,0,"68,372,792","284,541,649"
,Emergency Medical Services,"11,000,000",,,0.0,69,0,-,"11,000,000"
General administration and support Services,,"971,899,117",,,79.6,69,0,"774,098,135","197,800,982"
,"General administration and support
Services","971,899,117",,,79.6,69,0,"774,098,135","197,800,982"
Sub-Total,,"1,876,912,344",,,60.4,69,0,"1,133,069,255","743,843,089"
"Water, Lands, Environment & Climate Change",,,,,,69,0,,
Housing Development,,"77,965,210",,,67.4,69,0,"52,537,372","25,427,838"
,Housing Development,"77,965,210",,,67.4,69,0,"52,537,372","25,427,838"
Water and Sanitation Management,,"191,310,621",,,14.6,69,0,"27,836,467","163,474,154"
,Water Services,"191,310,621",,,14.6,69,0,"27,836,467","163,474,154"
Environmental Management and Protection,,"51,061,177",,,0,69,0,-,"51,061,177"
,Environmental conservation,"51,061,177",,,0,69,0,-,"51,061,177"
"Solid Waste Manage-
ment",,"1,000,000",,,0,69,0,-,"1,000,000"
,Solid waste management,"1,000,000",,,0,69,0,-,"1,000,000"
"Lands, Physical Planning and Urban Development",,"191,542,446",,,29.8,69,0,"56,985,723","134,556,723"
,"Lands, Physical planning and Urban
Development","191,542,446",,,29.8,69,0,"56,985,723","134,556,723"
Sub-Total,,"512,879,454",,,26.8,69,0,"137,359,562","375,519,892"
"Roads, Transport and Public Works",,,,,,69,0,,
General administration and support Services,,"66,585,840",,,62.6,69,0,"41,649,447","24,936,393"
,"General administration and support
services","66,585,840",,,62.6,69,0,"41,649,447","24,936,393"
"Land Policy and
Planning",,"700,000",,,0.0,69,0,-,"700,000"
,"Development Planning and Land
Reforms","700,000",,,,69,0,-,"700,000"
Road Improvement,,"425,791,006",,,23.2,69,0,"98,849,999","326,941,007"
,Rural road Works,"425,791,006",,,23.2,69,0,"98,849,999","326,941,007"
Public works,,"12,600,000",,,1.2,69,0,"150,680","12,449,320"
,Public Works,"12,600,000",,,1.2,69,0,"150,680","12,449,320"
Energy,,"6,712,384",,,33.0,69,0,"2,212,384","4,500,000"
,Energy,"6,712,384",,,33.0,69,0,"2,212,384","4,500,000"
Sub-Total,,"512,389,230",,,119.9,69,0,"142,862,510","368,826,720"
"Tourism, Culture, Wildlife, Trade and Industry",,,,,,69,0,,
General administration and support Services,,"33,992,393",,,71.2,69,0,"24,203,287","9,789,106"
,"General administration and support
services","33,992,393",,,71.2,69,0,"24,203,287","9,789,106"
Tourism Development,,"13,307,248",,,31.5,69,0,"4,189,225","9,118,023"
,Tourism Development,"13,307,248",,,31.5,69,0,"4,189,225","9,118,023"
,Trade and enterprise development,"8,429,859",,,26.4,70,0,"2,229,588","6,200,271"
Culture and Heritage Preservation,,"4,485,734",,,65.3,70,0,"2,930,734","1,555,000"
,Culture and Heritage Preservation,"4,485,734",,,65.3,70,0,"2,930,734","1,555,000"
Sub-Total,,"60,215,234",,,55.7,70,0,"33,552,834","26,662,400"
"Youth Affairs, Sports, ICT & Social Services",,,,,,70,0,,
General administration and support Services,,"39,720,075",,,60.6,70,0,"24,054,638","15,665,437"
,"General administration and support
services","39,720,075",,,60.6,70,0,"24,054,638","15,665,437"
Sports Development,,"16,753,640",,,36.9,70,0,"6,177,959","10,575,681"
,Sports Infrastructure Development,"16,753,640",,,36.9,70,0,"6,177,959","10,575,681"
Social Empowerment,,"98,341,267",,,30.7,70,0,"30,173,665","68,167,602"
,Social Empowerment,"98,341,267",,,30.7,70,0,"30,173,665","68,167,602"
Social Protection.,,"12,780,000",,,48.1,70,0,"6,147,500","6,632,500"
,Social Protection,"12,780,000",,,48.1,70,0,"6,147,500","6,632,500"
Gender & Youth Empowerment,,0,,,0.0,70,0,"135,000","-135,000"
,Gender Mainstreaming,0,,,0.0,70,0,-,0
,Youth Development Services,0,,,0.0,70,0,"135,000","-135,000"
ICT Services,,"4,120,000",,,0,70,0,-,"4,120,000"
,ICT Services,"4,120,000",,,0,70,0,-,"4,120,000"
Sub-Total,,"171,714,982",,,38.8,70,0,"66,688,762","105,026,220"
Public Service Management & County Administration,,,,,,70,0,,
General administration and support Services,,"142,646,591",,,42.2,70,0,"60,229,935","82,416,656"
,"General administration and support
services","142,646,591",,,42.2,70,0,"60,229,935","82,416,656"
Public Service Management,,"38,682,759",,,39.1,70,0,"15,140,272","23,542,487"
,"Coordination of government func-
tions","36,084,249",,,41.4,70,0,"14,940,272","21,143,977"
,"Citizen participation and Civic Ed-
ucation","2,598,510",,,7.7,70,0,"200,000","2,398,510"
Sub-Total,,"181,329,350",,,41.6,70,0,"75,370,207","105,959,143"
County Public Service Board,,,,,,70,0,,
General administration and support Services,,"39,878,421",,,63.7,70,0,"25,400,962","14,477,459"
,"General administration and support
services","39,878,421",,,63.7,70,0,"25,400,962","14,477,459"
Sub-Total,,"39,878,421",,,63.7,70,0,"25,400,962","14,477,459"
"Livestock, Fisheries & Cooperative Development",,,,,,70,0,,
General administration and support Services,,"101,607,670",,,69.6,70,0,"70,685,867","30,921,803"
,"General administration and support
services","101,607,670",,,69.6,70,0,"70,685,867","30,921,803"
"Livestock Develop-
ment",,"63,801,363",,,11.8,70,0,"7,528,879","56,272,484"
,Livestock Production,"62,415,899",,,11.6,70,0,"7,229,000","55,186,899"
,"Livestock Extension and Training
Services","1,385,464",,,21.6,70,0,"299,879","1,085,585"
"Cooperative Devel-
opment",,"5,944,272",,,25.6,70,0,"1,518,913","4,425,359"
,Cooperatives development,"5,944,272",,,25.6,70,0,"1,518,913","4,425,359"
Veterinary Services,,"29,741,533",,,17.5,70,0,"5,192,671","24,548,862"
,Disease Surveillance and control,"20,544,773",,,24.2,70,0,"4,964,671","15,580,102"
,A I Services,"9,196,760",,,2.5,70,0,"228,000","8,968,760"
Sub-Total,,"201,094,838",,,42.2,70,0,"84,926,330","116,168,508"
4360,,-,,,0,70,0,"7,537,343","(7,537,343)"
,Default - Non Programmatic,-,,,0,70,0,"7,537,343","(7,537,343)"
GRAND-TOTAL,,"5,767,118,235",,,48.2,70,0,"2,779,602,890","2,986,815,345"
