Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorption
(Kshs.)",page_number,table_index
"Kenya Devolution Support
Programme","Kenya Devolution Support Pro-
gramme","40,595,727","17,747,496","22,848,231",43.7,76,0
Sub Total,,"162,713,731","71,134,612","91,579,119",43.7,76,0
"LANDS,PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,76,0
Land Policy and Planning,"Spatial planning and urban Plan-
ning","44,716,358","10,355,241","34,361,118",23.2,76,0
,Survey and Land Planning,"47,682,471","10,355,241","37,327,231",21.7,76,0
"Environment Management &
Natural Resources Conserva-
tion","Environment Management and
Natural Resources Conservation","57,218,965","12,426,289","44,792,677",21.7,76,0
"General Administration, Plan-
ning & Support Services","General Administration and Sup-
port Services","38,145,977","8,284,192","29,861,784",21.7,76,0
Sub Total,,"187,763,771","41,420,962","146,342,809",22.1,76,0
"INVESTMENT, INDUSTRIALIZATION, TRADE AND TOURISM",,,,,,76,0
"Administrative Support Ser-
vices",Administrative Support Services,"14,697,326","4,178,961","10,518,365",28.4,76,0
"Trade development and Pro-
motion","Trade development and Promo-
tion","59,937,807","17,042,403","42,895,403",28.4,76,0
"Industrial Development and
Investment","Industrial Development and In-
vestment","27,366,215","7,781,167","19,585,048",28.4,76,0
Tourism Development,Tourism Development,"22,390,540","6,366,409","16,024,131",28.4,76,0
Sub Total,,"124,391,888","35,368,941","89,022,947",28.4,76,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,76,0
"Administrative Support Ser-
vices",Administrative Support Services,"93,422,817","24,555,569","68,867,248",26.3,76,0
"Crop Development and Man-
agement","Crop Development and Manage-
ment","348,272,830","91,541,208","256,731,622",26.3,76,0
"Agribusiness and Information
Management","Agribusiness and Information
Management","96,455,624","25,352,722","71,102,902",26.3,76,0
"Livestock Resources Manage-
ment & Development","Livestock Resources Management
and Development","129,618,434","34,069,347","95,549,087",26.3,76,0
Fisheries Development,Fisheries Development,"74,196,634","19,502,094","54,694,540",26.3,76,0
Sub Total,,"741,966,339","195,020,940","546,945,399",26.3,76,0
"WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,76,0
"Water Supply and sewerage
Services",Domestic Water Supply,"72,588,981","20,882,218","51,706,763",28.8,76,0
Irrigation,Provision of Irrigation water,"68,959,532","19,838,107","49,121,425",28.8,76,0
"General Administration Plan-
ning & Support Services","General Administration and Sup-
port Services","39,923,940","11,485,220","28,438,720",28.8,76,0
Sub Total,,"181,472,453","52,205,544","129,266,909",28.8,76,0
HEALTH,,,,,,76,0
Curative Health Services,Primary Health Care,"1,228,076,816","763,247,757","464,829,059",62.1,76,0
"Preventive and Promotive
Health Services","Health Promotion & Disease
Control","453,511,964","313,443,166","140,068,798",69.1,76,0
"General Administration Plan-
ning & Support Services",General Administration Services,"351,840,500","247,246,305","104,594,196",70.3,76,0
Sub Total,,"2,033,429,281","1,323,937,228","709,492,053",65.1,76,0
EMBU LEVEL 5 HOSPITAL,,,,,,76,0
Curative Health Services,Primary Health Care,"259,931,469","139,694,880","120,236,589",53.7,76,0
"Preventive and Promotive
Health Services","Health Promotion & Disease
Control","53,386,955","38,840,665","14,546,290",72.8,76,0
"General Administration Plan-
ning & Support Services",General Administration services,"35,924,794","28,489,417","7,435,377",79.3,76,0
58,,,,,,76,0
