Department,"Programme/
Sub Programme","Rec Budget
(Kshs)","Dev Budget
(Kshs)","Total Budget Es-
timates (Kshs)","Rec Expendi-
ture (Kshs)","Dev Expendi-
ture (Kshs)","Total Expendi-
ture (Kshs)","Implemen-
tation Status
(%)",page_number,table_index
,"SP3. 1Preventive
and promotive
health care ser-
vices","64,726,049",-,"64,726,049","39,666,349",-,"39,666,349",61.3,204,0
,Total Budget,,-,,,-,,,204,0
,"Programme 1:
General admin-
istration & plan-
ning","8,579,000","106,992,864","115,571,864","2,957,807","10,257,302","13,215,109",11.4,204,0
,"SP2. 1Gender &
Social Develop-
ment",,-,,,-,,,204,0
,"P3; Youth De-
velopment sup-
port& Empow-
erment",,-,,,-,,,204,0
"Youth, Gen-
der & Social
Services","SP3. 1 Youth De-
velopment","73,305,049","106,992,864","180,297,914","42,624,156","10,257,302","52,881,458",29.3,204,0
,"Programme 2:
Sports Develop-
ment",,-,,,-,,,204,0
,"SP4. 1Sports De-
velopment","24,836,716",-,"24,836,716","16,077,685",-,"16,077,685",64.7,204,0
,Total Budget,"24,836,716",-,"24,836,716","16,077,685",-,"16,077,685",64.7,204,0
,"Programme 1:
Legal & advisory
services",,-,,,-,,,205,0
,"SP1. 1 Legal &
advisory services","405,694,406",-,"405,694,406","349,557,160",-,"349,557,160",86.2,205,0
,Total Budget,"405,694,406",-,"405,694,406","349,557,160",-,"349,557,160",86.2,205,0
,"Programme 1:
Leadership and
coordination of
departments.",,-,,,-,,,205,0
,"SP1. 1 Leadership
and coordination
of departments.","201,931,902",-,"201,931,902","174,937,354",-,"174,937,354",86.6,205,0
"County
Attorney",Total Budget,"201,931,902",-,"201,931,902","174,937,354",-,"174,937,354",86.6,205,0
,"Programme 1:
General admin-
istration & plan-
ning",,-,,,-,,,205,0
,"SP1. 1 General
administration &
planning","225,712,036","23,606,318","249,318,354","173,197,154","8,438,931","181,636,085",72.9,205,0
"County
Secretary",Total Budget,,-,,,-,,,205,0
,"Programme 1:
General admin-
istration & plan-
ning","22,885,474","4,000,000","26,885,474","17,982,139",-,"17,982,139",66.9,205,0
,"SP1. 1 General
administration &
planning",,-,,,-,,,205,0
"Governor-
ship","Programme 2:
:Public Partici-
pation & Civic
Education","1,800,000","143,630","1,943,630","415,972",-,"415,972",21.4,205,0
,"SP2. 1:Public Par-
ticipation & Civic
Education",,-,,,-,,,205,0
,"Programme
3;Information
and communi-
cation","13,400,000",-,"13,400,000","10,201,223",-,"10,201,223",76.1,205,0
"Devolution
& Public
Service","SP3. 1Informa-
tion and commu-
nication",,-,,,-,,,205,0
,"Programme
4:Enforcement
and compliance","14,000,000",-,"14,000,000","6,640,119","326,000","6,966,119",49.8,205,0
,"SP4. 1Enforce-
ment and com-
pliance",,-,,,-,,,205,0
,"Programme
5:Volunteerism
& mentorship","1,000,000","68,025,968","69,025,968","1,000,000","15,455,840","16,455,840",23.8,205,0
,"SP5. 1Volunteer-
ism & mentor-
ship","278,797,510","95,775,916","374,573,426","209,436,607","24,220,771","233,657,379",62.4,205,0
,"Programme 6;
Youth Develop-
ment support&
Empowerment",,-,,,-,,,205,0
,"SP6. 1 Youth De-
velopment","56,348,175",-,"56,348,175","29,820,387",-,"29,820,387",52.9,205,0
,Total Budget,"56,348,175",-,"56,348,175","29,820,387",-,"29,820,387",52.9,205,0
,"Programme 1:
General Admin-
istration and
Planning",,-,,,-,,,205,0
