Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)",Absorption (%)
Sub Totals,,"882,282,157",,"191,627,723",,60,0,"690,654,434",78.3
DEPARTMENT OF EDUCATION AND VOCATIONAL TRAINING,,,,,,60,0,,
"CP 17: General Adminis-
tration support services","CSP 17.1: Administrative support ser-
vices","422,777,072",,"297,763,552",,60,0,"297,763,556",70.4
"CP 18> Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of Infrastructure
in E.C.D.E Centres","8,072,267",,"8,072,267",,60,0,-,-
,CSP 18.2: E.C.D.E Capitation,"2,000,000",,"2,000,000",,60,0,-,-
,CSP 18.3: Child Nutrition,-,,-,,60,0,-,-
"CP 19: Tertiary/
Vocational Training
Development",CSP 19.1: Infrastructure Development,"14,302,411",,"14,302,411",,60,0,-,-
"CP 20: Education
Support",CSP 20.1: Education Support,"109,159,139",,"81,579,885",,60,0,"27,579,254",25.3
"CP 21: Other develop-
ment projects",CSP 21.1: Other development projects,"104,701,726",,"93,473,950",,60,0,"11,227,775",10.7
Sub totals,,"661,012,615",,"497,192,065",,60,0,"336,570,585",50.9
"DEPARTMENT OF COMMUNITY DEVELOPMENT, TOURISM AND CULTURE",,,,,,60,0,,
"CP 26: General Adminis-
tration services","CSP 26.1: Administrative support ser-
vices","90,318,74",,"26,628,634",,60,0,"5 63,690,111",70.5
"CP 28: Youth and Em-
powerment Develop-
ment","CSP 28.1: Equipping and Operationaliza-
tion of Youth Empowerment","3,000,00",,"3,000,000",,60,0,0 -,-
"CP 29: Promotion an
development of Sports",CSP 29.1: Infrastructure development,"4,000,00",,"4,000,000",,60,0,0 -,-
,CSP 29.2: Sports promotion,"2,000,00",,"2,000,000",,60,0,0 -,-
"CP 31: Culture promo-
tion and development","CSP 31.1: Cultural infrastructural devel-
opment","4,000,00",,"4,000,000",,60,0,0 -,-
"CP 33: Alcoholic drinks
and drug control",CSP 33.1: Infrastructure development,"6,000,000",,"2,941,379",,61,0,"3,058,621",51.0
"CP 34: Other develop-
ment projects",CSP 34.1: Other development projects,"22,546,000",,"7,833,124",,61,0,"14,712,877",65.3
Sub totals,,"131,864,745",,"50,403,138",,61,0,"81,461,608",61.8
"DEPARTMENT OF PUBLIC WORKS, ROAD AND ENERGY",,,,,,61,0,,
