Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs) (","Variance
Kshs.)","Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)","Variance
(Kshs.)"
,Sub total,"243,199,685",,,24.9,307,0,"60,548,757","182,650,928"
"0104004210 P4 Fisheries
Development and Man-
agement","0104014210 SP1 Management and Development of fish-
eries","8,471,220",,,59.2,307,0,"5,013,945","3,457,275"
,Sub total,"8,471,220",,,59.2,307,0,"5,013,945","3,457,275"
"0105004210 P3 Crop De-
velopment and Manage-
ment",0105014210 SP1 Lands and Crops Development,"185,553,325",,,14.3,307,0,"26,482,177","159,071,148"
,0105024210 SP2 Food security Initiatives,"27,280,199",,,19.5,307,0,"5,317,814","21,962,385"
,Sub total,"212,833,524",,,14.9,307,0,"31,799,991","181,033,533"
"WATER, ENVIRONMENT, NATURAL RESOURCES & ENERGY",,,,,,307,0,,
"1001004210 P1 General
Administration Planning
and Support Services","1001014210 SP1 General Administration Planning and
Support Services","124,451,982",,,22.8,307,0,"28,395,951","96,056,031"
,Sub total,"124,451,982",,,22.8,307,0,"28,395,951","96,056,031"
"1002004210 P2 Environ-
mental Management and
Protection",1002014210 SP1 County Environment Management,"19,326,039",,,17.3,307,0,"3,343,973","15,982,066"
,1002024210 SP2 Forests Conservation and Management,"7,206,368",,,17.5,308,0,"1,259,793","5,946,575"
,Sub total,"26,532,407",,,17.4,308,0,"4,603,766","21,928,641"
"1003004210 P3 Natural
Resources Services",1003024210 SP2 Soil Conservation Management,"8,260,886",,,15.3,308,0,"1,262,249","6,998,637"
,1003034210 SP3 Mining Services,"7,066,000",,,29.2,308,0,"2,062,500","5,003,500"
,"1003044210 SP4 Water catchment and protection ser-
vices","69,661,708",,,0.74,308,0,"515,151","69,146,557"
,Sub total,"84,988,594",,,4.5,308,0,"3,839,900","81,148,694"
"1004004210 P4 Water
and sanitation infra-
structure",1004014210 SP1 Storm Water management,"7,193,593",,,16.1,308,0,"1,156,200","6,037,393"
,1004024210 SP2 Water and sanitation services,"346,624,635",,,10.1,308,0,"34,897,558","311,727,077"
,Sub total,"353,818,228",,,10.2,308,0,"36,053,758","317,764,470"
EDUCATION AND VOCATIONAL TRAINING,,,,,,308,0,,
"0501004210 P1 General
Administration Planning
and Support Services","0501014210 SP1 General Administration Planning and
Support Services","198,023,558",,,71.7,308,0,"142,013,170","56,010,388"
,Sub total,"198,023,558",,,71.7,308,0,"142,013,170","56,010,388"
"0502004210 P3 Youth
Training and Develop-
ment",SP 0504014210 Revitalization of Youth Polytechnics,"35,681,294",,,9.8,308,0,"3,492,866","32,188,428"
,Sub total,"35,681,294",,,9.8,308,0,"3,492,866","32,188,428"
"0502004210 P2 Early
childhood development
and Education","0502014210 SP1 Early Childhood Development and Ed-
ucation","370,028,446",,,63.9,308,0,"236,285,809","133,742,637"
,Sub total,"370,028,446",,,63.9,308,0,"236,285,809","133,742,637"
"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,,,,308,0,,
"0401004210 P1 Pre-
ventive and Promotive
Health Services",0401044210 SP2 Environmental & Health promotion,"85,748,104",,,95.3,308,0,"81,682,783","4,065,321"
,0402014210 SP1 Nutrition,"14,144,518",,,52.5,308,0,"7,418,339","6,726,179"
,0401054210 SP3 Communicable Disease Control,"82,991,734",,,86.4,308,0,"71,738,284","11,253,450"
,"0401064210 SP4 Non-communicable Disease Prevention
& Control","38,870,936",,,86.9,308,0,"33,764,419","5,106,517"
,"0401074210 SP5 Reproductive, Maternal, Neonatal, child
and Adolescent Health","61,112,750",,,80,308,0,"48,883,226","12,229,524"
,Sub total,"282,868,042",,,86.1,308,0,"243,487,051","39,380,991"
"0402004210 P2 Curative
Health",0402044210 SP1 County Hospital and Referral Services,"360,109,585",,,72.5,308,0,"261,180,449","98,929,136"
,0402054210 SP2 Free Primary Health Services,"158,200,280",,,37,308,0,"58,574,964","99,625,316"
,Sub total,"518,309,865",,,61.7,308,0,"319,755,413","198,554,452"
"0403004210 P3 General
Administration Planning
and Support Services",0403014210 SP1 Health Infrastructure development,"368,462,715",,,1.7,308,0,"6,132,610","362,330,105"
,"0403034210 SP2 Human Resource Management and De-
velopment","71,762,075",,,69.9,308,0,"50,174,754","21,587,321"
,"0403044210 SP3 Monitoring and Evaluation, Research
and Development","4,825,018",,,55.6,308,0,"2,682,447","2,142,571"
,"0403054210 SP4 Health Policy, Planning & Financing","45,009,299",,,41.8,308,0,"18,812,558","26,196,741"
,"0403064210 SP5 Health standards and quality assurance
Services","57,090,371",,,51.1,308,0,"29,181,448","27,908,923"
,Sub total,"547,149,478",,,19.6,308,0,"106,983,817","440,165,661"
"LANDS, HOUSING, PHYSICAL PLANNING & URBAN DEVELOPMENT",,,,,,308,0,,
"0101004210 P1 General
Administration Planning
and Support Services","0101014210 SP1 Administration, Planning and Support
Services","56,999,546",,,18.7,308,0,"10,658,902","46,340,644"
,Sub total,"56,999,546",,,18.7,308,0,"10,658,902","46,340,644"
"0102004210 P2 Land pol-
icy Planning and Hous-
ing",0102014210 SP1 Land use planning,"27,414,274",,,11.4,309,0,"3,134,750","24,279,524"
,0102034210 SP2 Land Survey And Mapping,"36,150,255",,,12.1,309,0,"4,359,088","31,791,167"
,0102044210 SP3 Housing management services,"1,039,769",,,15.6,309,0,"162,041","877,728"
,Sub total,"64,604,298",,,11.9,309,0,"7,655,879","56,948,419"
"0106004210 P3 Urban
Centres Administration",0106014210 SP1 Urban centre management,"186,481,216",,,9.1,309,0,"16,953,785","169,527,431"
,Sub total,"186,481,216",,,9.1,309,0,"16,953,785","169,527,431"
"ROADS, TRANSPORT & PUBLIC WORKS",,,,,,309,0,,
"0201004210 P1 General
Administration Planning
and Support Services","0201014210 SP1 General Administration Planning and
Support Services","96,934,100",,,16,309,0,"15,478,107","81,455,993"
,0201034210 SP2 Firefighting services,"385,786",,,26.1,309,0,"100,541","285,245"
,"0201044210 SP3 Design, implementation and supervi-
sion of public buildings","20,296,380",,,29.4,309,0,"5,963,609","14,332,771"
,Sub total,"117,616,266",,,18.3,309,0,"21,542,257","96,074,009"
"0202004210 P2 Roads
and public Infrastructure
Development","0202014210 SP1 Construction, rehabilitation and main-
tenance of Roads and Bridges","587,348,806",,,5.3,309,0,"30,818,365","556,530,441"
,"0202024210 SP2 Design, supervision and rehabilitation
of County Buildings","10,904,542",,,39,309,0,"4,247,042","6,657,500"
,0202034210 SP3 Street lights management,"22,656,658",,,21.7,309,0,"4,926,246","17,730,412"
,0202044210 SP4 Public Road transport and Parking,"4,650,189",,,47.1,309,0,"2,188,250","2,461,939"
,Sub total,"625,560,195",,,6.7,309,0,"42,179,903","583,380,292"
"TOURISM, TRADE, ENTERPRISE DEVELOPMENT & COOPERATIVES",,,,,,309,0,,
"0301004210 P1 General
Administration Planning
and Support Services","0301014210 SP1 General Administration Planning and
Support Services","54,806,203",,,13.8,309,0,"7,565,531","47,240,672"
,Sub total,"54,806,203",,,13.8,309,0,"7,565,531","47,240,672"
"0302004210 P2 Cooper-
atives Development and
Management",0302014210 SP1 Governance and Accountability,"19,691,510",,,22.2,309,0,"4,379,101","15,312,409"
,Sub total,"19,691,510",,,22.2,309,0,"4,379,101","15,312,409"
"0304004210 P4 Tourism
Development and Pro-
motion",0304014210 SP1 Tourism Promotion and Marketing,"217,847,189",,,54.5,309,0,"118,716,648","99,130,541"
,Sub total,"217,847,189",,,54.5,309,0,"118,716,648","99,130,541"
"0305004210 P5 Trade
Development and Pro-
motion",0305014210 SP1 Domestic trade development,"54,301,359",,,47.5,309,0,"25,779,115","28,522,244"
,Sub total,"54,301,359",,,47.5,309,0,"25,779,115","28,522,244"
"0306004210 P6 P1 Gen-
eral Administration
Planning and Support
Services","0306014210 SP6 SP1 General Administration Planning
and Support Services","22,944,656",,,60.2,309,0,"13,810,063","9,134,593"
,Sub total,"22,944,656",,,60.2,309,0,"13,810,063","9,134,593"
"CULTURE, SOCIAL SERVICES, GENDER, SPORTS & YOUTH AFFAIRS",,,,,,309,0,,
"0901004210 P1 General
Administration Planning
and Support Services","0901014210 SP1 General Administration Planning and
Support Services","47,416,736",,,54.8,309,0,"25,970,476","21,446,260"
,Sub total,"47,416,736",,,54.8,309,0,"25,970,476","21,446,260"
"0902004210 P2 Culture
and social Services devel-
opment",0902014210 SP1 Conservation of Heritage,"2,403,600",,,62.6,309,0,"1,503,680","899,920"
,0902024210 SP2 Development and Promotion of Culture,"32,659,858",,,16.8,309,0,"5,489,030","27,170,828"
,0902034210 SP3 Social Welfare and Gender,"46,227,500",,,38.2,309,0,"17,653,420","28,574,080"
