Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
"Public Service, Administra-
tion and Citizen Participa-
tion",Sub Total,"84,744,127","20,054,160","64,689,967",23.7,108,0
,County Administration Services,-,-,-,-,108,0
,"Public Service, administration and cit-
izen participation",-,-,-,-,108,0
,County administration,"57,744,127","12,100,000","45,644,127",21.0,108,0
,county executive committee,-,-,-,-,108,0
,Citizen participation,"27,000,000","7,954,160","19,045,840",29.5,108,0
Citizen Participation,Sub Total,-,-,-,-,108,0
,Citizen Participation,-,-,-,-,108,0
"ICT, Special Programmes
and Service Delivery",Sub Total,"45,077,769","24,671,405","20,406,364",54.7,108,0
,"Information, Communication and
Technology","33,376,151","20,659,261","12,716,890",61.9,108,0
,Special Programmes,"11,701,618","4,012,144","7,689,474",34.3,108,0
,Sub Total,"35,168,128","6,848,160","28,319,968",19.5,108,0
,Museum,"3,027,000","1,265,880","1,761,120",41.8,108,0
,Cultural Activities,"31,981,128","5,432,280","26,548,848",17.0,108,0
,County Parks,"160,000","150,000","10,000",93.8,108,0
,Sub Total,"95,442,937","16,546,298","78,896,639",17.3,108,0
,Gender,"95,442,937","16,546,298","78,896,639",17.3,108,0
,Sub Total,"57,365,780","16,692,020","40,673,760",29.1,108,0
,Youth Development,"20,000,000",-,"20,000,000",-,108,0
,Sports Training and Competitions,"17,000,080","2,283,100","14,716,980",13.4,108,0
,Gender Mainstreaming,"6,492,700","2,465,820","4,026,880",38.0,108,0
,Disability Mainstreaming,"13,873,000","11,943,100","1,929,900",86.1,108,0
"General Administration,
Planning and Support Ser-
vices",Sub Total,"121,264,405","19,521,281","101,743,124",16.1,108,0
,"Human Resources and Support Ser-
vices",-,-,-,-,108,0
,Storm Water Management Services,"7,750,000","666,000","7,084,000",8.6,108,0
,"General Administration, Policy and
Coordination","113,514,405","18,855,281","94,659,124",16.6,108,0
"Water and Sanitation Ser-
vices",Sanitation Services,-,-,-,-,108,0
,Water Supply Infrastructure,-,-,-,-,108,0
,Sub Total,"345,376,067","12,168,918","333,207,149",3.5,108,0
,Water,"333,010,000","10,966,969","322,043,031",3.3,108,0
,Sanitation,-,-,-,-,108,0
,Storm Water Management,-,-,-,-,108,0
,Irrigation,"12,366,067","1,201,949","11,164,118",9.7,108,0
Grand Total,,"9,172,229,783","1,929,206,778","7,243,023,005",21.0,108,0
