Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
,Sub total,"2,570,000","407,160","2,162,840",16,230,0
"Sub County Administra-
tion Services","Devolved units Development ser-
vices","50,604,036","9,759,129","40,844,907",19,230,0
,Sub total,"50,604,036","9,759,129","40,844,907",19,230,0
"Civic Education And
Public Participation",Civic Education,"4,000,000","3,534,764","465,236",88,231,0
,Sub total,"4,000,000","3,534,764","465,236",88,231,0
"County Security and
Compliance Enforcement
Services","Support and Administration Ser-
vices","3,240,000","973,000","2,267,000",30,231,0
,Sub total,"3,240,000","973,000","2,267,000",30,231,0
"General Administration
and Support Services(PSB)","General Administration and Sup-
port Services","39,908,120","11,937,130","27,970,991",30,231,0
,Sub total,"39,908,120","11,937,130","27,970,991",30,231,0
"Human Capital Manage-
ment And Development",Human Capital Strategy,"3,570,000","4,153,707","(583,707)",116,231,0
,Public service board services,"3,730,000","7,162,132","(3,432,132)",192,231,0
,"Information And Records Man-
agement","1,600,000","459,018","1,140,982",29,231,0
,Sub total,"8,900,000","11,774,857","(2,874,857)",132,231,0
"EDUCATION ,YOUTH,SPORTS,CULTURE,GENDER AND SOCIAL SERVICES",,,,,,231,0
"General Administration
and Support Services(Ed-
ucation)","General Administration and Sup-
port Services","169,110,498","150,941,998","18,168,500",89,231,0
,Sub total,"169,110,498","150,941,998","18,168,500",89,231,0
"Education Support
Services",Bursary And Scholarship,"180,856,780","144,755,980","36,100,800",80,231,0
,Sub total,"180,856,780","144,755,980","36,100,800",80,231,0
"Child Care Support
Services","Infrastructure development and
sanitation improvement","82,482,176","4,583,182","77,898,994",6,231,0
,ECDE Staffing,"15,810,000","935,190","14,874,810",6,231,0
,Sub total,"98,292,176","5,518,372","92,773,804",6,231,0
"Quality Management
Services","Quality Assurance and standard
services","7,000,000",-,"7,000,000",-,231,0
,"Sub county education office ser-
vices","1,600,000","703,410","896,590",44,231,0
,Sub total,"8,600,000","703,410","7,896,590",8,231,0
"Youth Development
Empowerment",Vocational Education Training,"28,000,000","2,810,010","25,189,990",,231,0
,Sub total,"28,000,000","2,810,010","25,189,990",10,231,0
"Sports and culture devel-
opment",Culture and heritage conservation,"5,000,000","3,210,200","1,789,800",64,231,0
,Sub total,"5,000,000","3,210,200","1,789,800",64,231,0
"Sports and culture devel-
opment(Sports)",Sport and talent development,"55,500,000","12,540,200","42,959,800",23,231,0
,"General Administration and Sup-
port Services","35,585,117","11,816,635","9,180,000",,231,0
,Talent development services,"5,500,000","17,000","5,483,000",0,231,0
,Sub total,"96,585,117","24,373,835","72,211,282",25,231,0
"Youth Development Em-
powerment(youth)","Youth home craft centers and en-
terprises services","1,500,000",-,"1,500,000",-,231,0
,Sub total,"1,500,000",-,"1,500,000",-,231,0
External Funding,Conditional Grants,"30,033,298",-,"30,033,298",-,231,0
,Sub total,"30,033,298",-,"30,033,298",-,231,0
"Sports and culture devel-
opment(culture &social)",Culture and heritage conservation,"3,500,000",-,"3,500,000",-,231,0
,Sub total,"3,500,000",-,"3,500,000",-,231,0
Gender And Equality,"Women empowerment enterprises
and support services","4,000,000","1,292,700","2,707,300",32,231,0
,"Pwds enterprises and support ser-
vices","1,500,000",-,"1,500,000",-,231,0
,Sub total,"5,500,000","1,292,700","4,207,300",24,231,0
"MANAGEMENT ENVIROMENT,NATURAL,RESOURCES AND DISASTER MANAGEMENT",,,,,,231,0
"General Administration
and Support Services(En-
vironment)","General Administration and Sup-
port Services","77,000,810","38,098,693","38,902,117",49,231,0
,Sub total,"77,000,810","38,098,693","38,902,117",49,231,0
"Environment manage-
ment and protection",Solid waste management services,"7,700,000","3,805,650","3,894,350",49,232,0
,Sub total,"7,700,000","3,805,650","3,894,350",49,232,0
,"Water resource conservation and
management","300,000","1,008,900","(708,900)",336,232,0
,"Climate change adoption and mit-
igation","540,000","324,000","216,000",60,232,0
,"Forestry conservation and devel-
opment","3,650,000",-,"3,650,000",-,232,0
,Sub total,"4,490,000","1,332,900","3,157,100",30,232,0
,Mining services,"1,350,000","588,340","761,660",44,232,0
,Sub total,"1,350,000","588,340","761,660",44,232,0
Disaster Management,Disaster management services,"114,134,889","45,091,021","69,043,869",40,232,0
,Sub total,"114,134,889","45,091,021","69,043,869",40,232,0
FINANCE ECONOMIC PLANNING,,,,,,232,0
"General Administration
and Support Services(Ac-
counting)","General Administration and
Support Services","232,228,662","25,720,134","206,508,528",11,232,0
,Sub total,"232,228,662","25,720,134","206,508,528",11,232,0
"Public finance manage-
ment",Accounting services,"272,687,835","205,362,946","67,324,889",75,232,0
,Sub total,"272,687,835","205,362,946","67,324,889",75,232,0
"General Administration
and Support Services(Au-
dit)","General Administration and
Support Services","21,021,000","8,442,130","12,578,870",40,232,0
,Sub total,"21,021,000","8,442,130","12,578,870",40,232,0
"Public Financial manage-
ment (procurement)",Procurement services,"18,600,000","9,908,277","8,691,723",53,232,0
,Sub total,"18,600,000","9,908,277","8,691,723",53,232,0
"General Administration
and Support Services(Rev-
enue)","General Administration and
Support Services","2,160,000",-,"2,160,000",-,232,0
,Sub total,"2,160,000",,"2,160,000",-,232,0
"Public Financial manage-
ment (Revenue)",Resource mobilization,"58,775,000","10,061,010","48,713,990",17,232,0
,Sub total,"58,775,000","10,061,010","48,713,990",17,232,0
"General Administra-
tion and Support Ser-
vices(Planning)","General Administration and
Support Services","29,800,675","13,611,049","16,189,626",46,232,0
,Sub total,"29,800,675","13,611,049","16,189,626",46,232,0
"Economic policy and
county planning","Budget coordination and manage-
ment","60,583,116","27,823,504","32,759,612",46,232,0
,Policy and plans development,"3,000,000",-,"3,000,000",-,232,0
,"County statistical information ser-
vices","10,000,000","1,279,970","8,720,030",13,232,0
,Community development,"3,000,000",-,"3,000,000",-,232,0
,Sub total,"76,583,116","29,103,474","47,479,642",38,232,0
"LANDS ,HOUSINGAND PHYSICAL PLANNING",,,,,,232,0
"General Administra-
tion and Support Ser-
vices(Lands)","General Administration and
Support Services","82,634,725","38,413,547","44,221,178",46,232,0
,Sub total,"82,634,725","38,413,547","44,221,178",46,232,0
Physical planning service,"Physical and urban planning ser-
vices","82,150,722","4,959,000","77,191,722",6,232,0
,External funding,"568,366,492","27,030,107","541,336,385",5,232,0
,Sub total,"650,517,214","31,989,107","618,528,107",5,232,0
"Housing Development
services",Housing services,"500,000",-,"500,000",-,232,0
,Sub total,"500,000",-,"500,000",-,232,0
"ROADS,TRANSPORTAND PUBLIC WORKS",,,,,,232,0
"Policy, General admin-
istration, planning &
support Service","General Administration and
Support Services","67,257,644","36,092,585","31,165,059",54,232,0
,Sub total,"67,257,644","36,092,585","31,165,059",54,232,0
,Road network improvement,"1,181,171,277","281,118,269","900,053,008",24,232,0
,"Construction of bridges and main-
tenance","100,000,000","71,046,062","28,953,938",71,232,0
TRADE TOURISM AND COOPERATIVE,,,,,,233,0
"Policy, Planning and
Administrative Support
Services","General Administration and
Support Services","45,820,872","51,663,889","(5,843,017)",113,233,0
,Sub total,"45,820,872","51,663,889","(5,843,017)",113,233,0
"Trade And Markets Pro-
motion And Development","Trade Development And Promo-
tion Of SMEs Services","13,208,590","7,782,496","5,426,094",59,233,0
,"Trade infrastructure development
services","91,450,406","25,656,588","65,793,818",28,233,0
,Regional economic integration,"420,000","102,000","318,000",24,233,0
,Sub total,"105,078,996","33,541,084","71,537,912",32,233,0
"Industrial development
and investment services","Promotion Of Industrial Develop-
ment And Investments","490,000","260,000","230,000",53,233,0
,"Industrial Parks And Infrastruc-
ture Development","1,500,000",-,"1,500,000",-,233,0
,Sub total,"1,990,000","260,000","1,730,000",13,233,0
"Cooperative development
services","Cooperative Development Ser-
vices And Promotion","7,820,000","120,000","7,700,000",2,233,0
,"Cooperative Oversight And Com-
pliance","1,416,000","120,000","1,296,000",8,233,0
,"Cooperative Policy, Research And
Advisory","1,080,000","120,000","960,000",11,233,0
,Sub total,"10,316,000","360,000","9,956,000",3,233,0
Tourism Development,"Tourism Promotion, Investment
And Marketing","1,500,000",-,"1,500,000",-,233,0
,Cradle Of Mankind Circuit,"1,500,000","263,240","1,236,760",18,233,0
,Tourism products and services,"7,000,000",-,"7,000,000",-,233,0
,Sub total,"10,000,000","263,240","9,736,760",3,233,0
"Trade And Markets Pro-
motion And Development",Metrological laboratory services,"2,340,000",-,"2,340,000",-,233,0
,Sub total,"2,340,000",-,"2,340,000",-,233,0
"Liquor Licensing and
Control Services",Infrastructure Development,"900,000","596,539","303,461",66,233,0
,Sub total,"900,000","596,539","303,461",66,233,0
COUNTY ASSEMBLY,,,,,,233,0
"General Administration
and Support Services(-
SPEAKER DEPART-
MENT)",Administrative services,"15,000,000",-,"15,000,000",-,233,0
,Sub total,"15,000,000",-,"15,000,000",-,233,0
"Oversight Management
Service",Committees management services,"116,750,000","109,612,059","7,137,941",94,233,0
,Sub total,"116,750,000","109,612,059","7,137,941",94,233,0
Legislative Service,Representation,"25,863,160","20,788,873","5,074,287",80,233,0
,Sub total,"25,863,160","20,788,873","5,074,287",80,233,0
"General Administration
and Support Services(-
CLERK DEPARTMENT)",Administrative services,"729,221,065","489,536,435","239,684,630",67,233,0
,Citizen Engagement,,-,-,-,233,0
,Sub totals,"729,221,065","489,536,435","239,684,630",67,233,0
WATER AND ENERGY,,,,,,233,0
"Water supply and man-
agement services","Urban water Supply and Manage-
ment Services","38,446,750","24,897,023","13,549,728",65,233,0
,Rural water services,"183,934,649","51,701,249","132,233,400",28,233,0
,Green Energy Development,"11,916,000","11,329,520","586,480",95,233,0
,Sub total,"234,297,399","87,927,792","146,369,608",38,233,0
"General administration,
planning & support Ser-
vice","General Administration ,policies
and legal framework","76,736,446","33,866,293","42,870,154",44,233,0
,Sub total,"76,736,446","33,866,293","42,870,154",44,233,0
"Alternative Energy
Services",Green Energy Development,"76,311,281","14,468,388","61,842,893",19,233,0
,Sub total,"76,311,281","14,468,388","61,842,893",19,233,0
