Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (%),"Absorption
(%)",page_number,table_index
0206003360 P6 Energy Services,0206003360 P6 Energy Services,"16,938,100",,,,387,0
"0207003360 P7 Environment &
Natural Resource Services","0207003360 P7 Environment & Nat-
ural Resource Services","234,595,050","62,300,000","172,295,050",26.6,387,0
"1002003360 P2 General Admin-
istration and Support Services","1002003360 P2 General Adminis-
tration and Support Services","53,970,224","49,350,480","4,619,744",8.6,387,0
"1004003360 P4 Wildlife and
Tourism","1004003360 P4 Wildlife and Tour-
ism","27,722,800",,,,387,0
,Sub total,"333,226,174","111,650,480","176,914,794",33.5,387,0
"PUBLIC SERVICES, SPECIAL
PROGRAM AND NATURAL
RESOURCES",,,,,,387,0
"0210003360 P10 Public Partici-
pation Services","0210003360 P10 Public Participa-
tion Services","31,700,000","5,000,000","26,700,000",84.2,387,0
"0701003360 P1 County Execu-
tive Services","0701003360 P1 County Executive
Services","1,270,000",-,"1,270,000",0.0,387,0
"662,752,2970704003360 P4 Hu-
man Resources Management
and decentralised services","662,752,2970704003360 P4 Human
Resources Management and decen-
tralised services","536,118,297","516,811,308","19,306,989",3.6,387,0
"0716003360 P16 Special Pro-
grams",0716003360 P16 Special Programs,"215,510,000","10,011,023","205,498,977",95.4,387,0
"0713003360 P13 Environment,
Beautification and Sanitation
services","0713003360 P13 Environment,
Beautification and Sanitation ser-
vices","15,484,000",-,"15,484,000",0.0,387,0
"0714003360 P14 Engineering,
Maintenance and Physical infra-
structure services","0714003360 P14 Engineering,
Maintenance and Physical infra-
structure services","35,500,000","17,000,000","18,500,000",52.1,387,0
"0720003360 P20 Service Deliv-
ery and Performance Manage-
ment","0720003360 P20 Service Delivery
and Performance Management","5,400,000",-,"5,400,000",0.0,387,0
"0721003360 P21 Governance
and Ethics","0721003360 P21 Governance and
Ethics","1,870,000",-,"1,870,000",0.0,387,0
,Sub total,"842,852,297","548,822,331","294,029,966",34.9,387,0
"EDUCATION , YOUTH ,GEN-
DER AND SOCIAL SERVICE",,,,,,387,0
"0501003360 P1 Sports promo-
tion and development","0501003360 P1 Sports promotion
and development","80,108,700",-,"80,108,700",0,387,0
"0502003360 P2 Early Childhood
Education Development Ser-
vices","0502003360 P2 Early Childhood
Education Development Services","178,178,275",-,"178,178,275",0,387,0
"0503003360 P3 Gender, Culture
and Social services","0503003360 P3 Gender, Culture and
Social services","85,251,000",-,"85,251,000",0,387,0
"0504003360 P4 Youth polytech-
nics",0504003360 P4 Youth polytechnics,"31,289,797","9,451,649","21,838,148",30,387,0
"0507003360 P6 School Support
and Development Services","0507003360 P6 School Support and
Development Services","116,000,000",-,"116,000,000",0,387,0
"0505003360 P5 General Admin-
istration and Support Services","0505003360 P5 General Adminis-
tration and Support Services","438,104,646","352,583,430","85,521,216",80,387,0
,Sub total,"928,932,418","362,035,079","566,897,339",39,387,0
"ICT ,TRADE, INDUSTRIAL-
IZATION AND COOPERA-
TIVE DEVLOPMENT",,,,,,387,0
"0209003360 P9 ICT Infrastruc-
ture Services","0209003360 P9 ICT Infrastructure
Services","70,176,200",-,"70,176,200",0.0,387,0
"0301003360 P1 General admin-
istration, Planning and Support
Services","0301003360 P1 General administra-
tion, Planning and Support Services","184,807,882","153,741,770","31,066,112",83.2,387,0
0302003360 P2 Trade Services,0302003360 P2 Trade Services,"43,249,700",-,"43,249,700",0.0,387,0
"0304003360 P4 Co-operatives
Services","0304003360 P4 Co-operatives Ser-
vices","22,846,000",-,"22,846,000",0.0,387,0
