Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
(%)",page_number,table_index,"Approved Budget
(Ksh)","Actual Payments
(Ksh)"
,Administrative Service,,,"122,880,927",10.9,379,0,"137,846,017","14,965,091"
,Tourism Development,,,"1,977,264",-,379,0,"1,977,264",-
,Tourism Promotion and Branding,,,"1,977,264",-,379,0,"1,977,264",-
Industrial Development,Industrial Development,,,,,379,0,,
,Industrial Development,,,,,379,0,,
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"902,091,691",32.3,379,0,"1,331,630,635","429,538,944"
,Personnel Services,,,,,379,0,,
,Administrative Service,,,"216,746,471",2.3,379,0,"221,747,339","5,000,868"
,Financial Services,,,,,379,0,,
,"Human Resource Management and Develop-
ment",,,"633,116,331",39.9,379,0,"1,053,678,085","420,561,754"
,Healthcare Financing,,,"52,228,889",7.1,379,0,"56,205,211","3,976,322"
"Promotive and Preventive
Healthcare Services","Promotive and Preventive Healthcare Ser-
vices",,,"26,834,628",2.7,379,0,"27,565,284","730,656"
,Public Health Services,,,"16,507,744",1.2,379,0,"16,700,000","192,256"
,Community Health Strategy,,,"5,770,800",7.5,379,0,"6,240,000","469,200"
,Health Promotion,,,"3,750,884",1.2,379,0,"3,795,284","44,400"
,Reproductive Healthcare,,,"340,000",-,379,0,"340,000",-
,Disease Surveillance and Emergency,,,"465,200",5.1,379,0,"490,000","24,800"
"Curative And Rehabilita-
tive Health Services",Curative And Rehabilitative Health Services,,,"279,729,094",0.2,379,0,"280,394,894","665,800"
,Medical services,,,"279,349,094",0.2,379,0,"280,014,894","665,800"
,County referral services,,,"240,000",-,379,0,"240,000",-
,Drugs and Other Medical Supplies,,,"140,000",-,379,0,"140,000",-
"Child and Maternal
Health Care",Child and Maternal Health Care,,,"46,188,276",-,379,0,"46,188,276",-
,Antenatal and Post Natal healthcare,,,"1,800,000",-,379,0,"1,800,000",-
,Antenatal and Post Natal Healthcare,,,"1,440,000",-,379,0,"1,440,000",-
,Maternity Services,,,"41,368,276",-,379,0,"41,368,276",-
,"Newborne, Child and Adolescent Health",,,"1,140,000",-,379,0,"1,140,000",-
,Nutrition Services,,,"440,000",-,379,0,"440,000",-
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"248,608,514",36.5,379,0,"391,699,421","143,090,907"
,Personnel Services,,,,,379,0,-,
,Administrative Service,,,"368,608,514",5.9,379,0,"391,699,421","23,090,907"
,Financial Services,,,,,379,0,,
"Vocational Education and
Training",Vocational Education and Training,,,"61,542,570",26.0,380,0,"83,176,000","21,633,430"
,Youth Polytechnic Development,,,"61,542,570",26.0,380,0,"83,176,000","21,633,430"
"Early Childhood Devel-
opment",Early Childhood Development,,,"86,738,307",42.1,380,0,"149,700,000","62,961,693"
,ECD Development,,,"86,738,307",42.1,380,0,"149,700,000","62,961,693"
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"1,259,820,578",22.1,380,0,"1,616,978,949","357,158,371"
,Personnel Services,,,,,380,0,,
,Administrative Service,,,"1,223,162,548",22.1,380,0,"1,569,641,809","346,479,261"
,Financial Services,,,,,380,0,,
,County Administration,,,"22,399,840",20.1,380,0,"28,030,000","5,630,160"
,County Radio Information Services,,,"14,258,190",26.2,380,0,"19,307,140","5,048,950"
"Public Finance Manage-
ment",Public Finance Management,,,"62,337,733",17.0,380,0,"75,095,548","12,757,815"
,Public Finance Management,,,"8,553,100",17.0,380,0,"10,300,000","1,746,900"
,Accounting Services,,,"10,683,568",14.2,380,0,"12,445,548","1,761,980"
,Audit Services,,,"9,597,910",14.7,380,0,"11,250,000","1,652,090"
,Budget Formulation Coordination,,,"8,703,050",16.3,380,0,"10,400,000","1,696,950"
,Resource Mobilization,,,"15,227,205",8.5,380,0,"16,650,000","1,422,795"
,Budget Expenditure Management,,,"9,572,900",31.9,380,0,"14,050,000","4,477,100"
County Planning Services,County Planning Services,,,"13,724,170",10.7,380,0,"15,364,970","1,640,800"
,Monitoring and Evaluation,,,"6,429,900",13.4,380,0,"7,425,000","995,100"
,Coordination of Policy Formulation and Plans,,,"7,294,270",8.1,380,0,"7,939,970","645,700"
"Coordination and Super-
visory Services",Coordination and Supervisory Services,,,"400,000",-,380,0,"400,000",-
,Performance Management,,,"200,000",-,380,0,"200,000",-
,Disaster Management and Mitigation,,,"200,000",-,380,0,"200,000",-
"Management and Ad-
ministration of County
Services","Management and Administration of County
Services",,,"15,806,818",11.0,380,0,"17,756,178","1,949,360"
,County Executive,,,"300,000",-,380,0,"300,000",-
,County Secretary,,,"9,759,978",9.3,380,0,"10,756,178","996,200"
,Legal Services,,,"5,746,840",14.2,380,0,"6,700,000","953,160"
Legislation and Oversight,Legislation and Oversight,,,"205,400,778",35.2,380,0,"317,009,425","111,608,647"
,Legislation and Oversight,,,"205,400,778",35.2,380,0,"317,009,425","111,608,647"
,Oversight,,,-,,380,0,-,-
"Administration, Planning
and Support Service","Administration, Planning and Support Ser-
vice",,,"69,173,694",17.5,380,0,"83,808,587","14,634,893"
,Personnel Services,,,-,,380,0,-,-
,Administrative Service,,,"68,049,294",17.6,380,0,"82,608,587","14,559,293"
,Financial Services,,,,,380,0,,
,Educational Conferences,,,,,380,0,,
,Technical Conferences,,,"500,000",-,380,0,"500,000",-
,Elderly Fund,,,"624,400",10.8,380,0,"700,000","75,600"
