Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Absorption (%),page_number,table_index
125034110,"General Administration, Planning and Support
Services - LandsGeneral Administration, Plan-
ning and Support Services - Lands","227,958,188","48,493,784",21.3,355,0
,Agriculture Programme,"69,335,679","29,657,806",42.8,355,0
126024110,Agribusiness and Marketing Promotion,"4,476,917","548,795",12.3,355,0
126044110,Agri-nutrition/Urban & peri-urban agriculture,"900,000","194,395",21.6,355,0
126064110,"Smart agriculture practices (Innovations/technol-
ogies to mitigate","4,132,517","141,850",3.4,355,0
126084110,"Agricultural Sector Development Support Pro-
gramme (ASDSP)","25,346,766","25,346,766",100.0,355,0
126104110,Agricultural Mechanization,"10,000,000",-,-,355,0
126114110,Agric market Access,"1,647,631","452,020",27.4,355,0
126124110,Agric Extension & Devt,"7,303,287","649,901",8.9,355,0
126134110,Subsidy & Support,"9,528,561","2,019,070",21.2,355,0
126144110,Pest Control & Mgt,"6,000,000","305,010",5.1,355,0
,Land Governance,"8,517,191","1,573,114",18.5,355,0
127054110,Land Policies,"8,517,191","1,573,114",18.5,355,0
,,"363,000,000","163,928,741",45.2,355,0
129014110,NARIGP,"363,000,000","163,928,741",45.2,355,0
,,"206,250,000",-,-,355,0
130014110,DRNKP/KfW,"206,250,000",-,-,355,0
,,"103,823,200",-,-,355,0
132014110,Urban Devt Grant,"95,023,200",-,-,355,0
132024110,Urban Institutional Grant,"8,800,000",-,-,355,0
,Develop and maintain roads,"777,039,891","9,568,773",1.2,355,0
201024110,Gravel rural roads,"921,040","921,040",100.0,355,0
201044110,Road Designs system and software,"1,262,000","1,262,000",100.0,355,0
201054110,"Annual Roads Inventory and Conditional Survey
(ARICS)","3,238,000","2,988,521",92.3,355,0
201064110,Roads Safety initiatives,"1,162,254","324,800",27.9,355,0
201074110,Roads maintenance levy fund(RMLF),"732,056,597","1,642,212",0.2,355,0
201084110,Lodwar Town Road Upgrade,"28,400,000","2,430,200",8.6,356,0
201094110,Roads,"10,000,000",-,-,356,0
,"Develop and maintain staff housing and public
offices","36,500,000",-,-,356,0
202084110,Gabioning Works,"36,500,000",-,-,356,0
,Develop and maintain other public works,"15,344,064","2,202,762",14.4,356,0
203134110,Machinery,"5,436,150","1,287,640",23.7,356,0
203144110,Machinery,"3,802,640","658,682",17.3,356,0
203154110,Feasibility & Consultancy,"2,830,000",-,-,356,0
203164110,Capacity Building,"2,750,000",-,-,356,0
203184110,Professional Capacity Building,"525,274","256,440",48.8,356,0
,General Administration,"234,760,201","99,068,446",42.2,356,0
205014110,General Administration,"222,895,281","98,527,366",44.2,356,0
205024110,General Administration- Public works,"11,864,920","541,080",4.6,356,0
,,"3,026,370","730,332",24.1,356,0
207014110,Structural Services,"3,026,370","730,332",24.1,356,0
,,"2,000,000","164,280",8.2,356,0
208014110,Electrical Services,"2,000,000","164,280",8.2,356,0
,,"2,075,822","1,067,922",51.4,356,0
209014110,Building Inspectorate,"2,075,822","1,067,922",51.4,356,0
,,"1,500,548","1,157,769",77.2,356,0
210014110,Architectural Services,"1,500,548","1,157,769",77.2,356,0
,"Cooperative Societies Development & Perfor-
mance Improvement","93,641,380","39,622,134",42.3,356,0
302014110,Cooperatives Development Fund,"1,200,000","599,881",50.0,356,0
302024110,Value Addition Initiatives,"300,000","197,700",65.9,356,0
302034110,Business Development and Training Services,"1,329,500","347,860",26.2,356,0
302044110,Liquor control Programme,"1,700,000",-,-,356,0
302054110,"Cooperative societies development and revival
programmes","184,263",-,-,356,0
302064110,Legal Metrology Services,"1,100,000","767,973",69.8,356,0
302074110,Verification of traders equipment,"1,640,000",-,-,356,0
302084110,Consumer rights education,"600,000",-,-,356,0
302094110,Industrial sector support programme,"500,000","38,500",7.7,356,0
302104110,Standards and Anti-Counterfeit Services,"600,000","156,660",26.1,356,0
302114110,Market Infrastructure Development,"32,465,000",-,-,356,0
302124110,Industrial Development and Investments,"9,545,700","280,560",2.9,356,0
302134110,Biashara Fund,"36,000,000","36,000,000",100.0,356,0
302154110,North Rift Economic & FCDC Blocs,"6,476,917","1,233,000",19.0,356,0
,Modern Physical Markets Infrastructure,"6,750,000","1,285,600",19.0,356,0
303014110,"Construction & Development of Modern Physical
Market","1,500,000","500,000",33.3,356,0
303024110,"Co-operative Marketing, Value Addition, Surveys
& Research","1,600,000","497,600",31.1,356,0
303034110,"Co-operative Education, Training, Exchange and
Ushirika Day Celeb","1,150,000",-,-,356,0
303044110,"Strengthening of Key Dormant Co-operative So-
cieties","2,000,000",-,-,356,0
303054110,"Formulation of Cooperative Policy and Legal
Frame Work","500,000","288,000",57.6,357,0
,General Administration,"106,538,307","87,203,087",81.9,357,0
307014110,General Administration,"106,538,307","87,203,087",81.9,357,0
,Gender Promotion,"16,295,000","7,022,192",43.1,357,0
308014110,Gender Empowerment and advocacy,"8,170,000","3,239,710",39.7,357,0
308024110,Gender Mainstreaming and Coordination,"7,000,000","3,402,482",48.6,357,0
308034110,Legal Compliance and Redress,"500,000","380,000",76.0,357,0
308044110,Promotion of Gender Equality and Empowerment,"625,000",-,-,357,0
,Youth Affairs Development,"147,109,856","136,179,700",92.6,357,0
309014110,Youth Coordination and Representation,"10,860,000","2,550,300",23.5,357,0
309024110,Youth Employment Scheme,"1,949,856","110,000",5.6,357,0
309034110,Youth Rare skills,"1,300,000","519,400",40.0,357,0
309044110,Youth and Women Fund,"133,000,000","133,000,000",100.0,357,0
,"General Administration, Planning and support
services","618,360,411","269,776,806",43.6,357,0
401014110,"General Administration, Planning and support
services","591,860,411","269,776,806",45.6,357,0
401074110,Health Facilities,"26,500,000",-,-,357,0
,Support to Health Programs,"149,622,386","96,271,751",64.3,357,0
402114110,Health promotion,"89,486,714","70,595,186",78.9,357,0
402134110,Emergency preparedness & disaster response,"49,710,832","25,676,565",51.7,357,0
402164110,mainstreaming,"10,424,840",-,-,357,0
,,"23,750,600","1,032,000",4.3,357,0
410014110,Laboratory Services,"2,250,000","243,000",10.8,357,0
410024110,Blood Transfusion Services,"2,400,000",-,-,357,0
410034110,Rehabilitative Services,"2,500,000","399,000",16.0,357,0
410044110,Referrals & Emergency Services,"2,500,000",-,-,357,0
410054110,Radiology Services,"2,300,000",-,-,357,0
410064110,Dental Services,"2,100,000",-,-,357,0
410074110,Clinical Services,"2,000,000",-,-,357,0
410084110,Nursing Services,"2,000,000",-,-,357,0
410094110,Rural Health Facility Support,"2,400,000","390,000",16.3,357,0
410104110,Sub county Health Facilities Support,"3,300,600",-,-,357,0
,,"10,460,000",-,-,357,0
411014110,LCRH Devt,"10,460,000",-,-,357,0
,,"411,282,467","30,961,397",7.5,357,0
412014110,Medical Supplies,"406,782,467","30,814,055",7.6,357,0
412024110,Health mgt,"4,500,000","147,342",3.3,357,0
,,"45,504,109","976,500",2.1,357,0
413014110,Health Information & Mgt,"6,328,287","976,500",15.4,357,0
413024110,Quality Assurance,"2,000,000",-,-,357,0
413034110,Universal Health Care,"37,175,822",-,-,357,0
,,"3,700,000","160,000",4.3,357,0
414014110,Rehabilitation & Treatment,"950,000",-,-,357,0
414024110,Public Education & Awareness,"300,000",-,-,358,0
414034110,Liquor Licensing,"2,150,000","160,000",7.4,358,0
414044110,Training & Capacity Building,"300,000",-,-,358,0
,Social protection programs/ Affirmative Action,"27,442,410","577,030",2.1,358,0
503014110,"Economic empowerment & provision of assistive
devices",-,-,,358,0
503024110,"Construction of PWDs multi-purpose resource
center","12,500,000","541,960",4.3,358,0
503074110,Marginalized and Minority groups support,"1,365,493","35,070",2.6,358,0
503084110,Child Rescue Centers,"8,000,000",-,-,358,0
503094110,Child Care & Protection,"5,576,917",-,-,358,0
,Sports and arts programme,"29,279,109","2,676,600",9.1,358,0
504014110,Construction of sport Stadia,"9,279,109","2,676,600",28.8,358,0
504044110,Stadia,"20,000,000",-,-,358,0
,General Administration,"794,936,945","525,984,506",66.2,358,0
506014110,General Administration,"450,936,945","231,984,506",51.4,358,0
506024110,Turkana Education and Skill Development Fund,"294,000,000","294,000,000",100.0,358,0
506044110,Turkana Higher Education Loans,"50,000,000",-,-,358,0
,Vocational Training,"19,180,545","13,146,030",68.5,358,0
508024110,Training and Development,"3,226,370","833,690",25.8,358,0
508034110,Co-Curricular Activities,"2,060,877","131,640",6.4,358,0
508044110,Youth Polytechnics- Conditional,"13,893,298","12,180,700",87.7,358,0
,Public Relations,"2,449,120","845,600",34.5,358,0
509014110,Publicity,"1,449,120","196,950",13.6,358,0
509024110,Research and Sensitization,"1,000,000","648,650",64.9,358,0
,Early Childhood Education,"178,904,506","9,905,185",5.5,358,0
510014110,School Feeding,"149,000,000","5,381,165",3.6,358,0
510024110,Quality Improvement,"7,904,506","4,524,020",57.2,358,0
510034110,Infrastructure Development,"14,000,000",-,-,358,0
510044110,Support to Pre-Primary Training,"8,000,000",-,-,358,0
,"General Administration, Planning and Support
Services","5,200,111,448","2,645,897,759",50.9,358,0
701014110,General Administration Services,"192,739,241","81,381,142",42.2,358,0
701044110,Infrastructure Development & Support Services,"110,000,000","19,999,840",18.2,358,0
701094110,General Administration - Economic planning,"87,005,815","6,039,001",6.9,358,0
701104110,County Headquarters Offices,"65,000,000",-,-,358,0
701114110,Security Access Installation,"5,000,000",-,-,358,0
701154110,General Admin Planning & Support,"18,338,532","4,934,672",26.9,358,0
701164110,"General Administration, Planning and Support
Services-Public Service","4,264,819,953","2,393,716,003",56.1,358,0
701174110,"General Administration, Planning and Support
Services","90,498,491","42,490,084",47.0,358,0
701184110,Integration of PWD Computing Skills,"1,272,966","1,150,366",90.4,358,0
701194110,"General Administration, Planning and Support
Services- Office of","312,451,450","79,556,838",25.5,358,0
701204110,"General Administration, Planning and Support
Services- Liaison O","25,135,000","7,097,064",28.2,358,0
701214110,General Admin Planning & Support,"27,850,000","9,532,749",34.2,358,0
,Governors Residence,"12,256,691","3,072,580",25.1,359,0
702014110,Construction of Governors residence,"2,775,822","324,800",11.7,359,0
702024110,"Documentation, communication policy and strat-
egy","3,501,096","1,360,260",38.9,359,0
702034110,Civic Education and Public Sensitization,"3,851,643","1,387,520",36.0,359,0
702044110,Production of County Newspaper and Newsletter,"2,128,130",-,-,359,0
,Donor/ Investor engagement,"22,000,000","9,449,300",43.0,359,0
703014110,Public-Private Partnership Initiatives (PPPs),"2,200,000","1,269,560",57.7,359,0
703024110,Political and Intergovernmental Advisory Services,"2,200,000","804,620",36.6,359,0
703034110,Legal Advisory Services,"2,200,000","976,500",44.4,359,0
703044110,Security and cross border Advisory Services,"2,200,000","366,520",16.7,359,0
703054110,Oil And Gas Advisory Service,"2,200,000","1,222,600",55.6,359,0
703064110,Gender and Partnership Advisory Services,"2,200,000","1,828,520",83.1,359,0
703074110,Special Interest groups,"2,200,000","705,600",32.1,359,0
703084110,Climate Change advisory services,"2,200,000","997,800",45.4,359,0
703094110,Education and youth Advisory services,"2,200,000","1,277,580",58.1,359,0
703104110,"Culture, Arts and Heritage advisory services","2,200,000",-,-,359,0
,Security and Peace Building,"205,176,370","18,684,516",9.1,359,0
704024110,"Operationalization of peace building structures
and institutions","45,876,370","8,577,101",18.7,359,0
704034110,Resettlement Infrastructural Programme,"138,100,000",-,-,359,0
704044110,Cross Border peace dividends programme,"21,200,000","10,107,415",47.7,359,0
,"Government Communication and Media rela-
tions","28,314,515","7,160,222",25.3,359,0
705014110,"Acquiring & development of communication sys-
tems/equipment","13,031,443","6,069,022",46.6,359,0
705024110,Bills,"8,000,000",-,-,359,0
705034110,Policies,"1,017,801","856,200",84.1,359,0
705044110,"Development and Implementation of ICT Policy
and Regulations","2,220,657","235,000",10.6,359,0
705054110,"Acquisition of Information Systems and Equip-
ments","4,044,614",-,-,359,0
,Revenue Collection Systems,"28,341,137","6,973,060",24.6,359,0
706014110,Automated Revenue Collection,"4,340,650","1,399,201",32.2,359,0
706024110,Feasibility Study on Revenue Base,"950,548","568,928",59.9,359,0
706034110,Awareness and Campaigns on Revenue.,"3,834,913","888,650",23.2,359,0
706044110,Motorbikes for Revenue Officers 30 No.,"1,126,370",-,-,359,0
706054110,Strengthening Revenue Systems,"7,188,656","3,621,400",50.4,359,0
706064110,"Revenue Forecast and Revenue Budget Prepara-
tion","1,400,000","494,881",35.3,359,0
706074110,Completion of Lokiriama Revenue Centre,"9,500,000",-,-,359,0
,Accountability and Transparency,"838,207,576","189,595,990",22.6,359,0
707014110,Internal Audit,"9,514,319","5,540,959",58.2,359,0
707024110,Procurement systems,"6,361,307","2,965,600",46.6,359,0
707044110,IFMIS training,"21,255,233","11,144,140",52.4,359,0
707054110,Consultancy Services,"17,451,643","3,306,000",18.9,359,0
707064110,Financial Reporting/Research and Development,"623,625,074","6,639,291",1.1,359,0
707074110,"Modern Fencing, Gate and Parking Yards for
County Treasury Office","160,000,000","160,000,000",100.0,359,0
,Social and Financial Security,"21,551,643","1,740,540",8.1,360,0
708014110,Assurance and Insurance of Govt. Assets,"5,300,000","345,140",6.5,360,0
708024110,Liability and Debt Management,"4,251,643",-,-,360,0
708034110,Turkana SACCO Seed Capital,"12,000,000","1,395,400",11.6,360,0
,Planning and Policy formulation,"142,094,864","15,565,350",11.0,360,0
709014110,Economic Policy formulation and Dissemination,"12,346,060","4,575,400",37.1,360,0
709024110,CIDP review and Dissemination,"4,144,503","1,245,500",30.1,360,0
709034110,Budget preparation and Dissemination,"99,451,014","2,510,350",2.5,360,0
709054110,County Budget and Economic Forums,"1,500,000",-,-,360,0
709064110,Public Participation and Access to Information,"9,950,000","4,179,400",42.0,360,0
709074110,Waste Management,"4,000,000","1,289,060",32.2,360,0
709094110,Research & Statistics,"7,173,287","433,600",6.0,360,0
709104110,Sector Plans Devt,"3,530,000","1,332,040",37.7,360,0
,Development coordination Programme,"4,117,234","747,698",18.2,360,0
710014110,Donor scan/Mapping,"1,564,740","30,260",1.9,360,0
710024110,Establishment of development committees,"1,087,313","367,438",33.8,360,0
710034110,Training of the development committees,"751,046","350,000",46.6,360,0
710044110,"Formulation and Developmet of TCPSB Board-
room ICT Infrastructure","714,135",-,-,360,0
,Monitoring and Evaluation,"7,305,607","3,308,900",45.3,360,0
711014110,"Soft wares( E-ProMIS, GIS e.t.c)","2,216,600","1,691,600",76.3,360,0
711024110,"Field visits, data collection and Reporting","1,700,000","150,000",8.8,360,0
711034110,Training and Knowledge management,"1,675,822","695,800",41.5,360,0
711044110,Devolved Monitoring and Evaluation Committees,"1,713,185","771,500",45.0,360,0
,Public Participation and Access to Information,"36,457,122","12,843,605",35.2,360,0
712014110,Construction of Citizen Resource Centre,"5,000,000","1,799,540",36.0,360,0
712024110,Web site Development,"14,516,728","1,632,680",11.2,360,0
712034110,Social Budgeting and Generation of SIR Reports,"3,500,000","862,400",24.6,360,0
712044110,Intergovernmental Relation,"9,589,846","7,589,846",79.1,360,0
712054110,"Strategy Development, Review, Support and Op-
erationalization","3,850,548","959,139",24.9,360,0
,County Statistical Unit,"14,961,366","6,292,000",42.1,360,0
713014110,"Soft wares, databases and tools","14,961,366","6,292,000",42.1,360,0
,Service Delivery- ISO Certification,"16,493,389","5,042,820",30.6,360,0
714014110,Service Charter,"3,100,000","1,600,100",51.6,360,0
714024110,Development of County Filing Systems,"9,179,109","1,586,620",17.3,360,0
714034110,Procedure Manual and Training,"4,214,280","1,856,100",44.0,360,0
,County Internship Programme,"33,000,000","9,070,630",27.5,360,0
715014110,County Internship Programme,"33,000,000","9,070,630",27.5,360,0
,Operationalization of Decentralized Units,"53,528,561","24,533,082",45.8,360,0
717014110,Operationalization of Decentralized Units,"12,000,000","5,906,121",49.2,360,0
717024110,Decentralized County Policy,"32,500,000","18,626,961",57.3,360,0
717034110,Coordinated development,"4,126,370",-,-,360,0
717044110,Policy sensitization and dissemination,"4,902,191",-,-,360,0
,"Mainstream Public Sector Integrity programme
& Accountability","4,478,944","1,306,030",29.2,361,0
718014110,"Mainstream Public Sector Integrity programme &
Accountability","794,798",-,-,361,0
718024110,"Public Evaluation on County Public Service Board
Performance","1,109,182","607,000",54.7,361,0
718034110,Human Resource Conference & Symposium,"1,266,569","74,080",5.8,361,0
718044110,Exit Meetings Per Department,"1,308,395","624,950",47.8,361,0
,Disaster Risk Reduction,"2,142,906","895,500",41.8,361,0
719014110,"Turkana County Drought and Disaster Contin-
gency Fund (CDDCF)","813,056","265,750",32.7,361,0
719034110,Assessment and stake holder capacity mapping,"838,974","629,750",75.1,361,0
719044110,"Regular Assessments of Food, Flood and Conflict
Security","490,876",-,-,361,0
,Human resource,"10,715,812","3,800,607",35.5,361,0
720014110,Scheme of service,"1,459,985","226,037",15.5,361,0
720024110,Performance Appraisal,"3,649,667","1,115,340",30.6,361,0
720034110,Enhancing Leadership In County Public Service,"801,937","200,000",24.9,361,0
720044110,Review and Development of HR Policies,"967,087","413,300",42.7,361,0
720054110,"Human Resource Development/Career Progres-
sion","1,115,383","571,950",51.3,361,0
720064110,Performance Management Monitoring,"905,695","542,000",59.8,361,0
720074110,Development of Database Filing System,"536,072",-,-,361,0
720084110,"County Public Service Pre-Retirement Sensitiza-
tion","633,050","633,050",100.0,361,0
720094110,Evaluation of Different Cadres of Employees,"646,936","98,930",15.3,361,0
,"CONSTRUCTION OF NEW ASSEMBLY
BUILDING","62,028,691","11,181,105",18.0,361,0
721014110,Construction of New Assembly Building,"45,282,963","9,992,085",22.1,361,0
721034110,Office of Speaker,"16,745,728","1,189,020",7.1,361,0
,SPEAKER'S RESIDENCE,"68,852,009","31,080,334",45.1,361,0
722014110,Construction of Speaker's Residence,"66,748,733","30,144,334",45.2,361,0
722024110,"Purchase of land for construction of speaker's res-
idence","2,103,276","936,000",44.5,361,0
,Quality management system programming,"1,920,085","490,490",25.5,361,0
723014110,"Quality Management Systems Development & Es-
tablishment","404,291","120,490",29.8,361,0
723024110,QMS Audit /Routine Inspection,"494,709","370,000",74.8,361,0
723034110,Documentation/Record Management For QMS,"1,021,085",-,-,361,0
,Budgetary Supply,"100,841,964","37,234,132",36.9,361,0
724014110,"Budget Formulation, Co-ordination and Manage-
ment","72,688,548","29,614,410",40.7,361,0
724024110,Public Participation in Budgeting,"19,653,416","4,208,714",21.4,361,0
724034110,County Budget and Economic Forum,"8,500,000","3,411,008",40.1,361,0
,Resource Mobilisation,"6,423,287","3,853,156",60.0,361,0
725014110,Resource Mobilisation,"6,423,287","3,853,156",60.0,361,0
,General administration Assembly,"895,898,781","381,502,934",42.6,361,0
726014110,Finance and Shared Services,"868,523,479","381,502,934",43.9,361,0
726024110,Hansard Research and information services,"12,918,253",-,-,361,0
726034110,County Assembly Service Board.,"14,457,049",-,-,361,0
,Governors Press Service,"5,014,280","99,100",2.0,361,0
727014110,Governors Press support,"5,014,280","99,100",2.0,362,0
,Governance and Public participation,"41,402,192","3,435,850",8.3,362,0
728014110,Civic education Programme,"1,901,096","553,300",29.1,362,0
728024110,Public Participation and access to information,"32,200,000","2,882,550",9.0,362,0
728034110,County Dialogue Forum,"2,000,000",-,-,362,0
728044110,National & County Holidays,"3,701,096",-,-,362,0
728054110,Policies Design,"1,600,000",-,-,362,0
,Disaster risk management,"450,579,650","118,207,630",26.2,362,0
729014110,Disaster Preparedness Programmes,"2,375,822",-,-,362,0
729024110,Disaster Mitigation Programmes,"2,901,096",-,-,362,0
729034110,"Stakeholders coordination and Support Pro-
gramme","1,713,185",-,-,362,0
729044110,Humanitarian Relief Food Programme,"442,288,999","118,207,630",26.7,362,0
729064110,Disaster Risk Mgt,"1,300,548",-,-,362,0
,Inspectorate services,"52,203,287","8,927,150",17.1,362,0
730044110,Inspectorate Training Institute,"16,700,000","4,109,870",24.6,362,0
730054110,Dispute Resolution,"4,000,000",-,-,362,0
730064110,Enforcement,"8,103,287","460,000",5.7,362,0
730074110,Capacity Building,"5,700,000","1,202,300",21.1,362,0
730084110,Inspectorate Services,"6,000,000","331,100",5.5,362,0
730094110,Inspectorate Services Equip,"11,700,000","2,823,880",24.1,362,0
,Human resource management,"31,951,644","2,796,720",8.8,362,0
731014110,Payroll and record management,"1,400,000",-,-,362,0
731024110,Human Resource Development,"7,000,000","1,429,620",20.4,362,0
731034110,"GHRIS Leave & Performance Module Implemen-
tation","3,900,000","727,300",18.6,362,0
731044110,"Digitization and Automation of Human Resource
Registry","2,650,000","319,000",12.0,362,0
731054110,"Mainstreaming Public Sector Integrity Pro-
gramme","4,300,000",-,-,362,0
731064110,County performance management,"4,800,000","158,400",3.3,362,0
731074110,Public Service Week,"3,400,000",-,-,362,0
731094110,Records Mgt,"1,500,548",-,-,362,0
731104110,HRM,"3,001,096","162,400",5.4,362,0
,,"17,702,000","3,690,617",20.8,362,0
735014110,Govt Programming,"7,002,000","1,840,570",26.3,362,0
735024110,Community Engagement,"3,500,000","434,785",12.4,362,0
735034110,Govt Stakeholder Engagement,"3,200,000","977,370",30.5,362,0
735044110,Govt Transformation,"4,000,000","437,892",10.9,362,0
,General Administration,"73,201,890","54,073,856",73.9,362,0
901014110,"General Administration, Planning and Support
Services","73,201,890","54,073,856",73.9,362,0
,Tourism destination marketing and promotion,"13,069,211","2,773,585",21.2,362,0
902014110,"Tourism expos ,incentives, conferences and exhi-
bition program","3,500,001","1,919,665",54.8,362,0
902024110,Community Based Tourism products,"2,150,000","197,800",9.2,362,0
902054110,"Media Campaign and Promotion of Tourism
Products and Programmes","7,419,210","656,120",8.8,362,0
,Tourism development and Promotion,"2,420,000","1,564,544",64.7,363,0
903024110,Phase II of Renovation of Tourism Infrastructure,"502,444","502,444",100.0,363,0
903034110,Tourism Products,"1,917,556","1,062,100",55.4,363,0
,"Culture, arts, heritage development, promotion
and preservation","91,274,234","41,751,013",45.7,363,0
904014110,Ushanga Initiative,"37,800,000","6,235,260",16.5,363,0
904024110,Culture Promotion and Preservation,"8,800,756","2,724,360",31.0,363,0
904034110,Arts and Creativity Development,"3,073,478","256,300",8.3,363,0
904044110,Heritage Promotion,"6,600,000","3,641,095",55.2,363,0
904054110,Annual tourism and cultural festival,"35,000,000","28,893,998",82.6,363,0
,"Culture development and preservation infra-
structure","5,000,000","1,890,000",37.8,363,0
905014110,"Equipment and Infrastructure Development at
Ekalees Centre","5,000,000","1,890,000",37.8,363,0
,"Forestry and wildlife management development
and management","32,809,835","3,723,108",11.3,363,0
906014110,Forestry Management and Conservation,"3,826,370","684,600",17.9,363,0
906024110,Community Wildlife Conservation,"16,182,370","3,038,508",18.8,363,0
906054110,Forestry Development Infrastructure,"7,600,000",-,-,363,0
906084110,Forestry Protection,"2,701,095",-,-,363,0
906094110,Prosopis Mgt,"2,500,000",-,-,363,0
,Turkana Water Programme,"209,169,534","15,587,681",7.5,363,0
1001014110,"General Administration, Planning and support
services",,,,363,0
1001024110,"Construction and Desilting of Water Pans/Rock
Catchment","98,094,950","2,010,860",2.0,363,0
1001034110,Rehabilitation of Water Infrastructure,"42,495,787","5,036,097",11.9,363,0
1001044110,Drilling and Equipping of Boreholes,"64,952,427","7,570,264",11.7,363,0
1001094110,Project Coordination and Management,"3,626,370","970,460",26.8,363,0
,Joint planning with stakeholders,"16,353,404","4,498,900",27.5,363,0
1002014110,Technical planning and design,"2,053,404","678,520",33.0,363,0
1002144110,Drought Mitigation,"14,300,000","3,820,380",26.7,363,0
,"IRRIGATION AND SCHEMES DEVELOP-
MENT PROGRAMME","25,205,109","4,671,670",18.5,363,0
1003014110,"Feasibility studies for irrigation systems develop-
ment","25,205,109","4,671,670",18.5,363,0
,TURKANA AGRICULTURE PROGRAMME,"12,482,005","1,981,462",15.9,363,0
1004014110,Farmers training,"6,798,601","454,062",6.7,363,0
1004024110,Establishment of farm demonstrations and trials,"2,453,404","732,900",29.9,363,0
1004124110,Climate Change & Adaptation,"3,230,000","794,500",24.6,363,0
,TURKANA REHABILITATION PROGRAMME,"8,154,218","1,207,800",14.8,363,0
1005014110,"Construction of trapezoidal bunds, contours &
micro catchment","3,053,404","278,200",9.1,363,0
1005034110,Sinking of shallow wells,"810,329",-,-,363,0
1005064110,Artisanal Mining Equipment,"2,000,000",-,-,363,0
1005074110,Extractive Bills & Policies,"2,290,485","929,600",40.6,363,0
,General Administration and Support,"439,341,305",,-,363,0
1012014110,General Administration and Support,"439,341,305",,-,363,0
,,"18,257,465","992,000",5.4,363,0
