Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","A
Variance (Kshs)
t","bsorp-
ion (%)",page_number,table_index,Variance (Kshs),"Absorp-
tion (%)"
Operation and maintenance,Use of Goods and Services,"27,495,831","14,760,723",,,42,0,"12,735,108",54%
Programmes 4,Policy Development,"2,000,000",-,,,42,0,"2,000,000",0%
,Transformative Health Care systems,"87,100,000","30,790,681",,,42,0,"56,309,319",35%
,DANIDA Funds disbursements,"17,718,750","7,000,000",,,42,0,"10,718,750",40%
,User fees forgone disbursements,"16,713,356",-,,,42,0,"16,713,356",0%
,Cash Transfers to Health Facilities.,"58,853,899","58,837,980",,,43,0,"15,919",100%
,"Specialized Materials and Supplies
-(Renal, CT-SCAN, Ophthalmic, On-
cology, HDU, theatre consumables)","12,000,000",-,,,43,0,"12,000,000",0%
,Medical Drugs,"160,770,000","107,401,075",,,43,0,"53,368,925",67%
,"Dressings and Other Non- Pharmaceu-
tical Medical Items -(gloves, linen, etc)","10,000,000","4,687,450",,,43,0,"5,312,550",47%
,Hire of Transport - ambulance service,"24,000,000","22,660,084",,,43,0,"1,339,916",94%
,"Laboratory Materials, Supplies and
Small Equipment","18,620,000","6,066,640",,,43,0,"12,553,360",33%
,"Community and health facility based
interventions","60,329,352",-,,,43,0,"60,329,352",0%
,"Communicable disease prevention and
Control","4,450,000",-,,,43,0,"4,450,000",0%
,"Sanitation programmes ( including
BIDP)","10,500,000",-,,,43,0,"10,500,000",0%
,Nutrition services,"3,560,000","70,000",,,43,0,"3,490,000",2%
,Community maternal and child health,"8,981,552",-,,,43,0,"8,981,552",0%
P5. DEVELOPMENT,DEVELOPMENT,,,,,43,0,,
,"Non-Residential Buildings (Hospitals,
Health centers, dispensaries)","185,000,000","5,099,298",,,43,0,"179,900,702",3%
,"Purchase of Medical and Dental Equip-
ment -","25,820,000","9,641,489",,,43,0,"16,178,511",37%
,Leasing of medical equipment,"131,914,894",-,,,43,0,"131,914,894",0%
,Purchase of ambulances,"20,000,000",-,,,43,0,"20,000,000",0%
,"Procurement, Installation & com-
missioning of a standby generator for
Longisa CRH","9,000,000",-,,,43,0,"9,000,000",0%
,"Information communication technolo-
gy - CCTV for Longisa CRH","3,000,000",-,,,43,0,"3,000,000",0%
AGRICULTURE COOPERATIVES AND MARKETING,,,,,,43,0,,
"Operation and Mainte-
nance",Use of Goods and Services sub total,"60,972,095","26,833,614",,,43,0,"34,138,481",44%
P.1Development,,,-,,,43,0,-,
,IDA(Word Bank) Kenya Climate Smart,"215,200,000","11,304,194",,,43,0,"203,895,806",5%
"P.2Crop development and
management",,,,,,43,0,,
,"Other infrastructure and civil works-
Cash crop development","6,000,000",-,,,43,0,"6,000,000",0%
,Purchase of Certified Crop Seeds,"1,100,000","1,100,000",,,43,0,-,100%
,Supplies for Production,"12,000,000","11,475,000",,,43,0,"525,000",96%
,"Non-Residential Buildings (offices,
schools, hospitals, etc.- Satellite ATCs","4,900,000","3,338,236",,,43,0,"1,561,764",68%
,"Policy development on animal health
and production","1,000,000",-,,,43,0,"1,000,000",0%
,"Agricultural Materials supplies and
small Equipment","4,900,000","346,750",,,43,0,"4,553,250",7%
,Other current transfers- Co-funding,"5,000,000",-,,,43,0,"5,000,000",0%
,"Agricultural Materials, Supplies and
Small Equipment","1,400,000",-,,,43,0,"1,400,000",0%
,Food & Nutrition Security,"6,400,000",-,,,43,0,"6,400,000",0%
"P3. Agribusiness - Devel-
opment and marketing",,,,,,44,0,,
,SP3.1 Cooperative development,,,,,44,0,,
,Cooperative societies,"7,000,000","1,000,000",,,44,0,"6,000,000",14%
,"Purchase of Agricultural machinery
and Equipment- Value Addition","4,100,000",-,,,44,0,"4,100,000",0%
,"Other infrastructure and Civil Works
-Value addition","6,000,000",-,,,44,0,"6,000,000",0%
,Other infrastructure and Civil Works -,"7,000,000","6,494,093",,,44,0,"505,908",93%
"P4. Livestock, Fisheries &
Veterinary Services",,,,,,44,0,,
,SP4.1 Livestock Development,,,,,44,0,,
,"Agricultural Materials, Supplies and
Small Equipment","2,700,000","852,000",,,44,0,"1,848,000",32%
,"Construction of buildings -Cooling
plant","3,000,000","597,500",,,44,0,"2,402,500",20%
,SP 4.2 Fisheries Development,,,,,44,0,,
,Construction of Fish pond,"400,000",-,,,44,0,"400,000",0%
,"Purchase of Animals and Breeding
Stock","500,000","500,000",,,44,0,-,100%
,"SP 4.3 Disease, Vector and pest con-
trol",,,,,44,0,,
,Veterinarian Supplies and Materials,"4,000,000","525,000",,,44,0,"3,475,000",13%
,"SP 4.4 Veterinary services develop-
ment",-,-,,,44,0,-,
,Construction of buildings,"19,000,000","3,536,896",,,44,0,"15,463,105",19%
,"Refurbishment of Non-Residential
Buildings-Dips and slaughter and Tea
buying centres","58,000,000","18,024,133",,,44,0,"39,975,867",31%
Programme 1,"Policy planning and administrative
services",,,,,44,0,,
,County water policy and bill,"2,000,000",-,,,44,0,"2,000,000",0%
,"Consultancy Services for Feasibility
Study to identify potential sources for
development of water Supply","4,000,000",-,,,44,0,"4,000,000",0%
,"Consultancy Services for Preparation
of County Natural Resources Master
Plan (EOI and Design)","2,000,000",-,,,44,0,"2,000,000",0%
Programme 2,"Development of Water Supply for Do-
mestic and Commercial purposes",,,,,44,0,,
,Water supply infrastructure,"257,846,082","107,173,746",,,44,0,"150,672,336",42%
,BIDP Programme,"35,000,000","35,000,000",,,44,0,-,100%
,water harvesting and storage,"33,000,000",-,,,44,0,"33,000,000",0%
,Spring protection,"15,000,000",-,,,44,0,"15,000,000",0%
,Drilling of boreholes,"33,000,000",-,,,44,0,"33,000,000",0%
Programme 3,Irrigation Development,-,-,,,44,0,-,
,Irrigation infrastructure,"5,000,000",-,,,44,0,"5,000,000",0%
Programme 4,"Environmental and natural resources
protection and conservation",,,,,44,0,,
,Soil and water conservation,"3,000,000",-,,,44,0,"3,000,000",0%
,Riparian protection,"2,000,000","1,258,240",,,44,0,"741,760",63%
,Agroforestry,"6,000,000","4,257,363",,,44,0,"1,742,637",71%
,Solid waste management,"500,000",-,,,44,0,"500,000",0%
,"Climate Change adaptation and Miti-
gation","4,000,000","797,801",,,44,0,"3,202,200",20%
,"Environmental education and aware-
ness","2,000,000",-,,,44,0,"2,000,000",0%
"EDUCATION AND VO-
CATIONAL TRAININGS",,,,,,44,0,,
,,,,,,44,0,,
"Operation and mainte-
nance",Use of Goods and Services,"10,839,269","3,455,880",,,45,0,"7,383,389",32%
"Policy, Planning and
General Administrative
services",,,,,,45,0,,
,Mobilization and Awareness,"1,259,321","901,000",,,45,0,"358,321",72%
,Bursaries and Support Services,"56,496,660","20,434,107",,,45,0,"36,062,553",36%
,Revolving Fund,"20,000,000",-,,,45,0,"20,000,000",0%
,"Other Transfers (Support to Polytech-
nic)","57,875,000","4,835,628",,,45,0,"53,039,372",8%
DEVELOPMENT,,,,,,45,0,,
"Early Childhood Develop-
ment and Education",,,,,,45,0,,
,Construction of ECD Classrooms,"112,500,000","53,788,896",,,45,0,"58,711,104",48%
,Furniture in ECD,"4,050,000",-,,,45,0,"4,050,000",0%
,Teaching/ Learning Materials,"700,000",-,,,45,0,"700,000",0%
,Ancillary Education Support,"5,000,000",-,,,45,0,"5,000,000",0%
"Technical Vocational Edu-
cational and Training",,,,,,45,0,,
,"Infrastructure Development and
expansion","5,925,000","2,343,379",,,45,0,"3,581,621",40%
ROADS PUBLIC WORKS AND TRANSPORT,,,,,,45,0,,
,Use of Goods and Services sub total,"58,382,125","17,859,717",,,45,0,"40,522,408",31%
Programme 1,"Policy planning and administrative
services",,-,,,45,0,-,
,Policy Development (Roads),"2,500,000",-,,,45,0,"2,500,000",0%
Programme 2,Roads Construction & Maintenance,,,,,45,0,,
,"Major Roads (Upgrading to Bitumen
Standards (Feasibility study and EIA))",,,,,45,0,,
,Construction of Roads,"547,566,703","148,535,579",,,45,0,"399,031,124",27%
,Overhaul of Roads (RMLF),"156,322,688","54,819,037",,,45,0,"101,503,651",35%
Programme 3,"Development and Maintenance of
other Public works",,,,,45,0,,
,"Construction and Maintenance of Mo-
torized Bridge","20,000,000","18,321,865",,,45,0,"1,678,135",92%
,Culvert Installation,"14,000,000",-,,,45,0,"14,000,000",0%
,Foot Bridge construction,"5,000,000","2,325,452",,,45,0,"2,674,548",47%
,"Construction and equipping of Materi-
al Testing Lab","6,000,000",-,,,45,0,"6,000,000",0%
,"Consultancy services for Construction
works","5,000,000",-,,,45,0,"5,000,000",0%
Programme 4,County Transport Infrastructure,,,,,45,0,,
,"Operationalization of a Fleet manage-
ment system and construction of a con-
trol room","5,000,000",-,,,45,0,"5,000,000",0%
"TRADE ENERGY TOUR-
ISM INDUSTRY AND
INVESTMENT",,,,,,45,0,,
,Use of Goods and Services,"20,396,647","13,474,597",,,45,0,"6,922,050",66%
,Other Recurrent Expenditure,,-,,,45,0,-,
,Maintenance Expenses - Motor Vehicle,"3,404,353","890,575",,,45,0,"2,513,778",26%
P1. Trade Development,,,,,,45,0,,
,Capacity Building Of Smes,"2,000,000","24,400",,,45,0,"1,975,600",1%
,Trade Awards,"1,000,000","480,000",,,45,0,"520,000",48%
Development Expenditure,,,,,,45,0,,
