Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","52,852,589","35,907,873","16,944,716",67.9,223,0
"Coordination of County Government
Function","Coordination of County
Government Function","14,395,000","12,970,760","1,424,240",90.1,223,0
County Enforcement Services,"County Law Enforcement
Service","2,530,000","795,000","1,735,000",31.4,223,0
Human Resource Management,"Human Resource Manage-
ment","820,853,506","440,561,793","380,291,713",53.7,223,0
"Legal Representation and Advisory Ser-
vices","Legal Representation and
Advisory Services","157,779,879","158,844,967","(1,065,088)",100.7,223,0
Town Management & Administration,"Town Management & Ad-
ministration","11,087,868","5,373,629","5,714,239",48.5,223,0
"Road, Transport and Energy",,,,,,223,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","68,879,845","49,106,633","19,773,212",71.3,223,0
Electrification and Street Lighting,"Electrification and Street
Lighting","32,400,155","4,450,039","27,950,116",13.7,223,0
Road Transport,Road Transport,"1,131,816,728","291,808,759","840,007,969",25.8,223,0
"Trade, Investment, Industrialization, Tourism and Cooperative Development",,,,,,223,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","51,770,110","35,400,074","16,370,036",68.4,223,0
Trade Development & Promotion,,,,,,223,0
Cooperative Development,Cooperative Development,"20,000,000","10,110,687","9,889,313",50.6,223,0
Tourism Development and Promotion,"Tourism Development and
Promotion","22,580,000","28,078,399","(5,498,399)",124.4,223,0
Industrial Development and Investment,"Industrial Development and
Investment",-,-,-,-,223,0
"Youth, Affairs and Sport",,,,,,223,0
"General Administration, Planning and Support Services",,,,,,223,0
Youth Affairs,Youth Affairs,"77,635,925","42,627,732","35,008,193",54.9,223,0
Sport Development,Sport Development,"125,019,203","37,981,162","87,038,041",30.4,223,0
Arts & Culture Development,"Arts & Culture Develop-
ment","26,500,000","14,553,675","11,946,325",54.9,223,0
County Public Service Board,,,,,,223,0
"Human Resource Management & Devel-
opment","Human Resource Manage-
ment & Development","25,381,034","21,494,000","3,887,034",84.7,223,0
"Environment, Wildlife and Natural Resource",,,,,,223,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","44,100,000","24,271,208","19,828,792",55.0,223,0
"Environmental Management and Protec-
tion","Environmental Manage-
ment and Protection","25,400,000",-,"25,400,000",-,223,0
County Assembly,,,,,,223,0
"General Administration, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","243,944,036","143,789,032","100,155,004",58.9,223,0
Legislative and Representation,"Legislative and Representa-
tion","466,240,684","353,009,856","113,230,828",75.7,223,0
Legislative Oversight,Legislative Oversight,"235,035,280","175,951,112","59,084,168",74.9,223,0
Total,,"11,193,652,518","6,200,284,637","4,993,367,882",55.4,223,0
