Vote,Sub Program,Budget (Kshs.),Expenditure (Kshs.),Variance (Kshs.),Absorption (%),page_number,table_index
,,"805,774,496","325,390,424","480,384,072",40.4,330,0
"Cohesion and Spe-
cial Programme","Administration, planning support
services","10,000,000",-,"10,000,000",-,330,0
,"Administration, planning support ser-
vices","10,000,000",-,"10,000,000",-,330,0
,"Social Protection and Response to
Other Disasters","40,000,000",-,"40,000,000",-,330,0
,Resettlement of Victims,"40,000,000",-,"40,000,000",-,330,0
,,"50,000,000",-,"50,000,000",-,330,0
"Culture, Gender and
Youth Services",Culture and Arts Development,"8,600,000",-,"8,600,000",-,330,0
,Culture Promotion and Development,"8,600,000",-,"8,600,000",-,330,0
,"Sports, Training & Competition","83,500,000",-,"83,500,000",-,330,0
,"Rehabilitation ang upgrading of Sta-
dium","83,500,000",-,"83,500,000",-,330,0
,TOTAL,"92,100,000",-,"92,100,000",-,330,0
"Environment and
Wildlife","Environmental Management Pro-
gramme","41,157,260",-,"41,157,260",-,330,0
,Environmental Protection,"41,157,260",-,"41,157,260",-,330,0
,TOTAL,"41,157,260",-,"41,157,260",-,330,0
"Water and Sanita-
tion",Water Services,"203,842,740",-,"203,842,740",-,330,0
,Water Services,"203,842,740",-,"203,842,740",-,330,0
,,"203,842,740",-,"203,842,740",-,330,0
,"Environmental Management Pro-
gramme","41,157,260",-,"41,157,260",-,330,0
,Environmental Protection,"41,157,260",-,"41,157,260",-,330,0
,TOTAL,"245,000,000",-,"245,000,000",-,330,0
RECURENT VOTE,,,,,,330,0
Agriculture,"Administration, planning support
services","89,070,660","14,868,889","74,201,771",16.7,330,0
,"Administration, planning support ser-
vices","89,070,660","14,868,889","74,201,771",16.7,330,0
,Agricultural Development project,"417,548,619","8,391,859","409,156,760",2.0,330,0
,"Agricultural Mechanization Services
(AMS Garsen station)","40,362,414","391,859","39,970,555",1.0,330,0
,Crop Husbandry,"44,195,768",-,"44,195,768",-,331,0
,Plant Disease Control,"3,199,468",-,"3,199,468",-,331,0
,KCSAP,"271,414,525",-,"271,414,525",-,331,0
,"Agriculture Sector Development Sup-
port Project (ASDSP)","55,885,044","8,000,000","47,885,044",14.3,331,0
,Food and Agriculture Organization,"2,491,400",-,"2,491,400",-,331,0
,,"506,619,279","23,260,748","483,358,531",,331,0
Veterinary,"Administration, planning support
services","12,921,593","691,673","12,229,920",4.6,331,0
,"Administration, planning support ser-
vices","12,921,593","691,673","12,229,920",5.4,331,0
,Veterinary Services,"20,362,081","935,500","19,426,581",5.4,331,0
,Veterinary extension services,"9,406,985","400,000","9,006,985",4.6,331,0
,Artificial insemination (Pilot scheme),"6,314,000","326,700","5,987,300",4.3,331,0
,"Build a modern slaughter house in
Garsen","3,387,096",-,"3,387,096",5.2,331,0
,Leather Development Service,"1,254,000","208,800","1,045,200",-,331,0
,Diasease Control,"23,148,990","1,225,000","21,923,990",16.7,331,0
,Conduct Disease Surveillance,"16,671,611","1,057,000","15,614,611",5.3,331,0
,"Buy Tsetse fly traps/Targets (Kipini,
Tarasaa)","6,477,379","168,000","6,309,379",6.3,331,0
,,"56,432,664","2,852,173","53,580,491",2.6,331,0
Livestock,"Administration, planning support
services","41,717,884","9,227,484","32,490,400",5.1,331,0
,"Administration, planning support ser-
vices","41,717,884","9,227,484","32,490,400",22.1,331,0
,"Animal Husbandry, Livestock Re-
source Management and Devt","12,551,500","760,770","11,790,730",22.1,331,0
,Animal Husbandry,"4,322,000",-,"4,322,000",6.1,331,0
,Livestock Sale Yard,"1,078,000",-,"1,078,000",-,331,0
,Milk Cooling Plant,"4,908,500","531,650","4,376,850",-,331,0
,Irrigation Fodder Production,"2,243,000","229,120","2,013,880",10.8,331,0
,,"54,269,384","9,988,254","44,281,130",10.2,331,0
Fisheries,"Administration, planning support
services","17,444,852","1,551,396","15,893,456",18.4,331,0
,"Administration, planning support ser-
vices","17,444,852","1,551,396","15,893,456",8.9,331,0
,Fisheries,"9,080,066","309,315","8,770,751",8.9,331,0
,"Empowerment of Women and Youth
on Fish Safety and Quality Assurance","6,270,066",-,"6,270,066",3.4,331,0
,"Construction of Ice Plant and Cold
Storage","2,810,000","309,315","2,500,685",-,331,0
,,"26,524,918","1,860,711","24,664,207",11.0,331,0
"Land And Physical
Planning","Administration, planning support
services","14,177,603","5,227,183","8,950,420",7.0,331,0
,"Administration, planning support ser-
vices","14,177,603","5,227,183","8,950,420",36.9,331,0
,Land Policy and Planning,"62,659,513","7,582,228","55,077,285",36.9,331,0
,Physical Planning,"53,809,335","5,538,238","48,271,097",12.1,331,0
,Land Survey and Mapping,"5,650,178","2,043,990","3,606,188",10.3,332,0
,Land Administration,"3,200,000",,"3,200,000",36.2,332,0
,,"76,837,116","12,809,411","64,027,705",16.7,332,0
"Roads, Public Works
and Housing","Administration, Planning and Sup-
port Services","72,268,416","9,223,171","63,045,245",12.8,332,0
,"Administration, planning, Operation
and Maintenance","72,268,416","9,223,171","63,045,245",12.8,332,0
,Public Works,"22,627,000","4,426,035","18,200,965",19.6,332,0
,County Headquarters,"22,627,000","4,426,035","18,200,965",19.6,332,0
,County Roads Development,"5,334,999","35,251,500","(29,916,501)",660.8,332,0
,Routine Maintenance,"1,778,333",-,"1,778,333",-,332,0
,Opening of New Roads,"1,778,333","35,000,000","(33,221,667)","1,968.1",332,0
,"Grading and Murruming of County
Roads","1,778,333","251,500","1,526,833",14.1,332,0
,County Housing Development,"16,199,801","1,460,944","14,738,857",9.0,332,0
,Housing Development,"6,981,410","751,900","6,229,510",10.8,332,0
,Urbanization,"9,218,391","709,044","8,509,347",7.7,332,0
,Urban Development,"50,000,000","50,000,000",-,100.0,332,0
,Hola Municipality,"50,000,000","50,000,000",-,100.0,332,0
,TOTAL,"166,430,216","100,361,650","66,068,566",60.3,332,0
"Trade, Tourism and
Cooperative Devel-
opment","Administration and Support Ser-
vices","23,595,543","7,072,081","16,523,462",30.0,332,0
,"Administration, planning & support
Services","23,595,543","7,072,081","16,523,462",30.0,332,0
,"Promotion of Trade, Tourism and
Cooperative Development","86,324,411","4,677,508","81,646,903",5.4,332,0
,"Trade, Weights and Measures","69,941,666","2,689,555","67,252,111",3.8,332,0
,Promotion of Tourism,"6,953,716","1,617,000","5,336,716",23.3,332,0
,"Promotion of Cooperative Develop-
ment","9,429,029","370,953","9,058,076",3.9,332,0
,TOTAL,"109,919,954","11,749,589","98,170,365",10.7,332,0
"Health and Sanita-
tion","Administration and Support Ser-
vices","1,014,693,503","200,992,697","813,700,806",19.8,332,0
,"Administration, planning & support
Services","1,014,693,503","200,992,697","813,700,806",19.8,332,0
,Curative and Rehabilitative,"197,316,864","35,896,272","161,420,592",18.2,332,0
,Medical Supplies,"162,120,000","23,017,372","139,102,628",14.2,332,0
,Medical Services,"20,480,864","12,233,900","8,246,964",59.7,332,0
,Ambulance Services,"14,716,000","645,000","14,071,000",4.4,332,0
,Preventive and Promotive,"18,927,600","2,730,440","16,197,160",14.4,332,0
,Preventive and Promotive,"14,190,800","1,604,870","12,585,930",11.3,332,0
,Licensing and Control of Undertaking,"4,736,800","1,125,570","3,611,230",23.8,332,0
,TOTAL,"1,230,937,967","239,619,409","991,318,558",19.5,332,0
"Education and Voca-
tional Training","General Administration, Planning
and Support services","286,200,515","21,058,465","265,142,050",7.4,332,0
,"General operation, Planning and sup-
port services","286,200,515","21,058,465","265,142,050",7.4,332,0
,"Quality and Standard Assurance in
EYE Center","79,000,000","7,411,300","71,588,700",9.4,332,0
,ECDE Learning/Teaching Materials,"20,500,000","4,274,300","16,225,700",20.9,333,0
,"ECDE Furniture and Equipment Sup-
port","14,000,000",-,"14,000,000",-,333,0
,ECDE Food Program,"40,000,000","1,987,000","38,013,000",5.0,333,0
,ECDE Infrastructure,"4,500,000","1,150,000","3,350,000",25.6,333,0
,"Vocational Training Centers and
Adult Education","36,229,485","17,736,844","18,492,641",49.0,333,0
,"Youth Polytechnic Publicity Cam-
paigns","7,000,000","3,037,975","3,962,025",43.4,333,0
,Annual Graduation and Rewards,"14,129,485","540,600","13,588,885",3.8,333,0
,"Provision of Modern Tools and Equip-
ment","10,300,000","1,908,200","8,391,800",18.5,333,0
,"Subsidized Youth Polytechnic Tuition
Fund (SYPT)","4,800,000","12,250,069","(7,450,069)",255.2,333,0
,TOTAL,"401,430,000","46,206,609","355,223,391",11.5,333,0
"Public Service, Ad-
ministration and
Citizen Participation","Administration, Planning and Sup-
port Services.","187,937,435","37,736,151","150,201,284",20.1,333,0
,"Administration, Planning and Support
Services.","187,937,435","37,736,151","150,201,284",20.1,333,0
,Human Resource and Development,"133,635,976","83,564,540","50,071,436",62.5,333,0
,Performance Management System,"11,041,991","1,804,540","9,237,451",16.3,333,0
,Human Resource Development,"122,593,985","81,760,000","40,833,985",66.7,333,0
,County Administration,"42,651,000","2,013,025","40,637,975",4.7,333,0
,ICT and Citizen Participation,"11,892,576","2,375,090","9,517,486",20.0,333,0
,TOTAL,"376,116,987","125,688,806","250,428,181",33.4,333,0
"Finance and Eco-
nomic Planning","Administration, planning support
services","482,581,756","22,695,383","459,886,373",4.7,333,0
,"Administration, planning support ser-
vices","482,581,756","22,695,383","459,886,373",4.7,333,0
,Financial Management,"142,763,604","283,419,956","(140,656,352)",198.5,333,0
,Financial management,"7,892,957","3,471,740","4,421,217",44.0,333,0
,Supply Chain Managements,"24,205,000","3,987,034","20,217,966",16.5,333,0
,Own Source Revenue Collection,"21,815,005",-,"21,815,005",-,333,0
,Budget and Economic Planning,"32,410,000","5,457,172","26,952,828",16.8,333,0
,Accounting & Finance,"34,688,450","268,346,310","(233,657,860)",773.6,333,0
,Internal Audit,"6,672,192","485,400","6,186,792",7.3,333,0
,Monitoring and Evaluation,"15,080,000","1,672,300","13,407,700",11.1,333,0
,,"625,345,360","306,115,339","319,230,021",49.0,333,0
"Public Service
Board",Board Operations & Governance,"59,501,601","9,049,253","50,452,349",15.2,333,0
,Ethics Governance and Compliance,"5,782,498","842,200","4,940,298",14.6,333,0
,"Human Resource Management & De-
velopment","2,710,000","738,000","1,972,000",27.2,333,0
,Skills and Competence Development,"1,800,000","248,100","1,551,900",13.8,333,0
,,"69,794,099","10,877,553","58,916,547",15.6,333,0
"Office of the Gover-
nor","Administration, planning support
services","379,958,061","149,715,891","230,242,170",39.4,333,0
,"Administration, planning support ser-
vices","379,958,061","149,715,891","230,242,170",39.4,334,0
,Performance Management,"107,463,833","27,414,824","80,049,009",25.5,334,0
,"County Leadership & Coordination of
CDAs","54,000,000","11,475,041","42,524,959",21.3,334,0
,County Government Advisory Service,"47,341,464","13,040,415","34,301,049",27.5,334,0
,Coordination of Peace and Cohesion,"6,122,369","2,899,368","3,223,001",47.4,334,0
,TOTAL,"487,421,894","177,130,715","310,291,179",36.3,334,0
"Cohesion and Spe-
cial Programme","Administration, planning support
services","17,230,354","4,990,591","12,239,763",29.0,334,0
,"Administration, planning support ser-
vices","17,230,354","4,990,591","12,239,763",29.0,334,0
,"Natural Disaster mitigation pro-
gramme","79,884,563","24,061,597","55,822,966",30.1,334,0
,"Drought management (Preparedness,
Response and Recovery)","4,884,563","1,592,400","3,292,163",32.6,334,0
,"Emergency Relief (food, medicine,
blankets, cash grant)","75,000,000","22,469,197","52,530,803",30.0,334,0
,"Social Protection and Response to
Other Disasters","17,204,849","1,511,000","15,693,849",8.8,334,0
,Food Distribution and Rations,"10,624,800","1,011,000","9,613,800",9.5,334,0
,"Capacity Building to Response to Fire
Outbreaks and Other Disaster","4,490,049","500,000","3,990,049",11.1,334,0
,Resettlement of Victims,"2,090,000",-,"2,090,000",-,334,0
,,"114,319,766","30,563,188","83,756,578",26.7,334,0
"Culture, Gender and
Youth Services","General Administration, Support
and Support Services","19,399,500","3,762,807","15,636,693",19.4,334,0
,"General Administration, Support
and Support Services","19,399,500","3,762,807","15,636,693",19.4,334,0
,Culture and Arts Development,"14,750,000","2,000,000","12,750,000",13.6,334,0
,Culture Promotion and Development,"10,650,000","2,000,000","8,650,000",18.8,334,0
,"Empowerment/Capacity Building of
Cultural Practitioners","4,100,000",-,"4,100,000",-,334,0
,Children Protection,"8,500,000","749,500","7,750,500",8.8,334,0
,Baseline Survey for OVC,"3,000,000","244,000","2,756,000",8.1,334,0
,"Community Awareness Creation on
Child Rights and Child Protection","3,500,000","505,500","2,994,500",14.4,334,0
,Enhanced Child Participation,"2,000,000",-,"2,000,000",-,334,0
,Social development,"12,000,000","4,562,500","7,437,500",38.0,334,0
,Women Empowerment,"5,500,000","2,836,800","2,663,200",51.6,334,0
,Gender and Leadership,"6,500,000","1,725,700","4,774,300",26.5,334,0
,"Sports, Training & Competition","10,900,000","870,700","10,029,300",8.0,334,0
,County Sports Leagues,"6,500,000","870,700","5,629,300",13.4,334,0
,Sports Equipment Support,"4,400,000",-,"4,400,000",18.2,334,0
,TOTAL,"65,549,500","11,945,507","53,603,993",15.4,334,0
