Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Imple-
mentation
Status (%)",page_number,table_index
,SP 3-(Kapenguria Referral Hospital),"177,005,477","74,604,941","102,400,537",42.1,393,0
,SP 4-(Kacheliba Sub county hospital),"17,860,000","8,372,490","9,487,510",46.9,393,0
,SP 5-(Sigor Sub county hospital),"16,860,000","7,867,825","8,992,175",46.7,393,0
,SP 6-(Chepareria Sub county hospital),"19,890,000","7,814,080","12,075,920",39.3,393,0
,SP 8(Ward Specific),"142,807,368","25,386,109","117,421,260",17.8,393,0
,Sub total,"1,748,977,266","1,134,116,109","614,861,157",64.8,393,0
Education and Technical training,,,,,,393,0
"Education and Tech-
nical training","SP 1(General Administration ,planning and Support Services","349,755,124","231,201,256","118,553,868",66.1,393,0
,SP 2 -(ECD Services),"25,192,510","955,270","24,237,240",3.8,393,0
,SP 3-(Youth Vocational training),"40,775,680","30,537,882","10,237,798",74.9,393,0
,SP 4-(Bursary Fund),"410,000,000","292,029,400","117,970,600",71.2,393,0
,SP 5 - (Ward specific),"127,957,953","1,299,750","126,658,203",1.0,393,0
,Sub total,"953,681,267","556,023,559","397,657,708",58.3,393,0
Agriculture and Irrigation,,,,,,393,0
"Agriculture and Irri-
gation","SP 1-(General Administration, Planning and Support Ser-
vices)","102,639,563","74,522,208","28,117,355",72.6,393,0
,SP 2-(Crop Development and Management),"224,012,776","98,775,206","125,237,570",44.1,393,0
,SP 3-(Cash Crop Production(Special Programs),"1,042,000","758,000","284,000",72.7,393,0
,SP 4 -(Ward specific),"12,699,300","8,814,659","3,884,641",69.4,393,0
,Sub total,"340,393,639","182,870,073","157,523,566",53.7,393,0
Pastoral Economy,,,,,,393,0
Pastoral Economy,"SP 1-(General Administration, Planning and Support Ser-
vices)","95,674,727","69,529,536","26,145,191",72.7,394,0
,SP 2 - (Livestock production and Range Management),"56,911,900","31,197,804","25,714,096",54.8,394,0
,SP 3-(Livestock Disease management),"9,747,891","8,206,095","1,541,796",84.2,394,0
,SP 4-(Fisheries Development),"1,477,600","388,000","1,089,600",26.3,394,0
,SP 5-(Nasukuta Livestock Improvement Centre),"22,287,096","743,470","21,543,626",3.3,394,0
,SP 6 -(Ward specific),"34,847,058","18,150,811","16,696,248",52.1,394,0
,SP 7 -(Dairy Development(Special Programmes),"20,600,000","14,235,866","6,364,134",69.1,394,0
,Sub total,"241,546,273","142,451,582","92,730,557",59.0,394,0
"Trade, Industrialization, Investment and Cooperative Development",,,,,,394,0
"Trade, Industrializa-
tion, Investment and
Cooperative Devel-
opment","SP 1-(General Administration, Planning and Support Ser-
vices)","70,365,569","37,358,503","33,007,066",53.1,394,0
,SP 2-(Cooperative Development),"62,446,644","24,877,573","37,569,071",39.8,394,0
,"SP 3 - (Trade, License and Market Development)","2,688,800","2,115,724","573,076",78.7,394,0
,SP 4-(Ward specific),"21,660,089","2,097,014","19,563,076",9.7,394,0
,Sub total,"157,161,102","66,448,813","90,712,289",42.3,394,0
"Land, Housing ,Physical Planning and Urban Development",,,,,,394,0
"Land, Housing ,Phys-
ical Planning and Ur-
ban Development","SP 1-(General Administration, Planning and Support Ser-
vices)","58,148,270","38,247,481","19,900,789",65.8,394,0
,SP 2 -(Land Policy and Physical Planning),"1,348,800","1,164,550","184,250",86.3,394,0
,SP 3-(Housing Development),"912,000","670,500","241,500",73.5,394,0
,SP 4-(Urban Development),"19,707,036","587,300","19,119,736",3.0,394,0
,SP 5-(Kapenguria Municipality),"186,529,609","90,985,825","95,543,784",48.8,394,0
,SP 6-(Ward specific),"5,908,751","1,808,751","4,100,000",30.6,394,0
,Sub total,"272,554,467","133,464,407","139,090,059",49.0,394,0
"Water development, Environment and Natural Resources",,,,,,394,0
"Water development,
Environment and
Natural Resources","SP 1-(General Administration, Planning and Support Ser-
vices)","52,035,428","34,629,735","17,405,693",66.6,394,0
,SP 2 -(Water Supply Services),"122,262,800","29,262,905","92,999,896",23.9,394,0
,SP 3 -(Environment & Natural Resource Development),"132,204,800","3,105,339","129,099,461",2.3,394,0
,SP 4 -(Ward Specific),"115,213,808","22,396,306","92,817,502",19.4,394,0
,Sub total,"421,716,836","89,394,284","332,322,552",21.2,394,0
"Youths, Sports, Tourism, Gender and Social services",,,,,,394,0
"Youths, Sports, Tour-
ism, Gender and So-
cial services","SP 1-(General Administration, Planning and Support Ser-
vices)","37,935,855","23,413,322","14,522,533",61.7,394,0
,SP 2-(Tourism Development),"4,743,213","2,354,865","2,388,348",49.6,394,0
,"SP 3-(Gender, Youths and sports Development)","65,892,091","16,822,413","49,069,678",25.5,394,0
,SP 4(Culture and Social Development),"4,929,718","3,021,260","1,908,458",61.3,394,0
,SP 5-(Ward Specific),"9,274,200","11,300,000","(2,025,800)",121.8,394,0
,Sub total,"122,775,077","56,911,861","65,863,217",46.4,394,0
"Public Service ,ICT and Decentralized Units",,,,,,394,0
"Public Service ,ICT
and Decentralized
Units","SP 1-(General Administration, Planning and Support Ser-
vices)","209,147,008","135,540,855","73,606,153",64.8,394,0
,SP 2-(Human Resource),"1,208,000","816,991","391,009",67.6,394,0
,SP 3-(Legal Services),"2,036,000","1,410,000","626,000",69.3,394,0
,SP 4 - (Records Management),"384,000","201,200","182,800",52.4,394,0
,SP 5- (Communication Services),"720,000","556,000","164,000",77.2,394,0
,SP 6 - (ICT Infrastructure Connectivity),"1,616,422","1,153,600","462,822",71.4,394,0
,Sub total,"215,111,430","139,678,646","75,432,784",64.9,394,0
Special programmes and Directorates,,,,,,394,0
