Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Absorption (%),page_number,table_index,"Approved Budget
(Kshs)",Variance (Kshs.),"Absorption
(%)"
"Transport Depart-
ment",DISASTER MANAGEMENT,,-,,370,0,"20,000,000","20,000,000",-
,TRANSPORT MANAGEMENT,,-,,370,0,"838,728","838,728",-
,,,-,,370,0,"20,838,728","20,838,728",-
,STREET LIGHTING SERVICES,,-,,370,0,"44,182,398","44,182,398",-
,,,-,,370,0,"44,182,398","44,182,398",-
"Administration-
Lands, Housing and
Physical Planning",LAND POLICY AND MANAGEMENT,,"350,364,787",,370,0,"393,706,222","43,341,435",89.0
,,,"350,364,787",,370,0,"393,706,222","43,341,435",89.0
"Physical Planning
Section",LAND POLICY AND MANAGEMENT,,"24,944,830",,370,0,"50,371,125","25,426,295",49.5
,,,"24,944,830",,370,0,"50,371,125","25,426,295",49.5
Survey Section,LAND POLICY AND MANAGEMENT,,"16,475,060",,370,0,"37,465,310","20,990,250",44.0
,,,"16,475,060",,370,0,"37,465,310","20,990,250",44.0
Housing Section,HOUSING DEVELOPMENT,,"29,998,870",,370,0,"64,090,519","34,091,650",46.8
,LAND POLICY AND MANAGEMENT,,"273,302,820",,370,0,"292,092,000","18,789,180",93.6
,,,"303,301,690",,370,0,"356,182,519","52,880,830",85.2
"Administration- Wa-
ter, Environment,
Energy and Natural
resources",WATER SUPPLY SERVICES,,"58,567,246",,370,0,"114,535,855","55,968,609",51.1
,,,"58,567,246",,370,0,"114,535,855","55,968,609",51.1
Environment Section,"ENVIRONMENTAL MANAGEMENT
AND PROTECTION",,"13,279,819",,370,0,"135,004,502","121,724,683",9.8
,,,-,,370,0,"11,000,000","11,000,000",-
,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"4,373,691",,370,0,"8,303,517","3,929,826",52.7
,RURAL ELECTRIFICATION,,"630,000",,370,0,"4,100,000","3,470,000",15.4
,,,"18,283,510",,370,0,"158,408,019","140,124,510",11.5
Water Section,WATER SUPPLY SERVICES,,"1,837,488",,370,0,"100,900,000","99,062,512",1.8
,,,"162,062,759",,370,0,"338,632,629","176,569,871",47.9
,"AGRICULTURAL MECHANIZATION
SERVICES",,-,,370,0,"2,000,000","2,000,000",-
,RURAL ELECTRIFICATION,,-,,370,0,"1,000,000","1,000,000",-
,,,"163,900,247",,370,0,"442,532,629","278,632,382",37.0
Energy Section,"TOURISM DEVELOPMENT AND
MARKETING",,-,,370,0,"12,200,000","12,200,000",-
,TOURISM AND WILDLIFE SERVICES,,"1,300,850",,370,0,"14,478,926","13,178,076",9.0
,,,"1,300,850",,370,0,"26,678,926","25,378,076",4.9
"Administration-
Health Services",CURATIVE HEALTH SERVICES,,"20,291,576",,371,0,"52,758,407","32,466,831",38.5
,HEALTH INFRASTRUCTURE,,"18,180,768",,371,0,"408,113,176","389,932,408",4.5
,"ADMINISTRATION AND SUPPORT
SERVICES",,"1,529,504,253",,371,0,"1,694,496,825","164,992,572",90.3
,,,"1,567,976,597",,371,0,"2,155,368,408","587,391,811",72.7
Clinical Services,CURATIVE HEALTH SERVICES,,-,,371,0,"60,000,000","60,000,000",-
,CLINICAL SERVICES,,-,,371,0,"50,082,080","50,082,080",-
,"ADMINISTRATION AND SUPPORT
SERVICES",,"61,722,589",,371,0,"210,115,000","148,392,411",29.4
,,,"61,722,589",,371,0,"320,197,080","258,474,491",19.3
"Prevention and
Health Promotion","ADMINISTRATION AND SUPPORT
SERVICES",,"2,323,570",,371,0,"7,978,111","5,654,541",29.1
,,,"2,323,570",,371,0,"7,978,111","5,654,541",29.1
"Administration- Ag-
riculture, Livestock
and Fisheries","CROP DEVELOPMENT AND MAN-
AGEMENT",,"93,545,878",,371,0,"114,784,339","21,238,461",81.5
,"ADMINISTRATION SUPPORT SER-
VICES",,"92,601,181",,371,0,"196,107,810","103,506,629",47.2
,,,"186,147,059",,371,0,"310,892,149","124,745,090",59.9
Agriculture,"CROP DEVELOPMENT AND MAN-
AGEMENT",,"28,368,113",,371,0,"228,854,485","200,486,372",12.4
,"AGRICULTURAL MECHANIZATION
SERVICES",,"851,222",,371,0,"3,154,329","2,303,107",27.0
,"COOPERATIVES DEVELOPMENT
AND MARKETING",,-,,371,0,"15,000,000","15,000,000",-
,,,"29,219,335",,371,0,"247,008,814","217,789,479",11.8
"Chebororwa Train-
ing Center","AGRICULTURAL TRAINING SER-
VICES - CHEBORORWA",,"2,548,920",,371,0,"66,063,927","63,515,007",3.9
,,,"2,548,920",,371,0,"66,063,927","63,515,007",3.9
"Agricultural Ma-
chinery Service","AGRICULTURAL MECHANIZATION
SERVICES",,"17,279,596",,371,0,"119,872,048","102,592,452",14.4
,,,"17,279,596",,371,0,"119,872,048","102,592,452",14.4
"Administration-
Trade, Cooperatives,
Tourism and Wildlife","ADMINISTRATION AND SUPPORT
SERVICES",,"10,874,197",,371,0,"15,568,257","4,694,060",69.8
,,,"10,874,197",,371,0,"15,568,257","4,694,060",69.8
Trade Department,"TRADE DEVELOPMENT AND IN-
VESTMENT",,"33,765,732",,371,0,"116,471,743","82,706,011",29.0
,MARKET SERVICES,,"9,495,162",,371,0,"189,355,030","179,859,868",5.0
,,,"43,260,895",,371,0,"305,826,773","262,565,878",14.1
"Weights and Mea-
sures Department",WEIGHTS AND MEASUREMENTS,,-,,371,0,"1,307,000","1,307,000",-
,,,-,,371,0,"1,307,000","1,307,000",-
"Betting and licensing
department","ADMINISTRATION AND SUPPORT
SERVICES",,"1,994,880",,371,0,"2,221,010","226,130",89.8
,,,"1,994,880",,371,0,"2,221,010","226,130",89.8
"Administration -
Education, Social
Cultural, Youth and
Sports","ADMINISTRATION AND SUPPORT
SERVICES",,"308,568,358",,371,0,"353,821,330","45,252,972",87.2
,,,"308,568,358",,371,0,"353,821,330","45,252,972",87.2
"Education Depart-
ment","ADMINISTRATION AND SUPPORT
SERVICES",,"4,856,330",,371,0,"5,596,257","739,927",86.8
,BASIC EDUCATION,,-,,371,0,"109,804,479","109,804,479",-
,"EARLY CHILDHOOD EDUCATION
AND TRAINING",,-,,371,0,"2,495,568","2,495,568",-
,,,"4,856,330",,371,0,"117,896,304","113,039,974",4.1
"Department of Cul-
ture","ADMINISTRATION AND SUPPORT
SERVICES",,"3,247,180",,371,0,"12,400,000","9,152,820",26.2
,,,"3,247,180",,371,0,"12,400,000","9,152,820",26.2
"Social Service De-
partment","ADMINISTRATION AND SUPPORT
SERVICES",,"2,618,630",,372,0,"3,900,000","1,281,370",67.1
,SOCIAL DEVELOPMENT SERVICES,,"7,894,511",,372,0,"8,153,975","259,464",96.8
,"YOUTH TRAINING AND DEVELOP-
MENT",,-,,372,0,"7,198,965","7,198,965",-
,,,"10,513,141",,372,0,"19,252,940","8,739,799",54.6
"Headquarters -
County Public Ser-
vice Board","ADMINISTRATION AND SUPPORT
SERVICES",,"7,827,980",,372,0,"30,850,007","23,022,027",25.4
,,,"7,827,980",,372,0,"30,850,007","23,022,027",25.4
Headquarters,"ADMINISTRATION SUPPORT SER-
VICES",,-,,372,0,"100,798,650","100,798,650",-
,"COUNTY PLANNING AND ECO-
NOMIC POLICY MANAGEMENT",,"464,933,662",,372,0,"680,000,000","215,066,338",68.4
,,,"464,933,662",,372,0,"780,798,650","315,864,988",59.5
,"COUNTY PLANNING AND ECO-
NOMIC POLICY MANAGEMENT",,"16,568,225",,372,0,"36,360,525","19,792,300",45.6
,,,"16,568,225",,372,0,"36,360,525","19,792,300",45.6
,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"4,184,720",,372,0,"7,852,491","3,667,771",53.3
,,,"4,184,720",,372,0,"7,852,491","3,667,771",53.3
,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"3,157,400",,372,0,"10,652,364","7,494,964",29.6
,,,"3,157,400",,372,0,"10,652,364","7,494,964",29.6
,PUBLIC WORKS SERVICES,,"116,774,077",,372,0,"161,559,160","44,785,083",72.3
,"KENYA DEVOLUTION SUPPORT
PROGRAMME",,"1,373,340",,372,0,"9,132,383","7,759,043",15.0
,"ADMINISTRATION SUPPORT SER-
VICES",,-,,372,0,"48,721,966","48,721,966",-
,"ADMINISTRATION AND SUPPORT
SERVICES",,"24,844,894",,372,0,"39,131,309","14,286,415",63.5
,,,"142,992,311",,372,0,"258,544,818","115,552,507",55.3
,"ADMINISTRATION AND SUPPORT
SERVICES",,"44,193,331",,372,0,"59,384,960","15,191,629",74.4
,"ADMINISTRATION AND SUPPORT
SERVICES",,"11,010,028",,372,0,"101,553,163","90,543,135",10.8
,,,"55,203,359",,372,0,"160,938,123","105,734,764",34.3
"Youth and Gender
Affairs Department","YOUTH TRAINING AND DEVELOP-
MENT",,"27,171,164",,372,0,"93,469,603","66,298,439",29.1
,"ADMINISTRATION AND SUPPORT
SERVICES",,-,,372,0,"12,000,000","12,000,000",-
,,,"27,171,164",,372,0,"105,469,603","78,298,439",25.8
,"TOURISM DEVELOPMENT AND
MARKETING",,-,,372,0,"60,000,000","60,000,000",-
,"MANAGEMENT AND DEVELOP-
MENT OF SPORTS AND SPORTS FA-
CILITIES",,"29,690,738",,372,0,"77,762,691","48,071,953",38.2
,,,"29,690,738",,372,0,"137,762,691","108,071,953",21.6
,"COOPERATIVES DEVELOPMENT
AND MARKETING",,"3,640,529",,372,0,"12,105,596","8,465,067",30.1
,,,"3,640,529",,372,0,"12,105,596","8,465,067",30.1
,"COOPERATIVES DEVELOPMENT
AND MARKETING",,"6,342,477",,372,0,"22,133,107","15,790,630",28.7
,,,"6,342,477",,372,0,"22,133,107","15,790,630",28.7
,WEIGHTS AND MEASUREMENTS,,"193,000,000",,372,0,"193,000,000",-,100.0
,,,"193,000,000",,372,0,"193,000,000",-,100.0
,"LIVESTOCK RESOURCE MANAGE-
MENT AND DEVELOPMENT",,"29,628,692",,372,0,"56,544,413","26,915,721",52.4
,"CROP DEVELOPMENT AND MAN-
AGEMENT",,"7,117,066",,372,0,"10,596,405","3,479,339",67.2
,,,"36,745,758",,372,0,"67,140,818","30,395,060",54.7
