col_0,Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index,Programme,Sub- Programme,Absorption (%)
,,,,,,164,0,"Tourism, Sports & Culture",,
,,-,"(963,850)","963,850",,164,0,Natural Resources,1003023710,∞
,,"11,598,862","7,391,329","4,207,533",,164,0,"Gender, Culture & Social Services Headquarters",307023710,63.7
,,"20,758,126","12,949,924","7,808,202",,164,0,,306013710,62.4
,,"1,342,100","798,740","543,360",,164,0,"Gender, Culture & Social Services Headquarters",308023710,59.5
,,"28,132,180","12,989,270","15,142,910",,164,0,Tourism,305033710,46.2
,,"5,724,296","2,350,566","3,373,730",,164,0,"Gender, Culture & Social Services Headquarters",308013710,41.1
,,"40,466,504","15,658,433","24,808,071",,164,0,"Kitui - Tourism, Sports & Culture",301013710,38.7
,,"6,743,021","2,389,459","4,353,562",,164,0,Tourism,305013710,35.4
,,"32,517,794","10,083,180","22,434,614",,164,0,Tourism,1003023710,31.0
,,"59,305,935","16,880,673","42,425,262",,164,0,,306023710,28.5
,,"12,351,658","2,794,075","9,557,583",,164,0,"Gender, Culture & Social Services Headquarters",307013710,22.6
,,"218,940,476","83,321,799","135,618,677",,164,0,,Sub total,38.1
,,,,,,164,0,County Treasury,,
,,-,"613,000","(613,000)",,164,0,Economic Affairs,712023710,∞
,,-,"58,250","(58,250)",,164,0,Procurement,704013710,∞
,,"69,695,929","61,373,506","8,322,423",,164,0,General Administration And Planning,701013710,88.1
,,"12,849,045","11,194,520","1,654,525",,164,0,Economic Affairs,710023710,87.1
,,"6,679,095","5,089,299","1,589,796",,164,0,Internal Audit,712033710,76.2
,,"12,047,520","8,555,246","3,492,274",,164,0,Accounts,712053710,71.0
,,"7,248,433","4,304,488","2,943,945",,164,0,Budgetary Supplies,712023710,59.4
,,"127,451,132","74,247,887","53,203,245",,164,0,Budgetary Supplies,712013710,58.3
,,"55,878,165","31,793,256","24,084,909",,164,0,Accounts,704013710,56.9
,,"102,933,808","44,343,553","58,590,255",,164,0,Economic Affairs,710013710,43.1
,,"394,783,127","241,573,005","153,210,122",,164,0,,Sub total,61.2
,,,,,,164,0,County Public Service Board,,
,,"14,031,562","6,368,180","7,663,382",,164,0,General Administration & Planning,701013710,45.4
,,"5,757,965","1,700,271","4,057,694",,164,0,,714013710,29.5
,,"9,991,219","2,264,673","7,726,546",,164,0,,713023710,22.7
,,"10,395,276","2,033,020","8,362,256",,164,0,,713013710,19.6
,,"40,176,022","12,366,144","27,809,878",,164,0,,Sub total,30.8
,,,,,,164,0,County Assembly,,
,,"295,039,872","198,364,789","96,675,083",,164,0,General Administration & Planning,701013710,67.2
,,"654,199,888","430,685,326","223,514,562",,164,0,Legislative Department,715013710,65.8
,,"949,239,760","629,050,115","320,189,645",,164,0,,Sub total,66.3
,,,,,,164,0,Kitui Municipality,,
,,"81,186,289","108,670,253","(27,483,964)",,164,0,General Administration & Planning,201013710,133.9
,,"4,865,079","3,515,493","1,349,586",,164,0,"Environment, Culture, Recreation & Community
Development",207013710,72.3
,,"413,132,592","76,389,088","336,743,504",,164,0,"Planning, Development Control, Transport & Infra-
structure",209013710,18.5
,,"499,183,960","188,574,834","310,609,126",,164,0,,Sub total,37.8
,,,,,,164,0,Mwingi Town Administration,,
