col_0,"Budget Execution by Program FY
2021/22","Approved Budget FY
2021/22","Actual Expendi-
ture Half Year FY
2021/22","Variance
(Kshs.)","Absorption
%",page_number,table_index
P1,Culture Development and Promotion,"221,591,180","4,637,884","216,953,296",2.1,397,1
Sp1.1,Culture Development,"221,591,180","4,637,884","216,953,296",2.1,398,0
P2,Administrative and Support Services,"55,707,902","29,773,773","25,934,129",53.5,398,0
Sp2.1,Administrative and Support Services,"55,707,902","29,773,773","25,934,129",53.5,398,0
4268,Public Service Management,"748,026,738","167,913,673","580,113,065",22.5,398,0
P1,Infrastructure Development,"243,393,837",-,"243,393,837",-,398,0
Sp1.1,"Supervision and Management of Proj-
ects","243,393,837",-,"243,393,837",-,398,0
P2,Administrative and Support Services,"504,632,901","167,913,673","336,719,228",33.3,398,0
Sp2.1,Administrative and Support Services,"504,632,901","167,913,673","336,719,228",33.3,398,0
4269,Education and ICT,"557,427,865","186,951,765","370,476,100",33.5,398,0
P1,Vocational Training Development,"164,401,494","11,210,044","153,191,450",6.8,398,0
Sp1.1,Vocational Training Development,"164,401,494","11,210,044","153,191,450",6.8,398,0
P2,Administrative and Support Services,"393,026,371","175,741,721","217,284,650",44.7,398,0
Sp2.1,Administrative and Support Services,"393,026,371","175,741,721","217,284,650",44.7,398,0
4270,Finance,"855,743,917","539,548,488","316,195,429",63.1,398,0
P1,Administrative and Support Services,"855,743,917","539,548,488","316,195,429",63.1,398,0
Sp1.1,"Supervision and Management of Proj-
ects","137,738,318","123,442,400","14,295,919",89.6,398,0
Sp1.2,Administrative and Support Services,"718,005,599","416,106,089","301,899,510",58.0,398,0
4272,Governance,"240,649,246","33,630,117","207,019,129",14.0,398,0
P1,Infrastructure Development,"52,325,000","2,991,000","49,334,000",5.7,398,0
Sp1.1,"Supervision and Management of Proj-
ects","52,325,000","2,991,000","49,334,000",5.7,398,0
P2,Administrative and Support Services,"188,324,246","30,639,117","157,685,129",16.3,398,0
Sp2.1,Administrative and Support Services,"188,324,246","30,639,117","157,685,129",16.3,398,0
4273,County Public Service Board,"86,615,170","21,949,941","64,665,229",25.3,398,0
P1,Governance and County Values,"8,465,000",-,"8,465,000",-,398,0
Sp1.1,Infrastructure Development,"8,465,000",-,"8,465,000",-,398,0
P2,Administrative and Support Services,"78,150,170","21,949,941","56,200,229",28.1,398,0
Sp2.1,Administrative and Support Services,"78,150,170","21,949,941","56,200,229",28.1,398,0
4275,Health Corporate,"2,447,614,453","884,006,839","1,563,607,614",36.1,398,0
P1,Administrative and Support Services,"2,447,614,453","884,006,839","1,563,607,614",36.1,398,0
Sp1.1,Preventive Health Services,"654,517,568","64,340,934","590,176,634",9.8,398,0
Sp1.2,Administrative and Support Services,"1,793,096,885","819,665,905","973,430,980",45.7,398,0
4277,Economic Planning,"488,569,184","152,762,057","335,807,127",31.3,398,0
P1,"County Research and Development
Planning","441,874,451","133,407,914","308,466,537",30.2,398,0
Sp1.1,County Development Planning Services,"441,874,451","133,407,914","308,466,537",30.2,398,0
P2,Administrative and Support Services,"46,694,733","19,354,143","27,340,590",41.5,398,0
Sp2.1,Administrative and Support Services,"46,694,733","19,354,143","27,340,590",41.5,398,0
4278,Municipality Board of Kitale,"292,412,959",-,"292,412,959",-,398,0
P1,Administrative and Support Services,"292,412,959",-,"292,412,959",-,398,0
Sp1.1,Administrative and Support Services,"292,412,959",-,"292,412,959",-,398,0
4279,County Assembly,"1,048,921,665","349,724,783","699,196,882",33.3,398,0
P1,Legislative and Oversight Arm,"215,720,000","95,602,242","120,117,758",44.3,398,0
Sp1.1,"General Administrative and Support
Services","825,251,665","247,001,569","578,250,096",29.9,398,0
Sp2.1,Security Services,"7,950,000","7,120,972","829,028",89.6,398,0
Grand Total,,"9,253,170,349","2,938,167,729","6,315,002,620",31.8,398,0
