Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance (Kshs.),Absorption (%),page_number,table_index
Sub-programme 8,Co-operative Financial Services,"3,324,000",-,"3,324,000",0.0%,229,0
Sub-programme 9,"Promotion and growth of Co-oper-
ative Societies","3,630,000",-,"3,630,000",0.0%,229,0
"Sub-programme
10","Co-operative Audit Support Ser-
vices","3,916,000","175,000","3,741,000",4.5%,229,0
TOTAL,,"811,297,102","120,003,310","691,293,792",14.8%,229,0
FINANCE AND ECONOMIC PLANNING,,,,,,229,0
Sub-programme 1,Revenue Management,"84,235,160","10,099,280","74,135,880",12.0%,229,0
Sub-programme 2,"Budget formulation, Coordination
and Implementation Section","20,449,479","2,876,000","17,573,479",14.1%,229,0
Sub-programme 3,Supply Chain Management Section,"7,687,354","1,930,075","5,757,279",25.1%,230,0
Sub-programme 4,Accounts Services,"9,329,209","3,858,890","5,470,319",41.4%,230,0
Sub-programme 5,Audit Section,"8,758,779","4,720,350","4,038,429",53.9%,230,0
Sub-programme 6,"Human Resource Management and
Support Services","392,919,205","265,786,469","127,132,736",67.6%,230,0
Sub-programme 7,"Economic Planning and Statistical
Services","21,025,974","4,201,225","16,824,749",20.0%,230,0
Sub-programme 8,External Resource Mobilization,"950,000",-,"950,000",0.0%,230,0
TOTAL,,"545,355,160","293,472,289","251,882,871",53.8%,230,0
"PUBLIC SERVICE,QUALITY MANAGEMENT AND ICT",,,,,,230,0
Sub-programme 1,"General Administration and sup-
port services","388,694,074","223,007,082","165,686,992",57.4%,230,0
Sub-programme 2,Quality Management,"625,000",-,"625,000",0.0%,230,0
Sub-programme 3,"Training, Research and Develop-
ment","5,009,500","460,400","4,549,100",9.2%,230,0
Sub-programme 4,"ICT General Administration and
support services","7,975,000",-,"7,975,000",0.0%,230,0
Sub-programme 5,ICT Infrastructure,"5,647,000",-,"5,647,000",0.0%,230,0
Sub-programme 6,Closed Circuit Television,"8,729,343",-,"8,729,343",0.0%,230,0
TOTAL,,"416,679,917","223,467,482","193,212,435",53.6%,230,0
"TOURISM,CULTURE,YOUTH AND SPORTS",,,,,,230,0
Sub-programme 1,"General administrative and Sup-
port Services","95,546,573","2,059,868","93,486,705",2.2%,230,0
Sub-programme 2,Heritage & Culture,"1,740,919",-,"1,740,919",0.0%,230,0
Sub-programme 3,Liquor Management,"807,867",-,"807,867",0.0%,230,0
Sub-programme 4,"Tourism Development and Market-
ing","8,157,888",-,"8,157,888",0.0%,230,0
Sub-programme 5,"Management of Recreational Ser-
vices","2,158,750",,"2,158,750",0.0%,230,0
Sub-programme 6,Machawood,"3,196,115","231,000","2,965,115",7.2%,230,0
Sub-programme 7,County Image Directorate,"3,166,000",-,"3,166,000",0.0%,230,0
Sub-programme 8,Youth Development,"2,495,799",-,"2,495,799",0.0%,230,0
Sub-programme 9,Stadium Management,"73,307,031",-,"73,307,031",0.0%,230,0
"Sub-programme
10",Youth Empowerment,"6,864,765","170,000","6,694,765",2.5%,230,0
"Sub-programme
11",Sports Promotion,"7,920,000",-,"7,920,000",0.0%,230,0
TOTAL,,"205,361,707","2,460,868","202,900,839",1.2%,230,0
"TRADE,INDUSTRIALIZATION AND INNOVATION",,,,,,230,0
Sub-programme 1,"Headquarter Administration Ser-
vices","59,545,491","9,970,317","49,575,174",16.7%,230,0
Sub-programme 2,Trade Development,"221,906,472","164,406,472","57,500,000",74.1%,230,0
Sub-programme 3,"Business and Enterprise Develop-
ment","13,297,300","652,790","12,644,510",4.9%,230,0
Sub-programme 4,Industrialization and Innovation,"56,000,000",-,"56,000,000",0.0%,230,0
Sub-programme 5,"Investment Facilitation and Sup-
port","3,333,000","80,000","3,253,000",2.4%,230,0
Sub-programme 6,Hygiene and Sanitation,"5,340,000","450,088","4,889,912",8.4%,230,0
Sub-programme 7,Legal Services,"45,007,076","7,655,318","37,351,758",17.0%,230,0
TOTAL,,"404,429,339","183,214,985","221,214,354",45.3%,231,0
"EDUCATION,YOUTH AND SOCIAL WELFARE",,,,,,231,0
Sub-programme 1,"Head quarter Administrative ser-
vices","471,224,476","137,820,467","333,404,009",29.2%,231,0
Sub-programme 2,Gender and Social Services,"69,922,269","4,988,618","64,933,651",7.1%,231,0
TOTAL,,"541,146,745","142,809,085","398,337,660",26.4%,231,0
"ENERGY,LANDS,HOUSING AND URBAN DEVELOPMENT",,,,,,231,0
"Sub-programme
1","Head quarter Administrative ser-
vices","61,807,195","2,153,600","796,675,320",3.5%,231,0
Sub-programme 2,County Electrification,"91,883,648","15,438,311",,,231,0
Sub-programme 3,Housing and Urban Development,"777,500,000","306,497","777,193,503",0.0%,231,0
Sub-programme 4,Machakos Municipality,"8,000,000","813,000","7,187,000",10.2%,231,0
Sub-programme 5,Mavoko Municipality,"8,000,000","5,893,880","2,106,120",73.7%,231,0
Sub-programme 6,Kangundo Tala Municipality,"8,000,000",-,"8,000,000",0.0%,231,0
TOTAL,,"955,190,843","24,605,288","930,585,555",2.6%,231,0
COUNTY ADMINISTRATION AND DECENTRALIZED UNITS,,,,,,231,0
Sub-programme 1,"General Administration and sup-
port services","509,467,120","459,352,183","50,114,937",,231,0
"Sub-programme
2",Civic Engagement,"500,000",-,"500,000",0.0%,231,0
Sub-programme 3,"Administration and Co-ordination
Services","2,550,000","216,400","2,333,600",,231,0
Sub-programme 4,Solid Waste Management,"10,698,339","4,028,505","6,669,834",37.7%,231,0
Sub-programme 5,"Inspectorate Services and Manage-
ment","10,225,600","2,000,000","8,225,600",19.6%,231,0
TOTAL,,"533,441,059","465,597,088","67,843,971",87.3%,231,0
COUNTY ASSEMBLY,,,,,,231,0
Sub-Programme,Legislation and Oversight,"1,272,790,391","513,172,486","759,617,905",40.3%,231,0
Total,,"1,272,790,391","513,172,486","759,617,905",40.3%,231,0
Grand Total,,"12,235,828,225","4,818,605,282","14,735,404,368",39.38,231,0
