Programme,Sub0 Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,Sub- Programme,Variance
General administration and support services,,"96,178,512.00","37,210,920.65",,39,85,0,,"58,967,591.35"
,,"96,178,512.00","37,210,921",,39,85,0,"General administration
and support services","58,967,591.35"
Water & Sanitation Management,,"387,341,912.00","87,429,356.35",,23,85,0,,"299,912,555.65"
,,"387,341,912.00","87,429,356",,23,85,0,Water Services,"299,912,555.65"
Environmental Management & Protection,,"1,299,950.00","699,950.00",,54,85,0,,"600,000.00"
,,"1,299,950.00","699,950",,54,85,0,"Environmental conserva-
tion","600,000.00"
Solid waste management,,"500,000.00",0.00,,0,85,0,,"500,000.00"
,,"500,000.00",0.00,,0,85,0,Solid waste management,"500,000.00"
"Lands, Physical Planning and Urban Develop-
ment",,"97,784,996.00","18,011,000.50",,18,85,0,,"79,773,995.50"
,,"97,784,996.00","18,011,001",,18,85,0,"Lands, Physical planning
and Urban Development","79,773,995.50"
"Sub Total for Water, Lands and Physical
Planning",,"583,105,370.00","143,351,227.50",,25,85,0,,"439,754,142.50"
"Roads, Public Works & Transport",,,,,,85,0,,
General administration and support services,,"105,668,668.00","40,801,900.40",,39,85,0,,"64,866,767.60"
,,"105,668,668","40,801,900.40",,39,85,0,"General administration
and support services","64,866,768"
Rural road Works,,"663,598,381.00","85,461,157.50",,13,85,0,,"578,137,223.50"
,,"663,598,381","85,461,157.50",,13,85,0,Rural road Works,"578,137,224"
Public Works,,"19,717,010.00","74,160.00",,0,85,0,,"19,642,850.00"
,,"19,717,010","74,160.00",,0,85,0,Public Works,"19,642,850"
Energy,,"14,800,000.00","691,434.75",,5,85,0,,"14,108,565.25"
,,"14,800,000","691,434.75",,5,85,0,Energy,"14,108,565"
"Sub Total Roads, Public Works and Trans-
port",,"803,784,059.00","127,028,652.65",,16,85,0,,"676,755,406.35"
"Sports, Youth And Gender Affairs",,,,,,86,0,,
General administration and support services,,"43,421,119.00","19,224,014.00",,44,86,0,,"24,197,105.00"
,,"43,421,119","19,224,014.00",,44,86,0,"General administration
and support services","24,197,105"
Sports Development,,"28,897,335.00","8,674,566.00",,30,86,0,,"20,222,769.00"
,,"14,495,017","8,113,674.00",,56,86,0,"Sports Infrastructure De-
velopment","6,381,343"
,,"14,402,318","560,892.00",,4,86,0,"Sports Talent Develop-
ment","13,841,426"
Social Empowerment,,"66,848,338.00","24,287,320.00",,36,86,0,,"42,561,018.00"
,,"66,848,338","24,287,320.00",,36,86,0,Social Empowerment,"42,561,018"
Social Protection,,"6,061,000.00","5,566,000.00",,92,86,0,,"495,000.00"
,,"6,061,000","5,566,000.00",,92,86,0,Social Protection,"495,000"
ICT Services,,"4,505,438.00",0.00,,0,86,0,,"4,505,438.00"
,,"4,505,438",0.00,,0,86,0,ICT Services,"4,505,438"
"Sub Total for Sports, Youth and Gender Af-
fairs",,"149,733,230.00","57,751,900.00",,39,86,0,,"91,981,330.00"
Trade And Tourism,,,,,,86,0,,
General administration and support services,,"37,889,225.00","16,601,023.50",,44,86,0,,"21,288,201.50"
,,"37,889,225","16,601,023.50",,44,86,0,"General administration
and support services","21,288,202"
Tourism Development,,"66,844,549.00","175,234.10",,0,86,0,,"66,669,314.90"
,,"66,844,549","175,234.10",,0,86,0,Tourism Development,"66,669,315"
Trade and enterprise development,,"12,636,724.00","2,366,110.00",,19,86,0,,"10,270,614.00"
,,"12,636,724","2,366,110.00",,19,86,0,"Trade and enterprise de-
velopment","10,270,614"
Culture and Heritage Preservation,,"3,282,000.00","600,000.00",,18,86,0,,"2,682,000.00"
,,"3,282,000","600,000.00",,18,86,0,"Culture and Heritage
Preservation","2,682,000"
Sub Total for Trade and Tourism,,"120,652,498.00","19,742,367.60",,16,86,0,,"100,910,130.40"
County Public Service Board,,,,,,86,0,,
General administration and support services,,"51,152,913.00","22,118,013.30",,43,86,0,,"29,034,899.70"
,,"51,152,913.00","22,118,013.30",,43,86,0,"General administration
and support services","29,034,899.70"
Sub Total for CPSB,,"51,152,913.00","22,118,013.30",,43,86,0,,"29,034,899.70"
"Livestock Production, Fisheries & Co-Op
Development",,,,,,86,0,,
General administration and support services,,"93,464,981.00","44,750,549.60",,48,86,0,,"48,714,431.40"
,,"93,464,981.00","44,750,549.60",,48,86,0,"General administration
and support services","48,714,431.40"
Livestock Development,,"98,590,077.00","17,571,380.00",,18,86,0,,"81,018,697.00"
,,"93,800,719.00","17,272,880.00",,18,86,0,Livestock Production,"76,527,839.00"
,,"4,789,358.00","298,500.00",,6,86,0,"Livestock Extension and
Training Services","4,490,858.00"
Cooperatives development,,"19,283,384.00","3,501,270.00",,18,86,0,,"15,782,114.00"
,,"19,283,384.00","3,501,270.00",,18,86,0,"Cooperatives develop-
ment","15,782,114.00"
Veterinary Services,,"68,783,980.00","33,150,595.25",,48,86,0,,"35,633,384.75"
,,"56,097,780.00","24,484,172.00",,44,86,0,"Disease Surveillance and
control","31,613,608.00"
,,"12,686,200.00","8,666,423.25",,68,86,0,A I Services,"4,019,776.75"
"Livestock Resources Management and Devel-
opment",,0.00,"39,990.00",,-,86,0,,"-39,990.00"
,,0,"39,990.00",,-,86,0,"Livestock Production and
Management","-39,990.00"
Sub Total for Livestock and Fisheries,,"280,122,422.00","99,013,784.85",,35,86,0,,"181,108,637.15"
Public Service Management,,,,,,86,0,,
General administration and support services,,"214,635,980.00","42,563,604.15",,20,86,0,,"172,072,375.85"
