Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"SP 2:Communicable and
non-communicable","SP 2:Communicable and non-com-
municable","18,005,084",-,"18,005,084",0.0%,62,0
"SP 2: Health Promotion
services",SP 2: Health Promotion services,"6,000,000",-,"6,000,000",0.0%,62,0
"SP 3: Disease surveil-
lance",SP 3: Disease surveillance,"2,746,938",-,"2,746,938",0.0%,62,0
"SP 4: Community health
services",SP 4: Community health services,"78,072,000",-,"78,072,000",0.0%,62,0
"Programme 3: Curative
& health Services","Programme 3: Curative & health
Services",,-,-,,62,0
"SP 3: Routine Medical
Services",SP 3: Routine Medical Services,"424,865,820",-,"424,865,820",0.0%,62,0
"SP 3: Blood Bank Ser-
vices",SP 3: Blood Bank Services,"10,000,000",-,"10,000,000",0.0%,62,0
"Programme 4: Health
Research",Programme 4: Health Research,"8,200,000",-,"8,200,000",0.0%,62,0
"SP 4: Capacity Develop-
ment",SP 4: Capacity Development,"8,200,000",-,"8,200,000",0.0%,62,0
"Programme 5: Maternal
and Child Health","Programme 5: Maternal and Child
Health",,-,-,,62,0
SP 5: Maternity Services,SP 5: Maternity Services,"52,969,787",-,"52,969,787",0.0%,62,0
"SP 5: Immunization
Services",SP 5: Immunization Services,"1,500,000",-,"1,500,000",0.0%,62,0
Total Expenditure,Total Expenditure,"3,500,267,587","1,184,467,004","2,315,800,583",33.8%,62,0
,,,,,,62,0
"ROADS & PUBLIC
WORKS",,,-,-,,62,0
"Transport infrastructure
development and man-
agement","Transport infrastructure develop-
ment and management","1,276,068,343.05","423,964,171","852,104,173",33.2%,62,0
"Public safety and trans-
port operations","Public safety and transport opera-
tions","10,440,000.00",-,"10,440,000",0.0%,63,0
"Building standards and
other civil works","Building standards and other civil
works","3,537,534.00",-,"3,537,534",0.0%,63,0
"General administration,
planning and support
services","General administration, planning
and support services","304,822,645.95","61,862,426","242,960,220",20.3%,63,0
Total Expenditure,Total Expenditure,"1,594,868,523.00","485,826,597","1,109,041,926",30.5%,63,0
WATER & TOURISM,,,-,-,,63,0
"Programme 1: Gen-
eral Administration
Planning and support
Services","Programme 1: General Adminis-
tration Planning and support Ser-
vices",,,-,,63,0
"SP. Human Resources
Management",SP. Human Resources Management,"71,513,750","25,296,086","46,217,664",35.4%,63,0
"SP. Policy and Legal
Framework formulation","SP. Policy and Legal Framework for-
mulation","1,000,000",-,"1,000,000",0.0%,63,0
"SP. Marking of interna-
tional/national events","SP. Marking of international/nation-
al events","4,800,000","2,389,995","2,410,005",49.8%,63,0
"SP. Annual devolution
conference",SP. Annual devolution conference,"3,000,000",-,"3,000,000",0.0%,63,0
"Programme 2: Water
and Sewerage Services
Management","Programme 2: Water and Sewerage
Services Management",,,-,,63,0
"SP Water Services Pro-
vision",SP Water Services Provision,"223,750,387",-,"223,750,387",0.0%,63,0
"SP. Rig operation and
maintenance",SP. Rig operation and maintenance,"12,706,110",-,"12,706,110",0.0%,63,0
"SP. Stakeholders en-
gagement (water users
association)","SP. Stakeholders engagement (water
users association)","4,800,000",-,"4,800,000",0.0%,63,0
"SP. KOICA counterpart
funding",SP. KOICA counterpart funding,"16,553,051",-,"16,553,051",0.0%,63,0
"SP. Sub- County oper-
ations",SP. Sub- County operations,"3,200,000",-,"3,200,000",0.0%,63,0
"SP. Routine Maintenance
of water supplies","SP. Routine Maintenance of water
supplies","2,400,000",-,"2,400,000",0.0%,63,0
"SP. Office operation and
maintenance","SP. Office operation and mainte-
nance","128,284,669","24,671,501","103,613,168",19.2%,63,0
"Programme 3: Inte-
grated Solid Waste
Management","Programme 3: Integrated Solid
Waste Management",,,-,,63,0
"SP. Dumpsite Manage-
ment",SP. Dumpsite Management,"12,850,705",-,"12,850,705",0.0%,63,0
"SP. Garbage collection
and transportation","SP. Garbage collection and
transportation","152,729,272","105,000,594","47,728,678",68.7%,63,0
TOTAL Expenditure,TOTAL Expenditure,"637,587,944.00","157,358,176","480,229,768",24.7%,63,0
"EDUCATION AND
VOCATIONAL
TRAINING",,,-,-,,63,0
"Programme 1: Gen-
eral Administration,
Planning and Support
Services",,,,-,,63,0
"SP 1: Salaries and allow-
ances",SP 1: Salaries and allowances,"1,025,278,219.00","476,241,603","549,036,616",46.4%,64,0
SP 2: Policy formulation,SP 2: Policy formulation,"1,600,000.00",-,"1,600,000",0.0%,64,0
"SP3: Administration and
support services","SP3: Administration and support
services","9,600,000.00","18,670,250","(9,070,250)",194.5%,64,0
"Sp4: Capacity building
and stakeholders forum","Sp4: Capacity building and stake-
holders forum","6,800,000.00",-,"6,800,000",0.0%,64,0
"Sp5: Planning and finan-
cial management","Sp5: Planning and financial manage-
ment","3,800,000.00",-,"3,800,000",0.0%,64,0
"SP7:Monitoring and
Evaluation, feasibility
studies","SP7:Monitoring and Evaluation, fea-
sibility studies","1,800,000.00",-,"1,800,000",0.0%,64,0
SP8:Good Governance,SP8:Good Governance,"2,500,000.00",-,"2,500,000",0.0%,64,0
SP9:Other expenses,SP9:Other expenses,"8,283,956.80",-,"8,283,957",0.0%,64,0
"Programme 2: Early
Childhood Education
Development",,,-,-,,64,0
"Sp1: Quality Assurance
and Standards","Sp1: Quality Assurance and Stan-
dards","800,000.00",-,"800,000",0.0%,64,0
"Sp2: Curriculum imple-
mentation",Sp2: Curriculum implementation,"1,000,000.00",-,"1,000,000",0.0%,64,0
Sp3: learning materials,Sp3: learning materials,"1,600,000.00",-,"1,600,000",0.0%,64,0
"SP4:Annual conference
for Education stake-
holders","SP4:Annual conference for Educa-
tion stakeholders","1,520,043.00",-,"1,520,043",0.0%,64,0
"SP4:Annual conference
for ECDE teachers","SP4:Annual conference for ECDE
teachers","1,800,000.00",-,"1,800,000",0.0%,64,0
"SP5:Monitoring and
evaluation",SP5:Monitoring and evaluation,"800,000.00",-,"800,000",0.0%,64,0
"SP6:Commisioning of
ECDE classrooms","SP6:Commisioning of ECDE class-
rooms","1,400,000.00",-,"1,400,000",0.0%,64,0
"SP6 : Infrastructure
development",SP6 : Infrastructure development,"115,430,000.00",-,"115,430,000",0.0%,64,0
SP9:Pending bills,SP9:Pending bills,"2,537,714.00",-,"2,537,714",0.0%,64,0
"PROGRAMME 3: VO-
CATIONAL TRAIN-
ING CENTRES",,,,-,,64,0
"Sp1: Tuition support
grant",Sp1: Tuition support grant,"60,525,266.00","29,900,000","30,625,266",49.4%,64,0
"Sp2:Tools and equip-
ment for VTC",Sp2:Tools and equipment for VTC,"4,337,378.00",-,"4,337,378",0.0%,64,0
"Sp3:Construction of
Centre of Excellence","Sp3:Construction of Centre of Ex-
cellence","47,000,000.00","3,351,421","43,648,579",7.1%,64,0
"Sp4: Quality assurance
and standards","Sp4: Quality assurance and stan-
dards","1,000,000.00",-,"1,000,000",0.0%,64,0
"SP5: Joint Vocational
Training Graduation","SP5: Joint Vocational Training Grad-
uation","1,600,000.00",-,"1,600,000",0.0%,64,0
"SP6: VTC instructor
annual conference","SP6: VTC instructor annual confer-
ence","2,000,000.00",-,"2,000,000",0.0%,64,0
"SP7:Community sensi-
tization",SP7:Community sensitization,"1,000,000.00",-,"1,000,000",0.0%,64,0
"SP8:Monitoring and
Evaluation",SP8:Monitoring and Evaluation,"1,000,000.00",-,"1,000,000",0.0%,64,0
"PROGRAMME 4: EDU-
CATIONAL SUPPORT
SCHEME",,,,-,,65,0
"Sp1: Education support
and bursary scheme","Sp1: Education support and bursary
scheme","350,000,000.00","175,000,000","175,000,000",50.0%,65,0
TOTAL Education,TOTAL Education,"1,655,012,576.80","703,163,274","951,849,303",42.5%,65,0
"Trade, Energy & Indus-
trialisation.","Trade, Energy &Industrialisation.",,-,-,,65,0
"Trade and Enterprise
Development",Trade and Enterprise Development,"1,900,000",-,"1,900,000",0.0%,65,0
"Market Infrastructure
Development",Market Infrastructure Development,"25,541,750",-,"25,541,750",0.0%,65,0
"Energy Development
and Management","Energy Development and Manage-
ment","22,780,506",-,"22,780,506",0.0%,65,0
Salaries and emoluments,Salaries and emoluments,"25,063,211","12,282,504","12,780,707",49.0%,65,0
"General Administration,
Planning and Support
Services","General Administration, Planning
and Support Services","31,523,605","19,423,650","12,099,955",61.6%,65,0
CEF,CEF,"30,846,000",-,"30,846,000",0.0%,65,0
Supplier’s Credit,Supplier’s Credit,"3,235,741",-,"3,235,741",0.0%,65,0
"Total Expenditure
Trade",Total Expenditure Trade,"140,890,813","31,706,154","109,184,659",22.5%,65,0
"LANDS AND URBAN
PLANNING",,,-,-,,65,0
"Programme 1: Gen-
eral Administration,
Planning and Support
services","Programme 1: General Adminis-
tration, Planning and Support ser-
vices",,,-,,65,0
"SP 1: Institutional
accountability, efficien-
cy and effectiveness in
service delivery","SP 1: Institutional accountability, ef-
ficiency and effectiveness in service
delivery","52,944,141","24,353,599","28,590,542",46.0%,65,0
"SP 2: Human resource
development and man-
agement","SP 2: Human resource development
and management","5,745,622",-,"5,745,622",0.0%,65,0
"Programme 2: Land Re-
source Survey/Mapping
and Management","Programme 2: Land Resource Sur-
vey/Mapping and Management",,-,-,,65,0
SP 1: Land acquisition,SP 1: Land acquisition,"17,700,000",-,"17,700,000",0.0%,65,0
"SP 2: Survey of govern-
ment land quality con-
trol of survey activities","SP 2: Survey of government land
quality control of survey activities","4,000,000",-,"4,000,000",0.0%,65,0
"Programme 3: County
Physical Planning and
Infrastructure","Programme 3: County Physical
Planning and Infrastructure",,-,-,,65,0
"SP 1: Physical Planning
and Urban Development","SP 1: Physical Planning and Urban
Development",-,-,-,,65,0
"SP 2: Infrastructural
development",SP 2: Infrastructural development,-,-,-,,65,0
Total Land,Total Land,"80,389,763","24,353,599","56,036,164",30.3%,65,0
"HOUSING DEPART-
MENT",,,-,-,,65,0
"Programme 1 Gen-
eral Administration,
Planning and Support
services","Programme 1 General Adminis-
tration, Planning and Support ser-
vices",,,-,,66,0
"SP 1: salaries and emol-
uments",SP 1: salaries and emoluments,"8,054,246","4,132,722","3,921,524",51.3%,66,0
"SP 2: Administrative
Services",SP 2: Administrative Services,"11,189,854","7,818,640","3,371,214",69.9%,66,0
"SP 3: Research and
Development",SP 3: Research and Development,"6,260,298",-,"6,260,298",0.0%,66,0
"SP 4: Human resource
development and man-
agement","SP 4: Human resource development
and management","939,045",-,"939,045",0.0%,66,0
"Programme 2 Hous-
ing development and
Human Settlement","Programme 2 Housing develop-
ment and Human Settlement",,-,-,,66,0
SP 1: Estate Management,SP 1: Estate Management,"2,175,650",-,"2,175,650",0.0%,66,0
"SP 2: Housing Develop-
ment",SP 2: Housing Development,"8,000,000",-,"8,000,000",0.0%,66,0
sp3: Housing Grant,sp3: Housing Grant,"50,000,000",,"50,000,000",0.0%,66,0
Total Housing,Total Housing,"86,619,093","11,951,362","74,667,731",13.8%,66,0
"BUNGOMA MUNICI-
PALITY",,,-,-,,66,0
"Programme I: Urban
Economy, General Ad-
ministration, Planning
and Support services","Programme I: Urban Economy,
General Administration, Planning
and Support services",,,-,,66,0
"SP 1.1: Human Resource
Capacity Development
and Management","SP 1.1: Human Resource Capacity
Development and Management","3,898,202",-,"3,898,202",0.0%,66,0
"SP 1.2: General Admin-
istration and Support
Services","SP 1.2: General Administration and
Support Services","5,091,815","5,669,160","(577,345)",111.3%,66,0
"SP 1.3: Planning and
Financial Management","SP 1.3: Planning and Financial Man-
agement","2,178,239",-,"2,178,239",0.0%,66,0
"SP 1.4: Institutional
Accountability, Lead-
ership, Efficiency and
Effectiveness","SP 1.4: Institutional Accountability,
Leadership, Efficiency and Effective-
ness","2,430,000",-,"2,430,000",0.0%,66,0
"SP 1.5: Public Partic-
ipation and Outreach
Services","SP 1.5: Public Participation and Out-
reach Services","2,940,000",-,"2,940,000",0.0%,66,0
"Programme III: Urban
Infrastructure Develop-
ment and Management","Programme III: Urban Infrastruc-
ture Development and Manage-
ment",,-,-,,66,0
"SP 3.1: Urban Transport
and Infrastructure","SP 3.1: Urban Transport and Infra-
structure","109,887,700",-,"109,887,700",0.0%,66,0
Total Expenditure,Total Expenditure,"126,425,956.00","5,669,160","120,756,796",4.5%,66,0
Kimilili Municipality,,,-,-,,66,0
"Programme 1: Gen-
eral Administration,
Planning and Support
services","Programme 1: General Adminis-
tration, Planning and Support ser-
vices",,,-,,66,0
"SP1:General Adm
planning and support
services","SP1:General Adm planning and sup-
port services","13,410,066","3,921,685","9,488,381",29.2%,67,0
"SP2:Administration and
HR Services",SP2:Administration and HR Services,"1,745,987",-,"1,745,987",0.0%,67,0
"Programme 2:Urban
Infrastructure Develop-
ment and management","Programme 2:Urban Infrastruc-
ture Development and manage-
ment",,-,-,,67,0
"Infrastructure. Housing
and public works","Infrastructure. Housing and public
works","191,089,400",-,"191,089,400",0.0%,67,0
Total Expenditure,Total Expenditure,"206,245,453","3,921,685","202,323,768",1.9%,67,0
"Grand Total Lands,
Housing & municipality","Grand Total Lands, Housing & mu-
nicipality","499,680,265","45,895,807","453,784,458",9.2%,67,0
,,,-,-,,67,0
"FINANCE AND ECO-
NOMIC PLANNING",,,-,-,,67,0
"Economic development
planning and coordina-
tion services","Economic development planning
and coordination services","20,855,973","31,940,155","(11,084,182)",153.1%,67,0
"Monitoring and evalua-
tion services",Monitoring and evaluation services,"27,737,494","8,817,560","18,919,934",31.8%,67,0
"Public finance manage-
ment",Public finance management,"156,243,550",-,"156,243,550",0.0%,67,0
"Human Resources Man-
agement",Human Resources Management,"701,815,431","337,261,458","364,553,973",48.1%,67,0
"General administration,
planning, policy coor-
dination and support
services","General administration, planning,
policy coordination and support ser-
vices","211,323,836","115,359,332","95,964,504",54.6%,67,0
Total Expenditure,Total Expenditure,"1,117,976,284.00","493,378,504","624,597,780",44.1%,67,0
"PUBLIC ADMINIS-
TRATION",,,-,-,,67,0
"Public service Manage-
ment and Administra-
tion","Public service Management and
Administration",,,-,,67,0
"General administration,
planning and support
services","General administration, planning
and support services","290,495,281","153,350,799","137,144,482",52.8%,67,0
"Public Participation,
Civic Education and
outreach services","Public Participation, Civic Educa-
tion and outreach services","7,400,000",-,"7,400,000",0.0%,67,0
"Service Delivery and
Organizational Transfor-
mation","Service Delivery and Organizational
Transformation","17,000,000",-,"17,000,000",0.0%,67,0
"Office of the County
Secretary, ICT and
County Attorney","Office of the County Secretary, ICT
and County Attorney",,,-,,67,0
"General administration,
planning and support
services","General administration, planning
and support services","204,918,153","61,424,291","143,493,862",30.0%,67,0
"Kenya Devolution Sup-
port Programme","Kenya Devolution Support Pro-
gramme","112,815,048","46,674,105","66,140,943",41.4%,67,0
"ICT and information
management services","ICT and information management
services","29,847,901",-,"29,847,901",0.0%,67,0
Total Expenditure,Total Expenditure,"662,476,383","261,449,195","401,027,188",39.5%,68,0
"GENDER AND
YOUTHS",,,-,-,,68,0
"Programme 1: Gen-
eral Administration,
Planning and Support
services","Programme 1: General Adminis-
tration, Planning and Support ser-
vices",,,-,,68,0
"Sp 1.2 Administrative
services",Sp 1.2 Administrative services,"35,184,006","38,762,689","(3,578,683)",110.2%,68,0
"SP 1. 2.Compansation to
employees",SP 1. 2.Compansation to employees,"49,731,362","22,349,977","27,381,385",44.9%,68,0
1.3 Staff training,1.3 Staff training,"2,000,000",-,"2,000,000",0.0%,68,0
Sp1.4 DHRC Meeting,Sp1.4 DHRC Meeting,"1,000,000",-,"1,000,000",0.0%,68,0
Sp1.5staff bonding,Sp1.5staff bonding,"1,200,000",-,"1,200,000",0.0%,68,0
"1.7 Planning and Bud-
geting",1.7 Planning and Budgeting,"2,500,000",-,"2,500,000",0.0%,68,0
"Programme 2: Cultural
Development and Man-
agement","Programme 2: Cultural Develop-
ment and Management",,-,-,,68,0
"SP 2. 1Development His-
torical and cultural sites","SP 2. 1Development Historical and
cultural sites","8,579,874",-,"8,579,874",0.0%,68,0
"SP 2. 2. Promotion of
communities culture","SP 2. 2. Promotion of communities
culture","6,500,000",-,"6,500,000",0.0%,68,0
"SP 2.3 Sports and cultur-
al association","SP 2.3 Sports and cultural associa-
tion","12,000,000",-,"12,000,000",0.0%,68,0
"SP2.4 Liquor and Li-
censing",SP2.4 Liquor and Licensing,"2,500,000",-,"2,500,000",0.0%,68,0
"Programme:3.0 Gender
Equality And Empow-
erment Of Vulnerable
Groups","Programme:3.0 Gender Equality
And Empowerment Of Vulnerable
Groups",,-,-,,68,0
"Sp3.1 Gender equality
framework",Sp3.1 Gender equality framework,"5,500,000",-,"5,500,000",0.0%,68,0
"Sp3.2 Gender empow-
erment",Sp3.2 Gender empowerment,"4,000,000",-,"4,000,000",0.0%,68,0
"Sp3.3 Gender main-
streaming",Sp3.3 Gender mainstreaming,"2,000,000",-,"2,000,000",0.0%,68,0
"Sp3.4 Disability main-
streaming",Sp3.4 Disability mainstreaming,"2,000,000",-,"2,000,000",0.0%,68,0
"Programme4.0 Sports
Facility Development
and Management","Programme4.0 Sports Facility De-
velopment and Management",,,-,,68,0
"Sp 4.1Development of
sports facility",Sp 4.1Development of sports facility,"216,887,354","139,936,716","76,950,638",64.5%,68,0
"Programme5.0 Sports
talent development and
management","Programme5.0 Sports talent devel-
opment and management","1,649,000",-,"1,649,000",0.0%,68,0
"5.1Sports and talent de-
velopment established","5.1Sports and talent development
established","1,649,000",-,"1,649,000",0.0%,68,0
Total Expenditure,Total Expenditure,"354,880,596","201,049,382","153,831,214",56.7%,68,0
PUBLIC SERVICE,,,,,,68,0
"Programme 1: Gen-
eral Administration,
Planning and Support
services","Programme 1: General Adminis-
tration, Planning and Support ser-
vices",,,,,69,0
"SP 1. 1 Administrative
service",SP 1. 1 Administrative service,"17,511,117","10,205,308","7,305,809",58.3%,69,0
"Programme 2: (Human
Resource Management
and Development)","Programme 2: (Human Resource
Management and Development)",,"3,127,706","(3,127,706)",0.0%,69,0
"SP 2. 1 Human Resource
Management","SP 2. 1 Human Resource Manage-
ment","4,305,949","3,127,706","1,178,243",72.6%,69,0
"SP 2. 2. Human Resource
Development","SP 2. 2. Human Resource Develop-
ment","4,000,000",-,"4,000,000",0.0%,69,0
"Programme 3:(Gov-
ernors and National
Values","Programme 3:(Governors and Na-
tional Values",,-,-,,69,0
SP 3. 1Quality Assurance,SP 3. 1Quality Assurance,"2,702,854",-,"2,702,854",0.0%,69,0
"SP 3. 2 ethics governors
and national",SP 3. 2 ethics governors and national,"5,195,000",-,"5,195,000",0.0%,69,0
Total Expenditure,Total Expenditure,"33,714,920","16,460,720","17,254,200",48.8%,69,0
"GOVERNORS &
D.GOVERNORS",,,-,-,,69,0
"Programme 1: General
Administration planning
& support","Programme 1: General Administra-
tion planning & support","513,714,827","212,098,934","301,615,893",41.3%,69,0
"Programme 2: County
Executive Committee
Affairs","Programme 2: County Executive
Committee Affairs",-,-,-,,69,0
"Programme 3: County
Strategic and Service
Delivery.","Programme 3: County Strategic and
Service Delivery.",-,-,-,,69,0
Total Expenditure,Total Expenditure,"513,714,827","212,098,934","301,615,893",41.3%,69,0
COUNTY ASSEMBLY,,,,-,,69,0
"General Administration
and Support Services","General Administration and Sup-
port Services","674,764,545.00","189,486,251","485,278,294",28.1%,69,0
Legislation services,Legislation services,"18,377,800.00","217,796","18,160,004",1.2%,69,0
Oversight,Oversight,"41,656,284.00","22,459,668","19,196,616",53.9%,69,0
"Representation and
outreach services","Representation and outreach ser-
vices","186,380,876.00","141,239,375","45,141,501",75.8%,69,0
General Infrastructure,General Infrastructure,"20,000,000.00",-,"20,000,000",0.0%,69,0
,,"941,179,505","353,403,090","587,776,415",37.5%,69,0
Grand Total,,"12,770,427,249","4,386,544,587","8,383,882,662",34.3%,69,0
