Programme,Sub-Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)",Variance (Kshs),"Absorption
Rates (%)",page_number,table_index
"Default Value (Non- Depart-
mental)","Default Value (Non- De-
"Environmental and Natural re-
source protection Management",,"87,232,364","1,032,262","86,200,102",1.2,41,0
,,"2,800,000",-,"2,800,000",-,41,0
,,"37,658,442","1,032,262","36,626,180",2.7,41,0
,,"43,946,822",-,"43,946,822",-,41,0
,,"1,677,500",-,"1,677,500",-,41,0
,,-,-,-,-,41,0
,,"1,149,600",-,"1,149,600",-,41,0
Headquarters,,-,-,-,-,41,0
,"Inter and Intra Governmen-
tal Relations Services",,,,-,41,0
Headquarters,,"39,270,600","12,556,287","26,714,313",32.0,41,0
,,-,-,-,-,41,0
,,"39,270,600","12,556,287","26,714,313",32.0,41,0
,Grand Total,"9,947,339,707","2,502,476,953","7,444,862,754",25.2,41,0
