Programme,"Sub- Pro-
gramme","Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
Board,713013710,"7,759,284","750,925","7,008,359",9.7,198,0
Board,713023710,"6,605,268","948,138","5,657,130",14.4,198,0
Board,714013710,"5,033,615","696,196","4,337,419",13.8,198,0
General Administration And Planning,701013710,"18,591,540","5,687,656","12,903,884",30.6,198,0
Sub-total County Public Service Board,,"37,989,707","8,082,915","29,906,792",21.3,198,0
County Assembly,,,,,,198,0
General Administration And Planning,701013710,"384,862,315","108,830,456","264,854,356",28.3,198,0
Legislative Department,715013710,"622,536,747","273,604,186","365,508,444",43.9,198,0
Sub-total County Assembly,,"1,007,399,062","382,434,642","630,362,800",38.0,198,0
Kitui Municipality,,,,,,198,0
"Environment, Culture, Recreation and
Community Development",207013710,"36,394,963","9,044,919","27,350,044",24.9,198,0
Finance,207023710,"34,065,000","6,824,108","27,240,892",20.0,198,0
General Administration And Planning,201013710,"49,757,428","13,368,377","36,389,051",26.9,198,0
"Planning, Development Control, Trans-
port and Infrastructure",207013710,"18,835,000","4,343,447","14,491,553",23.1,198,0
"Planning, Development Control, Trans-
port and Infrastructure",209013710,"151,882,398","68,202,886","83,679,512",44.9,198,0
"Trade, Commerce and Industrialisation",207033710,"14,734,842","1,861,499","12,873,343",12.6,198,0
Sub-total Kitui Municipality,,"305,669,631","103,645,236","202,024,395",33.9,198,0
Mwingi Town Administration,,,,,,198,0
"Environment, Culture, Recreation and
Community Development",1001013710,"11,008,845","1,709,994","9,298,851",15.5,198,0
General Administration And Planning,109013710,"12,846,242","1,047,820","11,798,422",8.2,198,0
General Administration And Planning,201013710,"62,650,500","12,199,050","50,451,450",19.5,198,0
General Administration And Planning,706013710,"4,816,250","2,336,454","2,479,796",48.5,198,0
"Planning, Development Control, Trans-
port and Infrastructure",207013710,"15,826,800","1,318,258","14,508,542",8.3,198,0
"Planning, Development Control, Trans-
port and Infrastructure",207023710,"940,400","278,550","661,850",29.6,198,0
"Planning, Development Control, Trans-
port and Infrastructure",207033710,"5,195,100","1,542,633","3,652,467",29.7,198,0
"Sub-total Mwingi Town Administra-
tion",,"113,284,137","20,432,759","92,851,378",18.0,198,0
Livestock Apiculture and Fisheries,,,,,,198,0
Aquaculture Development,105013710,"2,630,349","319,611","2,310,738",12.2,198,0
General Administration,101013710,"63,782,775","3,704,570","60,078,205",5.8,198,0
Livestock Development,106013710,"31,605,884","5,265,150","26,340,734",16.7,198,0
Livestock Development,106023710,"32,440,440","5,978,336","26,462,104",18.4,198,0
"Sub-total Livestock Apiculture and
Fisheries",,"130,459,448","15,267,667","115,191,781",11.7,198,0
Lands and physical planning,,,,,,198,0
General Administration,101013710,"53,096,842","10,219,594","42,877,248",19.2,198,0
Land Adjudication,108023710,"21,416,451","2,153,118","19,263,333",10.1,198,0
Land Information & management,108013710,"53,105,873","4,771,054","48,334,819",9.0,198,0
Land Survey,108023710,"4,000,000",-,"4,000,000",0.0,198,0
Lands survey,108023710,"20,038,097","4,468,910","15,569,187",22.3,198,0
Sub-total Lands and physical planning,,"151,657,263","21,612,676","130,044,587",14.3,198,0
Grand Total,,"12,499,775,275","4,972,298,224","7,532,875,431",39.8,198,0
