Programme,Sub-program,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs),Absorption (%),page_number,table_index,col_6
,Fisheries Development,"2,500,000",-,"2,500,000",-,49,0,
,Livestock Development,"19,500,000",-,"19,500,000",-,49,0,
,Veterinary Services,"27,976,320",-,"27,976,320",-,49,0,
Operations and Maintenance,,"16,590,000","11,276,119","5,313,881",68.0,49,0,
,Other Recurrent Expenditure,"2,000,000","1,961,356","38,644",98.1,49,0,
,Use of Goods and Services,"14,590,000","9,314,763","5,275,237",63.8,49,0,
"Department of Water, Sanitation and Environment",,"400,285,106","164,341,373","235,943,734",41.1,49,0,
"Development of Water Supply
for Domestic and Commercial
purposes",,"264,785,106","100,018,073","164,767,034",37.8,49,0,
,"Cash Transfer (BIDP Pro-
gramme)","60,000,000",-,"60,000,000",-,49,0,
,"Hydrogeological Surveys,
Drilling and Equipping of
boreholes and other civil
works","4,185,106","2,913,750","1,271,356",69.6,49,0,
,Spring protection,"1,000,000",-,"1,000,000",-,49,0,
,water harvesting and storage,"91,000,000","7,926,000","83,074,000",8.7,49,0,
,Water supply infrastructure,"108,600,000","89,178,323","19,421,678",82.1,49,0,
"Environment and Natural Re-
sources",,"19,860,000",-,"19,860,000",-,49,0,
,"Environmental and natural
resources protection and con-
servation","9,100,000",-,"9,100,000",-,49,0,
,Other Recurrent Expenditure,"1,525,000",-,"1,525,000",-,49,0,
,"Policy planning and adminis-
trative services","1,000,000",-,"1,000,000",-,49,0,
,Use of Goods and Services,"8,235,000",-,"8,235,000",-,49,0,
26,,,,,,49,0,
Irrigation Development,,"1,000,000",-,"1,000,000",-,50,0,
,Irrigation infrastructure,"1,000,000",-,"1,000,000",-,50,0,
Operations and Maintenance,,"110,040,000","64,323,300","45,716,700",58.5,50,0,
,Other Recurrent Expenditure,"89,500,000","55,000,000","34,500,000",61.5,50,0,
,Use of Goods and Services,"20,540,000","9,323,300","11,216,700",45.4,50,0,
"Policy planning and administra-
tive services",,"4,500,000",-,"4,500,000",-,50,0,
,"County Water Master Plan
documentation","3,500,000",-,"3,500,000",-,50,0,
,"Consultancy services for the
design of water supply infra-
structure",-,-,-,,50,0,
,County water policy and bill,"1,000,000",-,"1,000,000",-,50,0,
Wastewater management,,"100,000",-,"100,000",-,50,0,
,"Resource mobilisation for pro-
posed Sotik sewerage project","100,000",-,"100,000",-,50,0,
Department of Education and Vocational Training,,"338,866,704","74,236,147","264,630,558",21.9,50,0,
"Early Childhood Development
and Education",,"206,510,454","33,628,658","172,881,797",16.3,50,0,
,Ancillary Education Support,"15,000,000","10,058,350","4,941,651",67.1,50,0,
,"Construction of ECD Class-
rooms","75,810,454","23,570,308","52,240,146",31.1,50,0,
,Feeding Programme,"109,000,000",-,"109,000,000",-,50,0,
,Furniture in ECD,"4,200,000",-,"4,200,000",-,50,0,
,Teaching/ Learning Materials,"2,500,000",-,"2,500,000",-,50,0,
Operations and Maintenance,,"8,859,590","8,296,791","562,799",93.6,50,0,
,Use of Goods and Services,"8,859,590","8,296,791","562,799",93.6,50,0,
"Policy, Planning and General
Administrative Services",,"123,496,660","32,310,698","91,185,962",26.2,50,0,
,"Bursaries and Support Ser-
vices","56,496,660","32,310,698","24,185,962",57.2,50,0,
,"Other Transfers (Support to
Polytechnic)","47,000,000",-,"47,000,000",-,50,0,
,Revolving Fund,"20,000,000",-,"20,000,000",-,50,0,
"Department of Lands, Housing and Urban Planning",,"298,000,000","14,508,066","283,491,934",4.9,50,0,
Housing Development,,"6,150,000","1,188,300","4,961,700",19.3,50,0,
,"Maintenance of Buildings and
Stations -- Non-Residential,
i.e. offices","2,800,000",-,"2,800,000",-,50,0,
,Use of Goods and Services,"3,350,000","1,188,300","2,161,700",35.5,50,0,
Lands Development,,"35,000,000","1,410,000","33,590,000",4.0,50,0,
,Acquisition of land -EPZ,"10,000,000",-,"10,000,000",-,50,0,
,Land Purchase-Wards,"25,000,000","1,410,000","23,590,000",5.6,50,0,
Municipality,,"213,000,000","1,455,600","211,544,400",0.7,50,0,
,"KUSP (Municipal infrastruc-
ture)","168,000,000",-,"168,000,000",-,50,0,
,Personnel Emoluments,"40,000,000","593,600","39,406,400",1.5,50,0,
,Use of Goods and Services,"5,000,000","862,000","4,138,000",17.2,50,0,
Operations and Maintenance,,"8,615,000","2,775,280","5,839,720",32.2,50,0,
,,,,,,50,0,27
,Land title deeds acquisition,"4,000,000",-,"4,000,000",-,51,0,
,Use of Goods and Services,"4,615,000","2,775,280","1,839,720",60.1,51,0,
Urban Management,,"35,235,000","7,678,886","27,556,114",21.8,51,0,
,"Urban Infrastructure -De-
velopment of public utili-
ties-Public toilets, Stormwater
drains, and other urban public
infrastructure in 20 wards out-
side the Municipality.","20,000,000","1,888,196","18,111,804",9.4,51,0,
,Use of Goods and Services,"15,235,000","5,790,690","9,444,310",38.0,51,0,
Department of Economic Planning,,"276,372,939","48,845,123","227,527,816",17.7,51,0,
"Budget Preparation and Man-
agement",,"7,000,000","5,565,300","1,434,700",79.5,51,0,
,"Preparation of Budget Docu-
ments","6,000,000","5,462,500","537,500",91.0,51,0,
,Training,"1,000,000","102,800","897,200",10.3,51,0,
KDSP (Level 1 Grant),,"48,000,000","8,946,855","39,053,145",18.6,51,0,
,KDSP (Level 1 Grant),"48,000,000","8,946,855","39,053,145",18.6,51,0,
KDSP (Level 2 Grant),,"167,353,974",-,"167,353,974",-,51,0,
,"KDSP (Level 2 Grant) - Devel-
opment","167,353,974",-,"167,353,974",-,51,0,
"Monitoring and Evaluation Ser-
vices",,"4,000,000",-,"4,000,000",-,51,0,
,"Awareness and Publicity Cam-
paigns",-,-,-,,51,0,
,Monitoring services,"2,000,000",-,"2,000,000",-,51,0,
,Policy Development,"2,000,000",-,"2,000,000",-,51,0,
Operations and Maintenance,,"36,831,091","29,842,568","6,988,523",81.0,51,0,
,Use of Goods and Services,"36,831,091","29,842,568","6,988,523",81.0,51,0,
Planning and Statistics,,"13,187,874","4,490,400","8,697,474",34.0,51,0,
,"County Plans and review of
the CIDP","12,000,000","4,490,400","7,509,600",37.4,51,0,
,County Statistics,"1,187,874",-,"1,187,874",-,51,0,
Department of Finance,,"232,969,289","197,898,845","35,070,444",84.9,51,0,
Financial Management Services,,"123,963,859","116,779,763","7,184,097",94.2,51,0,
,"Financial Management Ser-
vices","123,963,859","116,779,763","7,184,097",94.2,51,0,
Operations and Maintenance,,"109,005,430","81,119,083","27,886,347",74.4,51,0,
,Other Recurrent,"15,750,000","4,800,000","10,950,000",30.5,51,0,
,Use of Goods and Services,"93,255,430","76,319,083","16,936,347",81.8,51,0,
Department of County Executive,,"185,000,000","116,658,474","68,341,526",63.1,51,0,
Operations and Maintenance,,"185,000,000","116,658,474","68,341,526",63.1,51,0,
,Use of Goods and Services,"185,000,000","116,658,474","68,341,526",63.1,51,0,
Department of Cooperatives and Enterprise Development,,"107,843,230",-,"107,843,230",-,51,0,
"Agribusiness Development and
Marketing",,"45,600,000",-,"45,600,000",-,51,0,
,Cooperative development,"38,500,000",-,"38,500,000",-,51,0,
,Market Development,"1,100,000",-,"1,100,000",-,51,0,
,Value addition,"6,000,000",-,"6,000,000",-,51,0,
Enterprise Development Fund,,"40,500,000",-,"40,500,000",-,52,0,
,Revolving Fund,"40,500,000",-,"40,500,000",-,52,0,
Operations and Maintenance,,"21,490,030",-,"21,490,030",-,52,0,
,Other Recurrent Expenditure,"1,800,000",-,"1,800,000",-,52,0,
,Use of Goods and Services,"19,690,030",-,"19,690,030",-,52,0,
"Policy Formulation, Review, and
Administration",,"253,200",-,"253,200",-,52,0,
,"Legal and Institutional frame-
work","53,200",-,"53,200",-,52,0,
,"Policy formulation, review,
and implementation","100,000",-,"100,000",-,52,0,
,Strategies and Plans,"100,000",-,"100,000",-,52,0,
"Department of Youth, Sports, Gender and Culture",,"78,180,777","27,657,940","50,522,837",35.4,52,0,
Culture and library services,,"9,600,000","1,980,700","7,619,300",20.6,52,0,
,"Cultural Development (Oth-
er Infrastructure and Civil
Works)","4,000,000",-,"4,000,000",-,52,0,
,"Public Records and Archives
Management","600,000",-,"600,000",-,52,0,
,"Public Records and Archives
Management (Other Infra-
structure and Civil Works)","3,000,000",-,"3,000,000",-,52,0,
,Training,"2,000,000","1,980,700","19,300",99.0,52,0,
"Gender, Children Services, and
Social Protection",,"17,500,000","8,979,700","8,520,300",51.3,52,0,
,Foods and ratio – (Other),"3,000,000","3,000,000",-,100.0,52,0,
,"Social Protection and Chil-
dren Services (Other Infra-
structure and Civil Works)
Rescue Centre","8,000,000",-,"8,000,000",-,52,0,
,"Social Protection -Other Op-
erating Expenses – Other","2,500,000","2,474,700","25,300",99.0,52,0,
,"Training and gender empow-
erment (gender mainstream-
ing)","4,000,000","3,505,000","495,000",87.6,52,0,
Operations and Maintenance,,"8,180,777","2,972,800","5,207,977",36.3,52,0,
,Use of Goods and Services,"8,180,777","2,972,800","5,207,977",36.3,52,0,
"Policy Development and Ad-
ministrative Services",,"3,000,000","2,999,620",380,100.0,52,0,
,Policy Development,"3,000,000","2,999,620",380,100.0,52,0,
,"Purchase of Uniform and
Clothing-Staff",-,-,-,,52,0,
,"Transfer to Lake region eco-
nomic block",-,-,-,,52,0,
Youth and Sports Development,,"39,900,000","10,725,120","29,174,880",26.9,52,0,
,"Development of sporting fa-
cilities (Overhaul of Other In-
frastructure and Civil Works)","17,000,000",-,"17,000,000",-,52,0,
,"Establishment of Youth Em-
powerment facilities and
equipment","4,700,000","633,920","4,066,080",13.5,53,0,
,"Other Infrastructure and Civil
Works Sports Academy","4,000,000",-,"4,000,000",-,53,0,
,"Overhaul of Other Infrastruc-
ture and Civil Works)","3,000,000",-,"3,000,000",-,53,0,
,Sports Enhancement,"11,200,000","10,091,200","1,108,800",90.1,53,0,
Department of Administration,,"56,035,461","8,245,650","47,789,811",14.7,53,0,
"Centre for Devolved Gover-
nance",,"200,000",-,"200,000",-,53,0,
,"Centre for Devolved Gover-
nance","200,000",-,"200,000",-,53,0,
"Infrastructure Development
and Equipment",,"24,000,000",-,"24,000,000",-,53,0,
,"Infrastructure Development
and Equipment","24,000,000",-,"24,000,000",-,53,0,
Operations and Maintenance,,"31,835,461","8,245,650","23,589,811",25.9,53,0,
,Use of Goods and Services,"31,835,461","8,245,650","23,589,811",25.9,53,0,
"Department of Trade, Energy, Tourism and Industry and In-
vestment",,"50,153,901","14,406,423","35,747,478",28.7,53,0,
Industry Development,,"5,540,000","1,965,619","3,574,381",35.5,53,0,
,Equipping of Jua Kali sheds,"1,140,000",-,"1,140,000",-,53,0,
,"Industrial Development and
Support","4,400,000","1,965,619","2,434,381",44.7,53,0,
Energy Development,,"12,000,000","1,517,620","10,482,380",12.6,53,0,
,"Installation and Maintenance
of Floodlight and street lights","11,200,000","1,517,620","9,682,380",13.6,53,0,
,Low-Cost Energy Services,"800,000",-,"800,000",-,53,0,
Operations and Maintenance,,"12,123,901","4,442,955","7,680,946",36.6,53,0,
,Other Recurrent Expenditure,"2,050,000","945,175","1,104,825",46.1,53,0,
,Use of Goods and Services,"10,073,901","3,497,780","6,576,121",34.7,53,0,
Tourism Development,,"5,490,000",-,"5,490,000",-,53,0,
,"Development of The Tourism
Niche Products","5,000,000",-,"5,000,000",-,53,0,
,"Tourism promotion and exhi-
bition","490,000",-,"490,000",-,53,0,
Trade Development,,"15,000,000","6,480,229","8,519,771",43.2,53,0,
,"Fair Trade and Consumer Pro-
tection Practices","700,000",-,"700,000",-,53,0,
,Market Development,"14,300,000","6,480,229","7,819,771",45.3,53,0,
Department of County Public Service Board,,"40,406,540","17,869,262","22,537,278",44.2,53,0,
Development,,"6,000,000",-,"6,000,000",-,53,0,
,Development,"6,000,000",-,"6,000,000",-,53,0,
Operations and Maintenance,,"34,406,540","17,869,262","16,537,278",51.9,53,0,
,Use of Goods and Services,"34,406,540","17,869,262","16,537,278",51.9,53,0,
Department of ICT,,"35,205,000","9,073,468","26,131,532",25.8,53,0,
"Information Communication
Technology (ICT) Services",,"12,000,000","1,728,400","10,271,600",14.4,53,0,
,"Development of ICT Infra-
structure","4,000,000",-,"4,000,000",-,54,0,
,E-Government Services,"6,000,000","1,728,400","4,271,600",28.8,54,0,
,"ICT Connectivity Enhance-
ment","2,000,000",-,"2,000,000",-,54,0,
Operations and Maintenance,,"23,205,000","7,345,068","15,859,932",31.7,54,0,
,Use of Goods and Services,"23,205,000","7,345,068","15,859,932",31.7,54,0,
County Assembly of Bomet,,"935,721,526","278,917,568","656,803,958",29.8,54,0,
Legislative Services,1:1 legislative service,"171,002,040","82,189,450","88,812,590",48.1,54,0,
,"1:2 Committee Services and
House Proceedings","74,697,980","27,891,120","46,806,860",37.3,54,0,
,1:3 Office of the Speaker,"7,066,575","3,126,600","3,939,975",44.2,54,0,
Oversight and Representation,"2:1 Decentralization of Ser-
vices","30,416,400","12,785,000","17,631,400",42.0,54,0,
,2:2 Public Participation,"64,076,400","31,200,042","32,876,358",48.7,54,0,
,2:3 Site Visits,"987,815",-,"987,815",-,54,0,
"General Administration, Hu-
man Resource and Administra-
tive Services","3:1 County Assembly Service
Board","111,501,000","47,896,200","63,604,800",43.0,54,0,
,"3:2 Human Resource and Ad-
ministrative Services","202,282,491","60,987,432","141,295,059",30.1,54,0,
,"3:3 Financial Management
Services","2,624,600","987,245","1,637,355",37.6,54,0,
,"3:4 Information Services and
E- Assembly","58,411,148","11,854,479","46,556,669",20.3,54,0,
,"3:5 Infrastructure Develop-
ment","212,655,077",-,"212,655,077",-,54,0,
Grand Total,,"8,346,766,332","3,197,236,061","5,149,530,271",38.3,54,0,
