Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Preventive and promotive
health services",Community health services,"63,650,000","54,708,168","8,941,832",86.0,112,0
,Disease control services,"47,250,000",,"47,250,000",-,112,0
,"Facility infrastructure im-
provement services","117,000,000","58,435,899","58,564,101",49.9,112,0
,Sub total,"227,900,000","113,144,067","114,755,933",49.6,112,0
"Curative and rehabilitative
health services","Routine medical health
services","224,173,731",-,"224,173,731",-,112,0
,"Medical emergency re-
sponse services","18,000,000",-,"18,000,000",-,112,0
,"Facility infrastructure im-
provement services","283,300,000","129,747,097","153,552,903",45.8,112,0
,Sub total,"525,473,731","129,747,097","395,726,634",24.7,112,0
"Research and development
service","Research and surveillance
services","2,000,000",,"2,000,000",-,112,0
,"Capacity development
services","3,000,000",-,"3,000,000",-,112,0
,Sub total,"5,000,000",-,"5,000,000",-,112,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,112,0
"General Administration
Services","General administrative sup-
port services","36,675,033","6,400,000","30,275,033",17.5,112,0
,General office operations,-,-,-,-,112,0
,Sub total,"36,675,033","6,400,000","30,275,033",17.5,112,0
Lands and Physical planning,Spatial planning Services,"35,000,000","14,881,138","20,118,862",42.5,113,0
,"Survey and Valuation
Services","17,999,978","4,632,011","13,367,967",25.7,113,0
,"Land Banking and Inventor-
ization Services",-,-,-,-,113,0
,Sub total,"52,999,978","19,513,149","33,486,829",36.8,113,0
"Housing and Urban Devel-
opment","Housing improvement
services","5,857,914",-,"5,857,914",-,113,0
,"Urban Development Ser-
vices","75,809,978","38,922,750","36,887,228",51.3,113,0
,Sub total,"81,667,892","38,922,750","42,745,142",47.7,113,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,113,0
"Planning and Administrative
services","Administrative and Support
Services","126,008,571","69,500,000","56,508,571",55.2,113,0
,"Policy Development and
Implementation Services","6,519,327",-,"6,519,327",-,113,0
,Sub total,"132,527,898","69,500,000","63,027,898",52.4,113,0
"Trade, Cooperative
and Entrepreneurship
Development Service","Cooperative Development
Services",-,,-,-,113,0
,"Enterprise Development
and Promotion Services","12,700,000","12,700,000",-,100,113,0
,"Trade Infrastructure Devel-
opment Services","40,000,000","34,402,535","5,597,465",86.0,113,0
,Sub total,"52,700,000","47,102,535","5,597,465",89.4,113,0
"Industrial Development and
Investment Services","Value Chain Development
Services","31,200,000","31,200,000",-,100.0,113,0
,"Financial and Investment
Services",-,-,-,-,113,0
,Sub total,"31,200,000","31,200,000",-,100.0,113,0
"Department of Water, Environment and Natural Resources",,,,,,113,0
"General Administrative
Services","Administrative Support
Services","58,420,102","45,088,872","13,331,230",77.2,113,0
,"Policy and Planning Ser-
vices","55,680,308",-,"55,680,308",-,113,0
,Sub total,"114,100,410","45,088,872","69,011,538",39.5,113,0
"Water Supply and
Management Services","Urban Water Supply Ser-
vices","19,980,000",-,"19,980,000",-,113,0
,Rural Water Supply Services,"251,320,000","190,484,162","60,835,838",75.8,113,0
,"Industrial water Supply
services",-,-,-,-,113,0
,"Maintenance of Water Sup-
ply Services","6,000,000",-,"6,000,000",0.0,113,0
,Sub total,"277,300,000","190,484,162","86,815,838",68.7,113,0
"Environmental Protection
and Management Services","Pollution and Waste Man-
agement services","21,000,000",-,"21,000,000",-,113,0
,"Forestry Development
Services","13,500,000",-,"13,500,000",-,113,0
,Climate Change Services,"10,500,000",-,"10,500,000",-,113,0
,Sub total,"45,000,000",-,"45,000,000",-,113,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,113,0
"General administration and
support services","Staff Remuneration and
Welfare Support Services","224,042,613","82,499,090","141,543,523",36.8,114,0
,"General Logistics, Coordi-
nation and Asset Manage-
ment Services","16,177,300",-,"16,177,300",-,114,0
,"Devolution and Service
Delivery Support Services","15,975,642",-,"15,975,642",-,114,0
,Sub total,"256,195,555","82,499,090","173,696,465",32.2,114,0
"Planning, budgeting and
development coordination
services","Economic planning and
development services","14,914,518",-,"14,914,518",-,114,0
,"Resource Allocation Ser-
vices","11,989,000",-,"11,989,000",-,114,0
,"Public Participation Facilita-
tion Services","33,934,700",-,"33,934,700",-,114,0
,Subtotal,"60,838,218",-,"60,838,218",-,114,0
"Strategy and service delivery
management services","Monitoring and evaluation
services","4,687,200",-,"4,687,200",-,114,0
,"Strategy and service delivery
improvement services","14,711,911",-,"14,711,911",-,114,0
,Sub total,"19,399,111",-,"19,399,111",-,114,0
"Resource mobilisation
services","External Resources Mobili-
sation Services","18,232,248",-,"18,232,248",-,114,0
,"Internal Revenue Genera-
tion Services","53,221,280",-,"53,221,280",-,114,0
,Subtotal,"71,453,528",-,"71,453,528",-,114,0
"Financial management
services","Accounting and Financial
Reporting Services","20,524,530",-,"20,524,530",-,114,0
,"Audit and Advisory Ser-
vices","8,956,997",-,"8,956,997",-,114,0
,"Emergency Management
Services","100,000,000","20,700,000","79,300,000",20.7,114,0
,Sub total,"129,481,527","20,700,000","108,781,527",16.0,114,0
Executive Services (Office of the Governor),,,,,,114,0
"Public service administration
support services","Human resource man-
agement and development
services","495,883,030","231,756,399","264,126,631",46.7,114,0
,Legal Services,"5,150,000",-,"5,150,000",-,114,0
,Sub total,"501,033,030","231,756,399","269,276,631",46.3,114,0
"Governance and coordina-
tion services","Executive management and
liaison services","89,820,108","60,384,865","29,435,243",67.2,114,0
,"Field coordination and
administration services","77,285,900",-,"77,285,900",-,114,0
,Sub total,"167,106,008","60,384,865","106,721,143",36.1,114,0
"Strategy and service delivery
improvement services","Strategy and advisory
services","1,283,730",-,"1,283,730",-,114,0
,"Efficiency monitoring
services","15,600,550",-,"15,600,550",-,114,0
,"Information and communi-
cation services","9,185,000",-,"9,185,000",-,114,0
,"Disaster management
services","10,090,100","3,780,138","6,309,962",37.5,114,0
,Sub total,"36,159,380","3,780,138","32,379,242",10.5,114,0
County Public Service Board,,,,,,114,0
"Policy, Planning and Admin-
istration Services","Policy and Planning Ser-
vices","2,533,400",-,"2,533,400",-,115,0
,"Administrative Support
Services","50,022,100","3,200,000","46,822,100",6.4,115,0
,"Facility Improvement &
Capacity Strengthening
Services","5,000,000",-,"5,000,000",-,115,0
,Sub total,"57,555,500","3,200,000","54,355,500",5.6,115,0
"Personnel Sourcing and
Management Services","Recruitment, Selection and
Deployment Services","12,906,736",-,"12,906,736",-,115,0
,"Human Resource Advisory
Services","8,275,000",-,"8,275,000",-,115,0
,"Capacity Development
Services","4,182,500","250,000","3,932,500",6.0,115,0
,Sub total,"25,364,236","250,000","25,114,236",1.0,115,0
"Performance Management
Services","Performance Contracting
and Appraisal Services","785,000",-,"785,000",-,115,0
,Subtotal,"785,000",-,"785,000",-,115,0
County Assembly Service Board,,,,,,115,0
Legislative Services,"Members’ welfare Support
services","300,212,940","160,668,279","139,544,661",53.5,115,0
,"Legislative development
and approval services","105,545,286","51,252,430","54,292,856",48.6,115,0
,Sub total,"405,758,226","211,920,709","193,837,517",52.2,115,0
"Oversight and Control
Services",Capacity building services,"8,000,000","7,380,000","620,000",92.3,115,0
,Report writing services,"25,000,000","25,000,000",-,100.0,115,0
,"Public participation and
education services","14,000,000","13,800,000","200,000",98.6,115,0
,Sub total,"47,000,000","46,180,000","820,000",98.3,115,0
"Ward Representation Ser-
vices","Staff welfare support ser-
vices","66,628,836",-,"66,628,836",-,115,0
,"Ward operations and main-
tenance","19,661,760","17,400,000","2,261,760",88.5,115,0
,Sub total,"86,290,596","17,400,000","68,890,596",20.2,115,0
"Policy, Planning and Admin-
istrative","Administrative support
services","292,382,983","64,189,540","228,193,443",22.0,115,0
,"Financial management
Services","197,962,400","160,309,751","37,652,649",81.0,115,0
,"Assembly infrastructure
development Services","122,283,800",-,"122,283,800",-,115,0
,Sub total,"612,629,183","224,499,291","388,129,892",36.6%,115,0
Homa Bay Municipal Board,,,,,,115,0
"Policy, Planning, General
Administration and Support
Services","Policy and Planning Ser-
vices","4,013,000",-,"4,013,000",-,115,0
,"Administration and Support
Services","18,049,013","4,500,000","13,549,013",24.9,115,0
,Sub total,"22,062,013","4,500,000","17,562,013",20.4,115,0
Urban development services,"Land Use Planning and
Management","43,216,000",-,"43,216,000",-,115,0
,"Infrastructure Development
Services","56,784,000",-,"56,784,000",-,115,0
,"Environmental Manage-
ment Services","26,135,430",-,"26,135,430",-,115,0
,Subtotal,"126,135,430",-,"126,135,430",-,115,0
