"Depart-
ment",Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),Absorption Rate (%,page_number,table_index
,,"SP 1.5. Workplace
HIV Mainstream-
ing In All Minis-
tries","2,000,000","1,304,760","695,240",65%,306,0
,,"SP 1.6. Con-
struction And
Rehabilitation Of
Sub-County And
Ward Offices","85,119,295","14,783,573","70,335,722",17%,306,0
,"Programme 2:
Legal Services","SP 2.1. Legal Ser-
vices And Policies
Formulation","10,575,000",-,"10,575,000",0%,306,0
,,"SP 2..2. Co-Ordi-
nation Of County
Compliance & En-
forcement Agents","5,625,000",-,"5,625,000",0%,307,0
,"Programme
3: Human
Resource Man-
agement and
Development","SP 3.1 Staff Devel-
opment Through
Capacity Building
& Training","70,603,631",-,"70,603,631",0%,307,0
,"Programme 4:
Performance
Management","SP 4.1 Performance
Contracting","5,000,000",-,"5,000,000",0%,307,0
,,"SP 4.2 Performance
Appraisal System","5,000,000",-,"5,000,000",0%,307,0
"Trade,
Coop-
eratives,
Industri-
alisation
and
Tourism",,,,,,,307,0
,"PROGRAMME
1: ADMIN-
ISTRATION,
PLANNING
AND SUPPORT
SERVICES",,,,,,307,0
,,"SP 1.1: Administra-
tion, Planning and
Support Services","43,252,574","7,180,640","36,071,934",17%,307,0
,,"SP 1.2: Personnel
Services","90,703,348","21,805,929","68,897,419",24%,307,0
,,"SP 1.3: Financial
Services",-,-,-,,307,0
"Programme 2: Cooperative Development and
Management",,,,,,,307,0
,,"SP 2.1: Enhance
Marketing Cooper-
atives","24,700,000",,"24,700,000",0%,307,0
,,"SP 2.2: Sacco Mem-
ber Empowerment","5,646,036","191,669","5,454,367",3%,307,0
,,"SP 2.3: Enforce-
ment of Compli-
ance in Coopera-
tives","1,863,964",,"1,863,964",0%,307,0
,,"SP 2.4: Extension
Services","2,600,000",,"2,600,000",0%,307,0
Programme 3: Commerce and Enterprise,,,,,,,307,0
,,"SP.3:1 Business De-
velopment Services
for SME's","12,000,000",,"12,000,000",0%,307,0
,,"SP 3.2: Facilitating
Producer Business
Groups (PBGs)","3,840,000","552,244","3,287,756",14%,307,0
,,"SP 3.3: SME Fund-
ing","52,000,000",,"52,000,000",0%,307,0
,,"SP 3.4: Trade Li-
censing","2,800,000",,"2,800,000",0%,307,0
,,"SP 3.5: Consumer
Protection","4,455,000","122,000","4,333,000",3%,307,0
"Programme 4: Market Rehabilitation and Devel-
opment",,,,,,,307,0
,,"SP 4.1: Rehabilita-
tion and Renova-
tion of Existing
Markets","280,434,558","16,600,224","263,834,334",6%,307,0
,,"SP 4.2: Develop-
ment of Retail and
Wholesale Markets
in Nakuru","10,500,000",,"10,500,000",0%,308,0
,,"SP 4.3: Market
Users Delivery
Services","28,950,000","9,326,408","19,623,592",32%,308,0
"Programme 5: Promotion Of Tourism And
Markets",,,,,,,308,0
,,"SP 5.1: Promotion
of Local Tourism","4,750,000","502,000","4,248,000",11%,308,0
,,"SP 5.2: Establish-
ment and Manage-
ment of County
Tourism Informa-
tion Centre","12,000,000",,"12,000,000",0%,308,0
Programme 6: Alcoholics Drinks Control,,,,,,,308,0
"Programme 1: Administration Planning And
Support Services",,,,,,,308,0
,,"SP 1.2 Adminis-
tration","141,734,295","34,271,370","107,462,925",24%,308,0
,,"SP 1.3 Personnel
services","114,639,196","1,225,929","113,413,267",1%,308,0
,,"SP 1.4 Financial
services","2,100,000",,"2,100,000",0%,308,0
"Programme 2: Development of Socio-Cultural
Diversity, Economic Empowerment and Respon-
sible Gaming",,,,,,,308,0
,,"SP 2.2 Cultural de-
velopment activities","17,900,000","2,089,218","15,810,782",12%,308,0
,,"SP 2.3 Gender de-
velopment activities","6,500,000","2,839,000","3,661,000",44%,308,0
,,"SP 2.4 Promotion
of responsible
gaming.","1,800,000","200,000","1,600,000",11%,308,0
,,"SP 2.5 Social Devel-
opment activities","13,557,866","2,391,090","11,166,776",18%,308,0
,,"SP 2.6 Social-Cul-
tural Development","14,640,737",-,"14,640,737",0%,308,0
"Programme 3: Management and Development of
Sports, Recreation and Sports Facilities",,,,,,,308,0
,,"SP 3.2 Develop-
ment of Sports
Infrastructure","93,000,000",-,"93,000,000",0%,308,0
,,"SP 3.3 Sporting
Tournament","11,485,866","6,252,490","5,233,376",54%,308,0
,,"SP 3.4 Sports
Funding.","53,034,886","5,214,000","47,820,886",10%,308,0
"Programme 4: Youth Empowerment and Partic-
ipation",,,,,,,308,0
,,"SP 4.2 Youth
empowerment and
participation","177,868,962","2,800,050","175,068,912",2%,308,0
"Water
Environ-
ment En-
ergy and
Natural
Resourc-
es",,,,,,,308,0
,"PROGRAMME
1:Administra-
tion","S.P 1.1:Administra-
tive services",,,,,308,0
,,"Current Expendi-
ture:",,,,,308,0
,,"Compensation Of
Employees",,,-,,308,0
,,"Use Of Goods And
Services","33,035,288","3,919,489","29,115,799",12%,309,0
,,"Compensation Of
Employees","236,363,541","97,012,029","139,351,513",41%,309,0
,"PROGRAMME
2:Water and
Sewerage man-
agement","SP 2.1 Provision of
Water",,,,,309,0
,,"Use Of Goods And
Services","8,750,000","775,000","7,975,000",9%,309,0
,,"Acquisition Of
Non-Financial
Assets","1,062,991,665","116,117,353","946,874,312",11%,309,0
,,"S.P 2.2 Provision of
sewerage",,,-,,309,0
,"PROGRAMME
3:Environmental
Management","S.P 3:1 Pollution
control",,,-,,309,0
,,"Compensation Of
Employees","35,500,000",,"35,500,000",0%,309,0
,,"Use Of Goods And
Services","42,391,276","5,862,311","36,528,965",14%,309,0
,,"Acquisition Of
Non-Financial
Assets","17,000,000",,"17,000,000",0%,309,0
,,"S.P 3:3 Greening
and Beautification",,,-,,309,0
,,"Use Of Goods And
Services","8,300,000","734,065","7,565,935",9%,309,0
,,"Acquisition Of
Non-Financial
Assets","32,240,723",,"32,240,723",0%,309,0
,,SUBTOTAL,"40,540,723","734,065","39,806,658",2%,309,0
,,"TOTAL PRO-
GRAMME 3","135,431,999",,"135,431,999",0%,309,0
"Programme 4: County Energy, Planning, Regu-
late, Operation & Development",,,,,,,309,0
,,"Acquisition of
Non-Financial
Assets","2,000,000",,"2,000,000",0%,309,0
,Total,,"20,356,939,928","4,069,993,090","16,286,946,838",20%,309,0
