Programme,Sub- Programme,"Approved Budge
(Kshs.)","t Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)"
"Disaster Management
Services",Disaster Management Services,,,"836,400",58,267,0,"2,000,000","1,163,600"
,Disaster Management Services,,,"18,202,736",-,267,0,"18,202,736",-
"Forestry Conservation
and Development","Forestry Conservation and De-
velopment",,,"4,660,000",-,267,0,"4,660,000",-
,"Forestry Conservation and De-
velopment",,,"7,200,000",-,267,0,"7,200,000",-
"General Administration
Support Services","General Administration Support
Services",,,"36,781,408",40,267,0,"61,396,171","24,614,763"
Solid Waste Management,Solid Waste Management,,,"4,000,000",-,267,0,"4,000,000",-
,Solid Waste Management,,,"10,876,084",40,267,0,"18,240,864","7,364,780"
,Total,,,"82,556,628",29,267,0,"115,699,771","33,143,143"
Finance and Economic Planning,,,,,,267,0,,
"Financial management
services",Resource mobilization,,,"46,436,019",34,267,0,"70,253,148","23,817,129"
,Accounting Services,,,"156,645,598",29,267,0,"219,598,214","62,952,616"
,Procurement Services,,,"18,207,570",-,267,0,"18,207,570",-
,Audit Services,,,"16,330,934",5,267,0,"17,140,000","809,066"
"Economic policy and
county planning","Budget Coordination and Man-
agement",,,"9,275,000",-,267,0,"9,275,000",-
,Policy and Plans Developments,,,"58,602,915",18,267,0,"71,455,604","12,852,689"
,Community Development,,,"2,936,705",-,267,0,"2,936,705",-
General Administration,"General Administration(Ac-
counts)",,,"345,151,464",26,267,0,"467,710,563","122,559,099"
,"General Administration(Plan-
ning)",,,"18,086,142",22,267,0,"23,215,449","5,129,307"
,"General Administration(Plan-
ning)",,,"7,000,000",-,267,0,"7,000,000",-
,Total,,,"678,672,347",25,267,0,"906,792,253","228,119,906"
Health-Medical services,,,,,,267,0,,
General administration,General administration,,,"22,313,762",-,268,0,"22,313,762",-
,"Infrastructure and Health facility
management",,,"120,262,610",11,268,0,"134,790,610","14,528,000"
,"Purchase of Non-pharmaceuti-
cals",,,"169,826,073",19,268,0,"209,192,500","39,366,427"
,General administration,,,"853,290,602",44,268,0,"1,535,588,719","682,298,117"
,"Health standards, quality assur-
ance and standards",,,"2,536,000",2,268,0,"2,592,000","56,000"
,"Policy Formulation, Planning,
Implementation, Monitoring",,,"6,888,000",-,268,0,"6,888,000",-
Maternal Health Services,Maternal Health Services,,,"2,900,000",-,268,0,"2,900,000",-
"Preventive, promotive
Health services and Dis-
ease Control",Human Nutrition and Dietetics,,,"2,200,000",-,268,0,"2,200,000",-
,Malaria,,,"1,390,000",-,268,0,"1,390,000",-
,"Disease surveillance /Emergency
preparedness& response",,,"6,276,000",-,268,0,"6,276,000",-
,Health promotion & education,,,"5,300,000",-,268,0,"5,300,000",-
,"Non-Communicable Diseases,
Violence and Injuries",,,"3,040,000",-,268,0,"3,040,000",-
,Total,,,"1,196,223,047",38,268,0,"1,932,471,590","736,248,544"
Health - Public health,,,,,,268,0,,
"Planning and administra-
tive support services","Administrative and support ser-
vices",,,"481,491,325",9,268,0,"531,940,039","50,448,714"
"Preventive and promotive
health services",Community health services,,,"69,375,100",2,268,0,"70,960,000","1,584,900"
"Curative, rehabilitative
and referral services","Pharmaceutical and non-phar-
maceutical commodities",,,"115,840,164",-,268,0,"115,840,164",-
External funding,Donor funds,,,"59,698,750",-,268,0,"59,698,750",-
,Total,,,"726,405,339",7,268,0,"778,438,953","52,033,614"
"Lands, Housing and Physical Planning",,,,,,268,0,,
"Land development ser-
vices",Survey Services,,,"37,683,600",45,268,0,"68,623,600","30,940,000"
General administration,General administration,,,"297,426,820",1,268,0,"299,024,836","1,598,016"
,General administration,,,"75,851,505",36,268,0,"119,421,416","43,569,911"
"Physical planning ser-
vices",General administration,,,"79,000,000",-,268,0,"79,000,000",-
,Total,,,"489,961,925",13,268,0,"566,069,852","76,107,927"
Public Service Management,,,,,,268,0,,
"Enhanced Management,
Coordination & Supervi-
sion.","Enhanced Management, Coordi-
nation & Supervision.",,,"40,204,190",7,268,0,"43,450,000","3,245,810"
General administration,General administration(PSM),,,"77,997,491",11,268,0,"87,790,791","9,793,300"
,General administration(PSB),,,"10,000,000",-,268,0,"10,000,000",-
,General Administration(ICT),,,"39,318,596",3,268,0,"40,558,596","1,240,000"
,General administration(PSM),,,"467,955,616",40,268,0,"779,070,026","311,114,410"
,General administration(PSB),,,"57,442,094",4,268,0,"59,840,094","2,398,000"
"Human resources man-
agement and Develop-
ment",Personnel Services,,,"21,696,967",7,268,0,"23,296,967","1,600,000"
ICT Infrastructure,ICT Infrastructure,,,"15,672,460",42,268,0,"27,160,000","11,487,540"
,Technical Support,,,"4,290,000",34,268,0,"6,500,000","2,210,000"
,"Co-ordination of policy formula-
tion implementing of vision 2030
and CIDP",,,"301,000",77,268,0,"1,300,000","999,000"
Personnel management,Human Resource Management,,,"10,504,125",13,268,0,"12,100,000","1,595,875"
,"Budget Formulation coordina-
tion and Management",,,"13,207,726",25,268,0,"17,706,706","4,498,980"
"Sub County Administra-
tion Services","Devolved Units Development
Services",,,"11,739,650",3,269,0,"12,150,000","410,350"
,Total,,,"770,329,915",31,269,0,"1,120,923,180","350,593,265"
"Roads, Transport and Public Works",,,,,,269,0,,
General administration,General administration,,,"79,053,242",28,269,0,"110,365,434","31,312,192"
"Road management ser-
vices",Road management services,,,"134,201,651",4,269,0,"140,170,000","5,968,350"
,Road management services,,,"957,887,830",7,269,0,"1,035,271,341","77,383,512"
,Total,,,"1,171,142,722",9,269,0,"1,285,806,775","114,664,053"
Trade Tourism and Cooperative Development,,,,,,269,0,,
General administration,General administration,,,"76,460,646",11,269,0,"86,200,926","9,740,280"
,General administration,,,"46,339,437",31,269,0,"66,998,476","20,659,039"
,Verification,,,"1,800,000",-,269,0,"1,800,000",-
,"Trade Development and Promo-
tion SME",,,"44,421,593",39,269,0,"72,767,000","28,345,407"
,"Trade Infrastructure Develop-
ment Services",,,"30,589,962",6,269,0,"32,689,402","2,099,440"
,Total,,,"199,611,639",23,269,0,"260,455,804","60,844,165"
Water and Energy,,,,,,269,0,,
"Water Supply and Man-
agement Services",Rural Water Services,,,"183,257,770",10,269,0,"203,724,597","20,466,827"
,Urban Water Services,,,"80,801,327",15,269,0,"94,651,327","13,850,000"
,maintenance,,,"65,088,014",8,269,0,"70,850,167","5,762,153"
"Alternative Energy Ser-
vices",Alternative Energy Technologies,,,"26,676,102",48,269,0,"51,299,040","24,622,938"
"Urban Water Supply &
Management",Urban Water Supply & Management,,,"18,207,857",37,269,0,"28,960,000","10,752,143"
,Total,,,"374,031,071",17,269,0,"449,485,131","75,454,060"
Grand Total,,,,"7,998,073,777",23,269,0,"10,430,966,922","2,432,893,146"
