Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Land Policy And Plan-
ning","Development Planning And
Land Reforms","123,741,319","26,753,406","96,987,913",21.62%,150,0
"Land Policy And Plan-
ning",Land Use Planning,"7,102,443","3,020,141","4,082,302",42.52%,150,0
Total,,"250,371,258","59,048,361","191,322,897",23.58%,150,0
"Department: Public Works, Roads And Transport",,,,,,150,0
"Transport Management
And Safety","General Administration
Planning And Support Ser-
vices","73,750,000","30,204,539","43,545,461",40.96%,150,0
"Infrastructure, Roads
And Transport",Rehabilitation Of Road,"1,294,274,529","351,354,842","942,919,687",27.15%,150,0
"Infrastructure, Roads
And Transport","Maintenance Of Roads And
Bridges/Periodic Mainte-
nance","27,040,317","9,790,404","17,249,913",36.21%,150,0
Total,,"1,395,064,846","391,349,785","1,003,715,061",28.05%,150,0
"Department: Trade, Industrialisation, Tourism, Wildlife And Cooperative Management",,,,,,150,0
"Trade Development And
Investment","Fair Trade Practices And
Consumer Protection
(Weight & Measures)","83,419,391","12,238,699","71,180,692",14.67%,150,0
"Trade Development And
Investment","Administrative And Support
Services.","16,125,061","8,642,689","7,482,372",53.60%,150,0
"Cooperative Develop-
ment And Management","Cooperative Advisory & Ex-
tension Services.","32,516,870","6,959,616","25,557,254",21.40%,151,0
"Tourism Development
And Marketing",Local Tourism Development.,"10,000,000",-,"10,000,000",0.00%,151,0
Total,,"142,061,322","27,841,005","114,220,317",19.60%,151,0
Department: ICT And E-Government,,,,,,151,0
"Information & Commu-
nication Service","News And Information Ser-
vices","63,324,799","12,284,457","51,040,342",19.40%,151,0
"Information & Commu-
nication Service","ICT And BPO Development
Services","38,593,934","4,560,295","34,033,639",11.82%,151,0
Total,,"101,918,733","16,844,752","85,073,981",16.53%,151,0
Department: County Public Service Board,,,,,,151,0
"Administration Of Hu-
man Resources And Pub-
lic Service","Establishment, Appointment,
Discipline And Board Man-
agement.","57,386,254","24,287,952","33,098,302",42.32%,151,0
Total,,"57,386,254","24,287,952","33,098,302",42.32%,151,0
Department: Public Service Management,,,,,,151,0
"Administration Of Hu-
man Resources And Pub-
lic Service","General Administration,
Planning And Support Ser-
vices","309,331,290","99,935,180","209,396,110",32.31%,151,0
"Administration Of Hu-
man Resources And Pub-
lic Service","Human Resource Develop-
ment","115,763,313","47,432,153","68,331,160",40.97%,151,0
Total,,"425,094,603","147,367,333","277,727,270",34.67%,151,0
Department: County Assembly,,,,,,151,0
"Administration Of Hu-
man Resources And Pub-
lic Service","General Administration,
Planning And Support Ser-
vices","407,091,170","204,807,302","202,283,868",50.31%,151,0
Legislative Services,,"309,716,706","100,150,375",,,151,0
"Administration Of Hu-
man Resources And Pub-
lic Service","Human Resource Develop-
ment","12,903,857","2,975,872","9,927,985",23.06%,151,0
Total,,"729,711,733","307,933,549","212,211,853",42.20%,151,0
"County Executive Grand
Total",,"8,856,938,481","2,880,845,706","5,766,526,444",32.53%,151,0
