Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
"0117005310 P.11:
Afforestation","0117015310 sp 11.1 Forestry
Services","17,202,575.00","117,400.00","17,085,175.00",0.7,294,0
"0118015310 Food
Systems and Sur-
veillance","0118015310 sp18:1 Food
Systems and Surveillance
Services","31,848,037.00","477,000.00","31,371,037.00",1.5,294,0
,"Total 5321000000 AGRI-
CULTURE, LIVESTOCK
DEVELOPMENT, FISHER-
IES & FORESTRY","416,969,286.95","84,587,478.55","332,381,808.40",20.3,294,0
"1001005310 P1
General Adminis-
tration & Support
Services","1001015310 Sp1 General
Administration & Support
Services","53,606,355.18","5,789,298.00","47,817,057.18",10.8,294,0
,"Total 5323000000 ENVIRO-
MENT, WATER, ENERGY &
NATURAL RESOURCES","53,606,355.18","5,789,298.00","47,817,057.18",10.8,294,0
"0214005310 P8:
Ward Development","0214015310 sp 8.1 Ward De-
velopment & Administration","1,568,992,681.00","1,027,607.00","1,567,965,074.00",0.1,294,0
,"Total 5325000000 WARD
DEVELOPMENT FUND","1,568,992,681.00","1,027,607.00","1,567,965,074.00",0.1,294,0
"0718005310 Gen-
eral Administrative
Services","0718015310 Sp1 General
Administration & Support
Services","140,000,000.00","342,899,000.00","(202,899,000.00)",244.9,294,0
,"5326000000 EMERGENCY
FUNDS","140,000,000.00","342,899,000.00","(202,899,000.00)",244.9,294,0
"0313015310 sp 13.1
Liquor Licensing &
Regulation","0313015310 sp 13.1 Liquor
Licensing & Regulation","250,000,000.00","88,625,152.00","161,374,848.00",35.5,294,0
,"Total 5327000000 LIQOUR
LICENSING BOARD","250,000,000.00","88,625,152.00","161,374,848.00",35.5,294,0
"Legislation & Rep-
resentation",Office of the Speaker,"11,116,150.00","1,225,600.00","9,890,550.00",11.0,294,0
,County Legislature,"727,434,381.41","360,509,501.08","366,924,880.33",49.6,294,0
