Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
General Administration,General Administration,"20,179,291.19","7,530,045.80","12,649,245.39",37.32%,260,0
"Coordination of County
Government Functions
Sub County","Coordination of County
Government Functions
Sub County","21,801,708.23","8,644,800.00","13,156,908.23",39.65%,260,0
"County Office Accommo-
dation and Enforcement
Services","County Office Accommo-
dation and Enforcement
Services","82,269,668.76","6,058,375.00","76,211,293.76",7.36%,260,0
Human Resource,Human Resource,"794,216,132.05","645,536,201.99","148,679,930.06",81.28%,260,0
"Office of the County
Attorney","Office of the County At-
torney","73,891,658.00","27,602,654.65","46,289,003.35",37.36%,260,0
"Towns Management &
Administration","Towns Management &
Administration","3,269,854.00",,"3,269,854.00",0.00%,260,0
Total,,"995,628,312.23","695,372,077.44","300,256,234.79",69.84%,260,0
"DEPARTMENT: 'ROADS, TRANSPORT& ENER-
GY",,,,,,260,0
"General Administra-
tion-Roads","General Administra-
tion-Roads","1,399,321,642.10","125,344,678.63","1,273,976,963.47",8.96%,260,0
Energy,Energy,"150,595,163.90","45,873,465.25","104,721,698.65",30.46%,260,0
Total,,"1,549,916,806.00","171,218,143.88","1,378,698,662.12",11.05%,260,0
"DEPARTMENT: 'TRADE, TOURISM & COOPERATIVES DEVELOPMENT",,,,,,260,0
Headquarters,Headquarters,"62,893,762.00","34,127,050.70","28,766,711.30",54.26%,260,0
"Co-operatives Develop-
ment","Co-operatives Develop-
ment","37,800,000.00","4,596,510.00","33,203,490.00",12.16%,260,0
Tourism Development,Tourism Development,"47,500,000.00","2,056,700.00","45,443,300.00",4.33%,260,0
Trade Development,Trade Development,"142,958,097.00","17,058,895.00","125,899,202.00",11.93%,260,0
Total,,"291,151,859.00","57,839,155.70","233,312,703.30",19.87%,260,0
DEPARTMENT: 'YOUTH AFFAIRS & SPORTS,,,,,,260,0
General Administration,General Administration,"37,869,071.00","21,141,388.26","16,727,682.74",55.83%,260,0
Youth Affairs,Youth Affairs,"76,843,191.84","24,581,190.00","52,262,001.84",31.99%,260,0
Sports Development,Sports Development,"78,172,393.49","4,688,400.00","73,483,993.49",6.00%,260,0
"Arts and Culture Devel-
opment","Arts and Culture Devel-
opment","25,683,590.15","7,089,950.00","18,593,640.15",27.60%,260,0
Total,,"218,568,246.48","57,500,928.26","161,067,318.22",26.31%,260,0
"DEPARTMENT: COUNTY PUBLIC SERVICE
BOARD",,,,,,260,0
"Human Resource Man-
agement","Human Resource Man-
agement","45,198,021.68","18,386,197.57","26,811,824.11",40.68%,260,0
Total,,"45,198,021.68","18,386,197.57","26,811,824.11",40.68%,260,0
"DEPARTMENT: ENVIRONMENT, NATURAL RESOURCES & CLIMATE CHANGE",,,,,,260,0
General Administration,General Administration,"69,595,331","28,479,108.71","41,116,222.29",40.92%,260,0
"Environmental Man-
agemental and climate
change mitigation plans","Environmental Man-
agemental and climate
change mitigation plans","11,600,000",-,"11,600,000.",0.00%,260,0
Total,,"81,195,331.00","28,479,108.71","52,716,222.29",35.07%,260,0
Grand Total,,"12,499,500,178.00","4,520,834,091.99","7,978,666,086.01",36.17%,260,0
