Programme,Sub0 Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
CP 38: Energy Development,CSP 38.1 Energy Services,"9,200,000",-,"9,200,000",-,77,0
,"CSP 38.2: Solar Energy
Exploration","16,500,000",-,"16,500,000",-,77,0
,"CSP 38.3: Renewable en-
ergy",-,-,-,-,77,0
"CP 39: Alternative Transport
infrastructure Development","CSP 39.1: Road safety
campaign","1,000,000",-,"1,000,000",-,77,0
"CP 40: Other Development
Projects","CSP 40.1: Other Develop-
ment Projects","569,619,323","39,564,021","530,055,302",6.9,77,0
Total for Vote,,"1,225,315,404","141,599,099","1,083,716,304",11.6,77,0
"Public Service Manage-
ment",,,,,-,77,0
"CP 41: General Adminis-
tration and support ser-
vices","CSP 41.1: Administrative
support services","391,221,340","54,602,351","336,618,989",14.0,77,0
Total for Vote,,"391,221,340","54,602,351","336,618,989",14.0,77,0
Public Service Board,,,,,-,77,0
"CP 41: General Adminis-
tration and support ser-
vices","CSP 41.1: Administrative
support services","100,036,203","5,827,040","94,209,163",5.8,77,0
Total for Vote,,"100,036,203","5,827,040","94,209,163",5.8,77,0
Lands,,,,,-,77,0
"CP 42: General Adminis-
tration and support ser-
vices","CSP 42.1: Administrative
support services","130,911,619","7,388,014","123,523,604",5.6,77,0
"CP 43: County Land Ad-
ministration and planning","CSP 43.1: Land use plan-
ning","5,503,212",-,"5,503,212",-,77,0
"CP 44: Housing develop-
ment and management","CSP 44.1: Housing Devel-
opment","46,770,752",-,"46,770,752",-,77,0
"CP 45: County Urban man-
agement and Development","CSP 45.1: Urban manage-
ment","56,298,859","2,481,658","53,817,201",4.4,77,0
,"CSP 45.2: Urban Develop-
ment (Malaba Municipali-
ties)","212,531,513","40,802,535","171,728,978",19.2,77,0
,"CSP 45.3: Urban Develop-
ment( Busia Municipality)","15,000,000",-,"15,000,000",-,77,0
"CP 46: Other Development
Projects","CSP 46.1:Other Develop-
ment Projects","19,049,760","2,205,788","16,843,972",11.6,77,0
Total for Vote,,"486,065,715","52,877,995","433,187,719",10.9,77,0
WATER,,,,,-,77,0
"CP 47: General Adminis-
tration and support ser-
vices","CSP 47.1: Administrative
support services","142,603,493","38,853,983","103,749,511",27.2,78,0
"CP 48: Water Supply Ser-
vices","CSP 48.1: Urban water
supply and sewerage","77,970,555",-,"77,970,555",-,78,0
,"CSP 48.2: Rural water sup-
ply","100,920,218","27,513,783","73,406,435",27.3,78,0
"CP 49: Environment Man-
agement and Protection","CSP 49.1 Environmental
management","17,500,000",-,"17,500,000",-,78,0
"CP 50: Small Holder Irriga-
tion and Drainage","CSP 50.1: Irrigation infra-
structure development",-,-,-,-,78,0
"CP 51: Forest development
and management","CSP 51.1:Rehabilitation
and Restoration degraded
landscape","10,000,000",-,"10,000,000",-,78,0
"CP 52: Water Tower Protec-
tion and Climate Change
Mitigation","CSP 52.1: Water Tower
Protection and Climate
Change Mitigation",-,-,-,-,78,0
"CP53: Other Development
Projects","CSP 53.1 Other Develop-
ment Projects","330,150,442",,"330,150,442",-,78,0
Total for Vote,,"679,144,708","66,367,766","612,776,943",9.8,78,0
Health,,,,,-,78,0
"CP 54: General Administra-
tion and support services","CSP 54.1: Administrative
support service","1,813,298,517","1,244,637,691","568,660,826",68.6,78,0
"CP 55: Curative Health Ser-
vices","CSP 55.1: Infrastructure
development","303,680,901","95,726,212","207,954,689",31.5,78,0
,"CSP 55.2: Hospital equip-
ment","46,625,360",-,"46,625,360",-,78,0
"CP 56: Preventive and Pro-
motive Health services","CSP 56.1: Infrastructure
development","105,838,637",-,"105,838,637",-,78,0
,"CSP 56.2: Lower level hos-
pital equipment","1,345,360",-,"1,345,360",-,78,0
,"CSP 56.3:Preventive Ser-
vices","12,000,000",-,"12,000,000",-,78,0
,"CSP 56.4: Health promo-
tion unit","129,133,623",-,"129,133,623",-,78,0
"CP 57: Other Development
Projects","CSP 57.1: Other Develop-
ment projects","92,970,932","2,246,641","90,724,291",2.4,78,0
Total for Vote,,"2,504,893,329","1,342,610,544","1,162,282,785",53.6,78,0
Governors,,,,,-,78,0
"CP 59: General Adminis-
tration and support ser-
vices","CSP 59.1: Administrative
support service","423,788,503","27,660,206","396,128,297",6.5,78,0
"CP 60: Disaster Risk Man-
agement","CSP 60.1: Disaster pre-
paredness","74,579,000",-,"74,579,000",-,78,0
"CP 61: Information dis-
semination and knowledge
management","CSP 61.1: Communica-
tion Services","18,471,000",-,"18,471,000",-,78,0
"CP 62: Other Development
Projects","CSP 62.1: Other Develop-
ment projects","2,500,000",-,"2,500,000",-,78,0
Total for Vote,,"519,338,503","27,660,206","491,678,297",5.3,78,0
The County Assembly,,,,,-,78,0
"CP 63: Administrative sup-
port service","CSP 63.1:Administrative
support service","801,409,679","338,511,911","462,897,768",42.2,78,0
"CP 64: County Assembly
Infrastructural Develop-
ment","ICSP 64.1: Infrastructural
Development","105,000,000",-,"105,000,000",-,78,0
