Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Pay-
ments (Ksh)",Variance,"Absorption
(%)",page_number,table_index
,"091401 Management & Development of
Sports and Sports Facilities","2,925,000","200,500.00","2,724,500",6.9,174,0
,"091601Control & Campaign Against
Drug & Substance Abuse","1,549,000","772,000.00","777,000",49.8,174,0
,"091701 Preservation & Promotion of
Heritage and Culture","248,800","100,000.00","148,800",40.2,174,0
Children Services,"091101 Child Community Support Ser-
vices","5,764,000","1,089,515.00","4,674,485",18.9,174,0
Sub Total,,"42,645,370","8,463,861","34,181,509",19.8,174,0
"Trade Development and
Investment","030401 General Administration and
Planning","37,773,441","14,009,572.60","23,763,868",37.1,174,0
,"030103 Capacity Building for Traders
and SME's","1,527,000","50,000.00","1,477,000",3.3,174,0
,"030104 promotion, Development &
Growth of Trade","354,000","77,400.00","276,600",21.9,174,0
,"030105 Fair Trade Practises and Con-
sumer Protection","205,000","96,500.00","108,500",47.1,174,0
"Tourism Development and
Marketing","030302 Tourism Promotion and Mar-
keting","195,500","19,900.00","175,600",10.2,174,0
,"030304 International Tourism Promo-
tion and Marketing","310,000","147,400.00","162,600",47.5,174,0
,"030305 Promotion of Industrial Devel-
opment","1,268,500","21,000.00","1,247,500",1.7,174,0
,030306 Provision of Industrial Training,"140,000",-,"140,000",0.0,174,0
"Cooperative Development
and Marketing","030101 General Administration & Plan-
ning","19,471,788",-,"19,471,788",0.0,174,0
,"030405 Cooperative Advisory and Ex-
tension Services","295,000","135,900.00","159,100",46.1,174,0
,"030406 Cooperative Education and
Training","542,000","151,700.00","390,300",28.0,174,0
,"030407 Cooperative Governance and
Accountability","159,000","69,900.00","89,100",44.0,174,0
Cooperative Audit Services,"030603 Inspections and Investigations
for Cooperatives","70,000",-,"70,000",0.0,174,0
Sub Total,,"62,311,229","14,779,273","47,531,956",23.7,174,0
Water Supply Services,090101 Water and Irrigation,"126,675,566",,"126,675,566",0.0,174,0
Energy Programme,090301 Energy Services,"405,000","5,000.00","400,000",1.2,174,0
"Cleaning and Waste Man-
agement","090502 Environment Management and
Protection","675,800","409,800.00","266,000",60.6,174,0
