Sub-Program,Approved Budget FY2022/23,col_2,"Actual Expenditure as of 30th Sep-
tember 2022",col_4,"Absorption Rate
(%)",col_6,page_number,table_index
Kathiani Level 4,"26,327,763","21,675,130","2,000,000",-,8,-,253,0
Mwala Level 4,"12,024,971","26,230,000","1,000,000",-,8,-,253,0
Kimiti Level 4,"4,744,277","5,000,000","400,000",-,8,-,253,0
Masinga Level 4,"4,904,106","500,000","437,000",-,9,-,253,0
Athi River Level 4,"4,867,355","5,000,000","500,000",-,10,-,253,0
Mutituni Level 4,"6,867,355","5,000,000","500,000",-,7,-,253,0
Ndithini Level 4,"6,805,777","5,000,000","500,000",-,7,-,253,0
Kalama Level 4,"6,160,700","5,000,000","664,300",-,11,-,253,0
"Public Health and Community Out-
reach","38,742,655","70,744,985","1,228,950",-,3,-,253,0
Emergency Services,"5,000,000","5,145,000",,-,-,-,253,0
Sub- Total,"3,715,790,835","452,528,294","787,730,814","2,434,688",21,1,253,0
"WATER, IRRIGATION, ENVIRONMENT, CLIMATE CHANGE AND NATURAL RESOURCES",,,,,,,253,0
Water Supply and Sewerage,"4,412,665","49,964,799",-,-,-,-,253,0
"Irrigation Schemes, Development and
Promotion","120,000","2,297,921",-,-,-,-,253,0
"General Administrative and Support
Services","103,122,669","5,103,092",-,-,-,-,253,0
Environment and Natural Resources,"3,091,120","191,490,853",-,-,-,-,253,0
Environment and natural resources,-,"195,397,962",-,-,-,-,253,0
Sub- Total,"110,746,454","444,254,627",-,-,-,-,253,0
,Rec,Dev,Rec,Dev,Rec,Dev,254,0
"AGRICULTURE, FOOD SECURITY AND CO-OPERATIVE DEVELOPMENT",,,,,,,254,0
"General Administration and support
services","330,375,406","343,918,594","44,535,166","9,844,914",13,3,254,0
Crop Development and Management,"3,170,000","32,800,000",-,-,-,-,254,0
"Livestock Resources Management and
Development","2,560,000","12,079,000",-,-,-,-,254,0
Fisheries Development,"1,400,000","4,200,000",-,-,-,-,254,0
Veterinary Services,"1,947,580","13,250,227",-,-,-,-,254,0
Agriculture Training Centre,"2,550,000","3,100,000",-,-,-,-,254,0
"Co-operative Development and Mar-
keting","26,307,646","1,214,200",-,-,-,-,254,0
"Capacity Building to Co-operative So-
cieties",-,"44,413,851",-,-,-,-,254,0
"Promotion of Co-operative Marketing
and Value Chain","650,000","1,104,276",-,-,-,-,254,0
Co-operative Financial Services,"1,100,000",-,-,-,-,-,254,0
"Promotion and growth of Co-operative
Societies","2,112,000",-,-,-,-,-,254,0
Co-operative Audit Support Services,"2,416,000",-,-,-,-,-,254,0
Sub- Total,"374,588,632","456,080,148","44,535,166","9,844,914",12,2,254,0
FINANCE AND ECONOMIC PLANNING,,,,,,,254,0
Revenue Management,"246,784,017","20,749,300","57,824,367",-,23,-,254,0
"Budget formulation, Coordination and
Implementation Section","25,849,081","8,931,500","50,000",-,-,-,254,0
Supply Chain Management Section,"7,026,490","6,000,000",-,-,-,-,254,0
Accounts Services,"18,460,407","800,000","50,000",-,-,-,254,0
Audit Section,"6,700,000","10,250,000",-,-,-,-,254,0
"Human Resource Management and
Support Services","149,220,820","17,016,942","50,000",-,-,-,254,0
"Economic Planning and Statistical Ser-
vices","21,750,326",-,-,-,-,-,254,0
External Resource Mobilization,"800,000",-,-,-,-,-,254,0
Sub- Total,"476,591,141","63,747,742","57,974,367",-,12,-,254,0
"PUBLIC SERVICE, QUALITY MANAGEMENT AND ICT",,,,,,,254,0
"General Administration and Support
Services","262,463,649","30,925,375","35,000,000",-,13,-,254,0
Quality Management,"525,000","5,262,277",-,-,-,-,254,0
"Training, Research and Development","6,089,500",-,-,-,-,-,254,0
"ICT General Administration and Sup-
port Services","47,032,969",-,-,-,0,0,254,0
ICT Infrastructure,"5,843,554",-,-,-,0,0,254,0
Closed Circuit Television,"2,325,000",-,-,-,0,0,254,0
Sub- Total,"324,279,672","36,187,652","35,000,000",-,11,0,254,0
"TOURISM, CULTURE, YOUTH AND SPORTS",,,,,,,254,0
"General Administrative and Support
Services","102,131,897","3,328,064","131,000",-,0,0,254,0
Heritage & Culture,"1,082,320","57,050,768",-,-,0,0,254,0
Liquor Management,"775,970","183,335",-,-,0,0,254,0
Tourism Development and Marketing,"1,056,574","183,335",-,-,0,0,254,0
Management of Recreational Services,"750,000","59,793,457",-,-,0,0,254,0
Machawood,"1,966,115","2,973,000",-,-,0,0,254,0
County Image Directorate,"1,120,000","2,478,500",-,-,0,0,254,0
,Rec,Dev,Rec,Dev,Rec,Dev,255,0
Youth Development,-,-,-,-,0,0,255,0
Stadium Management,"1,449,952",-,-,-,0,0,255,0
Youth Empowerment,"1,364,765",-,-,-,0,0,255,0
Sports Promotion,"920,000",-,-,-,0,0,255,0
Sub- Total,"112,617,593","125,990,459","131,000",-,0,0,255,0
"TRADE, INDUSTRIALISATION AND INNOVATION",,,,,,,255,0
Headquarter Administration Services,"65,331,160","119,044,089",-,-,0,0,255,0
Trade Development,"1,394,028","12,600,000",-,-,0,0,255,0
Business and Enterprise Development,"1,362,165",,-,-,0,0,255,0
Industrialisation and Innovation,"200,000","48,912,505",-,-,0,0,255,0
Investment Facilitation and Support,"2,499,650",-,-,-,0,0,255,0
Hygiene and Sanitation,"4,395,783",-,-,-,0,0,255,0
Legal Services,"24,161,923",-,-,-,0,0,255,0
Sub- Total,"99,344,709","180,556,594",-,-,0,0,255,0
"EDUCATION, SKILLS TRAINING, SOCIAL WELFARE AND CIVIC EMPOWERMENT",,,,,,,255,0
Headquarter Administrative Services,"428,971,858","76,174,798","21,285,229",-,5,0,255,0
Basic Education,-,"8,650,000",-,-,0,0,255,0
Youth Development Services,-,"58,635,790",-,-,0,0,255,0
Gender and Social Services,-,"10,000,000",-,-,0,0,255,0
Sub- Total,"428,971,858","153,460,588","21,285,229",-,5,0,255,0
"ENERGY, LANDS, HOUSING AND URBAN DEVELOPMENT",,,,,,,255,0
Headquarter Administrative Services,"38,751,941","19,380,352",-,-,0,0,255,0
County Electrification,"17,809,205","95,330,321",-,-,0,0,255,0
Housing and Urban Development,"95,298,949","147,606,546",-,-,0,0,255,0
Machakos Municipality,"2,400,000",-,"875,000",-,36,0,255,0
Mavoko Municipality,"2,400,000",-,-,-,0,0,255,0
Kangundo Tala Municipality,"2,400,000",-,-,-,0,0,255,0
Sub- Total,"159,060,095","262,317,219","875,000",-,1,0,255,0
COUNTY ADMINISTRATION AND DECENTRALISED UNITS,,,,,,,255,0
"General Administration and support
services","472,227,905","13,288,778","79,570,693",-,17,0,255,0
Civic Engagement,"900,000",-,-,-,0,0,255,0
"Administration and Co-ordination Ser-
vices","1,628,214",-,-,-,0,0,255,0
Solid Waste Management,"1,000,000","2,100,000",-,-,0,0,255,0
Inspectorate Services and Management,"2,800,000","1,045,839",-,-,0,0,255,0
Sub- Total,"478,556,119","16,434,617","79,570,693",-,17,0,255,0
County Assembly,"1,007,126,181","318,500,000","166,406,326",-,17,0,255,0
Sub- Total,"1,007,126,181","318,500,000",-,-,0,0,255,0
GRAND TOTAL,"8,088,468,725","3,507,847,234","1,075,602,911","12,279,602",13,0,255,0
