Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
,,"Marginalized and
Minority groups
support","32,020,000",-,"32,020,000",-,467,0
,,"Child Rescue
Centres","44,572,923",-,"44,572,923",-,467,0
,,"Child Care &
Protection","15,244,498",-,"15,244,498",-,467,0
"Sports and arts
programme",,"Construction of
sport Stadia","36,926,763",-,"36,926,763",-,467,0
"General
administration",,"General Adminis-
tration","26,337,042","641,890","25,695,152",2.4,467,0
,,"Turkana Edu-
cation and Skill
Development
Fund","384,219,180","384,219,180",-,10-,467,0
"Vocational
Training",,"Youth Polytech-
nic Infrastructure","60,600,000",-,"60,600,000",-,467,0
,,"Training and
Development","4,610,000",-,"4,610,000",-,467,0
,,"Co-Curricular
Activities","3,501,017",-,"3,501,017",-,467,0
,,"Youth Polytech-
nics- Conditional","12,709,894",-,"12,709,894",-,467,0
Public Relations,,Publicity,"1,220,000",-,"1,220,000",-,467,0
,,"Research and
Sensitization","1,708,000","275,000","1,433,000",16.1,467,0
"Early Childhood
Education",,School Feeding,"114,787,478",-,"114,787,478",-,467,0
,,A,B,C=A-B,D=B/A*100,,468,0
,,"Quality Improve-
ment","6,614,000",-,"6,614,000",-,468,0
,,"Infrastructure
Development","516,124,074",-,"516,124,074",-,468,0
,,"Support to
Pre-Primary
Training","7,201,615",-,"7,201,615",-,468,0
,,Sub total,"1,291,379,019","391,824,070","899,554,949",,468,0
"Public Services,
Decentralized
Administration &
Disaster Manage-
ment",,,,,,,468,0
"Operationaliza-
tion of Decentral-
ized Units",,"Operationaliza-
tion of Decentral-
ized Units","11,755,500",-,"11,755,500",-,468,0
,,"Decentralized
County Policy","48,892,458",-,"48,892,458",-,468,0
,,"Coordinated
development","11,600,000",-,"11,600,000",-,468,0
,,"Policy sensitiza-
tion and dissemi-
nation","14,604,700",-,"14,604,700",-,468,0
"Governance
and Public
participation",,"Civic education
Programme","2,000,000",-,"2,000,000",-,468,0
,,"Public Participa-
tion and access to
information","8,747,050",-,"8,747,050",-,468,0
,,"County Dialogue
Forum","1,400,000",-,"1,400,000",-,468,0
,,"National & Coun-
ty Holidays","2,000,000",-,"2,000,000",-,468,0
,,Policies Design,"1,350,000",-,"1,350,000",-,468,0
"Disaster risk
management",,"Disaster
Preparedness
Programmes","2,000,000",-,"2,000,000",-,468,0
,,"Disaster Mitiga-
tion Programmes","2,000,000",-,"2,000,000",-,468,0
,,"Stakeholders
coordination and
Support Pro-
gramme","2,000,000",-,"2,000,000",-,468,0
,,"Humanitarian
Relief Food Pro-
gramme","317,165,000","673,400","316,491,600",0.2,468,0
,,Disaster Risk Mgt,"800,000",-,"800,000",-,468,0
"Inspectorate
services",,"Inspectorate
Training Institute","24,105,566",-,"24,105,566",-,468,0
,,"Dispute Resolu-
tion","2,055,390",-,"2,055,390",-,468,0
,,A,B,C=A-B,D=B/A*100,,469,0
,,Capacity Building,"2,230,664",-,"2,230,664",-,469,0
,,"Inspectorate
Services","3,700,000",-,"3,700,000",-,469,0
