Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorp-
tion
(Kshs.)",page_number,table_index
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,93,0
"P1: Financial Management Ser-
vices","SP1.1: Revenue Management
Services","2,736,028","6,406","2,729,623",0.2,93,0
,"SP1.2: Revenue Management
Services","12,263,972","28,712","12,235,259",0.2,93,0
Sub Total,,"15,000,000","35,118","14,964,882",0.2,93,0
EMBU FINANCING LOCALLY LED CLIMATE ACTION PROGRAM,,,,,,93,0
"P: 1: General Administration
Planning and Support Services","SP: 1: General Administration
Planning and Support Services","63,096,313","714,510","62,381,803",1.1,93,0
"P2: Environment Conservation
and Management",SP1.2: Manage Climate Risks,"101,903,687","1,153,968","100,749,719",1.1,93,0
Sub Total,,"165,000,000","1,868,478","163,131,522",1.1,93,0
COUNTY ASSEMBLY,,,,,,93,0
"P: 1: General Administration
Planning and Support Services","SP: 1: General Administration
Planning and Support Services","750,469,650","60,498,757","689,970,892",8.1,93,0
P: 1: Legislation,SP: 1: Legislation,"336,979,766","22,648,578","314,331,189",6.7,93,0
Sub Total,,"1,087,449,416","83,147,335","1,004,302,081",7.7,93,0
Grand Total,,"7,175,154,344","817,281,624","6,357,872,720",11.4,93,0
