Program,Sub Program,Description,Final Budget,"Actual Expen-
diture",Variance,"Absorption
Rate (%)",page_number,table_index
208005060,,ICT Services,"11,385,000",-,"11,385,000",0.0,202,0
,208015060,ICT Services,"11,385,000",-,"11,385,000",0.0,202,0
301005060,,"General Administration and
Policy making Services","10,643,322",-,"10,643,322",0.0,202,0
,301015060,Infrastructure Development,"8,843,322",-,"8,843,322",0.0,202,0
,301025060,Trade Support Services,"1,800,000",-,"1,800,000",0.0,202,0
302005060,,"Regulation and Verification
of Weights","1,500,000",-,"1,500,000",0.0,202,0
,302015060,"Verification and Calibration
of Weighing Equipment","1,500,000",-,"1,500,000",0.0,202,0
303005060,,"Tourism Development and
Management","8,563,750",-,"8,563,750",0.0,202,0
,303015060,Tourism Development,"2,313,750",-,"2,313,750",0.0,202,0
,303035060,Tourism Event Management,"4,000,000",-,"4,000,000",0.0,202,0
,303045060,"Tourism Standards Develop-
ment","2,250,000",-,"2,250,000",0.0,202,0
304005060,,"Administration Planning
and Support","96,153,738","12,329,663","83,824,075",12.8,202,0
,304015060,Administration planning,"96,153,738","12,329,663","83,824,075",12.8,202,0
305005060,,"Co-operative Development
and Management","12,950,000","261,400","12,688,600",2.0,202,0
,305015060,Extension services,"11,000,000","261,400","10,738,600",2.4,202,0
,305065060,Policy development,"1,950,000",-,"1,950,000",0.0,202,0
306005060,,Enterprise Development,"55,700,000",-,"55,700,000",0.0,202,0
,306015060,"Business Development Ser-
vices","55,700,000",-,"55,700,000",0.0,202,0
401005060,,"Preventive & Promotive
Health Services","108,576,257","7,696,927","100,879,330",7.1,202,0
,401015060,"Environmental health and
sanitation","62,621,434","6,400,000","56,221,434",10.2,202,0
,401025060,Community health strategy,"664,000",-,"664,000",0.0,202,0
,401045060,Health promotion service,"45,290,823","1,296,927","43,993,896",2.9,202,0
402005060,,Health Curative Services,"4,235,200",-,"4,235,200",0.0,202,0
,402035060,Reproductive Health,"4,235,200",-,"4,235,200",0.0,202,0
,,,(Kshs.),(Kshs.),(Kshs.),,203,0
403005060,,"General Administration,
Operational Research and
Planning","2,979,750,761","50,415,444","2,929,335,317",1.7,203,0
,403035060,Governance and leadership,"148,695,000",-,"148,695,000",0.0,203,0
,403045060,Human resource for Health,"2,831,055,761","50,415,444","2,780,640,317",1.8,203,0
405005060,,"Health Sector support Pro-
gram (DANIDA)","231,180,459","7,904,140","223,276,319",3.4,203,0
,405015060,Health Promotive Services,"231,180,459","7,904,140","223,276,319",3.4,203,0
407005060,,"Jaramogi Oginga Odinga
Teaching and Referral Hos-
pital","160,000,000",-,"160,000,000",0.0,203,0
,407015060,"Jaramogi Oginga Odinga
Teaching and Referal Hospital","160,000,000",-,"160,000,000",0.0,203,0
408005060,,"Kisumu County Referral
Hospital","60,560,000","15,819,969","44,740,031",26.1,203,0
,408015060,"Kisumu County Referral
Hospital","60,560,000","15,819,969","44,740,031",26.1,203,0
409005060,,"Medical and Bio-Medical
Services","151,200,000","11,499,993","139,700,007",7.6,203,0
,409015060,"County and Sub-County Hos-
pital Services","151,200,000","11,499,993","139,700,007",7.6,203,0
501005060,,"Early Childhood Develop-
ment.","33,411,122",-,"33,411,122",0.0,203,0
,501015060,"Promotion of early childhood
education.","33,411,122",-,"33,411,122",0.0,203,0
502005060,,"Youth Training and Devel-
opment","54,680,000",-,"54,680,000",0.0,203,0
,502015060,Youth Polytechnics Services,"3,680,000",-,"3,680,000",0.0,203,0
,502025060,Youth Training Facilities,"51,000,000",-,"51,000,000",0.0,203,0
504005060,,Gender and Social Dev.,"4,250,000",-,"4,250,000",0.0,203,0
,504015060,"Gender & Disability Main-
streaming","2,795,000",-,"2,795,000",0.0,203,0
,504025060,Social Dev. Facilities,"955,000",-,"955,000",0.0,203,0
,504055060,Betting Control Services,"500,000",-,"500,000",0.0,203,0
505005060,,"Early Child Education Man-
agement","270,598,895",-,"270,598,895",0.0,203,0
,505015060,Early Child Education,"270,598,895",-,"270,598,895",0.0,203,0
506005060,,"Sports Management and De-
velopment","2,027,500",-,"2,027,500",0.0,203,0
,506015060,Sports Management,"320,000",-,"320,000",0.0,203,0
,506025060,Talent Development,"1,707,500",-,"1,707,500",0.0,203,0
507005060,,Sports Stadia Development,"9,778,625",-,"9,778,625",0.0,203,0
,507015060,Sports Academy,"9,778,625",-,"9,778,625",0.0,203,0
508005060,,Alcoholic Drinks,"300,000",-,"300,000",0.0,203,0
,508015060,Alcoholic Drinks,"300,000",-,"300,000",0.0,203,0
515005060,,"Pre-Primary Policy and Leg-
islation","16,200,000","3,169,000","13,031,000",19.6,203,0
,515015060,"Primary Policy and Legisla-
tion","16,200,000","3,169,000","13,031,000",19.6,203,0
,,,(Kshs.),(Kshs.),(Kshs.),,204,0
517005060,,"Youth Training and Legisla-
tion","64,063,192",-,"64,063,192",0.0,204,0
,517015060,"Youth Training and Legisla-
tion","64,063,192",-,"64,063,192",0.0,204,0
701005060,,"General Administration and
Planning services","246,911,737","54,433,244","192,478,494",22.0,204,0
,701025060,"Development and Management
of County Administrative
systems","238,341,737","54,272,444","184,069,294",22.8,204,0
,701065060,"Human Resource develop-
ment services","7,870,000","160,800","7,709,200",2.0,204,0
,701085060,"Social Responsibility Includ-
ing Civic and Public Engage-
ment","700,000",-,"700,000",0.0,204,0
702005060,,"Management of County
affairs and special pro-
grammes","11,400,000","64,800","11,335,200",0.6,204,0
,702025060,"Inter-Government Coordina-
tion and protocol","11,400,000","64,800","11,335,200",0.6,204,0
703005060,,"Inter-Governmental rela-
tions, Communication and
Protocol","34,459,952","486,300","33,973,652",1.4,204,0
,703015060,"Governor’s Press Service and
Communication","23,709,952","52,500","23,657,452",0.2,204,0
,703025060,Internal Auditing Services,"10,750,000","433,800","10,316,200",4.0,204,0
704005060,,County Public Service Board,"892,167,915","25,810,801","866,357,114",2.9,204,0
,704015060,"General Administration and
Support services","734,294,115","6,470,030","715,649,568",0.9,204,0
,704025060,"Human Resource Recruit-
ment and Development","155,700,000","7,166,254","148,533,746",4.6,204,0
,704045060,"Promotion of Values and
Principles","2,173,800",-,"2,173,800",0.0,204,0
705005060,,"Public Financial Manage-
ment","152,756,063","18,641,717","134,114,346",12.2,204,0
,705015060,Revenue Mobilization,"64,000,000","7,161,099","56,838,901",11.2,204,0
,705025060,Asset management,"5,500,000","1,329,500","4,170,500",24.2,204,0
,705035060,"management of public finan-
cial resources","10,012,585","447,500","9,565,085",4.5,204,0
,705055060,"Budget Formulation & Coor-
dination Services","73,243,478","9,703,618","63,539,860",13.2,204,0
706005060,,"County Planning and Devel-
opment Coordination Ser-
vices","51,434,000","3,341,379","48,092,621",6.5,204,0
,706015060,"Policy Formulation & Plan-
ning","19,600,000","2,351,579","17,248,421",12.0,204,0
,706025060,Monitoring & Evaluation,"31,834,000","989,800","30,844,200",3.1,204,0
707005060,,"County Communication &
ICT Services","1,300,000",-,"1,300,000",0.0,204,0
,707015060,"Management Information
System","1,300,000",-,"1,300,000",0.0,204,0
709005060,,"Representation services &
public participation","11,750,000","265,240","11,484,760",2.3,204,0
