Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,SP 1.4: Research and Development,"108,471,674","22,191,307","86,280,367",20.5,338,0
,"SP 1.5: Health Infrastructure
and Development","2,500,000",-,"2,500,000",-,338,0
,,"6,000,000",-,"6,000,000",-,338,0
Sub Total,,"680,006,819","27,933,899","652,072,920",4.1,338,0
"Programme 2: Health
Preventive and Pro-
motive Services",SP 2:1: Primary Health Care,"401,799,925",-,"401,799,925",0.0,338,0
,"SP 2.2: Environmental
Health and Sanitation","2,000,000",-,"2,000,000",0.0,338,0
,SP 2:3: Human Resource,"1,724,215,259","352,742,694","1,371,472,565",20.5,339,0
,"SP 2.4: Disease Surveillance
and Emergency Response","1,897,550",-,"1,897,550",-,339,0
,SP 2.5: Health Promotive,"1,000,000",-,"1,000,000",-,339,0
,SP 2:6: HIV Programme,"2,000,000",-,"2,000,000",-,339,0
,SP 2:7: Nutrition,"10,000,000",-,"10,000,000",-,339,0
,SP 2:8 Reproductive Health,"1,750,000",-,"1,750,000",-,339,0
,SP 2:9 Immunization,"1,825,775",-,"1,825,775",-,339,0
Sub Total,,"2,146,488,509","352,742,694","1,793,745,815",16.4,339,0
"Programme 3: Health
Curative and Reha-
bilitative Services","SP 3:1: Provision of Essential
Health Services in all levels","1,627,210,664","263,977,721","1,363,232,943",16.2,339,0
,"SP 3.2: Elimination of
communicable and non-
communicable diseases","2,200,000",-,"2,200,000",-,339,0
,SP 3:3: Human Resource,"2,376,820,332","574,706,434","1,802,113,898",24.2,339,0
Sub Total,,"4,006,230,996","838,684,155","3,167,546,841",20.9,339,0
,,,,,,339,0
Department of County Public Service Board,,,,,,339,0
"Programme: Admin-
istration and Human
Resource Planning",SP1.1 Administration services,"70,349,524","11,630,274","58,719,250",16.5,339,0
,SP1.2 Financial services,"2,000,000",-,"2,000,000",-,339,0
,SP1.3 Human Resource Planning,"4,000,000",-,"4,000,000",-,339,0
,"SP 1.4 Provision of Human Re-
source Planning","3,000,000",-,"3,000,000",-,339,0
Sub Total,,"79,349,524","11,630,274","67,719,250",14.7,339,0
Department of Nakuru Municipality,,,,,,339,0
"Programme 1:
Administration and
Planning","SP 1.1 Administration
and Planning","31,864,465","22,647,016","9,217,449",71.1,339,0
