Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,,-,-,-,0.0,42,0
Water Management Services,,"1,067,013,306","12,663,135","1,054,350,171",1.2,42,0
,,"1,022,057,794","1,706,768","1,020,351,026",0.2,42,0
,,"44,955,512","10,956,367","33,999,145",24.4,42,0
,,-,-,-,0.0,42,0
"Environment Administra-
tion & Planning",,"13,301,809","715,542","12,586,267",5.4,42,0
,,-,-,-,0.0,42,0
,,"13,301,809","715,542","12,586,267",5.4,42,0
"Environmental & Natural
Resource Protection Man-
agement",,"137,767,388",-,"137,767,388",0.0,42,0
,,-,-,-,0.0,42,0
,,"137,767,388",-,"137,767,388",0.0,42,0
,,-,-,-,0.0,42,0
,,-,-,-,0.0,42,0
,,-,-,-,0.0,42,0
,,-,-,-,0.0,42,0
Headquarters,,-,-,-,0.0,42,0
,"Inter and Intra -governmen-
tal Relations services",-,-,-,0.0,42,0
Headquarters,,"17,922,030","2,650,000","15,272,030",14.8,42,0
,,-,-,-,0.0,42,0
,,"17,922,030","2,650,000","15,272,030",14.8,42,0
,Grand Total,"9,317,307,680","903,101,193","8,414,206,487",9.7,42,0
