Programme,"Sub-Pro-
gramme","Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2022
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
Internet,505013710,"13,300,000",-,"200,000",-,1.5,∞,213,0
"Training And Skills
Development",503013710,"19,910,000",-,"24,690",-,0.1,∞,213,0
"Training And Skills
Development",504013710,-,"1,000,000",-,-,∞,∞,213,0
,,Rec,Dev,Rec,Dev,Rec,Dev,214,0
"Training and Skills
Development",506013710,"33,354,000",-,"2,960,428",-,8.9,∞,214,0
"Sub-total Basic Education, ICT, and Youth
Development",,"534,302,548","92,050,000","119,062,167",-,22.3,-,214,0
"Infrastructure, Housing and Urban Development",,,,,,,,214,0
"General Administration And
Planning",101013710,"157,380,668",-,"22,026,864",-,14.0,∞,214,0
Housing,107013710,"12,287,876","58,500,000","1,596,000",-,13.0,-,214,0
Housing,109013710,"31,348,960","18,000,000","5,787,000",-,18.5,-,214,0
"Roads, Transport And
Mechanical Services",110013710,"40,231,692","733,606,332","8,334,000","2,000,000",20.7,0.3,214,0
"Roads, Transport And
Mechanical Services",203013710,"45,544,138","5,000,000","9,185,426",-,20.2,-,214,0
"Sub-total Infrastructure, Housing and Urban
Development",,"286,793,334","815,106,332","46,929,290","2,000,000",16.4,0.2,214,0
Health and Sanitation,,,,,,,,214,0
"General Administration And
Planning",401013710,"120,445,930",-,"20,969,070",-,17.4,∞,214,0
"General Administration
And Planning",401023710,"70,702,130",-,"15,266,754",-,21.6,∞,214,0
"General Administration
And Planning",401033710,"4,844,080",-,-,-,-,∞,214,0
health promotion,404013710,"3,677,302",-,-,-,-,∞,214,0
Medical Services,402013710,"2,591,187,798","153,100,026","653,645,600",-,25.2,-,214,0
Medical Services,402023710,"8,800,000",-,"1,616,065",-,18.4,∞,214,0
Medical Services,403023710,"139,695,120",-,"34,362,342",-,24.6,∞,214,0
Public Health,403013710,"5,501,684",-,-,-,-,∞,214,0
Public Health,403023710,"2,200,000",-,-,-,-,∞,214,0
Public Health,403033710,"4,150,000",-,-,-,-,∞,214,0
Rural Health Services,402033710,"340,000,000",-,"96,491,334",-,28.4,∞,214,0
Rural Health Services,404023710,"37,668,000",-,"7,000,000",-,18.6,∞,214,0
Rural Health Services,404033710,"3,062,794",-,-,-,-,∞,214,0
Sub-total Health and Sanitation,,"3,331,934,838","153,100,026","829,351,165",-,24.9,-,214,0
"Trade, Cooperatives and Investments",,,,,,,,214,0
cooperatives,304013710,"17,000,000",-,-,-,-,∞,214,0
cooperatives,304023710,"15,000,000",-,-,-,-,∞,214,0
"General Administration
And Planning",301013710,"159,233,276","90,000,000","13,772,154",-,8.6,-,214,0
Trade And Markets,301013710,"25,510,000",-,"251,200",-,1.0,∞,214,0
Trade And Markets,303023710,"9,116,676",-,-,-,-,∞,214,0
"Sub-total Trade, Cooperatives and Invest-
ments",,"225,859,952","90,000,000","14,023,354",-,6.2,-,214,0
"Environment, Tourism and Natural Resources",,,,,,,,214,0
Energy,1005013710,"5,102,106","5,500,000",-,-,-,-,214,0
Energy,1006013710,"8,002,446","21,500,000","469,018",-,5.9,-,214,0
Environment,1002013710,"17,547,110",-,"2,702,238",-,15.4,∞,214,0
Environment,1003013710,"4,560,608","8,000,000",-,-,-,-,214,0
Environment,1004013710,"1,413,866","2,000,000",-,-,-,-,214,0
,,Rec,Dev,Rec,Dev,Rec,Dev,215,0
"General Administration
And Planning",1001013710,"44,771,770",-,"8,682,300",-,19.4,∞,215,0
Mineral Resources,1003013710,"1,463,314",-,-,-,-,∞,215,0
Mineral Resources,1003023710,"11,834,940","8,100,000","2,221,229",-,18.8,-,215,0
Mineral Resources,1003043710,"3,976,632","16,500,000",-,-,-,-,215,0
Mineral Resources,1007013710,"3,995,986",-,-,-,-,∞,215,0
Mineral Resources,1008013710,"3,067,528",-,-,-,-,∞,215,0
Tourism,305013710,"6,889,730","1,369,524","427,088",-,6.2,-,215,0
Tourism,305033710,"7,088,768","9,700,000","1,106,904",-,15.6,-,215,0
Tourism,1003023710,"28,295,557",-,"5,674,147",-,20.1,∞,215,0
"Sub-total Environment, Tourism and Natu-
ral Resources",,"148,010,361","72,669,524","21,282,924",-,14.4,-,215,0
"Gender, Sports and Culture",,,,,,,,215,0
gender,307013710,"11,139,596","13,358,786",-,-,-,-,215,0
gender,307023710,"20,316,128","7,300,000","80,000",-,0.4,-,215,0
gender,308013710,"10,187,298",-,"718,461",-,7.1,∞,215,0
gender,308023710,"2,860,000",-,-,-,-,∞,215,0
"General Administration
And Planning",301013710,"37,049,800",-,"2,533,748",-,6.8,∞,215,0
sports,306013710,"14,078,522","11,500,000",-,-,-,-,215,0
sports,306023710,"8,058,618","33,151,178","887,231",-,11.0,-,215,0
"Sub-total Gender, Sports and Culture",,"103,689,962","65,309,964","4,219,440",-,4.1,-,215,0
County Treasury,,,,,,,,215,0
Accounts,704013710,"9,060,000",-,"1,071,840",-,11.8,∞,215,0
Accounts,712053710,"27,486,476",-,"1,996,360",-,7.3,∞,215,0
Budgetary Supplies,712013710,"76,932,552",-,"19,060,352",-,24.8,∞,215,0
Economic Affairs,710013710,"46,898,884",-,"79,793",-,0.2,∞,215,0
Economic Affairs,710023710,"14,200,000",-,"678,500",-,4.8,∞,215,0
Economic Affairs,712023710,"19,340,000",-,-,-,-,∞,215,0
"General Administration
And Planning",701013710,"280,101,228","122,815,048","79,176,342",-,28.3,-,215,0
Internal Audit,712033710,"14,240,000",-,"300,300",-,2.1,∞,215,0
Sub-total County Treasury,,"488,259,140","122,815,048","102,363,487",-,21.0,-,215,0
County Public Service Board,,,,,,,,215,0
board,713013710,"18,385,000",-,"2,500,000",-,13.6,∞,215,0
board,713023710,"13,746,200",-,-,-,-,∞,215,0
board,714013710,"9,760,000",-,"1,200,000",-,12.3,∞,215,0
"General Administration
And Planning",701013710,"34,108,800",-,"2,252,000",-,6.6,∞,215,0
Sub-total County Treasury,,"76,000,000",-,"5,952,000",-,7.8,∞,215,0
County Assembly,,,,,,,,215,0
"General Administration And
Planning",701013710,"288,257,354","157,301,193","45,338,900",-,15.7,-,215,0
Legislative Department,715013710,"701,806,368",-,"49,787,593",-,7.1,∞,215,0
Sub-total County Assembly,,"990,063,722","157,301,193","95,126,493",-,9.6,-,215,0
Kitui Municipality,,,,,,,,215,0
,,Rec,Dev,Rec,Dev,Rec,Dev,216,0
"Environment, Culture,
Recreation and Community
Development",207013710,"31,530,000","21,300,000","5,495,526",-,17.4,-,216,0
"General Administration
And Planning",201013710,"38,335,628","3,600,000","5,710,702",-,14.9,-,216,0
"Planning, Development
Control, Transport
and Infrastructure",207013710,"17,000,000",-,"904,967",-,5.3,∞,216,0
"Planning, Development
Control, Transport
and Infrastructure",209013710,-,"64,000,000",-,-,#DIV/0!,-,216,0
trade,207033710,"8,300,000","22,507,024","799,898",-,9.6,-,216,0
treasury,207023710,"28,183,391",-,"3,297,410",-,11.7,∞,216,0
Sub-total Kitui Municipality,,"123,349,019","111,407,024","16,208,503",-,13.1,-,216,0
Mwingi Town,,,,,,,,216,0
"Environment, Culture,
Recreation and Community
Development",1001013710,"3,388,078","7,462,926","50,000",-,1.5,-,216,0
"General Administration
And Planning-
Headquarters",109013710,"5,967,914","5,600,000","99,650",-,1.7,-,216,0
"General Administration
And Planning-
Headquarters",201013710,"54,456,500","7,000,000","5,662,390",-,10.4,-,216,0
"General Administration
And Planning-
Headquarters",706013710,"793,546","3,000,000","34,300",-,4.3,-,216,0
"Planning, Development
Control, Transport
and Infrastructure",207013710,"5,605,228","4,900,000","135,250",-,2.4,-,216,0
"Planning, Development
Control, Transport
and Infrastructure",207023710,"940,400",-,-,-,-,∞,216,0
"Planning, Development
Control, Transport
and Infrastructure",207033710,"195,107","2,000,000",-,-,-,-,216,0
Sub-total Kitui Municipality,,"71,346,773","29,962,926","5,981,590",-,8.4,-,216,0
"Livestock, Apiculture and Fisheries Development",,,,,,,,216,0
General Administration,101013710,"66,117,478",-,"14,265,360",-,21.6,∞,216,0
General Administration,105013710,"2,014,270","7,972,760","3,022",-,0.2,-,216,0
Livestock Devt,106013710,"5,668,862","18,500,000",-,-,-,-,216,0
Livestock Devt,106023710,"6,199,390","7,500,000","149,550",-,2.4,-,216,0
"Sub-total Livestock, Apiculture and Fisheries
Development",,"80,000,000","33,972,760","14,417,932",-,18.0,-,216,0
Lands and Physical Planning,,,,,,,,216,0
General Administration,101013710,"61,354,148",-,"10,724,246",-,17.5,∞,216,0
Land Adjudication,108023710,"4,250,000","21,500,000",-,-,-,-,216,0
Land Information & Mgt,108013710,"9,000,000","34,300,000","1,400,000",-,15.6,-,216,0
