Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q1
FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Urban development,Urban development,"32,211,090","3,366,312","28,844,778",10.5,382,0
Ol'kalou municipality,Ol'kalou municipality,"55,752,691","2,192,988","53,559,703",3.9,382,0
Sub Total,,"251,061,366","7,690,140","243,371,226",3.1,382,0
Sports,Sports Development,"76,500,000","150,000","76,350,000",0.2,382,0
,,A,B,C=A-B,D=B/A*100,383,0
Youth Affairs,Youth Affairs,"32,000,000",-,"32,000,000",0.0,383,0
"Gender Affairs and
Social Services & youth
empowerment",Social Services,"44,900,000",-,"44,900,000",0.0,383,0
,Gender Affairs and Social Services,"15,498,020",-,"15,498,020",0.0,383,0
"General administration,
planning and support sevices","Alcohol Drinks Control and Civic Edu-
cation","6,000,000","250,000","5,750,000",4.2,383,0
Sub Total,,"174,898,020","400,000","174,498,020",0.2,383,0
Water Resource Development.,"water resource conservation and protec-
tion, infrastructure and flood control","180,850,000","2,715,400","178,134,600",1.5,383,0
Environment,environmental support and management,"10,000,000","340,000","9,660,000",3.4,383,0
,climate change resilience,"130,000,000","235,000","129,765,000",0.2,383,0
,natural resource,"3,100,000","30,000","3,070,000",1.0,383,0
"Tourism development and
promotion",tourism infrastructure development,"8,000,000","600,000","7,400,000",7.5,383,0
"Irrigation and Drainage
infrastructure","promotion of irrigation and drainage de-
velopment and management","47,699,882","300,000","47,399,882",0.6,383,0
Sub Total,,"379,649,882","4,220,400","375,429,482",1.1,383,0
Road transport,"Transport (Including fuel level, General
Administration & Support Services)","418,760,000","15,300,000","403,460,000",3.7,383,0
,Public Works,"235,952,261","486,400","235,465,861",0.2,383,0
"Alternative energy
technologies",alternative energy technologies,"50,690,000","4,696,784","45,993,216",9.3,383,0
"General administration,
planning and support services",Emergency Response & Preparedness,"8,862,200",-,"8,862,200",0.0,383,0
Sub Total,,"714,264,461","20,483,184","693,781,277",2.9,383,0
Land policy and planning,Physical Planning,"11,600,000","530,000","11,070,000",4.6,383,0
,Survey and Mapping,"11,050,000","1,210,820","9,839,180",11.0,383,0
,Land Administration and Management,"53,400,000","1,501,190","51,898,810",2.8,383,0
Housing,Housing,"34,684,731","70,000","34,614,731",0.2,383,0
Sub Total,,"110,734,731","3,312,010","107,422,721",3.0,383,0
"Crop development and
management",land and crop development,"404,464,804",-,"404,464,804",0.0,383,0
,Seed Potato Production Unit (SPPU Lab),"7,417,983","3,214,415","4,203,568",43.3,383,0
"Livestock resources
management and development",livestock production and management,"25,975,000",-,"25,975,000",0.0,383,0
,Veterinary Services,"24,695,000",-,"24,695,000",0.0,383,0
"Fisheries Development and
management","fisheries policy, strategy and capacity
building","5,700,000",-,"5,700,000",0.0,383,0
"General administration,
planning and support sevices",Institution Support (ATCs),"9,450,000","600,000","8,850,000",6.3,383,0
,Agriculture Mechanization Services,"5,550,000","96,000","5,454,000",1.7,383,0
,"General administration and Extension
Services","10,362,303",-,"10,362,303",0.0,383,0
,Subsidized Artificial Insemination,"11,345,000",-,"11,345,000",0.0,383,0
Sub Total,,"504,960,090","3,910,415","501,049,675",0.8,383,0
County Assembly,"legislative, oversight and representation","830,444,228",,"830,444,228",0.0,383,0
