Programme,Sub Programme,Description,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",page_number,table_index
,704010000,Coordination of State House Functions,-,-,-,350,0
705000000,,"Leadership and Coordination of
MDAs",-,-,-,350,0
,705010000,Coordination and Supervision,-,-,-,350,0
706000000,,"Economic Policy and National Plan-
ning",-,-,-,350,0
,706010000,"Economic Planning Coordination ser-
vices",-,-,-,350,0
707000000,,"National Statistical Information Ser-
vices","60,300,000",-,"60,300,000",350,0
,707010000,Census and Surveys,-,-,-,350,0
,707020000,,"60,300,000",-,"60,300,000",350,0
,707030000,,-,-,-,350,0
708000000,,"Public Investment Management,
Monitoring and Evaluation Services",-,-,-,350,0
,708010000,"National Integrated Monitoring and
Evaluation",-,-,-,350,0
709000000,,"General Administration Planning
and Support Services",-,-,-,350,0
,709010000,"Human Resources and Support Ser-
vices",-,-,-,350,0
710000000,,Public Service Transformation,-,-,-,350,0
,710010000,Human Resource Management,-,-,-,350,0
,710020000,Human Resource Development,-,-,-,350,0
711000000,,Gender & Youth Empowerment,-,-,-,350,0
,711010000,National Youth Service,-,-,-,350,0
712000000,,Devolution Services,-,-,-,350,0
,712010000,Management of devolution affairs,-,-,-,350,0
,712020000,Intergovernmental Relations,-,-,-,350,0
713000000,,Special Initiatives,-,-,-,350,0
,713010000,Relief & Rehabilitation,-,-,-,350,0
714000000,,"General Administration Planning
and Support Services",-,-,-,350,0
,714010000,Administration services,-,-,-,350,0
715000000,,Foreign Relation and Diplomacy,-,-,-,351,0
,715010000,Management of Kenya missions abroad,-,-,-,351,0
716000000,,"International Trade and Investments
Promotion",-,-,-,351,0
,716010000,International Trade,-,-,-,351,0
717000000,,"General Administration Planning
and Support Services",-,-,-,351,0
,717010000,Administration Services,-,-,-,351,0
,717020000,"Human Resources Management Ser-
vices",-,-,-,351,0
718000000,,Public Financial Management,-,-,-,351,0
,718010000,Resource Mobilisation,-,-,-,351,0
,718020000,"Budget Formulation Coordination and
Management",-,-,-,351,0
,718030000,Audit Services,-,-,-,351,0
719000000,,"Economic and Financial Policy For-
mulation and Management",-,-,-,351,0
,719010000,"Fiscal Policy Formulation, Develop-
ment and Management",-,-,-,351,0
,719030000,"Microfinance Sector Support and De-
velopment",-,-,-,351,0
720000000,,Market Competition,-,-,-,351,0
,720010000,"Elimination of Restrictive Trade Prac-
tices",-,-,-,351,0
,720020000,,-,-,-,351,0
721000000,,Legislation and Representation,"271,225,082","34,650,754","236,574,328",351,0
,721010000,Legislation and Representation,"271,225,082","34,650,754","236,574,328",351,0
,721050000,,-,-,-,351,0
722000000,,Legislative Oversight,-,-,-,351,0
,722050000,,-,-,-,351,0
723000000,,"General Administration, Planning
and Support Services",-,-,-,351,0
,723010000,"General Administration, Planning and
support services",-,-,-,351,0
724000000,,"Inter-Governmental Revenue and Fi-
nancial Matters",-,-,-,351,0
,724020000,Research and Policy,-,-,-,351,0
,724040000,County Co-ordination Services,-,-,-,351,0
,724060000,,-,-,-,351,0
725000000,,"General Administration, Planning
and Support Services","669,452,973","104,541,401","564,911,572",351,0
,725010000,Administration,"669,452,973","104,541,401","564,911,572",351,0
901000000,,Sports,"100,000,000",-,"100,000,000",351,0
,901010000,Sports Training and competitions,"100,000,000",-,"100,000,000",351,0
902000000,,Culture,"77,539,430",-,"77,539,430",351,0
,902010000,Conservation of Heritage,-,-,-,351,0
,902020000,"Public Records and Archives Manage-
ment","77,539,430",-,"77,539,430",351,0
903000000,,The Arts,-,-,-,351,0
