Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expend-
iture Q1 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index,"Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)"
General administration and support services,,"44,534,538",,,,83,0,"9,208,184","35,326,354",0
,"General administration and support
services","44,534,538",,,,83,0,"9,208,184","35,326,354",0
"Water, Lands and Physical Planning",,,,,,83,0,,,
General administration and support services,,"77,059,204",,,,83,0,"14,427,169","62,632,035",19
,"General administration and support
services","77,059,204",,,,83,0,"14,427,169","62,632,035",19
Water and Sanitation Management,,"191,804,772",,,,83,0,0,"191,804,772",0
,Water Services,"191,804,772",,,,83,0,0,"191,804,772",0
Environmental Management and Protection,,"2,600,000",,,,83,0,0,"2,600,000",0
,Environmental conservation,"2,600,000",,,,83,0,0,"2,600,000",0
Solid Waste Management,,"1,000,000",,,,83,0,0,"1,000,000",0
,Solid waste management,"1,000,000",,,,83,0,0,"1,000,000",0
"Lands, Physical Planning and Urban Development",,"5,850,000",,,,83,0,0,"5,850,000",0
,"Lands, Physical Planning and Urban
Dev","5,850,000",,,,83,0,0,"5,850,000",0
Health and Sanitation,,,,,,83,0,,,
General administration and support services,,"1,661,827,955",,,,83,0,"390,464,031","1,271,363,924",23
,Default – Non-Programmatic,"1,661,827,955",,,,83,0,"390,464,031","1,271,363,924",23
Preventive and Promotive health,,"14,229,042",,,,83,0,0,"14,229,042",0
,Community and Environmental Health,"14,229,042",,,,83,0,0,"14,229,042",0
Curative and Rehabilitative Health,,"150,369,759",,,,83,0,0,"150,369,759",0
,County Hospitals,"54,524,473",,,,83,0,0,"54,524,473",0
,Primary Care Units,"89,845,286",,,,83,0,0,"89,845,286",0
,Emergency Medical Services,"6,000,000",,,,83,0,0,"6,000,000",0
Office of the Governor,,,,,,83,0,,,
General administration and support services,,"119,625,732",,,,83,0,"26,486,122","93,139,610",22
,"General administration and support
services","119,625,732",,,,83,0,"26,486,122","93,139,610",22
"Open Governance, Transparency and Accountability",,"68,608,752",,,,83,0,"8,052,567","60,556,185",0
,Governance,"68,608,752",,,,83,0,"8,052,567","60,556,185",12
Public Service Management,,,,,,83,0,,,
General administration and support services,,"234,635,000",,,,83,0,"82,715,968","151,919,032",35
,"General administration and support
services","234,635,000",,,,83,0,"82,715,968","151,919,032",35
Public Service Management,,"30,650,325",,,,83,0,0,"30,650,325",0
