Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
"Preventive Ser-
vice","Health promotion
and Campaign","144,000,000",0.00,"65,000,000",0.00,45.2,0,100,0
,Sub Total,"2,555,330,353","389,729,405",,0.00,42.0,0,100,0
Education and Labour,,,,,,,,100,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",101,0
"Education Ser-
vice","Administration and
Support Service","534,889,663",0.00,"83,300,000",0.00,15.6,0,101,0
,ECD,"10,412,400","61,000,000",,0.00,0,0,101,0
,Vocational Training,"2,601,200","18,000,000","200,000",0.00,7.7,0,101,0
"Public Service
and Human Re-
source",Human Resource,"179,605,384",0.00,"1,000,000",0.00,0.6,0,101,0
,ICT and Libraries,"23,282,733",0.00,"3,298,000",0.00,14.2,0,101,0
,Sub Total,"750,791,380","79,000,000","87,798,000",0.00,11.7,0,101,0
County Assembly,,,,,,,,101,0
"Administration
and Support Ser-
vice","Administration and
Support Service","815,801,264","233,300,704","126,271,426",0.00,15.5,0,101,0
,Sub Total,"815,801,264","233,300,704","126,271,426",0.00,15.5,0,101,0
County Executive,,,,,,,,101,0
"Executive Ser-
vice","Governors Opera-
tion","105,400,000",0.00,"20,120,000",0.00,19.1,0,101,0
,"Deputy Governors
Operation","36,120,000",0.00,"13,850,000",0.00,38.3,0,101,0
,Street Lighting,"48,656,215",0.00,0.00,0.00,0,0,101,0
,"Operation and
Sub-County Ad-
ministration","120,810,000",0.00,"12,650,000",0.00,10.5,0,101,0
,"Intergovernmental
and Institutional re-
lation","18,812,430",0.00,"3,200,000",0.00,17.0,0,101,0
,County Attorney,"20,000,000",0.00,"3,680,000",0.00,18.4,0,101,0
,Sub Total,"349,398,645",0.00,"53,500,000",0.00,15.3,0,101,0
"Finance, Revenue, Economic Planning and County Affairs",,,,,,,,101,0
"Administration
and Support Ser-
vice","Administration and
Support Service","473,580,628","150,000,000","67,480,080",0.00,14.2,0,101,0
,Special Program,"130,940,000",0.00,"2,424,966",0.00,1.9,0,101,0
"Public Finance
Management",Accounting Service,"3,713,739",0.00,0.00,0.00,0,0,101,0
,Budget Formulation,"6,780,000",0.00,"1,350,000",0.00,19.9,0,101,0
,Audit Service,"3,862,600",0.00,0.00,0.00,0,0,101,0
,Economic Planning,"33,086.000",0.00,"1,623,966",0.00,4.9,0,101,0
,"Revenue Manage-
ment","202,227,781","50,000,000","66,197,089",0.00,32.7,0,101,0
,"Supply Chain Man-
agement","5,630,000",0.00,"167,440",0.00,3.0,0,101,0
"Donor Coordi-
nation","Donor Coordina-
tion","16,780,548",0.00,,0.00,0,0,101,0
,Sub Total,"876,601,296","200,000,000","139,243,461",0.00,15.9,0,101,0
"Gender, Social Services and Sport",,,,,,,,101,0
Culture Services,"Administration and
Support Service","56,411,832","70,000,000","3,400,000",0.00,6.0,0,101,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",102,0
"Public Enter-
tainment",Social Protection,"1,025,000",0.00,0.00,0.00,0,0,102,0
Cinema,"Cinema headquar-
ter","3,763,600",0.00,0.00,0.00,0,0,102,0
,Sub Total,,"70,000,000","3,400,000",0.00,5.6,0,102,0
Water and Irrigation,,,,,,,,102,0
"Administration
and Support Ser-
vice","Administration and
Support Services","178,556,361","92,278,252","90,903,723",0.00,50.9,0,102,0
,"Water Infrastruc-
ture Development",0.00,"650,000,000",0.00,0.00,0,0,102,0
"Irrigation Ser-
vices","Irrigation Develop-
ment","5,000,000","50,000,000",0.00,0.00,0,0,102,0
,Sub Total,"183,556,361","792,278,252","90,903,723",0.00,49.5,0,102,0
"Lands, Housing and Urban Planning",,,,,,,,102,0
"Administration
and Support Ser-
vice","Administration and
Support Service","260,695,273","106,041,393","49,556,708",,19.0,0,102,0
"Land and Hous-
ing",Lands,"8,000,000","26,000,000","1,250,000",,15.6,0,102,0
,"Housing and Public
Works","15,574,997","10,000,000","2,500,000",,16.,0,102,0
"Urban Develop-
ment","Urban Planning and
Disaster Manage-
ment","11,614,626",0.00,0.00,0.00,0,0,102,0
,"Urban Sanitation
and Development","900,000",0.00,0.00,0.00,0,0,102,0
,Sub Total,"296,784,896","142,041,393","53,306,708",0.00,18.0,0,102,0
County Public Services Board,,,,,,,,102,0
"Administration
and Support Ser-
vice","Administration and
Support Service","37,072,000",0.00,"65,000",0.00,0.18,0,102,0
,Sub Total,"37,072,000",0.00,"65,000",0.00,0.18,0,102,0
Town Management,,,,,,0,0,102,0
"Administration
and Support Ser-
vice","Administration and
Support Service","72,000,000",0.00,0.00,0.00,0,0,102,0
,Sub Total,"72,000,000",0.00,0.00,0.00,0,0,102,0
Grand Total,,"6,354,405,890","2,810,534,149","1,689,714,318",0,26.6,0.0,102,0
