Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,Sub Total,"39,295,879.00","380,374,480.50","4,012,170.00",-,10.2,-,413,0
"Enterprise and Industrial Devel-
opment",,,,,,,,413,0
"Trade,
Industry,
Labour and
Planning.","General
administration and
planning services","73,085,947.50",-,"3,131,918.20",-,4.3,-,413,0
,"Trade Development
and Investment","2,375,852.50",-,"358,000.00",-,15.1,-,413,0
,"Promotion of Fair-
Trade Practices","3,148,500.00",-,"185,000.00",-,5.9,-,413,0
,"Cooperative Exten-
sion Services","3,352,500.00",-,"404,500.00",-,12.1,-,413,0
,Market Services,"4,797,200.00","101,551,443.00","120,000.00",-,2.5,-,413,0
,Sub Total,"86,760,000.00","101,551,443.00","4,199,418.20",-,4.8,-,413,0
"Tourism, Culture, Sports and
Arts",,,,,,,,413,0
"Tourism
and ICT",ICT,"3,797,500.00","10,940,093.50",-,-,-,-,413,0
,Tourism,-,"12,700,000.00",-,-,-,-,413,0
,"General Admin-
istration, Plan-
ning and Support
Services","31,152,500.00",-,"734,800.00",-,2.4,-,413,0
,"Communication
Services","12,050,000.00",-,"1,136,335.00",-,9.4,-,413,0
,Sub-Total,"47,000,000","23,640,093.50","1,871,135.00",-,4.0,-,413,0
Grand Total,,"2,744,848,159.50","1,663,121,547.50","163,204,669.30","22,000,000.00",5.9,1.3,413,0
