Programme,Sub-Programme,"Approved
Estimates
FY 2022/23
(Kshs.)","Actual Ex-
penditure Q1
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (% )",page_number,table_index
Agri nutrition and food utilisation,"SP 2.6 Agri nutrition and food
utilisation",-,,,,58,0
Irrigation Extension and training,"SP 2.7 Irrigation Extension
and training","1,080,000",,"1,080,000",0.0,58,0
"Irrigation infrastructure development and agricultural
water storage","SP 2.8 Irrigation infrastruc-
ture development and agrari-
an water storage",-,,,,58,0
Programme 3: Livestock development and management,,,,,,58,0
"Livestock production extension, Training and Informa-
tion Services","SP 3.1 Livestock production
extension, Training and Infor-
mation Services","13,890,000",,"13,890,000",0.0,58,0
Value addition and processing,"SP 3.2 Value addition and pro-
cessing","96,300,000",,"96,300,000",0.0,58,0
"Livestock production value chain development (Dairy,
Poultry, Honey & Rabbit value chains)","SP 3.3 Livestock production
value chain development
(Dairy, Poultry, Honey & Rab-
bit value chains)",-,,,,58,0
Disease and Vector Control,"SP 3.4 Disease and Vector
Control","7,000,000",,"7,000,000",0.0,58,0
Food Safety and Quality Control,"SP 3.5 Food Safety and Quality
Control","5,500,000",,"5,500,000",0.0,58,0
Leather Development,SP 3.6 Leather development,,,,,58,0
Veterinary Extension Services,"SP 3.7 Veterinary Extension
Services","3,600,000",,"3,600,000",0.0,58,0
Breeding and AI Subsidy programme,"SP 3.8 Breeding and AI Subsi-
dy programme","3,000,000",,"3,000,000",0.0,58,0
Ward Based Projects,Ward Based Projects,"5,820,000",,"5,820,000",0.0,58,0
Programme 4: Fisheries development and management,,,,,,58,0
Fisheries extension service and training,"SP 4.1 Fisheries extension ser-
vice and training","3,000,000",,"3,000,000",0.0,58,0
Fisheries product value-chain development,"SP 4.2 Fisheries product val-
ue-chain development","3,500,000",,"3,500,000",0.0,58,0
Programme 5: Cooperatives Development and Management,,,,,,58,0
,,A,B,C=A-B,D=B/A*100,59,0
"Co-operatives extension service and training (Co-oper-
ative Governance (Training))","SP 5.1 Co-operatives extension
service and training (Co-
operative Governance
(Training))",-,,,,59,0
Cooperatives Audit Services,"SP 5.2 Cooperatives Audit
Services",-,,,,59,0
"Production, Agro-processing, value addition & Market-
ing (Input and Infrastructural Support to Co-operatives)","SP 5.3 Production, Agro-pro-
cessing, value addition &
Marketing (Input and Infra-
structural Support to Co-op-
eratives)","49,300,000",,"49,300,000",0.0,59,0
Programme 6: Institutional Development and Management,,,,,,59,0
Mabanga ATC Administration management services,"SP 6.1 Mabanga ATC
Administration management
services",,,0,,59,0
Agricultural Enterprise Development (ATC),"SP 6.2 Agricultural Enterprise
Development (ATC)","6,560,000",,"6,560,000",0.0,59,0
Infrastructural development (ATC),"SP 6.3 Infrastructural develop-
ment (ATC)","11,960,000",,"11,960,000",0.0,59,0
Agricultural mechanisation extension,"SP 6.4 Agricultural mechani-
sation extension",-,,0,,59,0
Tractor hire services,SP 6.5 Tractor hire services,"5,000,000",,"5,000,000",0.0,59,0
General administrative services (CFF),"SP 6.6 General administrative
services (CFF)",,,0,,59,0
Technology transfer (CFF),SP 6.7 Technology transfer (CFF),-,,0,,59,0
Operational development (CFF),"SP 6.8 Operational develop-
ment (CFF)","10,300,000",,"10,300,000",0.0,59,0
Infrastructural development (CFF),"SP 6.9 Infrastructural develop-
ment (CFF)",-,,0,,59,0
NARIGP,NARIGP,"74,593,152",,"74,593,152",0.0,59,0
ASDSP II,ASDSP II,"30,756,000",,"30,756,000",0.0,59,0
Ward Based Projects,Ward Based Projects,"11,058,000",,"11,058,000",0.0,59,0
Total Expenditure of Vote,,"999,176,000","72,727,804","926,448,196",7.3,59,0
Health and Sanitation,,,,,,59,0
"Programme1: General Administration and Planning,
and Support Services",,"2,865,372,763","525,929,598","2,339,443,165",18.4,59,0
Health Administration Planning and support services,"SP 1: Health Administration
Planning and support services","122,366,728",,"122,366,728",0.0,59,0
Human resources,Human resources,"2,416,604,147","525,929,598","1,890,674,549",21.8,59,0
Health Infrastructure,SP3.Health Infrastructure,"326,401,888",,"326,401,888",0.0,59,0
"Programme 2: Preventive Promotive and Rehabilita-
tive",,"107,118,938",-,"107,118,938",0.0,59,0
Communicable and non-communicable,"SP 2: Communicable and
non-communicable",-,-,-,-,59,0
Health Promotion services,"SP 2: Health Promotion ser-
vices","6,000,000",-,"6,000,000",0.0,59,0
Disease surveillance,SP 3: Disease surveillance,"2,746,938",,"2,746,938",0.0,59,0
Community health services,"SP 4: Community health ser-
vices","78,072,000",,"78,072,000",0.0,59,0
Capacity building of CHVs,Capacity building of CHVs,"10,000,000",,"10,000,000",0.0,59,0
,,A,B,C=A-B,D=B/A*100,60,0
Retooling of CHV Kits,Retooling of CHV Kits,"10,000,000",,"10,000,000",0.0,60,0
HIV/AIDS awareness.,HIV/AIDS awareness.,"300,000",,"300,000",0.0,60,0
Programme 3: Curative,,"435,853,571",-,"435,853,571",0.0,60,0
Health Services,Health Services,,,,,60,0
Routine Medical Services,SP 3: Routine Medical Services,"424,865,820",,"424,865,820",0.0,60,0
Blood Bank Services,SP 3: Blood Bank Services,"10,000,000",,"10,000,000",0.0,60,0
Referral Strategy,Referral Strategy,"987,751",,"987,751",0.0,60,0
Programme 4: Health Research,,,,,,60,0
Programme 5: Maternal and Child Health,,"54,469,787",-,"54,469,787",0.0,60,0
Family planning,SP 5: Family planning,-,,,,60,0
Maternity Services,SP 5: Maternity Services,"52,969,787",,"52,969,787",0.0,60,0
Immunisation Services,SP 5: Immunisation Services,"1,500,000",,"1,500,000",0.0,60,0
Procuring of mama packs,Procuring of mama packs,-,,,,60,0
Sanitation management,,"8,000,916",,"8,000,916",0.0,60,0
Total,,"3,470,815,975","525,929,598","2,944,886,377",15.2,60,0
Roads & Public works,,,,,,60,0
Transport infrastructure development and management,"Transport infrastructure de-
velopment and management","1,404,334,670",,"1,404,334,670",0.0,60,0
Public safety and transport operations,"Public safety and transport
operations","6,820,194",,"6,820,194",0.0,60,0
Building standards and other civil works,"Building standards and other
civil works","2,423,736",,"2,423,736",0.0,60,0
"General administration, planning and support services","General administration, plan-
ning and support services","71,503,484","17,764,126","53,739,358",24.8,60,0
Total,,"1,485,082,084","17,764,126","1,467,317,958",1.2,60,0
Water & Tourism,,,,,,60,0
"Programme 1: General Administration Planning and
Support Services",,,,,,60,0
Human Resources Management,"SP. Human Resources Man-
agement","64,736,155","13,105,068","51,631,087",20.2,60,0
SP. Policy and Legal Framework formulation,"SP. Policy and Legal Frame-
work formulation","800,000",,"800,000",0.0,60,0
Climate change mitigation,SP. Climate change mitigation,-,,,,60,0
Administrative Services,SP. Administrative Services,-,,,,60,0
Marking of international/national events,"SP. Marking of international/
national events","3,900,000",,"3,900,000",0.0,60,0
Annual devolution conference,"SP. Annual devolution confer-
ence","3,000,000",,"3,000,000",0.0,60,0
Programme 2: Water and Sewerage Services Management,,,,,,60,0
Water Services Provision,SP Water Services Provision,"235,662,500",,"235,662,500",0.0,60,0
Protection of water towers,SP. Protection of water towers,-,,0,,60,0
Stakeholders’ engagement (water users association),"SP. Stakeholders engagement
(water users association)","4,800,000",,"4,800,000",0.0,60,0
KOICA counterpart funding,"SP. KOICA counterpart fund-
ing",-,,,,60,0
Sub- County operations,SP. Sub- County operations,"3,200,000",,"3,200,000",0.0,60,0
Routine Maintenance of water supplies,"SP. Routine Maintenance of
water supplies","2,400,000",,"2,400,000",0.0,60,0
,,A,B,C=A-B,D=B/A*100,61,0
Office operation and maintenance,"SP. Office operation and main-
tenance","43,025,328",,"43,025,328",0.0,61,0
Programme 3: Integrated Solid Waste Management,,,,,,61,0
Dumpsite Management,SP. Dumpsite Management,"12,850,705",,"12,850,705",0.0,61,0
Garbage collection and transportation,"SP. Garbage collection and
transportation","161,351,760","35,101,063","126,250,697",21.8,61,0
Total,,"535,726,448","48,206,132","487,520,317",9.0,61,0
Education & Vocational,,,,,,61,0
"Programme 1: Policy, Planning and General Administration",,,,,,61,0
Outcome: Informed and empowered county residents,,,,,,61,0
Salaries and allowances,SP 1: Salaries and allowances,"1,096,542,129","238,237,407","858,304,722",21.7,61,0
Policy formulation,SP 2: Policy formulation,"3,000,000",,"3,000,000",0.0,61,0
Administration and support services,"SP3: Administration and sup-
port services","19,570,000",,"19,570,000",0.0,61,0
Capacity building and stakeholder’s forum,"Sp4: Capacity building and
stakeholders forum","10,000,000",,"10,000,000",0.0,61,0
Planning and financial management,"Sp5: Planning and financial
management","5,000,000",,"5,000,000",0.0,61,0
Purchase of motor vehicle,SP6: Purchase of motor vehicle,-,,,,61,0
Pre-feasibility studies,SP7: Pre-feasibility studies,"2,000,000",,"2,000,000",0.0,61,0
Good Governance,SP8: Good Governance,"2,000,000",,"2,000,000",0.0,61,0
Other expenses,SP9: Other expenses,"4,835,521",,"4,835,521",0.0,61,0
Programme 2: Early Childhood Education Development,,,,,,61,0
Outcome: Increased enrolment and retention,,,,,,61,0
Quality Assurance and Standards,"Sp1: Quality Assurance and
Standards","2,000,000",,"2,000,000",0.0,61,0
Curriculum,Sp2: Curriculum,"2,000,000",,"2,000,000",0.0,61,0
Implementation,Implementation,,,,,61,0
Learning materials,Sp3: learning materials,"3,000,000",,"3,000,000",0.0,61,0
Monitoring and evaluation,"SP5: Monitoring and evalua-
tion","3,000,000",,"3,000,000",0.0,61,0
Capacity building for ECDE teachers,"SP 5: capacity building for
ECDE teachers","4,000,000",,"4,000,000",0.0,61,0
Infrastructure development,"SP6: Infrastructure develop-
ment","141,329,000",,"141,329,000",0.0,61,0
Pending bills,SP7: Pending bills,"106,698,262",,"106,698,262",0.0,61,0
Programme 3: Vocational Education and Training,,,,,,61,0
Tuition support grant,Sp1: Tuition support grant,"30,000,000",,"30,000,000",0.0,61,0
Tools and equipment for VTC,"Sp2: Tools and equipment for
VTC",-,,,,61,0
Construction of Centre of Excellence,"Sp3: Construction of Centre of
Excellence",-,,,,61,0
Quality assurance and standards,"Sp4: Quality assurance and
standards","2,000,000",,"2,000,000",0.0,61,0
Joint Vocational Training Graduation,"SP5: Joint Vocational Training
Graduation","3,500,000",,"3,500,000",0.0,61,0
Capacity building for VTC instructors,"SP6: Capacity building for
VTC instructors","3,500,000",,"3,500,000",0.0,61,0
,,A,B,C=A-B,D=B/A*100,62,0
Monitoring and Evaluation,"SP7: Monitoring and Evalua-
tion","3,000,000",,"3,000,000",0.0,62,0
Programme 4: Education Support Programme,,,,0,,62,0
Education support and bursary scheme,"Sp1: Education support and
bursary scheme","400,000,000","200,000,000","200,000,000",50.0,62,0
Total,,"1,846,974,912","438,237,407","1,408,737,505",23.7,62,0
Trade & Industrilisation,,,,,,62,0
Market Infrastructure Development,"Market Infrastructure Devel-
opment","7,000,000",,"7,000,000",0.0,62,0
Energy Development and Management,"Energy Development and
Management","18,025,997",,"18,025,997",0.0,62,0
Salaries and Emoluments,Salaries and Emoluments,"23,722,331","6,011,776","17,710,555",25.3,62,0
"General Administration, Planning and Support Services","General Administration, Plan-
ning and Support Services","24,932,034",,"24,932,034",0.0,62,0
CEF,CEF,"32,495,000",,"32,495,000",0.0,62,0
Supplier’s Credit,Supplier’s Credit,"25,578,000",,"25,578,000",0.0,62,0
Total,,"131,753,362","6,011,776","125,741,586",4.6,62,0
LANDS & URBAN PLANNING,,,,,,62,0
"Programme 1: General Administration, Planning and Support services",,,,,,62,0
Sub Programme (SP),,,,,,62,0
"Institutional accountability, efficiency and effectiveness
in service delivery","SP 1: Institutional account-
ability, efficiency and effective-
ness in service delivery","46,993,077","7,524,385","39,468,692",16.0,62,0
Human resource development and management,"SP 2: Human resource devel-
opment and management","3,200,000",,"3,200,000",0.0,62,0
Programme 2: Land Resource Survey/Mapping and Management,,,,,,62,0
Ward Based Projects,SP 1: Ward-Based Projects,"25,947,500",,"25,947,500",0.0,62,0
"Survey of government land quality control of survey
activities","SP 2: Survey of government
land quality control of survey
activities",-,,,,62,0
Total Expenditure of Programme 2,,"25,947,500",,"25,947,500",0.0,62,0
Programme 3: County Physical Planning and Infrastructure,,,,,,62,0
Physical Planning and Urban Development,"SP 1: Physical Planning and
Urban Development","10,027,709",,"10,027,709",0.0,62,0
Total Expenditure of Vote 4918-01,,"112,115,786","7,524,385","104,591,401",6.7,62,0
Housing,,,,,,62,0
"Programme 1 General Administration, Planning and Support services",,,,,,62,0
Salaries and emoluments,SP 1: salaries and emoluments,"9,165,048","2,317,213","6,847,835",25.3,62,0
Administrative Services,SP 2: Administrative Services,"11,592,566",,"11,592,566",0.0,62,0
Research and Development,"SP 3: Research and Develop-
ment","7,927,456",,"7,927,456",0.0,62,0
Human resource development and management,"SP 4: Human resource devel-
opment and management","1,000,000",,"1,000,000",0.0,62,0
Total Expenditure of Programme 1,,"29,685,070","2,317,213","27,367,857",7.8,62,0
Programme 2 Housing development and Human Settlement,,,,,,62,0
SP 1: Estate Management,,"9,705,281",,"9,705,281",0.0,62,0
Housing Development,SP 2: Housing Development,"74,101,423",,"74,101,423",0.0,62,0
Total Expenditure of Programme 2,,"83,806,704",,"83,806,704",0.0,62,0
,,A,B,C=A-B,D=B/A*100,63,0
Total Expenditure for Vote -,,"113,491,774","2,317,213","111,174,561",2.0,63,0
Bungoma Municipality,,,,,,63,0
"Programme I: Urban Economy, General Administration, Planning and Support services",,,,,,63,0
"Human Resource Capacity Development and Manage-
ment","SP 1.1: Human Resource Ca-
pacity Development and Man-
agement","4,911,441",,"4,911,441",0.0,63,0
"General Administration and Support Services (Inclusive
of personnel emoluments)","SP 1.2: General Administra-
tion and Support Services
(Inclusive of personnel emol-
uments)","14,290,922","219,424","14,071,498",1.5,63,0
Planning and Financial Management,"SP 1.3: Planning and Financial
Management","3,250,000",,"3,250,000",0.0,63,0
"Institutional Accountability, Leadership, Efficiency and
Effectiveness","SP 1.4: Institutional Account-
ability, Leadership, Efficiency
and Effectiveness","4,500,000",,"4,500,000",0.0,63,0
Programme I Total,,"26,952,363","219,424","26,732,939",0.8,63,0
Programme III: Urban Infrastructure Development and Management,,,,,,63,0
SP 3.1: Urban Transport and Infrastructure,,"111,887,700",,"111,887,700",0.0,63,0
Programme III Total,,"111,887,700",-,"111,887,700",0.0,63,0
Total Expenditure for Vote,,"138,840,063","219,424","138,620,639",0.2,63,0
Kimilili Municipality,,,,,,63,0
"Programme 1: General Administration, Planning and Support services",,,,,,63,0
Sub Programme (SP),,,,,,63,0
"General Administration planning and support services
(Inclusive of salary)","SP1: General Administration
planning and support services
(Inclusive of salary)","27,079,833","219,424","26,860,409",0.8,63,0
Administration and HR Services,"SP2: Administration and HR
Services","1,850,000",,"1,850,000",0.0,63,0
Total Expenditure of Programme 1,,"28,929,833","219,424","28,710,409",0.8,63,0
Programme 2: Urban Infrastructure Development and management,,,,,,63,0
Infrastructure. Housing and public works,"Infrastructure. Housing and
public works","191,089,400",,"191,089,400",0.0,63,0
Total Expenditure of Vote 4918-05,,"220,019,233","219,424","219,799,809",0.1,63,0
Finance & Planning,,,,,,63,0
"Economic development planning and coordination ser-
vices","Economic development plan-
ning and coordination ser-
vices","17,319,966",,"17,319,966",0.0,63,0
Monitoring and evaluation services,"Monitoring and evaluation
services","12,479,108","2,634,700","9,844,408",21.1,63,0
Public finance management,Public finance management,"156,243,550","27,334,485","128,909,065",17.5,63,0
"General administration, planning, policy coordination
and support services","General administration, plan-
ning, policy coordination and
support services","854,892,322","119,348,689","735,543,633",14.0,63,0
Ward based projects,Ward based projects,"150,000,000",,"150,000,000",0.0,63,0
Total,,"1,190,934,946","149,317,874","1,041,617,072",12.5,63,0
Public Administration,,,,,,63,0
Public service Management and Administration,,,,,,63,0
"General administration, planning and support services","General administration, plan-
ning and support services","307,095,363","50,900,456","256,194,908",16.6,63,0
,,A,B,C=A-B,D=B/A*100,64,0
"Public Participation, Civic Education and outreach services","Public Participation, Civic Ed-
ucation and outreach services","14,000,000",,"14,000,000",0.0,64,0
Service Delivery and Organizational Transformation,"Service Delivery and Organi-
zational Transformation","12,422,620",,"12,422,620",0.0,64,0
Total Expenditure for Vote,,"333,517,983","50,900,456","282,617,528",15.3,64,0
"Office of the County Secretary, ICT and County Attorney",,,,,,64,0
"General administration, planning and support services","General administration, plan-
ning and support services","252,173,767","10,364,545","241,809,222",4.1,64,0
Kenya Devolution Support Programme,"Kenya Devolution Support
Programme","112,815,048",,"112,815,048",0.0,64,0
ICT and information management services,"ICT and information manage-
ment services","29,847,901",,"29,847,901",0.0,64,0
Total Expenditure for Vote,,"394,836,716","10,364,545","384,472,171",2.6,64,0
Total,,"728,354,699","61,265,001","667,089,698",8.4,64,0
"Gender, Youth & Sports",,,,,,64,0
"Programme 1: General Administration, Planning and Support services",,,,,,64,0
payment of utilities,Sp 10.2 payment of utilities,"1,020,000",,"1,020,000",0.0,64,0
Compensation to employees,"SP 1. 2.Compensation to em-
ployees","46,089,943","10,015,523","36,074,420",21.7,64,0
Staff training,1.3 Staff training,"4,800,000",,"4,800,000",0.0,64,0
policy formulation,Sp1.6 policy formulation,"15,000,000",,"15,000,000",0.0,64,0
Planning and Budgeting,1.7 Planning and Budgeting,"7,200,000",,"7,200,000",0.0,64,0
General administration,1.8 general administration,"18,642,713",,"18,642,713",0.0,64,0
Total Expenditure of Programme 1,,,,,,64,0
"Programme 2: Cultural development and manage-
ment",,,,,,64,0
Development of historical and cultural sites,"SP 2. 1Development of histori-
cal and cultural sites","20,000,000",,"20,000,000",0.0,64,0
Promotion of communities’ culture,"SP 2. 2. Promotion of commu-
nities’ culture","8,600,000",,"8,600,000",0.0,64,0
Sports and cultural association,"SP 2.3 Sports and cultural as-
sociation","7,500,000",,"7,500,000",0.0,64,0
Liquor and Licensing,SP2.4 Liquor and Licensing,"2,000,000",,"2,000,000",0.0,64,0
Total Expenditure of Programme 2,,,,,,64,0
"Programme:3.0 Gender Equality and Empowerment
Of Vulnerable Groups",,,,,,64,0
Gender equality framework,"Sp3.1 Gender equality frame-
work","1,000,000",,"1,000,000",0.0,64,0
Gender empowerment,Sp3.2 Gender empowerment,"4,200,000",,"4,200,000",0.0,64,0
Gender mainstreaming,Sp3.3Gender mainstreaming,"1,000,000",,"1,000,000",0.0,64,0
Total expenditure,,,,,,64,0
"Programme4.0 Sports Facility Development and
Management",,,,,,64,0
Development of sports facility,"Sp 4.1Development of sports
facility","126,882,253",,"126,882,253",0.0,64,0
Programme5.0 Sports talent development and management,,,,,,64,0
Sports and talent development established,"5.1Sports and talent develop-
ment established","6,000,000",,"6,000,000",0.0,64,0
Programme6.0 Youth Development and Management,,,,,,64,0
,,A,B,C=A-B,D=B/A*100,65,0
Youth development services,"sp.6.1 Youth development
services","11,000,000",,"11,000,000",0.0,65,0
Total Expenditure of Vote,,"280,934,909","10,015,523","270,919,386",3.6,65,0
Public Service Board,,,,,,65,0
"General Administration, Planning and Support services",SP 1. 1 Administrative service,"7,889,544",,"7,889,544",0.0,65,0
Total Expenditure of Programme 1,,"7,889,544",,"7,889,544",0.0,65,0
Programme 2: (Human Resource Management and Development),,,,,,65,0
Human Resource Management,"SP 2. 1 Human Resource Man-
agement","8,390,850","1,649,730","6,741,120",19.7,65,0
Human Resource Development,"SP 2. 2. Human Resource De-
velopment","4,351,158",,"4,351,158",0.0,65,0
Total Expenditure of Programme 2,,"12,742,008","1,649,730","11,092,278",12.9,65,0
Programme 3:(Governors and National Values,,,,0,,65,0
Quality Assurance,SP 3. 1Quality Assurance,"4,760,856",,"4,760,856",0.0,65,0
Ethics governors and national,"SP 3. 2 ethics governors and
national","5,518,738",,"5,518,738",0.0,65,0
Total Expenditure of programme 3,,"10,279,594",,"10,279,594",0.0,65,0
Programme 4: Service delivery and organisational transformation,,,,,,65,0
Construction of office block,,"30,000,000",,"30,000,000",0.0,65,0
Total Expenditure of programme 4,,"30,000,000",,"30,000,000",0.0,65,0
Total Expenditure of Vote,,"60,911,146","1,649,730","59,261,416",2.7,65,0
Governors & Deputy Governors,,,,,,65,0
Office of H.E. the Governor,,,,,,65,0
"General administration, planning and support services","General administration, plan-
ning and support services","409,357,458","141,565,831","267,791,627",34.6,65,0
County Executive Committee Affairs,"County Executive Committee
Affairs","25,021,324",,"25,021,324",0.0,65,0
County Strategic and Service Delivery Coordination,"County Strategic and Service
Delivery Coordination","52,679,536",,"52,679,536",0.0,65,0
Total Expenditure for Vote,,"487,058,318","141,565,831","345,492,487",29.1,65,0
"Office of H.E., the Deputy Governor",,,,,,65,0
"General administration, planning and support services","General administration, plan-
ning and support services","8,766,520",,"8,766,520",0.0,65,0
County Strategic and Service Delivery Coordination,"County Strategic and Service
Delivery Coordination","4,070,063",,"4,070,063",0.0,65,0
Total Expenditure for Vote,,"12,836,583",,"12,836,583",0.0,65,0
Total Expenditure.,,"499,894,901","141,565,831","358,329,070",28.3,65,0
Grand Total,,"11,789,078,738","1,617,838,802","10,171,239,936",13.7,65,0
