Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,"Health Promotion and Disease
Control","414,321,272","85,199,359","329,121,913",20.56,439,0
,"HIV and AIDS Support Ser-
vices","3,900,000",-,"3,900,000",0.00,439,0
,"Reproductive Maternal and
Child Health Services","2,500,000",-,"2,500,000",0.00,439,0
,,"459,708,272","85,199,359","374,508,913",18.53,439,0
"Youth, Sports, Culture and
Tourism",,,,,,439,0
"Culture, Arts and Social Services",Culture and Arts Promotion,"28,556,370","755,277","27,801,093",2.64,439,0
,"Gender, PWDs and Social Ser-
vices","8,602,200",-,"8,602,200",0.00,439,0
"Sports Development and
Promotion","Athletics Championships and
Other Games","1,765,910",-,"1,765,910",0.00,439,0
,"County Football League and
Clubs Development","1,489,480",-,"1,489,480",0.00,439,0
,Talent Search and Promotion,"27,959,600","6,214,828","21,744,772",22.23,439,0
"Tourism Development and
Promotion",Miss Tourism Tharaka Nithi,"1,997,550","123,700","1,873,850",6.19,439,0
,"Tourism Branding and Market-
ing","1,386,490",-,"1,386,490",0.00,439,0
,,"71,757,600","7,093,805","64,663,795",9.89,439,0
,,,,-,,439,0
"Livestock, Veterinary and
Fisheries Development",,,,,,439,0
