Programme,Sub Programme,Approved Budget,"Actual Expenditure
as of 30th Septem-
ber 2022",Absorption (%),page_number,table_index
501003260,"General Administration, Planning and Support
services",-,-,-,425,0
502003260,"Early childhood Education and Youth Training
Development Programme",-,-,-,425,0
,Headquarters,"406,369,105",-,-,425,0
402003260,Health Development Programme,"165,937,800",-,-,425,0
706003260,"General Administration, planning, Internal Au-
dit & Support Services",-,-,-,425,0
401003260,Administration and Support Services,"240,431,305",-,-,425,0
704003260,"General Administration and Management of
County Affairs",-,-,-,425,0
,Wesu Hospital,"5,280,698",-,-,425,0
401003260,Administration and Support Services,"5,280,698",-,-,425,0
,Moi Referral Hospital,"19,160,938",-,-,425,0
401003260,Administration and Support Services,"19,160,938",-,-,425,0
,Mwatate Hospital,-,-,-,425,0
401003260,Administration and Support Services,-,-,-,425,0
,,-,-,-,425,0
401003260,Administration and Support Services,-,-,-,425,0
,,"3,604,609",-,-,425,0
401003260,Administration and Support Services,"3,604,609",-,-,425,0
,,-,-,-,425,0
401003260,Administration and Support Services,-,-,-,425,0
,,-,-,-,425,0
401003260,Administration and Support Services,-,-,-,425,0
,,"4,627,612",-,-,425,0
401003260,Administration and Support Services,"4,627,612",-,-,425,0
,,"8,691,940",-,-,425,0
401003260,Administration and Support Services,"8,691,940",-,-,425,0
,,"2,950,552",-,-,425,0
401003260,Administration and Support Services,"2,950,552",-,-,425,0
402003260,Health Development Programme,-,-,-,425,0
,Headquarters,"26,897,200",-,-,425,0
302003260,Trade Development programme.,"18,500,000",-,-,425,0
301003260,"General Administration and support services
programme","8,397,200",-,-,425,0
,Trade,"2,300,000",-,-,425,0
301003260,"General Administration and support services
programme","1,300,000",-,-,425,0
302003260,Trade Development programme.,"1,000,000",-,-,425,0
,Sports,-,-,-,425,0
301003260,"General Administration and support services
programme",-,-,-,425,0
302003260,Trade Development programme.,-,-,-,425,0
,Gender,-,-,-,426,0
302003260,Trade Development programme.,-,-,-,426,0
301003260,"General Administration and support services
programme",-,-,-,426,0
,Cooperative,"5,739,371",-,-,426,0
301003260,"General Administration and support services
programme","4,739,371",-,-,426,0
302003260,Trade Development programme.,"1,000,000",-,-,426,0
,Youth Development,-,-,-,426,0
302003260,Trade Development programme.,-,-,-,426,0
301003260,"General Administration and support services
programme",-,-,-,426,0
,Culture,-,-,-,426,0
302003260,Trade Development programme.,-,-,-,426,0
301003260,"General Administration and support services
programme",-,-,-,426,0
,Markets,"4,119,025",-,-,426,0
301003260,"General Administration and support services
programme","4,119,025",-,-,426,0
,,"800,000",-,-,426,0
301003260,"General Administration and support services
programme","800,000",-,-,426,0
302003260,Trade Development programme.,-,-,-,426,0
,Weights and Measures,"1,557,316",-,-,426,0
301003260,"General Administration and support services
programme","1,557,316",-,-,426,0
,,-,-,-,426,0
302003260,Trade Development programme.,-,-,-,426,0
301003260,"General Administration and support services
programme",-,-,-,426,0
,Liquor Control and Licensing Fund,"4,000,000",-,-,426,0
301003260,"General Administration and support services
programme","4,000,000",-,-,426,0
,,"9,143,795",-,-,426,0
302003260,Trade Development programme.,"4,500,000",-,-,426,0
301003260,"General Administration and support services
programme","4,643,795",-,-,426,0
,Headquarters,"24,000,000",-,-,426,0
703003260,"Decentralised Infrastructure development pro-
gramme","3,500,000",-,-,426,0
701003260,General Administration support services,"20,500,000",-,-,426,0
,Headquarters,"8,010,000",-,-,426,0
101003260,Administration Planning and Support Services,"8,010,000",-,-,426,0
,ICT,-,-,-,426,0
101003260,Administration Planning and Support Services,-,-,-,426,0
103003260,Infrastructure Development programme,-,-,-,426,0
,Roads,"207,345,000",-,-,426,0
102003260,Development programme,"189,500,000",-,-,426,0
103003260,Infrastructure Development programme,-,-,-,426,0
101003260,Administration Planning and Support Services,"17,845,000",-,-,426,0
,Housing,-,-,-,426,0
101003260,Administration Planning and Support Services,-,-,-,426,0
102003260,Development programme,-,-,-,427,0
103003260,Infrastructure Development programme,-,-,-,427,0
,Public Works,"13,795,000",-,-,427,0
101003260,Administration Planning and Support Services,"8,795,000",-,-,427,0
103003260,Infrastructure Development programme,-,-,-,427,0
102003260,Development programme,"5,000,000",-,-,427,0
,Defunct Local Authorities,-,-,-,427,0
302003260,Trade Development programme.,-,-,-,427,0
103003260,Infrastructure Development programme,-,-,-,427,0
,Headquarters,"30,941,000",-,-,427,0
1.003E+09,Natural Resources Support Programme,-,-,-,427,0
301003260,"General Administration and support services
programme",-,-,-,427,0
102003260,Development programme,"9,500,000",-,-,427,0
101003260,Administration Planning and Support Services,"21,441,000",-,-,427,0
,Mwatate Municipal Administration,"28,300,000","10,571,576",37.0,427,0
101003260,Administration Planning and Support Services,-,-,-,427,0
102003260,Development programme,"28,300,000","10,571,576",37.0,427,0
1.003E+09,Natural Resources Support Programme,-,-,-,427,0
,,"5,770,000",-,-,427,0
101003260,Administration Planning and Support Services,"2,770,000",-,-,427,0
1.003E+09,Natural Resources Support Programme,-,-,-,427,0
102003260,Development programme,"3,000,000",-,-,427,0
,,"5,935,200",-,-,427,0
101003260,Administration Planning and Support Services,"5,935,200",-,-,427,0
102003260,Development programme,-,-,-,427,0
,Environment and Natural Resources,-,-,-,427,0
101003260,Administration Planning and Support Services,-,-,-,427,0
1.003E+09,Natural Resources Support Programme,-,-,-,427,0
,,"60,000,000",-,-,427,0
102003260,Development programme,"60,000,000",-,-,427,0
103003260,Infrastructure Development programme,-,-,-,427,0
301003260,"General Administration and support services
programme",-,-,-,427,0
,Headquarters,"175,350,000",-,-,427,0
301003260,"General Administration and support services
programme","175,350,000",-,-,427,0
1.003E+09,Natural Resources Support Programme,-,-,-,427,0
1.002E+09,"General Administration, Support and Support
Services",-,-,-,427,0
,Grand Total,"7,075,336,179","908,206,186",13.0,427,0
