Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"'Gender Mainstreaming and
Social Services","'Gender Mainstreaming and Social
Services","98,550,000.00","100,000.00","98,450,000.00",0,285,0
Total,-,"428,542,374.00","500,000.00","428,042,374.00",0,285,0
DEPARTMENT: HEALTH SERVICES,,,,,,285,0
General Administration,General Administration,-,-,-,0,285,0
Curative Health,Curative Health,"742,073,703.98","250,000.00","741,823,703.98",0,285,0
"Preventive and Promotive
Health",Preventive and Promotive Health,"216,886,029.00","250,000.00","216,636,029.00",0,285,0
Total,-,"958,959,732.98","500,000.00","958,459,732.98",0,285,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,285,0
General Administration,General Administration,"30,000,000.00",-,"30,000,000.00",0,285,0
Lands & Public Works,Lands & Public Works,"70,000,000.00","150,000.00","69,850,000.00",0,285,0
"Physical Planning, House &
Urban Development","Physical Planning, House & Urban
Development","311,890,200.00","200,000.00","311,690,200.00",0,285,0
Meru Municipality,Meru Municipality,"30,000,000.00","150,000.00","29,850,000.00",1,285,0
Total,-,"441,890,200.00","500,000.00","441,390,200.00",0,285,0
DEPARTMENT: PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,285,0
General Administration,General Administration,"14,731,240.70","200,000.00","14,531,240.70",1,285,0
"Coordination of County
Government Functions Sub
County","Coordination of County Govern-
ment Functions Sub County","20,786,914.00",-,"20,786,914.00",0,285,0
"County Office
Accommodation and
Enforcement Services","County Office Accommodation
and Enforcement Services","49,371,069.20","100,000.00","49,271,069.20",0,285,0
Human Resource,Human Resource,"4,869,449,646.00","1,320,916,518.30","3,548,533,127.70",27,285,0
Office of the County Attorney,Office of the County Attorney,"72,609,776.00","100,000.00","72,509,776.00",0,285,0
"Towns Management &
Administration","Towns Management & Adminis-
tration","3,300,000.00","100,000.00","3,200,000.00",3,285,0
Total,-,"5,030,248,645.90","1,321,416,518.30","3,708,832,127.60",26,285,0
"DEPARTMENT: 'ROADS, TRANSPORT & ENERGY",,,,,,285,0
"General Administra-
tion-Roads",General Administration-Roads,"592,470,127.00","250,000.00","592,220,127.00",0,285,0
