Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"Department of Water, Environment and Natural Resources",,,,,,,,123,0
"CP1: Administration and Support
Services",,"190,899,386","60,000,000","114,740,655","16,339,505",60.1,27.2,123,0
,"CSP1.1 Adminis-
tration & Support
Services","150,056,361","60,000,000","101,740,655","16,339,505",67.8,27.2,123,0
,"CSP 4.1 Environment
and Natural Resources
Management","40,843,025",,"13,000,000",,31.8,,123,0
CP2: Water Services,,,"780,278,252",,"160,002,276",,20.5,123,0
,"CSP 2.1 Water Infra-
structure Develop-
ment",,"780,278,252",,"160,002,276",,20.5,123,0
CP3: Irrigation Services,,"5,000,000","40,000,000",-,-,0.0,0.0,123,0
,"CSP 3.1 Irrigation
Development","5,000,000","40,000,000",,,0.0,0.0,123,0
"CP4: Environment Management and
Natural Resources",,"14,905,000","110,000,000",-,-,0.0,0.0,123,0
,"CSP 4.1 Environment
and Natural Resources
Management","1,100,000","30,000,000",,,0.0,0.0,123,0
,"CSP 4.2 climate
change and adaptation","12,600,000","80,000,000",,,0.0,0.0,123,0
,"CSP 4.3 Energy De-
velopment","1,205,000",-,,,0.0,,123,0
Sub Total,,"210,804,386","990,278,252","114,740,655","176,341,781",54.4,17.8,123,0
"Department of County Affairs, Public Service and Intergovernmental Relation",,,,,,,,123,0
Programme 1: CP 1 Executive Services,,"225,020,000",,"27,000,000",-,12.0,,123,0
,Governor’s Office,"188,900,000",,"13,000,000",,6.9,,123,0
,"Deputy Governor’s
Office","36,120,000",,"14,000,000",,38.8,,123,0
Programme 2: CSP2 County Secretary,,"297,550,671",,"133,659,056",-,44.9,,123,0
