Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual Expen-
diture as of 31st
December 2023
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
,"Blue Economy Development
Services","10,000,000",-,"10,000,000",-,137,0
,Sub total,"76,759,422",0,"76,759,422",-,137,0
"Mineral
resources
development
and marketing
services",Artisanal Mining Services,"4,000,000",-,"4,000,000",-,137,0
,Mineral Prospecting Services,-,-,-,-,137,0
,Sub total,"4,000,000",0,"4,000,000",-,137,0
"ICT And Dig-
ital Economy
Development
Services","ICT Infrastructure Develop-
ment Services","27,000,000","17,881,489","9,118,511",66.2,137,0
,"Digital Literacy and Skill
Development Services","7,700,000",,"7,700,000",-,137,0
,Sub total,"34,700,000","17,881,489","16,818,511",51.5,137,0
"General
Administra-
tion, Planning
and Support
Services",Policy Development Services,"4,335,000","3,000,000","1,335,000",69.2,137,0
,"Personnel Remuneration and
Welfare Services","76,286,892","31,694,207","44,592,685",41.5,137,0
,"Administrative Support
Services","10,665,000",-,"10,665,000",-,137,0
,Sub total,"91,286,892","34,694,207","56,592,685",38.0,137,0
,Grand total,"202,746,314","52,575,696","150,170,618",25.9,137,0
"Department of Education, Human Capital Development and Vocational Training",,,,,,138,0
"General
Administration
and Quality
Assurance
Service","General administration Ser-
vices","769,389,789","265,000,000","504,389,789",34.4,138,0
,Quality Assurance Services,"18,903,800","7,364,058","18,084,900",4.3,138,0
,Sub total,"788,293,589","272,364,058","655,474,689",16.8,138,0
"Early Years
Education
(EYE) Ser-
vices",EYE Services,"243,000,000","19,842,923","223,157,077",8.2,138,0
,Sub total,"243,000,000","19,842,923","223,157,077",8.2,138,0
"Education,
Human Capital
Development
and Vocation-
al Training
Services",Education Services,"430,000,000","177,560,400","252,439,600",41.3,138,0
,"Human Capital Development
Services",-,-,-,-,138,0
,Vocational Training Services,"20,590,000",-,"20,590,000",-,138,0
,Sub total,"450,590,000","177,560,400","273,029,600",39.4,138,0
,Grand total,"1,481,883,589","469,767,381","1,012,116,208",31.7,138,0
Department of Public Health and Medical Services,,,,,,138,0
"Policy
planning and
administrative
support service","Policy, Planning and Monitor-
ing Services","11,513,500","4,674,892","6,838,608",40.6,138,0
,"Administrative Support
Services","2,072,804,248","748,639,841","1,324,164,407",36.1,138,0
,Sub total,"2,084,317,748","753,314,733","1,331,003,015",36.1,138,0
"Preventive
and promotive
health services",Community health services,"88,680,000","16,366,299","72,313,701",18.5,138,0
,Disease control services,"52,081,702","17,434,818","34,646,884",33.5,138,0
,"infrastructure improvement
services","196,891,806",-,"196,891,806",-,138,0
,Sub total,"337,653,508","33,801,117","303,852,391",10.0,138,0
"Curative and
rehabilitative
health services","Routine medical health
services","304,346,746","91,702,044","212,644,702",30.1,138,0
,"Medical emergency response
services","123,000,000","25,411,401","97,588,599",20.7,138,0
,"Facility infrastructure im-
provement services","279,605,247","48,609,681","230,995,566",17.4,138,0
,Sub total,"706,951,993","165,723,126","541,228,867",23.4,138,0
"Research and
development
service","Research and surveillance
services","2,000,000",-,"2,000,000",-,138,0
,"Capacity development ser-
vices","2,000,000",-,"2,000,000",-,138,0
,Sub total,"4,000,000",0,"4,000,000",-,138,0
,Grand total,"3,132,923,249","952,838,976","2,180,084,273",30.4,138,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,138,0
,"General administrative sup-
port services","42,308,719","18,250,000","24,058,719",43.1,138,0
,"Operation and Maintenance
Services","9,735,343","2,844,968","6,890,375",29.2,138,0
,"General Office Infrastructure
Development Services","1,041,000",-,"1041,000",-,138,0
"Lands and
Physical Plan-
ning Services","County Development Planning
Services","13,558,615",,"13,558,615",-,139,0
,"Land Valuation and Registra-
tion Support Services","10,300,000",-,"10,300,000",-,139,0
,"County Land Acquisition and
Management Services","18,000,000",-,"18,000,000",-,139,0
,Sub total,"41,858,615",-,"41,858,615",-,139,0
"Housing
and Urban
Development
Services","Housing Infrastructure Devel-
opment Services","5,000,000",-,"5,000,000",-,139,0
,"Settlements Upgrading Ser-
vices","149,145,354","37,300,081","111,845,273",-,139,0
,"Urban Areas Establishment
Services",-,-,-,-,139,0
,Sub total,"154,145,354","37,300,081","116,845,273",24.2,139,0
,Grand total,"249,089,031","58,395,049","190,693,982",23.4,139,0
"Department of Trade, Industry, Tourism, Cooperative Development and Marketing",,,,,,139,0
"Policy,
Planning and
Administrative
services","Remuneration and welfare
support services","148,767,292","53,000,000","95,767,292",35.6,139,0
,"Policy and plans development
services","6,750,000","2,074,500","4,675,500",30.7,139,0
,"Administrative Support
Services","10,930,000",-,-,-,139,0
,Sub total,"166,447,292","55,074,500","111,372,792",33.1,139,0
