Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",263,0
"3728-Kitui - Office of the
Deputy Governor",,"65,089,607.00","35,045,116.00","18,358,392.00","1,244,530.00",28.2,3.6,263,0
"Performance Man-
agement and Disaster
Mitigation",205013710,-,-,-,-,-,-,263,0
"Tourism Development
and Promotion",305013710,"25,062,014.00","12,000,000.00","9,918,585.00","1,417,820.00",39.6,11.8,263,0
,305033710,"39,688,044.00","15,242,271.00","18,610,818.00","3,764,680.00",46.9,24.7,263,0
"Administration Planning
and Support Services",701013710,"8,235,977.00","11,996,130.00","1,520,032.00","496,130.00",18.5,4.1,263,0
,717013710,"39,723,474.00",-,"10,125,360.00",-,25.5,-,263,0
,1003023710,"41,219,717.00",-,"7,749,134.00",-,18.8,-,263,0
,Sub-Total,"31,391,632.00","10,700,000.00","14,243,395.00",-,45.4,-,263,0
"3729-Kitui - Ministry of
Water and Irrigation",,"185,320,858.00","49,938,401.00","62,167,324.00","5,678,630.00",33.5,11.4,263,0
General Administration Planning and Support Services,,,,,,,,263,0
Irrigation,104013710,"77,979,558.00",,31324646,,40.2,-,263,0
Water,111013710,"15,287,836.00","515,907,784.00",5328730,"199,004,407.00",34.9,38.6,263,0
,111023710,"17,270,221.00","146,351,352.00",1707568,"17,357,945.00",9.9,11.9,263,0
,101013710,"3,715,593.00","116,487,989.00",1240800,"30,887,691.00",33.4,26.5,263,0
,Sub-Total,"1,527,497.00",,447043,,29.3,-,263,0
"3730-Kitui - Education
Training and Skills
Development",,"115,780,705.00","778,747,125.00","40,048,787.00","247,250,043.00",34.6,31.7,263,0
General Administration Planning and Support Services,,,,,,,,263,0
"Basic Education Ecde
And Childcare Facilities",502013710,"118,923,531.00","42,204,000.00","50,569,644.00",-,42.5,-,263,0
"Polytechnique’s,
Vocational Centers and
Homecraft Centers",503013710,"700,345,477.00","64,223,917.00","344,979,493.00",-,49.3,-,263,0
,Sub-Total,"36,063,512.00","84,816,677.00","9,170,005.00","9,613,774.00",25.4,11.3,263,0
"3731-Kitui - Ministry of
Roads, Public Works and
Transport",,"855,332,520.00","191,244,594.00","404,719,142.00","9,613,774.00",47.3,5.0,263,0
General Administration Planning and Support Services,,,,,,,,263,0
Public Works,109013710,"132,467,797.00",-,"57,224,903.00",,43.2,-,263,0
"Roads Transport and
Mechanical Services",110013710,"31,945,250.00","326,308,657.00","5,624,392.00","249,540,930.00",17.6,76.5,263,0
,203013710,"4,611,000.00","120,166,400.00","546,100.00","53,948,856.00",11.8,44.9,263,0
,Sub-Total,"30,696,000.00","46,317,068.00","4,223,350.00","1,905,068.00",13.8,4.1,263,0
"3732-Kitui - Trade Indus-
try MSMs Innovation &
Cooperatives",,"199,720,047.00","492,792,125.00","67,618,745.00","305,394,854.00",33.9,62.0,263,0
General Administration Planning and Support Services,,,,,,-,-,263,0
Trade and Markets,303023710,"111,402,472.00","287,027,587.00","51,230,602.00","32,606,837.00",46.0,11.4,263,0
Co-operatives,304013710,"1,152,310.00",-,"88,245.00",-,7.7,-,263,0
,304023710,"36,018,102.00",-,"26,836,448.00",-,74.5,-,263,0
,301013710,"17,902,620.00",-,"5,954,561.00",-,33.3,-,263,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expen-
diture",264,0
,Sub-Total,"23,068,327.00",-,"3,794,012.00",-,16.4,-,264,0
"3733-Kitui - Ministry
of Energy Environment
Forestry & Natural
Resources",701013710,"189,543,831.00","287,027,587.00","87,903,868.00","32,606,837.00",46.4,11.4,264,0
"General Administration
and Planning",701023710,"1,742,596.00","5,000,000.00","1,044,011.00","987,960.00",59.9,19.8,264,0
,1001013710,"1,717,278.00",-,"910,463.00",-,53.0,-,264,0
"Environment and
Forestry",1002013710,"33,702,521.00",-,"10,840,194.00",-,32.2,-,264,0
"Energy Minerals &
Natural Resources",1003013710,"18,117,628.00",-,"8,757,522.00",-,48.3,-,264,0
,1003043710,"1,385,014.00",-,"333,000.00",-,24.0,-,264,0
,1004013710,"2,298,058.00",-,"617,800.00",-,26.9,-,264,0
,1005013710,"2,083,379.00",-,"964,515.00",-,46.3,-,264,0
,1006013710,"12,272,819.00",-,"6,222,175.00",-,50.7,-,264,0
,1007013710,"1,758,979.00","54,045,946.00","1,286,187.00","10,189,562.00",73.1,18.9,264,0
,1007023710,"5,080,161.00",,"2,731,700.00",,53.8,-,264,0
,1008013710,"4,509,180.00",,"1,671,300.00",,37.1,-,264,0
,Sub-Total,"3,946,103.00","109,583,166.00","2,092,184.00","16,632,627.00",53.0,15.2,264,0
"3734-Kitui - Ministry of
Culture Gender Youth
ICT Sports and Social
Services",,"88,613,716.00","168,629,112.00","37,471,051.00","27,810,149.00",42.3,16.5,264,0
General Administration Planning and Support Services,,,,,,,,264,0
Sports,306013710,"40,317,632.00",-,"14,876,103.00",-,36.9,-,264,0
,306023710,"26,692,049.00",-,"13,634,822.00",-,51.1,-,264,0
"Culture Gender and
Social Services",307013710,"887,400.00","77,640,185.00","444,682.00","16,582,075.00",50.1,21.4,264,0
"Youth Sports ICT And
Innovations",307023710,"7,847,295.00",-,"2,739,258.00",-,34.9,-,264,0
,308013710,"17,084,993.00","38,796,703.00","5,070,650.00","3,972,439.00",29.7,10.2,264,0
,308023710,"881,600.00",-,"325,740.00",-,36.9,-,264,0
,505013710,"1,571,800.00",-,"168,196.00",-,10.7,-,264,0
,506013710,"8,872,622.00","7,974,899.00","2,804,422.00","3,890,850.00",31.6,48.8,264,0
,Sub-Total,"8,939,389.00","12,150,000.00","4,791,927.00","4,678,610.00",53.6,38.5,264,0
"3735-Kitui - Ministry
of Finance Economic
Planning and Revenue
Management",,"113,094,780.00","136,561,787.00","44,855,800.00","29,123,974.00",39.7,21.3,264,0
Accounts,704013710,"390,869,631.00","139,956,716.00","170,776,012.00","42,745,066.00",43.7,30.5,264,0
Economic Planning,710013710,"7,849,400.00",-,"6,369,691.00",-,81.1,-,264,0
Budgetary Supplies,710023710,"27,203,567.00",-,"19,404,772.00",-,71.3,-,264,0
Revenue Management,712013710,"8,294,000.00",-,"5,003,865.00",-,60.3,-,264,0
,712023710,"44,308,219.00",-,"25,224,770.00",-,56.9,-,264,0
Internal Audit,712033710,"15,056,800.00",-,"8,199,677.00",-,54.5,-,264,0
,712053710,"9,036,400.00",-,"6,180,716.00",-,68.4,-,264,0
