Programme,Sub-Programme,"Approved Estimates
Recurrent Ex- Development
penditure Expenditure",col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
Sub Total,,,"293,492,271","48,510,260",-,40.6,-,227,0,"119,489,239"
"Lands, Housing and Urban Development",,,,,,,,227,0,
"Land and Physical
Planning","010601 General
Administration
and Planning",,-,"3,241,325",-,10.9,-,227,0,"29,853,028"
,"010604 County
Spatial Planning",,-,"100,000",,3.1,-,227,0,"3,190,000"
,"010605 Town
Zoning and
Mapping",,"56,433,333",,"3,205,475.20",-,5.7,227,0,-
,"010607 Survey
and Mapping",,-,"236,200",-,46.8,-,227,0,"505,000"
Housing Development,"010701 Improve-
ment and Devel-
opment of Human
Settlements",,-,"161,700",-,38.5,-,227,0,"420,000"
Sub Total,,,"56,433,333","3,739,225","3,205,475",11,5.7,227,0,"33,968,028"
Transport and Infrastructure,,,,,,,,227,0,
"Transport Manage-
ment","020301 General
Administration
and Planning",,-,"16,656,893",-,27.1,-,227,0,"61,511,285"
